time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.050521,0.022438,0.011805,0.000000,0.032119,0.052985,0.021459,0.034018
0.000,0.000000,0.032478,0.027127,0.000000,0.000000,0.000000,0.089552,0.002146,0.040469
0.000,0.012576,0.069767,0.032820,0.046729,0.066088,0.070949,0.082090,0.039700,0.058065
0.000,0.000000,0.032077,0.034494,0.000000,0.000000,0.000000,0.064925,0.001073,0.034604
0.000,0.000000,0.045710,0.111855,0.000000,0.000000,0.000000,0.262687,0.052575,0.179472
0.000,0.000000,0.042101,0.128935,0.000000,0.000000,0.000000,0.322388,0.048283,0.184164
0.000,0.007452,0.088212,0.041862,0.065421,0.061264,0.054171,0.091791,0.045064,0.055132
0.000,0.000000,0.033681,0.033490,0.000000,0.000000,0.000000,0.083582,0.022532,0.051026
0.000,0.027480,0.056135,0.030476,0.039843,0.025084,0.045542,0.079104,0.026824,0.042229
0.000,0.001863,0.032077,0.028801,0.000000,0.000000,0.009588,0.053731,0.010730,0.028739
0.000,0.000000,0.046512,0.027461,0.000000,0.011095,0.004314,0.052239,0.035408,0.034604
0.000,0.000000,0.033681,0.032150,0.064437,0.008201,0.000000,0.076119,0.032189,0.039296
0.000,0.000000,0.044106,0.022773,0.003443,0.000000,0.001918,0.058955,0.026824,0.028152
0.000,0.000000,0.048516,0.074012,0.000000,0.000000,0.000000,0.173134,0.040773,0.101466
0.000,0.000000,0.056536,0.116544,0.000000,0.002894,0.000000,0.270896,0.064378,0.167155
0.000,0.000000,0.049719,0.106497,0.000000,0.000000,0.000959,0.225373,0.057940,0.134311
0.000,0.031206,0.062951,0.079035,0.097393,0.110468,0.128955,0.191045,0.041845,0.078006
0.000,0.013973,0.038492,0.050234,0.000000,0.000000,0.000000,0.094030,0.018240,0.055132
0.000,0.000000,0.060545,0.030141,0.017216,0.027496,0.007670,0.070149,0.032189,0.051026
0.000,0.000000,0.034483,0.040188,0.005903,0.000000,0.000000,0.080597,0.018240,0.048094
0.000,0.000000,0.045710,0.036839,0.010821,0.000000,0.003835,0.085075,0.025751,0.048094
0.000,0.004192,0.043705,0.060281,0.000000,0.000000,0.000000,0.138806,0.040773,0.075073
0.000,0.000000,0.051724,0.067649,0.000000,0.000000,0.000000,0.153731,0.051502,0.097947
0.000,0.000000,0.035686,0.035834,0.000000,0.000000,0.000000,0.080597,0.013948,0.034018
0.000,0.000000,0.052927,0.056597,0.000000,0.000000,0.000000,0.123134,0.052575,0.083871
0.000,0.000000,0.051724,0.118553,0.000000,0.000000,0.000000,0.280597,0.053648,0.184751
0.000,0.000000,0.046913,0.038848,0.011313,0.107574,0.000000,0.085075,0.034335,0.043988
0.000,0.000000,0.045710,0.056597,0.000000,0.000000,0.000000,0.133582,0.021459,0.070968
0.000,0.077317,0.077386,0.052914,0.050664,0.055475,0.082454,0.165672,0.061159,0.079765
0.000,0.000000,0.566560,0.832552,0.019675,0.005306,0.026846,0.674627,0.590129,0.873900
0.000,0.523521,0.265437,0.694910,0.642892,0.702364,0.653883,0.586567,0.113734,0.514370
0.000,0.000000,0.069767,0.209645,0.000984,0.000000,0.000000,0.142537,0.012876,0.089736
0.000,0.032138,0.060144,0.032150,0.035908,0.017366,0.040268,0.073134,0.035408,0.039296
0.000,0.031206,0.052927,0.045881,0.000000,0.000000,0.000000,0.097015,0.008584,0.053959
0.000,0.000000,0.072574,0.349967,0.000000,0.000000,0.000000,0.383582,0.049356,0.368915
0.000,0.000000,0.055333,0.152043,0.000000,0.000000,0.008629,0.211194,0.034335,0.119062
0.000,0.000000,0.073777,0.099799,0.043286,0.037144,0.058485,0.196269,0.055794,0.115543
0.000,0.000000,0.078188,0.073677,0.027054,0.000000,0.000000,0.790299,0.055794,0.110850
