time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.688785,0.669351,0.332907,0.760280,0.770842,0.689360,0.577073,0.132653,0.556122
0.000,0.802484,0.809241,0.826291,0.820724,0.871387,0.742560,0.874352,0.735714,0.975624
0.000,0.655413,0.654939,0.318822,0.831826,0.758693,0.710193,0.555052,0.132653,0.589569
0.000,0.844393,0.823230,0.839949,0.851562,0.794302,0.748140,0.877591,0.777551,0.988095
0.000,0.674816,0.633743,0.302603,0.706414,0.754085,0.671131,0.549223,0.127551,0.596372
0.000,0.853706,0.853328,0.851046,0.848273,0.852953,0.777158,0.906736,0.865306,0.925737
0.000,0.629802,0.617635,0.287239,0.704359,0.735233,0.634673,0.532383,0.115306,0.557823
0.000,0.823050,0.841034,0.858728,0.884868,0.868035,0.793155,0.971503,0.743878,0.925737
0.000,0.608459,0.604070,0.274434,0.672286,0.646418,0.633185,0.523316,0.130612,0.542517
0.000,0.885914,0.871556,0.886044,0.873766,0.909091,0.787574,0.914508,1.000000,0.933673
0.000,0.579356,0.584994,0.257362,0.668174,0.684122,0.644345,0.532383,0.116327,0.560091
0.000,0.882809,0.894023,0.906103,0.915707,0.940511,0.810640,0.937824,0.806122,0.938776
0.000,0.611176,0.557864,0.239437,0.577303,0.670716,0.604167,0.514249,0.126531,0.560091
0.000,0.877377,0.908436,0.918054,0.953947,0.908672,1.000000,0.955959,0.955102,0.995465
0.000,0.555685,0.538788,0.224499,0.641859,0.653121,0.586682,0.477979,0.118367,0.597506
0.000,0.915406,0.943196,0.937260,0.942845,0.955174,0.837426,0.935233,0.810204,1.000000
0.000,0.552969,0.523527,0.208707,0.622122,0.634688,0.598214,0.501295,0.123469,0.557823
0.000,0.942181,0.968207,0.973538,0.972451,1.000000,0.890253,0.976684,0.833673,0.942744
0.000,0.512224,0.504875,0.183525,0.587582,0.616674,0.522321,0.472798,0.112245,0.558390
0.000,0.961583,0.964392,0.975245,0.962582,0.901969,0.899182,0.976684,0.842857,0.938776
0.000,0.493985,0.452310,0.161758,0.541941,0.568496,0.535714,0.463731,0.120408,0.555556
0.000,1.000000,1.000000,1.000000,1.000000,0.994554,0.904762,1.000000,0.844898,0.943311
0.000,0.459061,0.404833,0.132736,0.478207,0.544198,0.486607,0.395078,0.111224,0.399660
0.000,0.064804,0.033913,0.047375,0.064145,0.010054,0.065848,0.165803,0.026531,0.151361
0.000,0.383003,0.373887,0.105420,0.465049,0.541684,0.421875,0.318005,0.107143,0.091270
0.000,0.059371,0.000000,0.000000,0.000000,0.025136,0.015253,0.133420,0.020408,0.147392
0.000,0.377571,0.342094,0.092190,0.449424,0.466276,0.455729,0.296632,0.103061,0.091270
0.000,0.044237,0.023315,0.000000,0.038651,0.016339,0.000000,0.143782,0.032653,0.140023
0.000,0.344587,0.309029,0.075544,0.433388,0.436950,0.410714,0.224093,0.093878,0.081066
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.123705,0.002041,0.124717
0.000,0.177338,0.151335,0.014085,0.184211,0.228320,0.196429,0.199482,0.073469,0.069728
0.000,0.000000,0.000000,0.000000,0.004934,0.000000,0.000000,0.059585,0.009184,0.035714
0.000,0.000000,0.000000,0.000000,0.006990,0.000000,0.000000,0.025907,0.020408,0.022109
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011533,0.110104,0.013265,0.044218
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046632,0.004082,0.009070
0.000,0.000000,0.000000,0.000000,0.000000,0.015082,0.000372,0.030440,0.006122,0.014172
0.000,0.000000,0.000000,0.000000,0.004934,0.018852,0.012649,0.049223,0.014286,0.022109
0.000,0.000000,0.000000,0.000000,0.006579,0.006703,0.000000,0.065415,0.018367,0.037982
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017857,0.051813,0.006122,0.022109
0.000,0.001940,0.000000,0.000000,0.000000,0.000000,0.026786,0.056995,0.006122,0.026644
0.000,0.000000,0.000000,0.000000,0.000000,0.096774,0.000000,0.053109,0.006122,0.017574
0.000,0.000000,0.000000,0.000000,0.000000,0.013825,0.000000,0.054404,0.020408,0.030045
0.000,0.000000,0.000000,0.000000,0.000000,0.007541,0.000000,0.040803,0.014286,0.015306
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082902,0.010204,0.032313
0.000,0.000000,0.000000,0.000000,0.009457,0.000000,0.004092,0.093264,0.014286,0.033447
0.000,0.000000,0.000000,0.000000,0.000000,0.010054,0.000000,0.056995,0.010204,0.027211
0.000,0.004657,0.000000,0.000000,0.004112,0.000000,0.010417,0.038860,0.012245,0.013605
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160622,0.053061,0.124717
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130181,0.062245,0.106576
0.000,0.000000,0.000000,0.000000,0.000000,0.001257,0.000000,0.253886,0.051020,0.170635
0.000,0.000000,0.000000,0.000000,0.016859,0.018014,0.000000,0.034974,0.012245,0.007370
0.000,0.000000,0.000000,0.000000,0.026727,0.005446,0.000000,0.066062,0.016327,0.020408
0.000,0.000000,0.000000,0.000000,0.000000,0.001257,0.000000,0.018135,0.000000,0.007370
0.000,0.000000,0.000000,0.000000,0.003701,0.000000,0.022321,0.055699,0.005102,0.022109
0.000,0.000000,0.000000,0.000000,0.004523,0.000000,0.000000,0.035622,0.006122,0.013039
0.000,0.000000,0.000000,0.000000,0.000411,0.000000,0.000000,0.054404,0.004082,0.025510
0.000,0.000000,0.000000,0.000000,0.033306,0.000000,0.000000,0.059585,0.016327,0.011905
0.000,0.000000,0.000000,0.000000,0.003701,0.000000,0.001860,0.059585,0.018367,0.030045
0.000,0.000000,0.000000,0.000000,0.000000,0.000838,0.000000,0.023316,0.021429,0.013605
0.000,0.000000,0.000000,0.000000,0.006579,0.000000,0.000000,0.069948,0.008163,0.035714
0.000,0.000000,0.000000,0.000000,0.000000,0.021366,0.000000,0.030440,0.016327,0.007370
0.000,0.000388,0.000000,0.000000,0.000822,0.000000,0.000000,0.077720,0.006122,0.039116
0.000,0.000000,0.000000,0.000000,0.004934,0.000000,0.010417,0.048575,0.003061,0.010771
0.000,0.000000,0.000000,0.000000,0.013569,0.000000,0.008185,0.068653,0.024490,0.034014
0.000,0.004657,0.000000,0.000000,0.000000,0.018852,0.000000,0.039508,0.010204,0.005669
0.000,0.000000,0.000000,0.000000,0.000822,0.016757,0.025670,0.062824,0.006122,0.032313
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005952,0.034974,0.020408,0.015306
0.000,0.046178,0.000000,0.000000,0.000000,0.000000,0.000000,0.071891,0.016327,0.031179
0.000,0.000000,0.000000,0.000000,0.006579,0.000000,0.000000,0.000000,0.020408,0.014172
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068653,0.018367,0.029478
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000372,0.042746,0.004082,0.013039
0.000,0.000000,0.000000,0.000000,0.003701,0.014663,0.000000,0.032383,0.020408,0.042517
0.000,0.000388,0.000000,0.000000,0.027549,0.007960,0.000000,0.033679,0.018367,0.011338
0.000,0.000000,0.000000,0.000000,0.001234,0.000000,0.000000,0.128238,0.019388,0.071995
0.000,0.034148,0.000000,0.000000,0.000000,0.014663,0.005952,0.036269,0.024490,0.015306
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113342,0.048980,0.062925
0.000,0.000000,0.000000,0.000000,0.000000,0.000838,0.000000,0.029145,0.002041,0.010771
0.000,0.014746,0.000000,0.000000,0.003289,0.012568,0.000000,0.068653,0.013265,0.037415
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054404,0.006122,0.015873
0.000,0.000000,0.000000,0.000000,0.000000,0.001676,0.000000,0.225389,0.045918,0.159864
0.000,0.000000,0.000000,0.000000,0.000000,0.021366,0.000000,0.028497,0.008163,0.011905
0.000,0.000000,0.000000,0.000000,0.009868,0.004189,0.000000,0.063472,0.006122,0.034014
0.044,0.009313,0.000000,0.000000,0.004112,0.000000,0.000000,0.068005,0.002041,0.018707
0.094,0.000000,0.000000,0.000000,0.000411,0.013825,0.000000,0.068653,0.017347,0.032313
0.144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000372,0.034974,0.010204,0.000000
0.194,0.001552,0.000000,0.000000,0.000411,0.017176,0.000000,0.049223,0.006122,0.018707
0.244,0.000000,0.000000,0.000000,0.006990,0.000000,0.003348,0.034974,0.002041,0.003968
0.294,0.014358,0.000000,0.000000,0.034128,0.000000,0.019717,0.086788,0.007143,0.038549
0.344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036269,0.007143,0.007370
0.394,0.000000,0.000000,0.000000,0.000000,0.006703,0.000000,0.064119,0.008163,0.025510
0.444,0.000000,0.000000,0.000000,0.000000,0.007541,0.000000,0.034974,0.004082,0.011905
0.494,0.006597,0.000000,0.000000,0.000000,0.000000,0.000000,0.045984,0.018367,0.027211
