time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114720,0.034812,0.129730
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116776,0.036496,0.134234
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114720,0.032566,0.131532
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116365,0.035373,0.133333
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113076,0.036496,0.132432
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115132,0.033127,0.129730
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108964,0.030882,0.129730
0.000,0.000000,0.000000,0.000000,0.000000,0.004884,0.000000,0.115543,0.034812,0.128829
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113898,0.034812,0.128378
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115132,0.045480,0.129730
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110609,0.033689,0.130180
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114720,0.032004,0.131532
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110609,0.045480,0.128829
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119655,0.040988,0.129730
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109786,0.035373,0.129730
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115543,0.035373,0.131081
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106497,0.031443,0.129279
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115543,0.033127,0.129730
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110609,0.030882,0.130180
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113076,0.034250,0.131081
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113487,0.036496,0.131532
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115132,0.033127,0.129279
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106497,0.035373,0.128378
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113076,0.040988,0.132432
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106497,0.039304,0.129730
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111842,0.038742,0.128829
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000488,0.105674,0.033689,0.131081
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113076,0.043234,0.130180
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108141,0.033689,0.130631
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111431,0.039865,0.132432
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108553,0.033127,0.136937
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.144326,0.039865,0.161712
0.000,0.000000,0.000000,0.000000,0.000244,0.000000,0.000000,0.168997,0.039865,0.174775
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138569,0.030882,0.113063
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085526,0.027513,0.078378
0.000,0.000000,0.002198,0.000000,0.011966,0.020757,0.013187,0.077714,0.037058,0.084685
0.000,0.000000,0.000000,0.000000,0.002198,0.000000,0.000000,0.064556,0.018529,0.082883
0.000,0.000000,0.000977,0.000000,0.005372,0.000000,0.001465,0.064145,0.021898,0.066216
0.000,0.003419,0.000000,0.000000,0.000000,0.000000,0.000000,0.033306,0.013476,0.026126
0.000,0.010501,0.000000,0.000000,0.009035,0.009280,0.014408,0.082237,0.034812,0.082432
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047697,0.015160,0.045946
0.000,0.000000,0.000000,0.000000,0.004396,0.010501,0.008059,0.077714,0.026390,0.083784
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149260,0.039304,0.165766
0.000,0.000000,0.000000,0.000000,0.006105,0.002930,0.000000,0.129934,0.023021,0.107658
0.000,0.004151,0.000000,0.000000,0.000000,0.000000,0.004884,0.034951,0.020775,0.037387
0.000,0.061538,0.025641,0.000000,0.040049,0.052991,0.029060,0.115954,0.040988,0.119820
0.000,0.000000,0.000000,0.000000,0.003907,0.000244,0.000000,0.041941,0.014037,0.047297
0.000,0.227350,0.215629,0.121994,0.240293,0.228816,0.228327,0.261924,0.043796,0.134685
0.000,0.007326,0.000000,0.000000,0.000000,0.000000,0.002442,0.038240,0.011791,0.029730
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076069,0.034812,0.091441
0.000,0.000000,0.000000,0.000000,0.005372,0.000000,0.004396,0.036184,0.018529,0.041441
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129934,0.034250,0.157658
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063734,0.019652,0.065766
0.000,0.021734,0.000000,0.000000,0.020757,0.014408,0.025153,0.122122,0.039865,0.120270
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055099,0.015160,0.051802
0.000,0.117949,0.088645,0.000000,0.132845,0.149206,0.100855,0.163651,0.039865,0.128829
0.000,0.000000,0.000000,0.000000,0.002930,0.000000,0.038828,0.018503,0.009545,0.026126
0.000,0.018071,0.000000,0.000000,0.013675,0.004640,0.000000,0.085938,0.036496,0.102252
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007082,0.017270,0.005053,0.008559
0.000,0.068132,0.039072,0.039699,0.056654,0.052503,0.036874,0.108964,0.041550,0.107658
0.000,0.000000,0.000000,0.000000,0.000000,0.008059,0.027106,0.024260,0.009545,0.009459
