time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.753199,0.559524,0.655738
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.435101,0.726190,0.484778
0.000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.444241,0.511905,0.430913
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.358318,0.488095,0.405152
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531993,0.416667,0.451991
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266910,0.380952,0.334895
0.000,0.303797,0.000000,0.000000,0.000000,0.000000,0.000000,0.566728,0.607143,0.550351
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330896,0.440476,0.365340
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.619744,0.583333,0.644028
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.319927,0.380952,0.334895
0.000,0.000000,0.000000,0.000000,0.000000,0.117021,0.000000,0.361974,0.392857,0.348946
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.544790,0.726190,0.777518
0.000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.464351,0.464286,0.416862
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.272395,0.297619,0.330211
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382084,0.345238,0.344262
0.000,0.000000,0.868852,0.000000,0.000000,0.000000,0.000000,0.215722,0.214286,0.269321
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.654479,0.345238,0.608899
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.455210,0.250000,0.447307
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.663620,0.892857,0.733021
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.837294,0.916667,0.896956
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.987203,0.797619,0.985948
0.000,0.000000,0.000000,0.000000,0.050251,0.000000,0.000000,0.899452,0.761905,0.985948
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.987203,0.821429,0.976581
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.899452,0.761905,0.974239
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968921,0.785714,0.995316
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.897623,0.750000,0.981265
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.750000,0.983607
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.921389,0.904762,0.981265
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.941499,0.988095,0.992974
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.769653,0.654762,0.861827
