time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.007082,0.005861,0.000000,0.000000,0.000000,0.192127,0.041755,0.151236
0.000,0.000000,0.006838,0.005861,0.000000,0.000000,0.000000,0.185280,0.041226,0.151655
0.000,0.000000,0.007082,0.003907,0.000000,0.000000,0.000000,0.195550,0.050740,0.152074
0.000,0.000000,0.008547,0.005861,0.000000,0.000000,0.000000,0.181857,0.038584,0.151655
0.000,0.000000,0.007082,0.005372,0.000000,0.000000,0.000000,0.196406,0.048097,0.151236
0.000,0.000000,0.008547,0.004884,0.000000,0.000000,0.000000,0.186564,0.047569,0.150817
0.000,0.000000,0.007326,0.005128,0.000000,0.000000,0.000000,0.198973,0.041226,0.151236
0.000,0.000000,0.007570,0.006349,0.000000,0.000000,0.000000,0.188703,0.040169,0.150398
0.000,0.000000,0.003175,0.005861,0.000000,0.000000,0.000000,0.196406,0.039641,0.152493
0.000,0.000000,0.007082,0.006593,0.000000,0.003907,0.000000,0.187848,0.043869,0.150398
0.000,0.000000,0.007570,0.005372,0.000000,0.000000,0.000000,0.198973,0.048097,0.151655
0.000,0.000000,0.006838,0.006349,0.000000,0.000000,0.000000,0.192127,0.039641,0.150398
0.000,0.000000,0.008547,0.005128,0.000000,0.000000,0.000000,0.196834,0.046512,0.153331
0.000,0.000000,0.006593,0.005861,0.000000,0.000000,0.000000,0.188703,0.039112,0.153331
0.000,0.017338,0.007326,0.006105,0.000000,0.000000,0.000000,0.193410,0.038055,0.152493
0.000,0.000000,0.006349,0.005372,0.000000,0.000000,0.000000,0.189987,0.036998,0.150817
0.000,0.000000,0.007326,0.005861,0.000000,0.000000,0.000000,0.197261,0.041226,0.150398
0.000,0.000000,0.006349,0.005128,0.000000,0.000000,0.000000,0.184424,0.039112,0.152493
0.000,0.000000,0.006838,0.007326,0.000000,0.000000,0.000000,0.201540,0.048097,0.152912
0.000,0.000000,0.006105,0.004884,0.000000,0.000000,0.000000,0.189987,0.039641,0.150817
0.000,0.000000,0.006349,0.005128,0.000000,0.000000,0.000000,0.195978,0.041226,0.152074
0.000,0.000000,0.002442,0.003907,0.000000,0.000000,0.000000,0.189131,0.039112,0.152074
0.000,0.000000,0.006349,0.005617,0.000000,0.000000,0.000000,0.196406,0.038055,0.151655
0.000,0.000000,0.006105,0.004396,0.000000,0.000000,0.000000,0.191699,0.046512,0.150817
0.000,0.000000,0.006838,0.006349,0.000000,0.000000,0.000000,0.198117,0.040169,0.150817
0.000,0.000000,0.006105,0.004396,0.000000,0.000000,0.000000,0.190415,0.045455,0.152912
0.000,0.000000,0.006349,0.006838,0.000000,0.000000,0.000000,0.200257,0.046512,0.152493
0.000,0.000000,0.005861,0.004884,0.000000,0.000000,0.000000,0.202824,0.048097,0.150398
0.000,0.000000,0.007570,0.006349,0.000000,0.000000,0.000000,0.210954,0.049154,0.152493
0.000,0.000000,0.005372,0.002686,0.000000,0.000000,0.000000,0.200685,0.039641,0.153331
0.000,0.000000,0.002442,0.002198,0.000000,0.000000,0.000000,0.203680,0.036998,0.152493
0.000,0.020269,0.027595,0.025153,0.025885,0.029060,0.029792,0.042790,0.029598,0.026812
0.000,0.995360,0.957021,0.911355,1.000000,0.975580,0.938950,0.890030,0.747357,0.815249
0.000,0.000000,0.002198,0.001954,0.000000,0.000000,0.000000,0.091998,0.030655,0.146628
0.000,0.000000,0.006349,0.003907,0.001709,0.007570,0.000000,0.070603,0.026956,0.074571
