time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.098246,0.523585,0.000000,0.000000,0.000000,0.297235,0.484848,0.444776
0.000,0.000000,0.115789,0.547170,0.012658,0.000000,0.800000,0.329493,0.484848,0.573134
0.000,0.000000,0.210526,0.686321,0.000000,0.010152,0.000000,0.306452,0.878788,0.594030
0.000,0.000000,0.098246,0.551887,0.000000,0.000000,0.000000,0.352535,0.515152,0.576119
0.000,0.000000,0.178947,0.382075,0.000000,1.000000,0.000000,0.290323,0.393939,0.379104
0.000,1.000000,0.129825,0.266509,0.000000,0.000000,0.373333,0.179724,0.257576,0.277612
0.000,0.000000,0.252632,0.339623,0.000000,0.000000,0.000000,0.258065,0.212121,0.319403
0.000,0.000000,0.007018,0.176887,0.000000,0.000000,0.000000,0.200461,0.166667,0.217910
0.000,0.000000,0.021053,0.261792,0.000000,0.000000,0.000000,0.214286,0.515152,0.286567
0.000,0.000000,0.003509,0.193396,0.000000,0.000000,0.000000,0.179724,0.454545,0.235821
0.000,0.000000,0.007018,0.264151,0.000000,0.000000,0.000000,0.232719,0.424242,0.253731
0.000,0.000000,0.080702,0.084906,0.000000,0.000000,0.000000,0.112903,0.136364,0.170149
0.000,0.000000,0.178947,0.396226,1.000000,0.583756,1.000000,0.324885,0.545455,0.465672
0.000,0.000000,0.000000,0.089623,0.000000,0.000000,0.000000,0.283410,0.000000,0.140299
0.000,0.000000,0.270175,0.266509,0.063291,0.000000,0.653333,0.182028,0.363636,0.301493
0.000,0.713004,0.157895,0.066038,0.367089,0.000000,0.026667,0.069124,0.090909,0.098507
0.000,0.000000,0.322807,0.304245,0.253165,0.000000,0.000000,0.205069,0.393939,0.262687
0.000,0.000000,0.157895,0.000000,0.000000,0.000000,0.000000,0.016129,0.000000,0.000000
0.000,0.000000,0.143860,0.254717,0.696203,0.081218,0.853333,0.241935,0.196970,0.274627
0.000,0.000000,0.000000,0.033019,0.911392,0.299492,0.026667,0.105991,0.151515,0.044776
0.000,0.000000,0.070175,0.320755,0.000000,0.000000,0.000000,0.000000,0.272727,0.337313
0.000,0.000000,0.000000,0.080189,0.000000,0.101523,0.000000,0.082949,0.106061,0.143284
0.000,0.026906,0.031579,0.212264,0.518987,0.000000,0.000000,0.188940,0.181818,0.223881
0.000,0.000000,0.000000,0.113208,0.000000,0.111675,0.000000,0.112903,0.227273,0.146269
0.000,0.000000,0.056140,0.186321,0.202532,0.010152,0.360000,0.154378,0.196970,0.191045
0.000,0.000000,0.000000,0.075472,0.000000,0.000000,0.546667,0.041475,0.121212,0.095522
0.000,0.000000,0.059649,0.219340,0.000000,0.558376,0.000000,0.161290,0.378788,0.235821
