time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.009374,0.000977,0.000000,0.000000,0.019906,0.006111,0.014774
0.000,0.004151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006667,0.003232
0.000,0.000000,0.000000,0.035470,0.000000,0.008547,0.001709,0.021477,0.028889,0.058633
0.000,0.000000,0.000000,0.003294,0.000000,0.005861,0.000977,0.007334,0.008889,0.014774
0.000,0.000000,0.000000,0.033190,0.000000,0.000000,0.022711,0.031168,0.023333,0.057248
0.000,0.000000,0.000000,0.000760,0.000000,0.000488,0.000000,0.001572,0.005000,0.011542
0.000,0.000000,0.003907,0.014441,0.014896,0.002198,0.000977,0.013358,0.021111,0.016620
0.000,0.005861,0.000000,0.003800,0.000000,0.001221,0.000000,0.006286,0.015556,0.016620
0.000,0.000000,0.000000,0.008867,0.008547,0.004396,0.000000,0.020953,0.011111,0.018467
0.000,0.000000,0.000000,0.000760,0.006349,0.000000,0.005128,0.003405,0.004444,0.010157
0.000,0.000000,0.000000,0.015961,0.000244,0.006349,0.000000,0.017025,0.012222,0.014774
0.000,0.000000,0.000000,0.007854,0.054701,0.000000,0.000000,0.004715,0.009444,0.012465
0.000,0.000000,0.000000,0.015455,0.003907,0.000000,0.000000,0.018334,0.015000,0.018929
0.000,0.000000,0.000000,0.018242,0.000000,0.002442,0.000000,0.022525,0.021667,0.049400
0.000,0.000000,0.000000,0.021535,0.000000,0.000000,0.000000,0.024882,0.023333,0.040166
0.000,0.000000,0.000000,0.018495,0.000000,0.000244,0.000000,0.029597,0.026667,0.041551
0.000,0.000000,0.000000,0.014948,0.000000,0.000000,0.000000,0.015453,0.016667,0.012927
0.000,0.000000,0.000000,0.029136,0.000000,0.000000,0.000000,0.029335,0.022222,0.066482
0.000,0.000000,0.000000,0.015455,0.000488,0.000000,0.004640,0.023049,0.007778,0.015235
0.000,0.000000,0.000000,0.000760,0.000000,0.000000,0.000000,0.000786,0.008889,0.006925
0.000,0.000000,0.000000,0.008361,0.000000,0.000000,0.000000,0.015715,0.010556,0.018467
0.000,0.000000,0.000000,0.016722,0.000000,0.000000,0.000000,0.017810,0.021111,0.046168
0.000,0.000000,0.000000,0.026602,0.000000,0.000000,0.000000,0.023049,0.014444,0.041090
0.000,0.000000,0.000000,0.033696,0.002198,0.000000,0.000000,0.031954,0.023333,0.070175
0.000,0.000000,0.000000,0.041044,0.000000,0.000000,0.000000,0.044002,0.029444,0.072022
0.000,0.000000,0.000000,0.034457,0.000000,0.000000,0.000000,0.034049,0.022222,0.067405
0.000,0.000000,0.000000,0.034203,0.000000,0.000000,0.000000,0.037192,0.021111,0.058633
0.000,0.000000,0.000000,0.030656,0.000000,0.000000,0.000000,0.018858,0.017222,0.042013
0.000,1.000000,0.922100,0.675703,1.000000,1.000000,1.000000,0.626506,1.000000,0.855494
0.000,0.000000,0.000000,0.090195,0.011966,0.000000,0.000000,0.027501,0.015556,0.043398
0.000,0.000000,0.000000,0.054218,0.000000,0.000000,0.000000,0.055003,0.022778,0.070637
0.000,0.000000,0.011966,0.080821,0.000000,0.000000,0.000000,0.079623,0.009444,0.097415
0.000,1.000000,0.992674,0.674436,1.000000,1.000000,1.000000,0.595862,0.993889,0.842105
0.000,0.000000,0.006838,0.075247,0.006105,0.000000,0.000000,0.016501,0.001111,0.008310
0.000,0.000000,0.039072,0.059032,0.000000,0.000000,0.001221,0.059717,0.024444,0.096030
0.000,0.000000,0.010501,0.014948,0.000000,0.000000,0.000000,0.005762,0.000556,0.002770
0.000,0.000000,0.033944,0.066633,0.000000,0.000000,0.000000,0.067051,0.031667,0.105725
0.000,0.000000,0.010501,0.020522,0.000000,0.000000,0.000000,0.014667,0.001667,0.013389
0.000,0.000000,0.032967,0.086141,0.000000,0.000000,0.000000,0.075432,0.027222,0.100185
0.000,0.000000,0.021734,0.378009,0.000000,0.062515,0.000000,0.119434,0.042222,0.455217
0.000,0.000000,0.080830,0.450975,0.000000,0.000000,0.000000,0.122577,0.030000,0.327793
0.000,0.000488,0.010989,0.076767,0.000000,0.005861,0.000000,1.000000,0.078889,0.012927
0.000,0.000000,0.033211,0.081834,0.000000,0.000000,0.000000,0.207962,0.045000,0.130656
