time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.081683,0.056530,0.146832,0.183761,0.000000,0.064039,0.054936,0.061224,0.138960
0.000,0.064356,0.051982,0.025502,0.042735,0.123690,0.000000,0.022293,0.037415,0.023870
0.000,0.042079,0.079272,0.147604,0.149573,0.111111,0.000000,0.053079,0.049320,0.146633
0.000,0.146040,0.033138,0.029366,0.000000,0.000000,0.000000,0.021231,0.022109,0.024723
0.000,0.150990,0.008447,0.144513,0.175214,0.008386,0.041051,0.052017,0.039116,0.137255
0.000,0.000000,0.020143,0.026275,0.000000,0.201258,0.000000,0.022293,0.027211,0.020460
0.000,0.099010,0.020143,0.161515,0.059829,0.052411,0.057471,0.054406,0.045918,0.150043
0.000,0.000000,0.000000,0.030139,0.683761,0.058700,0.000000,0.017251,0.023810,0.023018
0.000,0.064356,0.052632,0.139876,0.128205,0.008386,0.000000,0.055467,0.059524,0.150895
0.000,0.069307,0.059779,0.022411,0.098291,0.058700,0.064039,0.019639,0.017007,0.019608
0.000,0.180693,0.042235,0.150696,0.047009,0.115304,0.001642,0.053609,0.040816,0.150043
0.000,0.000000,0.016244,0.022411,0.371795,0.073375,0.045977,0.015127,0.032313,0.020460
0.000,0.000000,0.071475,0.149150,0.029915,0.000000,0.065681,0.060510,0.045918,0.149190
0.000,0.014851,0.039636,0.022411,0.461538,0.054507,0.039409,0.020170,0.020408,0.021313
0.000,0.081683,0.073424,0.149150,0.000000,0.039832,0.050903,0.058917,0.039116,0.147485
0.000,0.000000,0.038986,0.019320,0.000000,0.000000,0.003284,0.018047,0.018707,0.021313
0.000,0.113861,0.068226,0.153014,0.081197,0.000000,0.075534,0.055732,0.051020,0.146633
0.000,0.000000,0.039636,0.021638,0.085470,0.257862,0.060755,0.020701,0.017007,0.021313
0.000,0.000000,0.073424,0.147604,0.000000,0.064990,0.000000,0.050955,0.056122,0.132140
0.000,0.000000,0.042235,0.027048,0.051282,0.123690,0.032841,0.017251,0.028912,0.020460
0.000,0.000000,0.068876,0.139876,0.324786,0.018868,0.031199,0.056263,0.037415,0.129582
0.000,0.267327,0.033788,0.025502,0.000000,0.106918,0.000000,0.018843,0.018707,0.025575
0.000,0.000000,0.086420,0.140649,0.051282,0.060797,0.078818,0.047771,0.030612,0.132140
0.000,0.059406,0.034438,0.030912,0.000000,0.044025,0.049261,0.017516,0.017007,0.023870
0.000,0.146040,0.056530,0.133694,0.004274,0.090147,0.157635,0.047240,0.030612,0.124467
0.000,0.131188,0.039636,0.022411,0.017094,0.316562,0.014778,0.020701,0.044218,0.017903
0.000,0.000000,0.058480,0.138331,0.021368,0.052411,0.000000,0.055202,0.032313,0.132992
0.000,0.091584,0.034438,0.025502,0.021368,0.303983,0.000000,0.019374,0.023810,0.025575
0.000,0.014851,0.074724,0.141422,0.252137,0.098532,0.000000,0.047240,0.028912,0.122762
0.000,0.000000,0.038337,0.064142,0.000000,0.000000,0.000000,0.029459,0.020408,0.065644
0.000,0.000000,0.137752,0.208655,0.000000,0.000000,0.014778,0.067941,0.061224,0.171355
0.000,0.000000,0.101365,0.042504,0.000000,0.010482,0.000000,0.023089,0.008503,0.014493
0.000,0.000000,0.157895,0.115920,0.000000,0.016771,0.026273,0.040605,0.018707,0.095482
0.000,0.492574,0.142300,0.011592,0.611111,0.115304,0.198686,0.019639,0.044218,0.023870
0.000,0.000000,0.178687,0.166151,0.000000,0.000000,0.000000,0.067941,0.079932,0.150043
0.000,0.250000,0.142950,0.016229,1.000000,0.289308,0.330049,1.000000,0.323129,0.053708
0.000,0.000000,0.195582,0.240340,0.000000,0.000000,0.000000,0.423567,0.125850,0.219096
0.000,0.000000,0.148148,0.000000,0.123932,0.000000,0.021346,0.476645,0.093537,0.000000
0.000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.260616,1.000000,1.000000
0.000,0.000000,0.127355,0.226430,0.000000,0.000000,0.487685,0.058121,0.032313,0.102302
0.000,0.039604,0.159844,0.130603,0.042735,0.018868,0.579639,0.046178,0.017007,0.107417
0.000,0.101485,0.107212,0.030912,0.149573,0.119497,0.382594,0.009554,0.013605,0.028986
0.000,0.259901,0.233268,0.174652,0.474359,0.153040,0.738916,0.069533,0.073129,0.198636
0.000,0.000000,0.166342,0.244204,0.000000,0.000000,0.898194,0.081476,0.064626,0.271100
