time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.003618,0.000000,0.000000,0.000000,0.065201,0.294865,0.028986,0.001086
0.000,0.117216,0.097076,0.047957,0.080830,0.071551,0.107448,1.000000,0.174766,0.108035
0.000,0.000000,0.003316,0.001135,0.000000,0.000488,0.063492,1.000000,0.121057,0.013572
0.000,0.017827,0.063913,0.040863,0.026129,0.042247,0.098901,1.000000,0.187553,0.096634
0.000,0.000000,0.000000,0.009081,0.015629,0.000000,0.062515,0.999459,0.121910,0.011401
0.000,0.048840,0.094362,0.051930,0.058608,0.072039,0.100366,0.997297,0.175618,0.097177
0.000,0.000000,0.002110,0.002270,0.000000,0.000000,0.063492,1.000000,0.132992,0.011401
0.000,0.050061,0.075369,0.043700,0.025153,0.051770,0.103541,1.000000,0.190963,0.097177
0.000,0.000000,0.002110,0.001703,0.000000,0.013675,0.063736,1.000000,0.141517,0.014115
0.000,0.051526,0.077178,0.042281,0.054701,0.057631,0.100122,0.600000,0.114237,0.090662
0.000,0.000000,0.002713,0.003405,0.000000,0.000000,0.060073,0.528919,0.064791,0.007058
0.000,0.088645,0.088333,0.046254,0.066667,0.060317,0.102320,0.562162,0.098892,0.080890
0.000,0.000000,0.000904,0.001135,0.000000,0.000000,0.064225,0.506486,0.057971,0.000543
0.000,0.055678,0.084112,0.045970,0.065201,0.057387,0.101587,1.000000,0.178176,0.098263
0.000,0.000000,0.006934,0.005392,0.000000,0.000000,0.064957,0.934054,0.106564,0.024430
0.000,0.082295,0.107326,0.046538,0.080586,0.126252,0.104762,0.937297,0.167093,0.097177
0.000,0.000000,0.003618,0.004540,0.000000,0.000000,0.065201,0.980811,0.115942,0.017915
0.000,0.078877,0.098885,0.048808,0.071306,0.071551,0.105250,0.915405,0.170503,0.098263
0.000,0.000000,0.004522,0.001703,0.000000,0.000000,0.062515,0.929189,0.115942,0.012486
0.000,0.058852,0.088936,0.042849,0.060806,0.127228,0.101832,0.910811,0.177323,0.093920
0.000,0.000000,0.005728,0.004257,0.000000,0.000000,0.064957,1.000000,0.128730,0.019544
0.000,0.087668,0.110039,0.051362,0.103785,0.100366,0.108181,0.981081,0.170503,0.099349
0.000,0.118193,0.008743,0.001703,0.000000,0.000000,0.068132,0.354595,0.037511,0.000000
0.000,0.040781,0.083509,0.043133,0.068376,0.060317,0.101099,0.160541,0.075021,0.092834
0.000,0.000000,0.002713,0.002838,0.005861,0.000000,0.062515,0.034595,0.011083,0.009772
0.000,0.057387,0.088333,0.045970,0.042735,0.045177,0.103541,0.075676,0.060529,0.093920
0.000,0.000000,0.010552,0.003121,0.000000,0.000000,0.063492,0.006757,0.008525,0.010315
0.000,0.032967,0.064818,0.038309,0.036874,0.039072,0.095482,0.053243,0.085251,0.087405
0.000,0.000000,0.004522,0.003121,0.000000,0.000000,0.064225,0.013243,0.000000,0.009229
0.000,0.062271,0.085017,0.046538,0.056899,0.066178,0.103541,0.060541,0.080136,0.096091
0.000,0.000000,0.006934,0.005675,0.012454,0.000000,0.068132,0.000000,0.014493,0.014115
0.000,0.036874,0.074766,0.039160,0.045665,0.047619,0.099878,0.047568,0.079284,0.092834
0.000,0.000000,0.009346,0.006810,0.000000,0.000000,0.072283,0.003243,0.006820,0.020087
0.000,0.065201,0.071149,0.041430,0.046154,0.046154,0.095482,0.048919,0.080136,0.087405
0.000,0.000000,0.012361,0.005675,0.000488,0.001954,0.066667,0.005946,0.008525,0.009772
0.000,0.021734,0.072355,0.040863,0.054212,0.044689,0.099145,0.047568,0.074169,0.089577
0.000,0.000000,0.010853,0.009081,0.000000,0.000000,0.064225,0.000811,0.017050,0.023344
0.000,0.027106,0.065421,0.034904,0.039805,0.041026,0.090110,0.193514,0.059676,0.075461
0.000,0.000000,0.026831,0.010216,0.001221,0.000244,0.073016,0.017297,0.041773,0.046688
0.000,0.000000,0.043413,0.069807,0.002198,0.000000,0.116239,0.067027,0.046036,0.113464
0.000,0.000000,0.037082,0.027242,0.000000,0.000000,0.082295,0.025946,0.046036,0.071118
0.000,0.019780,0.055170,0.049943,0.028327,0.000000,0.105739,0.056216,0.064791,0.101520
0.000,0.000000,0.037685,0.076050,0.000000,0.000000,0.129915,1.000000,0.171355,0.180782
0.000,0.451038,0.312330,0.168558,0.449328,0.442979,0.209035,0.375676,0.103154,0.163409
0.000,0.000000,0.027434,0.055619,0.000000,0.000000,0.108669,0.081892,0.066496,0.105320
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.528694,0.532703,1.000000,1.000000
0.000,0.000000,0.018089,0.385925,0.000000,0.000000,0.086935,0.061081,0.011083,0.239414
0.000,0.000488,0.042207,0.123156,0.000000,0.000000,0.111600,0.069189,0.061381,0.146037
0.000,0.003907,0.028942,0.090806,0.000000,0.001221,0.127228,0.081622,0.051151,0.154180
0.000,0.000000,0.041604,0.064699,0.000000,0.005372,0.114530,0.068649,0.061381,0.128664
0.000,0.000000,0.031052,0.081442,0.000000,0.000000,0.136996,0.100541,0.063086,0.173181
0.000,0.000000,0.038288,0.096198,0.000000,0.000000,0.147741,0.114595,0.062234,0.169924
0.000,0.000000,0.026831,0.093076,0.000000,0.001954,0.104518,0.107297,0.065644,0.169924
0.000,0.000000,0.036177,0.097049,0.000000,0.000488,0.106227,0.105135,0.081841,0.173181
0.000,0.000000,0.025324,0.092792,0.000000,0.000000,0.040293,0.098108,0.059676,0.170467
0.000,0.000000,0.031052,0.086833,0.000000,0.000000,0.037363,0.089730,0.065644,0.142780
0.000,0.000000,0.007235,0.002270,0.024176,0.000000,0.014896,0.008649,0.017050,0.021173
0.000,0.000000,0.025927,0.015323,0.000000,0.000000,0.026129,0.020000,0.049446,0.052660
0.000,0.000000,0.016581,0.077753,0.000000,0.000000,0.021245,0.087838,0.057971,0.163409
0.000,0.000000,0.016581,0.091941,0.000000,0.002198,0.096459,0.104054,0.049446,0.155809
0.000,0.000000,0.015978,0.056754,0.000000,0.000000,0.000000,0.060000,0.058824,0.111292
0.000,0.000000,0.015074,0.087401,0.000000,0.000000,0.000000,0.096757,0.061381,0.169924
0.000,0.000000,0.014471,0.081158,0.000000,0.000000,0.000000,0.090811,0.063086,0.155809
0.000,0.000000,0.015375,0.094211,0.000000,0.000000,0.000000,0.109189,0.064791,0.176439
0.000,0.004151,0.006632,0.090238,0.003907,0.000000,0.000000,0.104865,0.075021,0.174267
0.000,0.000000,0.015978,0.087684,0.000000,0.000000,0.000000,0.094595,0.056266,0.151466
0.000,0.000000,0.011758,0.091941,0.000000,0.000000,0.000000,0.102703,0.059676,0.176439
0.000,0.000000,0.015074,0.095346,0.011477,0.000000,0.000244,0.105405,0.064791,0.177524
0.000,0.000000,0.008743,0.093360,0.000000,0.000000,0.000000,0.100811,0.078431,0.174267
0.000,0.000000,0.015375,0.095062,0.000000,0.000000,0.000000,0.105676,0.057971,0.175353
0.000,0.000000,0.011155,0.093076,0.000000,0.000000,0.000000,0.098378,0.063939,0.176982
0.000,0.000000,0.009647,0.096198,0.000488,0.000000,0.000000,0.100000,0.061381,0.175353
0.000,0.000000,0.012361,0.092792,0.000000,0.000000,0.000000,0.098919,0.073316,0.176439
0.000,0.000000,0.016581,0.095914,0.000000,0.000000,0.000000,0.099730,0.061381,0.174267
0.000,0.000000,0.006030,0.094779,0.000000,0.012943,0.000000,0.098378,0.061381,0.177524
0.000,0.000000,0.012964,0.095914,0.000000,0.000000,0.000000,0.102973,0.057971,0.175353
0.000,0.000000,0.014772,0.094495,0.000000,0.000000,0.000000,0.102703,0.061381,0.176982
0.000,0.000000,0.012964,0.097049,0.000000,0.000000,0.000000,0.100541,0.080136,0.174267
0.000,0.000000,0.010552,0.094211,0.000000,0.000000,0.000000,0.098378,0.069054,0.174810
0.000,0.000000,0.011456,0.095914,0.000000,0.000000,0.000000,0.100000,0.064791,0.174810
0.000,0.000000,0.010552,0.094779,0.000000,0.000000,0.000000,0.098919,0.067349,0.174810
0.000,0.000000,0.014471,0.095914,0.000000,0.000000,0.000000,0.098378,0.058824,0.174267
0.045,0.000977,0.012361,0.092509,0.000000,0.000000,0.000000,0.098108,0.057971,0.174267
0.095,0.000000,0.009346,0.095346,0.000000,0.000000,0.000000,0.097838,0.063086,0.174810
0.145,0.000000,0.009647,0.094779,0.008059,0.000000,0.004151,0.097838,0.060529,0.174267
0.195,0.000000,0.013265,0.094779,0.000000,0.000000,0.000000,0.101622,0.061381,0.176439
0.245,0.000000,0.012662,0.095346,0.001221,0.000000,0.000000,0.098919,0.075874,0.174810
0.295,0.000000,0.015375,0.095062,0.000000,0.000000,0.000000,0.096757,0.059676,0.176982
0.345,0.000000,0.031052,0.096198,0.000244,0.000000,0.000000,0.098649,0.073316,0.175353
0.395,0.014896,0.348508,0.140465,0.102320,0.134310,0.168254,0.151622,0.037511,0.166667
0.445,0.005617,0.034067,0.033768,0.000000,0.003907,0.000000,0.036757,0.060529,0.081976
0.495,0.044689,0.067229,0.081158,0.084982,0.067155,0.076190,0.088108,0.068201,0.124864
0.545,0.000000,0.028942,0.051078,0.000000,0.000000,0.006349,0.054054,0.051151,0.110749
0.596,0.440537,0.272837,0.204597,0.418803,0.272039,0.254212,0.140000,0.076726,0.179153
0.645,0.000000,0.066325,0.038593,0.000000,0.000000,0.000000,0.027297,0.017050,0.063518
0.695,1.000000,0.712994,0.334279,1.000000,1.000000,1.000000,0.328649,0.346121,0.237785
0.745,0.000000,0.026530,0.140182,0.000244,0.000000,0.000000,0.029730,0.047741,0.070033
0.795,0.000000,0.042508,0.095346,0.000000,0.000000,0.000000,0.092432,0.062234,0.174267
0.845,0.000000,0.036479,0.095914,0.000000,0.000000,0.000000,0.098649,0.071611,0.176439
0.895,0.000000,0.043413,0.093076,0.000000,0.000000,0.000000,0.102703,0.066496,0.179696
