time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.161815,0.210801,0.000000,0.000000,0.000000,0.396825,0.504425,0.404848
0.000,0.000000,0.148495,0.193747,0.000000,0.000000,0.000000,0.375104,0.486726,0.408485
0.000,0.000000,0.162309,0.212695,0.000000,0.000000,0.000000,0.403509,0.539823,0.402424
0.000,0.000000,0.141589,0.193747,0.000000,0.000000,0.000000,0.385965,0.672566,0.398788
0.000,0.005519,0.161322,0.209853,0.000000,0.000000,0.000000,0.406015,0.469027,0.400000
0.000,0.005519,0.131722,0.176694,0.000000,0.000000,0.011517,0.343358,0.548673,0.316364
0.000,0.000000,0.154415,0.164377,0.000000,0.000000,0.000000,0.284879,0.415929,0.275152
0.000,0.000000,0.132215,0.156798,0.000000,0.005292,0.000000,0.276525,0.362832,0.276364
0.000,0.000000,0.155402,0.169114,0.001651,0.000000,0.000000,0.287385,0.353982,0.260606
0.000,0.002483,0.131228,0.117480,0.000000,0.004788,0.000000,0.218881,0.353982,0.218182
0.000,0.000000,0.150469,0.126480,0.000000,0.000000,0.002247,0.219716,0.389381,0.200000
0.000,0.000000,0.130242,0.101847,0.000000,0.006300,0.000000,0.201337,0.442478,0.193939
0.000,0.000000,0.162309,0.171009,0.000000,0.000000,0.000000,0.313283,0.460177,0.353939
0.000,0.000000,0.138629,0.187115,0.000000,0.000000,0.000000,0.359231,0.513274,0.406061
0.000,0.000000,0.163789,0.210801,0.000000,0.000000,0.000000,0.391813,0.637168,0.408485
0.000,0.000000,0.141589,0.193747,0.000000,0.000000,0.000000,0.375104,0.646018,0.400000
0.000,0.000000,0.161322,0.211274,0.000000,0.000000,0.000000,0.395155,0.486726,0.403636
0.000,0.000000,0.132215,0.162956,0.002201,0.000000,0.000000,0.313283,0.238938,0.282424
0.000,0.000000,0.145535,0.138797,0.000000,0.000000,0.000000,0.256475,0.300885,0.225455
0.000,0.001380,0.130735,0.110374,0.000000,0.000000,0.000000,0.214703,0.300885,0.201212
0.000,0.000552,0.151455,0.125059,0.000000,0.000000,0.001124,0.216374,0.327434,0.207273
0.000,0.001104,0.135668,0.128849,0.000000,0.000000,0.008427,0.243108,0.380531,0.248485
0.000,0.000000,0.153922,0.145902,0.000000,0.000000,0.000000,0.252297,0.495575,0.242424
0.000,0.000000,0.135668,0.123638,0.000000,0.000000,0.000000,0.228906,0.522124,0.247273
0.000,0.000000,0.160829,0.171956,0.000000,0.001512,0.000000,0.292398,0.451327,0.321212
0.000,0.037528,0.106068,0.058740,0.000000,0.004284,0.000000,0.125313,0.106195,0.067879
0.000,0.000000,0.152442,0.111795,0.000000,0.000000,0.000843,0.208020,0.398230,0.203636
0.000,0.000000,0.150962,0.157271,0.000000,0.000000,0.000000,0.288221,0.424779,0.329697
0.000,0.002483,0.142082,0.101847,0.002476,0.002520,0.000000,0.167920,0.230088,0.143030
0.000,0.000000,0.097681,0.026054,0.000000,0.000000,0.000000,0.071011,0.212389,0.040000
0.000,1.000000,1.000000,0.378967,1.000000,1.000000,1.000000,1.000000,1.000000,0.317576
0.000,0.001104,0.239270,1.000000,0.000000,0.000000,0.000000,0.457811,0.238938,1.000000
0.000,0.054912,0.244697,0.465656,0.081981,0.077621,0.101124,0.269006,0.451327,0.271515
