time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055085,0.176471,0.048649
0.000,0.035714,0.283447,0.169284,0.197849,0.152174,0.000000,0.404661,0.803922,0.521622
0.000,0.100446,0.049887,0.000000,0.000000,0.000000,0.000000,0.052966,0.039216,0.027027
0.000,0.430804,0.564626,0.432810,0.522581,0.295652,0.451546,0.516949,0.735294,0.589189
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038136,0.009804,0.000000
0.000,0.839286,0.870748,0.647469,0.812903,0.802174,0.721649,0.586864,0.754902,0.594595
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039216,0.027027
0.000,0.613839,0.834467,0.619546,0.778495,0.828261,0.783505,0.582627,0.931373,0.572973
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053608,0.069915,0.019608,0.056757
0.000,0.640625,0.850340,0.654450,0.845161,0.817391,0.703093,0.574153,0.931373,0.581081
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069915,0.068627,0.062162
0.000,0.892857,0.877551,0.661431,0.840860,0.434783,0.797938,0.523305,0.970588,0.581081
0.000,0.000000,0.000000,0.000000,0.000000,0.054348,0.049485,0.112288,0.088235,0.048649
0.000,0.959821,0.954649,0.715532,0.948387,0.954348,0.851546,0.578390,0.784314,0.583784
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019068,0.000000,0.029730
0.000,0.926339,1.000000,0.732984,1.000000,1.000000,1.000000,0.597458,0.764706,0.583784
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057203,0.078431,0.072973
0.000,0.837054,0.972789,0.722513,0.907527,0.863043,0.587629,0.599576,0.823529,0.575676
0.000,0.000000,0.000000,0.000000,0.060215,0.000000,0.035052,0.065678,0.009804,0.075676
0.000,0.984375,0.956916,0.726003,0.858065,0.991304,0.901031,0.601695,0.764706,0.572973
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108051,0.009804,0.081081
0.000,0.787946,0.911565,0.664921,0.916129,0.884783,0.802062,0.591102,0.970588,0.567568
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074153,0.117647,0.108108
0.000,1.000000,0.886621,0.652705,0.849462,0.358696,0.744330,0.616525,0.823529,0.570270
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069915,0.078431,0.094595
0.000,0.265625,0.412698,0.312391,0.419355,0.523913,0.364948,0.463983,1.000000,0.540541
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152542,0.294118,0.151351
0.000,0.042411,0.122449,0.080279,0.000000,0.043478,0.000000,0.279661,0.588235,0.367568
0.000,0.000000,0.000000,0.000000,0.004301,0.000000,0.000000,0.114407,0.137255,0.105405
0.000,0.000000,0.049887,0.022688,0.000000,0.000000,0.000000,0.260593,0.588235,0.383784
0.000,0.000000,0.090703,0.059337,0.000000,0.060870,0.000000,0.870763,0.764706,0.970270
0.000,0.000000,0.115646,0.057592,0.000000,0.000000,0.000000,0.978814,0.803922,0.978378
0.000,0.000000,0.092971,0.678883,0.000000,0.000000,0.000000,0.963983,0.852941,0.975676
0.000,0.000000,0.192744,0.958115,0.000000,0.000000,0.000000,1.000000,0.823529,0.986486
0.000,0.000000,0.158730,0.980803,0.000000,0.000000,0.000000,0.968220,0.941176,0.981081
0.000,0.000000,0.179138,0.986038,0.000000,0.000000,0.000000,0.968220,0.911765,0.983784
0.000,0.000000,0.151927,0.984293,0.000000,0.000000,0.000000,0.972458,0.784314,0.970270
0.000,0.000000,0.165533,1.000000,0.000000,0.000000,0.000000,0.966102,0.803922,0.983784
0.000,0.000000,0.138322,0.961606,0.000000,0.008696,0.000000,0.930085,0.754902,0.983784
0.000,0.000000,0.142857,0.958115,0.004301,0.000000,0.000000,0.985169,0.774510,0.975676
0.000,0.000000,0.129252,0.947644,0.000000,0.000000,0.000000,0.961864,0.725490,0.978378
0.000,0.000000,0.136054,0.975567,0.000000,0.000000,0.000000,0.966102,0.803922,0.983784
0.000,0.000000,0.145125,0.944154,0.000000,0.000000,0.000000,0.930085,0.764706,0.978378
0.000,0.000000,0.165533,0.984293,0.083871,0.000000,0.000000,0.966102,0.745098,0.983784
0.000,0.000000,0.147392,0.979058,0.000000,0.028261,0.000000,0.989407,0.784314,0.983784
0.000,0.000000,0.172336,0.986038,0.000000,0.000000,0.000000,0.968220,0.764706,0.989189
0.000,0.000000,0.124717,0.982548,0.000000,0.000000,0.000000,0.993644,0.735294,0.978378
0.000,0.245536,0.156463,0.977312,0.000000,0.000000,0.000000,0.938559,0.764706,0.981081
0.000,0.000000,0.151927,0.975567,0.000000,0.000000,0.000000,0.883475,0.745098,0.959459
0.000,0.000000,0.165533,0.935428,0.000000,0.000000,0.000000,0.807203,0.931373,0.786486
0.000,0.000000,0.129252,0.881326,0.000000,0.000000,0.000000,0.739407,0.705882,0.721622
0.000,0.062500,0.156463,0.846422,0.000000,0.000000,0.000000,0.752119,0.823529,0.748649
0.000,0.000000,0.138322,0.898778,0.010753,0.000000,0.000000,0.730932,0.666667,0.762162
0.000,0.000000,0.170068,0.893543,0.217204,0.000000,0.000000,0.720339,0.647059,0.754054
0.000,0.000000,0.136054,0.877836,0.000000,0.000000,0.468041,0.722458,0.666667,0.751351
0.000,0.000000,0.170068,0.907504,0.053763,0.043478,0.000000,0.790254,0.705882,0.778378
0.000,0.000000,0.133787,0.853403,0.000000,0.000000,0.000000,0.701271,0.843137,0.756757
