time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.020269,0.000000,0.504010,0.014579,0.030812,0.037293,0.134791,0.014151,0.446593
0.000,0.944567,0.997697,0.989909,0.968619,0.992735,0.987157,0.961749,0.862534,0.874770
0.000,0.000000,0.000000,0.267529,0.000000,0.000000,0.000000,0.091985,0.026954,0.097606
0.000,0.000000,0.000000,0.115395,0.000000,0.000000,0.000000,0.076503,0.022911,0.095304
0.000,0.077167,0.000000,0.013713,0.028910,0.029309,0.037540,0.029144,0.005391,0.007366
0.000,0.818803,0.852912,0.432600,0.814183,0.819389,0.805384,0.695355,0.142857,0.314917
0.000,0.024176,0.000000,0.468305,0.021003,0.030060,0.039516,0.150273,0.010108,0.395488
0.000,0.987302,0.985522,0.998189,1.000000,0.982214,0.975550,1.000000,0.976415,0.903315
0.000,0.012210,0.000000,0.500388,0.021003,0.031062,0.036799,0.126594,0.011456,0.436004
0.000,0.979976,0.974992,0.986287,0.995058,0.978707,0.975550,0.999545,1.000000,1.000000
0.000,0.029060,0.000000,0.499871,0.049419,0.043337,0.040257,0.119308,0.013477,0.441068
0.000,1.000000,1.000000,1.000000,0.921917,1.000000,1.000000,0.996812,0.989218,0.903315
0.000,0.023443,0.000000,0.327814,0.026934,0.029810,0.009138,0.033698,0.002695,0.104512
0.000,0.504762,0.466601,0.579560,0.503583,0.469188,0.480119,0.453552,0.030997,0.393186
0.000,0.027595,0.000000,0.048124,0.025451,0.028056,0.028896,0.025046,0.008086,0.010589
0.000,0.197558,0.050346,0.083829,0.195453,0.176353,0.173870,0.227687,0.036388,0.115562
0.000,0.027350,0.000000,0.005175,0.050655,0.034820,0.033342,0.014572,0.011456,0.008748
0.000,0.119170,0.000000,0.068305,0.103533,0.100200,0.107434,0.150273,0.022911,0.113260
0.000,0.013675,0.000000,0.001552,0.024463,0.000000,0.021487,0.005920,0.009434,0.001381
0.000,0.119414,0.000000,0.072445,0.121819,0.124248,0.125710,0.163024,0.023585,0.112799
0.000,0.017827,0.000000,0.001552,0.014826,0.022044,0.025932,0.002732,0.006739,0.003683
0.000,0.127961,0.000000,0.067270,0.101557,0.110471,0.103976,0.147996,0.022237,0.111878
0.000,0.023443,0.000000,0.001811,0.032864,0.011022,0.023216,0.005009,0.002695,0.002762
0.000,0.196581,0.012504,0.072962,0.150482,0.150551,0.145468,0.175774,0.026954,0.114641
0.000,0.005861,0.000000,0.000000,0.026686,0.027305,0.024450,0.004554,0.010108,0.001381
0.000,0.145788,0.032247,0.070375,0.155177,0.131012,0.116819,0.154827,0.027628,0.111878
0.000,0.023199,0.000000,0.000517,0.000000,0.027305,0.018029,0.000000,0.006065,0.000000
0.000,0.106716,0.000000,0.067788,0.105016,0.098196,0.100025,0.152095,0.020216,0.112339
0.000,0.030525,0.000000,0.001294,0.024957,0.034820,0.028649,0.005009,0.006065,0.001381
0.000,0.153602,0.006910,0.071928,0.146034,0.129509,0.137071,0.151184,0.016846,0.111418
0.000,0.011477,0.000000,0.001035,0.023968,0.026804,0.022475,0.009107,0.004043,0.006906
0.000,0.076923,0.000000,0.064166,0.081789,0.092184,0.069894,0.101093,0.022911,0.113260
0.000,0.039805,0.000000,0.002587,0.028416,0.032816,0.040751,0.003643,0.003369,0.004604
0.000,0.061783,0.000000,0.449677,0.026934,0.043337,0.037293,0.161658,0.020216,0.258748
0.000,0.000000,0.000000,0.035705,0.000000,0.000000,0.000000,0.026412,0.001348,0.021639
0.000,0.000000,0.066140,0.070634,0.000000,0.004008,0.000000,0.110200,0.014825,0.095304
0.000,0.001954,0.041461,0.025873,0.016555,0.000000,0.011114,0.051913,0.002022,0.028545
0.000,0.000000,0.072063,0.104528,0.042748,0.000000,0.000000,0.191257,0.026954,0.148250
0.000,0.000000,0.064824,0.112549,0.000000,0.000000,0.000000,0.214481,0.025606,0.165285
0.000,0.000000,0.072063,0.114101,0.000000,0.000000,0.000000,0.207650,0.028302,0.137201
0.000,0.002930,0.048700,0.041915,0.000000,0.000000,0.001235,0.069217,0.001348,0.045580
0.000,0.000000,0.072063,0.088228,0.000000,0.000752,0.000000,0.161658,0.024259,0.112339
0.000,0.000000,0.062850,0.112290,0.000000,0.000000,0.000000,0.212204,0.041779,0.162983
0.000,0.000000,0.075354,0.126779,0.000000,0.000000,0.000000,0.230874,0.027628,0.169429
0.000,0.000000,0.063179,0.116947,0.000000,0.000000,0.000000,0.218124,0.036388,0.166206
0.000,0.000000,0.079302,0.127814,0.000000,0.000000,0.000000,0.232240,0.029650,0.167587
0.000,0.000000,0.050675,0.058991,0.000000,0.000000,0.000000,0.100638,0.006065,0.049724
0.000,0.000000,0.069431,0.051229,0.000000,0.000000,0.000000,0.086521,0.000000,0.055709
0.000,0.014164,0.056927,0.038292,0.000000,0.000000,0.000000,0.066940,0.002695,0.042357
0.000,0.000000,0.072721,0.083053,0.000000,0.000000,0.086688,0.137523,0.012129,0.087937
0.000,0.000000,0.064824,0.075032,0.000000,0.000000,0.000000,0.129781,0.020216,0.093923
0.000,0.000000,0.080290,0.080466,0.000000,0.000000,0.000000,0.139344,0.020889,0.094843
0.000,0.000000,0.056927,0.053299,0.009143,0.000000,0.000000,0.089253,0.006065,0.054328
0.000,0.000000,0.073708,0.081242,0.000000,0.000000,0.000000,0.134791,0.017520,0.095304
0.000,0.000000,0.061862,0.063648,0.000000,0.000000,0.000000,0.113843,0.009434,0.077348
0.000,0.000000,0.074696,0.084864,0.000000,0.005010,0.000000,0.133880,0.014825,0.088398
0.000,0.000000,0.060875,0.071928,0.000000,0.000000,0.004939,0.126594,0.014825,0.087937
0.000,0.000000,0.071076,0.063131,0.000000,0.000000,0.000000,0.100182,0.017520,0.067219
0.000,0.000000,0.059559,0.058991,0.000000,0.000000,0.000000,0.102004,0.016846,0.068600
0.000,0.000000,0.070418,0.069340,0.010131,0.000000,0.000000,0.119308,0.016173,0.065838
0.000,0.008791,0.055610,0.051488,0.000000,0.026553,0.000000,0.088342,0.007412,0.052026
0.000,0.033455,0.070747,0.062613,0.000000,0.000000,0.000000,0.102914,0.008760,0.061694
0.000,0.000000,0.060217,0.047089,0.000000,0.004509,0.000000,0.114754,0.010108,0.057090
0.000,0.000000,0.070747,0.062096,0.000000,0.000000,0.000000,0.103370,0.014825,0.063996
0.000,0.000000,0.060217,0.055369,0.000000,0.000000,0.010620,0.093807,0.011456,0.058932
0.000,0.000000,0.073708,0.078137,0.000000,0.000000,0.000000,0.124772,0.024259,0.081031
0.000,0.000000,0.066798,0.077361,0.000000,0.000000,0.000000,0.132058,0.026954,0.085635
0.000,0.001221,0.071734,0.063648,0.000000,0.000000,0.000000,0.103370,0.010782,0.058471
0.000,0.000000,0.063508,0.058991,0.000000,0.000000,0.001976,0.101548,0.006065,0.071823
0.000,0.000000,0.070418,0.057697,0.000000,0.001754,0.000000,0.110200,0.008086,0.055249
0.000,0.000733,0.066798,0.049935,0.000000,0.000000,0.008150,0.092896,0.016846,0.055249
0.000,0.000000,0.067456,0.061061,0.000988,0.000000,0.001976,0.091075,0.004043,0.051105
