time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.092308,0.099476,0.357895,0.000000,0.235632,0.103448,0.088608
0.000,1.000000,0.000000,0.655385,0.298429,0.073684,0.027211,0.614943,0.482759,0.898734
0.000,0.329609,0.000000,0.104615,0.000000,0.070175,0.040816,0.155172,0.155172,0.109705
0.000,0.067039,0.077128,0.646154,0.209424,0.157895,0.374150,0.649425,0.568966,0.873418
0.000,0.000000,0.000000,0.036923,0.000000,0.249123,0.081633,0.160920,0.155172,0.088608
0.000,0.100559,0.029255,0.683077,0.528796,0.143860,0.510204,0.609195,0.827586,0.911392
0.000,0.000000,0.000000,0.052308,0.000000,0.000000,0.564626,0.155172,0.137931,0.080169
0.000,0.117318,0.021277,0.670769,0.172775,0.084211,0.272109,0.683908,0.534483,0.877637
0.000,0.044693,0.000000,0.080000,0.000000,0.115789,0.000000,0.146552,0.189655,0.071730
0.000,0.134078,0.000000,0.609231,0.303665,0.115789,0.523810,0.557471,0.844828,0.877637
0.000,0.000000,0.000000,0.073846,0.204188,0.371930,0.006803,0.178161,0.068966,0.084388
0.000,0.000000,0.000000,0.664615,0.397906,0.000000,0.319728,0.511494,0.603448,0.886076
0.000,0.089385,0.000000,0.024615,0.000000,0.115789,0.346939,0.183908,0.344828,0.046414
0.000,0.167598,0.000000,0.670769,0.293194,0.140351,0.156463,0.614943,0.603448,0.856540
0.000,0.000000,0.000000,0.030769,0.293194,0.000000,0.142857,0.126437,0.120690,0.012658
0.000,0.000000,0.000000,0.640000,0.539267,0.294737,0.333333,0.500000,0.637931,0.873418
0.000,0.000000,0.000000,0.055385,0.523560,0.192982,0.598639,0.135057,0.293103,0.000000
0.000,0.519553,0.000000,0.646154,0.392670,0.094737,0.000000,0.626437,0.655172,0.881857
0.000,0.000000,0.000000,0.043077,0.000000,0.038596,0.000000,0.120690,0.086207,0.037975
0.000,0.000000,0.000000,0.652308,0.287958,0.189474,0.142857,0.655172,0.655172,0.877637
0.000,0.000000,0.000000,0.000000,0.057592,0.122807,0.027211,0.132184,0.068966,0.037975
0.000,0.156425,0.000000,0.646154,0.324607,0.122807,0.000000,0.606322,0.551724,0.869198
