time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093151,0.019392,0.108374,0.226721
0.000,0.000000,0.000000,0.000000,0.046647,0.000000,0.000000,0.009434,0.078818,0.113360
0.000,0.000000,0.000000,0.000000,0.011662,0.042184,0.000000,0.022013,0.078818,0.255061
0.000,0.000000,0.000000,0.000000,0.064140,0.000000,0.000000,0.004193,0.059113,0.117409
0.000,0.017199,0.000000,0.000000,0.023324,0.000000,0.000000,0.008648,0.147783,0.238866
0.000,0.000000,0.000000,0.000000,0.002915,0.000000,0.068493,0.008648,0.049261,0.101215
0.000,0.000000,0.000000,0.000000,0.046647,0.000000,0.054795,0.019392,0.078818,0.259109
0.000,0.000000,0.000000,0.000000,0.125364,0.000000,0.000000,0.006551,0.064039,0.109312
0.000,0.000000,0.000000,0.000000,0.000000,0.019851,0.000000,0.017820,0.049261,0.226721
0.000,0.000000,0.000000,0.000000,0.046647,0.000000,0.041096,0.004455,0.044335,0.076923
0.000,0.000000,0.000000,0.000000,0.014577,0.000000,0.000000,0.022537,0.059113,0.226721
0.000,0.000000,0.000000,0.000000,0.000000,0.014888,0.000000,0.005503,0.014778,0.060729
0.000,0.000000,0.000000,0.000000,0.000000,0.052109,0.000000,0.015723,0.103448,0.198381
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006289,0.098522,0.068826
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023323,0.078818,0.279352
0.000,0.000000,0.000000,0.000000,0.000000,0.049628,0.019178,0.013103,0.019704,0.068826
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026468,0.088670,0.279352
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006289,0.024631,0.097166
0.000,0.000000,0.000000,0.000000,0.034985,0.000000,0.139726,0.026468,0.113300,0.287449
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054187,0.068826
0.000,0.000000,0.000000,0.000000,0.000000,0.235732,0.000000,0.022275,0.108374,0.311741
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008648,0.029557,0.052632
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054795,0.019916,0.137931,0.263158
0.000,0.000000,0.000000,0.000000,0.000000,0.027295,0.000000,0.001048,0.000000,0.036437
0.000,0.000000,0.000000,0.000000,0.000000,0.054591,0.000000,0.024633,0.128079,0.275304
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005241,0.049261,0.000000
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022013,0.128079,0.259109
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003669,0.029557,0.028340
0.000,0.000000,0.000000,0.000000,0.029155,0.000000,0.000000,0.036164,0.172414,0.417004
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070231,0.266010,0.991903
0.000,0.213759,0.019763,0.191011,0.448980,0.339950,0.120548,0.075472,0.261084,0.910931
0.000,0.000000,0.000000,0.613483,0.000000,0.000000,0.068493,0.049790,0.083744,0.546559
0.000,0.842752,1.000000,1.000000,1.000000,1.000000,1.000000,0.089623,0.374384,1.000000
0.000,0.000000,0.000000,0.916854,0.000000,0.007444,0.000000,1.000000,0.837438,0.987854
0.000,0.000000,0.031621,0.797753,0.000000,0.000000,0.197260,1.000000,0.975369,0.805668
0.000,0.000000,0.007905,0.559551,0.046647,0.000000,0.000000,1.000000,0.802956,0.271255
0.000,0.000000,0.071146,0.660674,0.128280,0.000000,0.024658,1.000000,0.842365,0.465587
0.000,0.000000,0.000000,0.532584,0.000000,0.000000,0.000000,1.000000,0.738916,0.303644
0.000,0.000000,0.118577,0.658427,0.014577,0.000000,0.000000,1.000000,0.842365,0.449393
0.000,0.000000,0.015810,0.568539,0.046647,0.024814,0.000000,1.000000,0.862069,0.400810
0.000,0.081081,0.154150,0.716854,0.000000,0.000000,0.000000,1.000000,0.827586,0.538462
0.000,0.000000,0.035573,0.586517,0.303207,0.000000,0.000000,1.000000,0.866995,0.485830
0.000,0.000000,0.114625,0.712360,0.000000,0.009926,0.000000,1.000000,0.906404,0.514170
0.000,0.000000,0.000000,0.566292,0.000000,0.000000,0.000000,0.343291,0.187192,0.210526
0.000,0.000000,0.343874,0.892135,0.186589,0.052109,0.008219,0.884958,0.738916,0.870445
0.000,0.000000,0.019763,0.559551,0.000000,0.000000,0.000000,0.751834,0.453202,0.271255
0.000,0.090909,0.379447,0.878652,0.072886,0.171216,0.090411,1.000000,0.921182,0.789474
0.000,0.000000,0.000000,0.644944,0.000000,0.000000,0.000000,1.000000,0.866995,0.384615
0.000,0.000000,0.209486,0.797753,0.113703,0.000000,0.112329,1.000000,0.906404,0.696356
0.000,0.000000,0.027668,0.559551,0.000000,0.000000,0.000000,0.920860,0.689655,0.287449
0.000,0.000000,0.233202,0.658427,0.326531,0.000000,0.000000,1.000000,0.842365,0.445344
0.000,0.000000,0.019763,0.523596,0.000000,0.054591,0.000000,0.814465,0.551724,0.198381
0.000,0.105651,0.252964,0.676404,0.454810,0.000000,0.219178,0.794549,0.645320,0.449393
0.000,0.000000,0.063241,0.555056,0.125364,0.000000,0.000000,1.000000,0.827586,0.287449
0.000,0.000000,0.169960,0.640449,0.011662,0.191067,0.010959,0.823375,0.758621,0.425101
0.000,0.000000,0.094862,0.626966,0.000000,0.000000,0.000000,0.680556,0.433498,0.352227
0.000,0.000000,0.162055,0.651685,0.000000,0.000000,0.002740,1.000000,0.871921,0.425101
0.000,0.000000,0.130435,0.564045,0.000000,0.069479,0.000000,0.509958,0.315271,0.238866
0.000,0.000000,0.130435,0.649438,0.002915,0.000000,0.232877,0.503407,0.295567,0.303644
0.000,0.071253,0.114625,0.541573,0.014577,0.000000,0.000000,0.251572,0.152709,0.287449
0.000,0.000000,0.173913,0.640449,0.000000,0.000000,0.021918,0.207285,0.221675,0.336032
0.000,0.000000,0.098814,0.546067,0.000000,0.000000,0.000000,0.272537,0.206897,0.287449
0.000,0.014742,0.142292,0.591011,0.000000,0.086849,0.000000,0.314990,0.285714,0.295547
0.000,0.000000,0.130435,0.514607,0.084548,0.009926,0.000000,0.309748,0.216749,0.238866
0.000,0.000000,0.169960,0.626966,0.000000,0.000000,0.000000,0.295860,0.197044,0.372470
0.000,0.000000,0.154150,0.523596,0.000000,0.000000,0.000000,0.333071,0.266010,0.238866
0.000,0.000000,0.241107,0.631461,0.017493,0.000000,0.024658,0.850629,0.684729,0.388664
0.000,0.000000,0.102767,0.519101,0.000000,0.000000,0.010959,0.831761,0.551724,0.242915
0.000,0.085995,0.217391,0.631461,0.017493,0.000000,0.041096,0.473795,0.310345,0.299595
0.000,0.000000,0.086957,0.525843,0.005831,0.000000,0.000000,1.000000,0.763547,0.251012
