time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.003907,0.044524,0.048735,0.000000,0.000000,0.000000,0.083012,0.008805,0.059489
0.000,0.004151,0.041759,0.023963,0.004396,0.007301,0.000000,0.048263,0.005031,0.027532
0.000,0.000977,0.061394,0.059774,0.000000,0.006042,0.004884,0.115830,0.018868,0.083579
0.000,0.000000,0.046737,0.015617,0.000000,0.000504,0.000000,0.043436,0.013208,0.022616
0.000,0.005128,0.053927,0.030425,0.000000,0.062437,0.009035,0.066602,0.003774,0.039331
0.000,0.000000,0.045354,0.016155,0.000000,0.001007,0.000000,0.043436,0.006918,0.020649
0.000,0.000000,0.058628,0.054927,0.000000,0.000000,0.000000,0.094595,0.021384,0.071780
0.000,0.000000,0.047013,0.012924,0.000000,0.004028,0.007570,0.031853,0.006289,0.019666
0.000,0.000000,0.046184,0.034464,0.000000,0.000000,0.000000,0.064672,0.017610,0.043265
0.000,0.000000,0.036228,0.016694,0.000000,0.000000,0.000000,0.047297,0.010063,0.023107
0.000,0.000000,0.037887,0.038234,0.000000,0.006294,0.000000,0.073842,0.011321,0.050147
0.000,0.000000,0.029591,0.014540,0.000000,0.000000,0.008791,0.041023,0.003774,0.026549
0.000,0.000000,0.042588,0.044696,0.000000,0.002266,0.000000,0.077703,0.015094,0.058014
0.000,0.002930,0.034569,0.013193,0.000000,0.007553,0.004151,0.039093,0.005031,0.018682
0.000,0.000000,0.044524,0.034733,0.000000,0.000000,0.000000,0.068050,0.011321,0.040315
0.000,0.004884,0.046184,0.018040,0.000000,0.000000,0.000000,0.044402,0.006289,0.032448
0.000,0.000000,0.048396,0.033926,0.000000,0.025428,0.000000,0.068533,0.008176,0.044248
0.000,0.005861,0.047290,0.006462,0.004151,0.007301,0.008547,0.023166,0.006289,0.006883
0.000,0.004884,0.043418,0.036080,0.000000,0.000000,0.000000,0.063224,0.014465,0.044248
0.000,0.000000,0.047290,0.016155,0.012943,0.003525,0.000000,0.037162,0.002516,0.021141
0.000,0.000000,0.051715,0.028541,0.000000,0.000000,0.002442,0.060811,0.005031,0.035890
0.000,0.012454,0.047290,0.014001,0.000000,0.000000,0.000000,0.032336,0.002516,0.020649
0.000,0.000000,0.056416,0.038772,0.003175,0.000000,0.000977,0.066602,0.010063,0.045231
0.000,0.001465,0.050608,0.011039,0.000000,0.000000,0.004884,0.041506,0.002516,0.015241
0.000,0.006349,0.056969,0.034733,0.000000,0.000000,0.000000,0.067568,0.010063,0.051131
0.000,0.000000,0.047566,0.013463,0.000000,0.004532,0.000000,0.026062,0.003774,0.018682
0.000,0.000000,0.052821,0.026925,0.002442,0.000000,0.000000,0.058880,0.010692,0.034415
0.000,0.000244,0.056692,0.011039,0.000000,0.000000,0.000000,0.031371,0.003774,0.013766
0.000,0.000000,0.053097,0.035003,0.000000,0.000504,0.000000,0.064672,0.005031,0.041790
0.000,0.000000,0.048949,0.011039,0.000000,0.000000,0.000000,0.029923,0.002516,0.021632
0.000,0.000977,0.055586,0.035541,0.000000,0.024169,0.020757,0.062259,0.006289,0.041298
0.000,0.010501,0.049502,0.013193,0.000000,0.000000,0.004884,0.033301,0.002516,0.017207
0.000,0.000000,0.060011,0.040118,0.017338,0.000000,0.004396,0.071429,0.008176,0.058014
0.000,0.000000,0.048673,0.009693,0.000488,0.001007,0.000000,0.028958,0.003145,0.011308
0.000,0.000000,0.060564,0.034733,0.001954,0.000000,0.000000,0.066602,0.007547,0.045723
0.000,0.000000,0.047843,0.007270,0.004151,0.002014,0.000244,0.000000,0.005031,0.011799
0.000,0.000000,0.058075,0.060312,0.000000,0.000000,0.000000,0.113900,0.013836,0.089971
0.000,0.000000,0.052268,0.021540,0.002686,0.000000,0.000000,0.035714,0.010063,0.027532
0.000,0.000000,0.058905,0.042003,0.000000,0.002266,0.000000,0.081564,0.015094,0.053097
0.000,0.000000,0.056139,0.048735,0.000977,0.000000,0.000000,0.103764,0.012579,0.073746
0.000,0.000000,0.068861,0.089930,0.000977,0.000000,0.000000,0.166023,0.033962,0.125369
