time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.020221,0.077660,0.000000,0.000000,0.000000,0.227634,0.045724,0.179003
0.000,0.000000,0.021271,0.082713,0.000000,0.000000,0.000000,0.233101,0.057578,0.178478
0.000,0.000000,0.022321,0.080585,0.000000,0.000000,0.010431,0.227634,0.044030,0.178478
0.000,0.000000,0.021271,0.080851,0.000000,0.000000,0.000000,0.231610,0.048264,0.179003
0.000,0.000000,0.021008,0.081383,0.000000,0.000000,0.000000,0.228628,0.047417,0.178478
0.000,0.000000,0.019695,0.081915,0.000000,0.000000,0.000000,0.236581,0.049111,0.179003
0.000,0.000000,0.021796,0.081383,0.000000,0.000000,0.000000,0.229125,0.048264,0.176378
0.000,0.000000,0.020221,0.084043,0.000000,0.000000,0.000000,0.239563,0.049111,0.176378
0.000,0.000000,0.021796,0.081383,0.000000,0.000000,0.000000,0.231113,0.057578,0.179528
0.000,0.000000,0.022321,0.085638,0.000000,0.000000,0.000000,0.238569,0.050804,0.176903
0.000,0.000000,0.023109,0.082447,0.000000,0.000000,0.000000,0.233101,0.052498,0.177428
0.000,0.000000,0.023109,0.086436,0.000000,0.000000,0.000000,0.239066,0.059272,0.179528
0.000,0.000000,0.023109,0.086170,0.000000,0.000000,0.000000,0.229622,0.045724,0.179528
0.000,0.000000,0.023372,0.098936,0.000000,0.000000,0.000000,0.237575,0.047417,0.179003
0.000,0.000000,0.023897,0.097872,0.000000,0.001824,0.000000,0.229125,0.049111,0.176378
0.000,0.000000,0.022059,0.097872,0.000000,0.000000,0.000000,0.235586,0.044030,0.177428
0.000,0.000000,0.024947,0.093085,0.000000,0.000000,0.000000,0.235586,0.059272,0.176903
0.000,0.000000,0.021008,0.096277,0.000000,0.000000,0.000000,0.232604,0.041490,0.178478
0.000,0.018699,0.023372,0.090957,0.000000,0.000000,0.000000,0.231610,0.052498,0.176378
0.000,0.000000,0.021534,0.094149,0.000000,0.000000,0.000000,0.237575,0.045724,0.179528
0.000,0.000000,0.022321,0.089628,0.000000,0.000000,0.000000,0.231113,0.044030,0.178478
0.000,0.000000,0.022847,0.093617,0.000000,0.000000,0.000000,0.242545,0.041490,0.177953
0.000,0.000000,0.021008,0.090426,0.000000,0.002085,0.000000,0.230616,0.048264,0.176903
0.000,0.000000,0.022847,0.094681,0.000000,0.000000,0.000000,0.241551,0.048264,0.179003
