time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.017322,0.001399,0.019360,0.007389,0.002843
0.000,0.008273,0.000000,0.000000,0.025956,0.046816,0.000000,0.122115,0.081281,0.093235
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007459,0.006701,0.014778,0.000569
0.000,0.018978,0.000000,0.000000,0.048608,0.033708,0.032168,0.133284,0.067734,0.091529
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011914,0.020936,0.000000
0.000,0.115328,0.000000,0.000000,0.058046,0.057584,0.040093,0.125838,0.098522,0.093803
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040953,0.008621,0.009096
0.000,0.036983,0.000000,0.000000,0.048608,0.051030,0.019580,0.121370,0.086207,0.096077
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011914,0.017241,0.006822
0.000,0.018005,0.000000,0.000000,0.067485,0.023876,0.022378,0.069248,0.087438,0.102331
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018615,0.007389,0.009665
0.000,0.059854,0.000000,0.000000,0.046720,0.026685,0.070396,0.134773,0.088670,0.102899
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048399,0.007389,0.014781
0.000,0.052555,0.000000,0.000000,0.000000,0.051498,0.025641,0.122859,0.077586,0.097783
0.000,0.014112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019704,0.003411
0.000,0.003893,0.000000,0.000000,0.003775,0.000000,0.011655,0.087118,0.067734,0.064241
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033100,0.017870,0.008621,0.000569
0.000,0.000000,0.000000,0.000000,0.067485,0.013109,0.020513,0.073716,0.055419,0.056282
0.000,0.000000,0.000000,0.000000,0.003775,0.000000,0.000000,0.003723,0.009852,0.006822
0.000,0.019465,0.000000,0.000000,0.033506,0.036049,0.000000,0.021593,0.067734,0.046049
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017870,0.022167,0.002274
0.000,0.000973,0.000000,0.000000,0.008495,0.010300,0.024709,0.077439,0.051724,0.052302
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000745,0.022167,0.010233
0.000,0.000000,0.000000,0.000000,0.026899,0.000000,0.000000,0.029784,0.049261,0.034110
0.000,0.000000,0.000000,0.000000,0.000000,0.027622,0.000000,0.024572,0.036946,0.009096
0.000,0.000000,0.000000,0.000000,0.003775,0.000000,0.016317,0.054356,0.056650,0.032405
