time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.006524,0.079314,0.018122,0.017582,0.019161,0.015051,0.027404,0.033557,0.019544
0.000,0.042537,0.126961,0.065349,0.032967,0.027965,0.036176,0.101644,0.038777,0.109663
0.000,0.015919,0.078443,0.019769,0.024420,0.031849,0.021917,0.030892,0.015660,0.021716
0.000,0.000000,0.114468,0.059857,0.012454,0.000000,0.022445,0.089686,0.026846,0.099891
0.000,0.008612,0.076409,0.014003,0.000000,0.011393,0.013995,0.018435,0.018643,0.013572
0.000,0.020094,0.110110,0.056288,0.017338,0.017349,0.018220,0.081216,0.036540,0.093377
0.000,0.004175,0.072342,0.014278,0.018071,0.012170,0.024030,0.022920,0.019389,0.010858
0.000,0.011482,0.114759,0.060406,0.000000,0.023563,0.014523,0.095665,0.044743,0.094463
0.000,0.000000,0.076990,0.008512,0.013919,0.026929,0.015844,0.021923,0.011931,0.013029
0.000,0.000000,0.112435,0.059033,0.085714,0.023563,0.013731,0.095665,0.038777,0.092834
0.000,0.032098,0.075828,0.017024,0.010501,0.066287,0.013467,0.043847,0.016406,0.014115
0.000,0.000000,0.119988,0.065623,0.006105,0.038063,0.018220,0.117588,0.037286,0.105320
0.000,0.018267,0.077862,0.017573,0.017827,0.035992,0.020333,0.037369,0.020880,0.020630
0.000,0.027140,0.126961,0.062603,0.019780,0.025117,0.027462,0.100149,0.042506,0.105863
0.000,0.018267,0.073504,0.015376,0.037851,0.029259,0.019276,0.027404,0.025354,0.016287
0.000,0.018006,0.115921,0.064250,0.022711,0.013982,0.025350,0.108122,0.030574,0.102606
0.000,0.028184,0.075828,0.017024,0.015629,0.004661,0.008714,0.025411,0.018643,0.014658
0.000,0.033403,0.113597,0.062328,0.000000,0.013465,0.000000,0.095167,0.029828,0.103149
0.000,0.012526,0.068274,0.013454,0.014408,0.027706,0.015051,0.024415,0.023863,0.009229
0.000,0.023747,0.103719,0.053542,0.014408,0.009322,0.006866,0.074240,0.022371,0.078719
0.000,0.000000,0.072923,0.021691,0.005861,0.015536,0.006073,0.042850,0.011931,0.013029
0.000,0.019050,0.110691,0.056562,0.001465,0.010098,0.010298,0.085700,0.025354,0.089034
