time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054219,0.041594,0.063981
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039136,0.027730,0.061137
0.000,0.000000,0.000000,0.000000,0.002442,0.000000,0.000000,0.047697,0.025997,0.059242
0.000,0.029304,0.000000,0.000000,0.000000,0.000000,0.000000,0.044028,0.024263,0.053081
0.000,0.000000,0.000000,0.000000,0.000488,0.007326,0.000000,0.048104,0.032351,0.072512
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054219,0.034084,0.065403
0.000,0.110134,0.067643,0.064925,0.085226,0.101587,0.074481,0.111700,0.044483,0.128910
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055035,0.020797,0.331280
0.000,0.301832,0.245177,0.262438,0.289866,0.303053,0.299145,0.317163,0.057192,0.364455
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059111,0.020797,0.481043
0.000,1.000000,1.000000,1.000000,1.000000,0.997070,1.000000,1.000000,0.992490,0.980569
0.000,0.000000,0.000000,0.000000,0.006838,0.000000,0.000000,0.059519,0.020797,0.459242
0.000,1.000000,0.978266,0.834826,1.000000,1.000000,1.000000,0.997962,0.986713,1.000000
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052181,0.020220,0.521327
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089686,0.040439,0.453081
0.000,0.000000,0.000000,0.000000,0.000000,0.025153,0.000977,0.033021,0.038128,0.184360
0.000,0.000000,0.000000,0.000000,0.000488,0.000000,0.000000,0.070118,0.044483,0.115166
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027350,0.017122,0.013287,0.021327
0.000,0.001954,0.000000,0.000000,0.000000,0.013431,0.001954,0.097024,0.036973,0.133175
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063596,0.027730,0.111374
0.000,0.001465,0.000000,0.000000,0.000000,0.006105,0.009524,0.092132,0.051993,0.108057
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178557,0.047949,0.388626
0.000,1.000000,0.942613,0.854975,1.000000,0.982418,1.000000,0.976763,1.000000,0.845024
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012230,0.016176,0.024171
0.000,0.205861,0.157998,0.121144,0.209280,0.190720,0.227839,0.199348,0.047949,0.136019
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048596,0.174480,0.028885,0.376777
0.000,1.000000,0.958730,0.863433,1.000000,1.000000,1.000000,0.980840,0.997111,0.958768
0.000,0.000000,0.000000,0.000000,0.015385,0.000000,0.000000,0.034244,0.020797,0.048815
0.000,1.000000,0.967033,0.805224,1.000000,1.000000,1.000000,0.766408,0.336800,0.554976
0.000,0.000000,0.000000,0.000000,0.001954,0.000000,0.003663,0.099878,0.036395,0.112796
0.000,0.001954,0.000000,0.000000,0.000000,0.000000,0.000000,0.098655,0.042750,0.101896
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061150,0.030040,0.065877
0.000,0.000000,0.000000,0.000000,0.001954,0.003907,0.004396,0.118223,0.043905,0.118483
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001954,0.086425,0.034662,0.090995
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072564,0.045061,0.086730
0.000,0.000000,0.000000,0.000000,0.002198,0.000000,0.000000,0.052589,0.024263,0.051659
0.000,0.016361,0.000000,0.000000,0.017338,0.022711,0.035409,0.111700,0.047371,0.119431
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061557,0.037551,0.075355
0.000,0.040293,0.016850,0.000000,0.042735,0.028571,0.043712,0.110069,0.048527,0.130806
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020383,0.013865,0.015166
0.000,0.025397,0.006105,0.000000,0.034188,0.055433,0.034188,0.108439,0.049682,0.125592
0.000,0.000000,0.000000,0.000000,0.000000,0.009035,0.007082,0.022014,0.011554,0.024171
0.000,0.000000,0.000000,0.000000,0.009768,0.013919,0.008791,0.070118,0.039284,0.090521
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005707,0.008666,0.005687
0.000,0.257875,0.110134,0.002985,0.137973,0.168742,0.147253,0.164696,0.058925,0.133175
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009784,0.011554,0.019431
0.000,0.123321,0.096703,0.004229,0.128694,0.114530,0.135531,0.150428,0.051993,0.135071
0.000,0.000000,0.000000,0.000000,0.037363,0.013675,0.000000,0.013453,0.009243,0.016588
0.000,0.032479,0.000000,0.000000,0.010501,0.000000,0.025153,0.100285,0.045061,0.118957
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010599,0.021953,0.026066
0.000,0.016361,0.000000,0.000000,0.005128,0.012454,0.004151,0.076641,0.048527,0.095261
0.000,0.000000,0.000000,0.000000,0.000977,0.000000,0.013919,0.025275,0.022530,0.027014
