time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.680000,0.250000,0.236111
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.156250,0.250000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.680000,0.187500,0.263889
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.480000,0.125000,0.250000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.720000,0.312500,0.208333
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.250000,0.152778
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.680000,0.656250,0.222222
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.530000,0.062500,0.250000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.800000,0.250000,0.208333
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.490000,0.562500,0.194444
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.680000,0.375000,0.138889
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.620000,0.250000,0.166667
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.680000,0.593750,0.208333
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.450000,0.125000,0.250000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.670000,0.125000,0.250000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.250000,0.097222
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.540000,0.437500,0.250000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.540000,0.312500,0.194444
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.690000,0.625000,0.250000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.520000,0.812500,0.166667
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.600000,0.218750,0.250000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.480000,0.250000,0.111111
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.620000,0.187500,0.152778
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.480000,0.218750,0.097222
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.640000,0.593750,0.194444
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.470000,0.250000,0.208333
0.000,0.500000,0.000000,0.500000,1.000000,0.000000,0.000000,0.680000,0.593750,0.194444
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.540000,0.562500,0.152778
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.570000,0.187500,0.250000
0.000,0.500000,0.000000,0.500000,0.816327,0.000000,0.000000,0.540000,0.218750,0.236111
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.820000,0.343750,0.319444
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.937500,1.000000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.343750,0.875000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.700000,0.437500,0.763889
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.810000,0.625000,0.791667
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.660000,0.437500,0.763889
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.780000,0.406250,0.986111
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.780000,0.343750,0.888889
0.000,0.500000,0.000000,0.500000,0.020408,0.000000,0.000000,0.720000,0.593750,0.750000
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.980000,0.281250,0.777778
0.000,0.500000,0.006623,0.500000,0.000000,0.000000,0.000000,0.760000,0.500000,0.777778
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.620000,0.656250,0.722222
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.700000,0.468750,0.708333
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.490000,0.562500,0.638889
0.000,0.500000,0.013245,0.500000,0.000000,0.000000,0.000000,0.440000,0.437500,0.597222
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.370000,0.250000,0.555556
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.480000,1.000000,0.638889
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.560000,0.625000,0.638889
0.000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.740000,0.343750,0.652778
