time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.072599,0.000000,0.502889,0.038209,0.039072,0.032873,0.105025,0.024105,0.355759
0.000,1.000000,0.764894,0.973477,0.999241,0.937729,0.946299,0.898597,0.953251,0.936799
0.000,0.034535,0.000000,0.507616,0.043269,0.039805,0.043664,0.103667,0.014609,0.450051
0.000,0.065793,0.010094,0.408876,0.074393,0.074481,0.078294,0.166591,0.016801,0.292559
0.000,0.037560,0.000000,0.275998,0.026063,0.027595,0.026349,0.069262,0.010957,0.176860
0.000,0.912276,0.748400,0.958771,0.969383,0.895482,0.939523,0.949298,0.957633,0.935270
0.000,0.008823,0.000000,0.137605,0.000000,0.031258,0.013802,0.021729,0.014609,0.008155
0.000,0.019914,0.000000,0.069328,0.022014,0.016361,0.014053,0.092349,0.017531,0.100408
0.000,0.000000,0.000000,0.018120,0.000000,0.008059,0.000000,0.025804,0.010226,0.018858
0.000,0.074111,0.005662,0.062763,0.082237,0.066667,0.072271,0.135355,0.018262,0.102446
0.000,0.021427,0.000000,0.004989,0.038715,0.018315,0.024090,0.014939,0.011687,0.004587
0.000,0.964205,0.750862,0.964023,0.983047,0.908669,0.962359,0.938434,0.960555,1.000000
0.000,0.028233,0.000000,0.503151,0.035678,0.030281,0.019322,0.100951,0.024105,0.481142
0.000,0.978825,0.764156,0.964023,1.000000,0.924298,0.962861,0.949298,0.949598,0.936290
0.000,0.031258,0.000000,0.499737,0.045800,0.041270,0.042660,0.115437,0.017531,0.448012
0.000,0.045122,0.000000,0.292805,0.048583,0.036142,0.051694,0.081938,0.017531,0.119266
0.000,0.029493,0.000000,0.011555,0.017460,0.017827,0.014304,0.013128,0.012418,0.003568
0.000,0.000000,0.000000,0.068015,0.002024,0.000000,0.000000,0.090539,0.007305,0.106014
0.000,0.039072,0.000000,0.004202,0.036943,0.050061,0.022836,0.018560,0.015340,0.011213
0.000,0.166373,0.093304,0.075893,0.168016,0.163370,0.158344,0.196922,0.015340,0.109582
0.000,0.043358,0.000000,0.001050,0.048077,0.036386,0.025847,0.007696,0.015340,0.008155
0.000,0.038064,0.026342,0.064863,0.111083,0.083761,0.095107,0.150747,0.028488,0.103466
0.000,0.028737,0.000000,0.001838,0.000000,0.017827,0.025847,0.000000,0.020453,0.005607
0.000,0.187799,0.101182,0.079569,0.192308,0.171673,0.175659,0.207786,0.018262,0.104995
0.000,0.020166,0.000000,0.000000,0.034666,0.020757,0.012798,0.000453,0.009496,0.000000
0.000,0.022939,0.034220,0.053834,0.030111,0.000000,0.019573,0.102761,0.011687,0.099898
0.000,0.003025,0.003939,0.054359,0.047318,0.014408,0.000000,0.072431,0.016801,0.078491
0.000,0.905722,0.804776,0.431197,0.968877,0.917460,0.916186,0.817112,0.474799,0.472477
0.000,0.011344,0.040374,0.031250,0.000000,0.000000,0.000000,0.031236,0.002922,0.011723
0.000,0.007814,0.053176,0.058298,0.000253,0.000000,0.000000,0.085559,0.012418,0.063201
0.000,0.000000,0.047267,0.065914,0.000000,0.000000,0.000000,0.104572,0.024105,0.088685
0.000,0.030250,0.064500,0.077731,0.009362,0.000000,0.000000,0.109099,0.008766,0.072885
0.000,0.000000,0.049237,0.068015,0.040739,0.000000,0.000000,0.112268,0.010957,0.092253
0.000,0.000000,0.061300,0.077468,0.000000,0.003907,0.000000,0.142598,0.026297,0.085627
0.000,0.000000,0.048252,0.038603,0.000000,0.000000,0.000000,0.081032,0.024105,0.038226
0.000,0.000000,0.061300,0.072216,0.007338,0.000000,0.000502,0.138977,0.024105,0.090214
0.000,0.010587,0.020433,0.017595,0.002024,0.018559,0.008281,0.043911,0.013879,0.012232
0.000,0.178977,0.057853,0.093487,0.160678,0.152137,0.158093,0.204165,0.050402,0.106524
0.000,0.000000,0.056869,0.093487,0.000000,0.000000,0.000000,0.181077,0.031410,0.156473
0.000,0.004285,0.061300,0.101628,0.000000,0.000000,0.000251,0.185604,0.035793,0.151886
0.000,0.000000,0.052930,0.066964,0.000000,0.006838,0.000000,0.111815,0.025566,0.072375
0.000,0.000000,0.064993,0.110294,0.000000,0.000000,0.000502,0.181983,0.038714,0.160550
0.000,0.007058,0.057361,0.110032,0.000000,0.000000,0.000000,0.181077,0.035793,0.161060
0.000,0.005294,0.064746,0.116334,0.001265,0.006349,0.000502,0.205976,0.026297,0.161060
0.000,0.004033,0.057853,0.110032,0.005820,0.033455,0.000000,0.178814,0.028488,0.160041
0.000,0.000000,0.065977,0.115809,0.000000,0.002442,0.000000,0.195564,0.035793,0.161060
0.000,0.000504,0.048991,0.035714,0.001518,0.000000,0.002258,0.048438,0.002922,0.019368
0.000,0.058735,0.123831,0.087447,0.056680,0.030525,0.033626,0.151652,0.019722,0.114169
0.000,0.000000,0.066962,0.133666,0.044028,0.022222,0.006524,0.081938,0.006574,0.083588
0.000,0.235694,0.190793,0.111082,0.230769,0.209280,0.220828,0.219556,0.038714,0.118247
0.000,0.025208,0.052191,0.031250,0.034413,0.070085,0.018319,0.052060,0.016801,0.021407
0.000,0.146962,0.152142,0.087973,0.136640,0.109890,0.142785,0.162970,0.041636,0.112130
0.000,0.017898,0.052437,0.038078,0.000000,0.000000,0.002760,0.058397,0.005113,0.046891
0.000,0.053441,0.136878,0.071166,0.103998,0.062759,0.046926,0.128112,0.022644,0.106014
0.000,0.031510,0.052437,0.014181,0.042257,0.029060,0.028858,0.033952,0.008766,0.012742
0.000,0.414167,0.349828,0.115284,0.334008,0.323810,0.335006,0.243549,0.025566,0.113150
0.000,0.030754,0.083949,0.215336,0.000000,0.029060,0.020075,0.179719,0.019722,0.238022
0.000,0.025208,0.083456,0.115809,0.001265,0.004884,0.039900,0.155274,0.028488,0.121814
0.000,0.034535,0.163466,0.535452,0.030364,0.032967,0.041405,0.215029,0.017531,0.480632
0.000,0.001512,0.067208,0.299107,0.000000,0.000000,0.000000,0.123133,0.025566,0.093782
0.000,0.000000,0.065239,0.156513,0.000000,0.000000,0.000000,0.151652,0.026297,0.154944
0.000,0.001008,0.072624,0.134716,0.000000,0.000000,0.000000,0.156179,0.025566,0.164118
0.000,0.000000,0.060807,0.112395,0.000000,0.000000,0.000000,0.150747,0.024105,0.162589
0.000,0.000000,0.000000,0.116597,0.000000,0.000000,0.000000,0.169760,0.035793,0.162080
0.000,0.000000,0.000000,0.109769,0.000000,0.000000,0.000000,0.162517,0.028488,0.161060
0.000,0.000000,0.064746,0.120273,0.000000,0.000000,0.000000,0.171571,0.024836,0.162080
0.000,0.000000,0.034712,0.108981,0.000000,0.000488,0.000000,0.170665,0.040175,0.161060
0.000,0.000000,0.000000,0.116071,0.000000,0.000000,0.000000,0.176550,0.025566,0.158002
0.000,0.000000,0.000000,0.106355,0.000000,0.000000,0.001004,0.164328,0.020453,0.159531
0.000,0.000000,0.000000,0.071691,0.000000,0.003907,0.000000,0.111363,0.026297,0.096840
0.000,0.000000,0.000000,0.089286,0.000000,0.000000,0.000000,0.134450,0.035793,0.140163
0.000,0.000000,0.000000,0.086922,0.000000,0.000000,0.002509,0.115437,0.021183,0.095821
0.000,0.016133,0.100197,0.345588,0.025051,0.036386,0.021581,0.138977,0.015340,0.408767
0.000,0.988404,0.849335,1.000000,0.980769,0.950183,0.979172,0.958352,0.934989,0.991845
0.000,0.006050,0.050468,0.206933,0.002024,0.000000,0.000000,0.014033,0.008035,0.016310
0.000,0.000000,0.074594,0.061187,0.002277,0.003907,0.000000,0.065641,0.000000,0.059633
0.000,0.021931,0.035697,0.013655,0.031123,0.020513,0.021832,0.044364,0.015340,0.015291
0.000,0.962692,1.000000,0.995536,0.994180,1.000000,1.000000,1.000000,1.000000,0.955657
0.000,0.000000,0.001231,0.160977,0.001771,0.000000,0.002008,0.009507,0.005113,0.027523
0.000,0.000000,0.000000,0.105830,0.002024,0.000000,0.000000,0.091897,0.031410,0.118756
0.000,0.000000,0.000000,0.083246,0.000000,0.000000,0.000000,0.076505,0.017531,0.078491
0.000,0.013108,0.000000,0.047532,0.008856,0.000000,0.000000,0.053871,0.008766,0.049439
0.045,0.000000,0.043575,0.034401,0.000000,0.000000,0.000000,0.028972,0.008766,0.035168
0.095,0.000000,0.039389,0.051733,0.000000,0.003907,0.000000,0.052060,0.013879,0.052497
0.145,0.000000,0.037174,0.031775,0.000000,0.002686,0.000000,0.037574,0.002191,0.037717
0.195,0.000000,0.000000,0.052258,0.000000,0.000000,0.000000,0.068809,0.008035,0.073394
0.245,0.000000,0.004431,0.026523,0.000000,0.000000,0.009787,0.041648,0.012418,0.027523
0.295,0.004790,0.005416,0.044380,0.000000,0.000000,0.000000,0.061566,0.005113,0.048930
0.345,0.000000,0.000000,0.053309,0.000000,0.000000,0.003011,0.052512,0.022644,0.066769
0.395,0.000000,0.019941,0.069065,0.003289,0.000000,0.002008,0.077411,0.019722,0.076962
0.445,0.000000,0.024865,0.096639,0.001012,0.001221,0.000000,0.100951,0.018262,0.135066
0.495,0.000000,0.002216,0.111082,0.000000,0.000000,0.000251,0.110005,0.023375,0.149847
0.545,0.000000,0.001969,0.106880,0.000000,0.000977,0.000000,0.110457,0.037253,0.150866
0.595,0.000000,0.000000,0.115284,0.000000,0.010989,0.000000,0.113626,0.024105,0.158002
0.645,0.000000,0.000000,0.102416,0.000000,0.000000,0.000000,0.099593,0.026297,0.143731
0.695,0.000000,0.000000,0.105830,0.000000,0.000244,0.000000,0.110005,0.029949,0.127931
0.745,0.000000,0.000000,0.093750,0.000000,0.028571,0.014304,0.097329,0.027027,0.121305
0.795,0.000000,0.000000,0.093750,0.000000,0.000000,0.000000,0.097329,0.016801,0.099388
0.845,0.000000,0.000000,0.062237,0.001771,0.000000,0.000000,0.066546,0.010226,0.070846
0.895,0.000000,0.004431,0.083771,0.001012,0.000000,0.000000,0.081938,0.017531,0.088685
0.945,0.000000,0.000985,0.080095,0.000000,0.000977,0.000000,0.076505,0.022644,0.099898
0.995,0.000000,0.001969,0.094275,0.002530,0.000000,0.000000,0.098234,0.013879,0.110092
1.045,0.000000,0.001477,0.089548,0.000000,0.000977,0.000000,0.085106,0.019722,0.102446
1.095,0.000000,0.000000,0.082721,0.001771,0.000000,0.000000,0.084654,0.007305,0.083588
