time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.217143,0.155012,0.000000,0.000000,0.000000,0.585987,0.347826,0.260000
0.000,0.000000,0.255714,0.167832,0.000000,0.000000,0.000000,0.617834,0.695652,0.256471
0.000,0.000000,0.225714,0.146853,0.000000,0.000000,0.000000,0.624204,0.586957,0.254118
0.000,0.000000,0.228571,0.166667,0.014599,0.000000,0.000000,0.636943,0.456522,0.260000
0.000,0.000000,0.200000,0.148601,0.000000,0.000000,0.000000,0.678344,0.478261,0.252941
0.000,0.000000,0.314286,0.167832,0.000000,0.000000,0.000000,0.675159,0.413043,0.258824
0.000,0.000000,0.171429,0.148601,0.000000,0.000000,0.000000,0.601911,0.304348,0.257647
0.000,0.000000,0.267143,0.167832,0.000000,0.000000,0.000000,0.649682,0.413043,0.260000
0.000,0.000000,0.262857,0.149184,0.000000,0.000000,0.000000,0.573248,0.304348,0.252941
0.000,0.000000,0.295714,0.168998,0.000000,0.000000,0.000000,0.687898,0.326087,0.257647
0.000,0.000000,0.238571,0.150350,0.000000,0.000000,0.000000,0.592357,0.782609,0.252941
0.000,0.000000,0.282857,0.167832,0.000000,0.000000,0.000000,0.636943,0.434783,0.262353
0.000,0.100000,0.202857,0.148601,0.000000,0.000000,0.000000,0.585987,0.347826,0.255294
0.000,0.400000,0.138571,0.165501,0.043796,0.000000,0.000000,0.668790,0.391304,0.256471
0.000,0.000000,0.082857,0.146270,0.000000,0.000000,0.000000,0.576433,0.282609,0.252941
0.000,0.000000,0.184286,0.168415,0.000000,0.000000,0.000000,0.636943,0.369565,0.262353
0.000,0.000000,0.138571,0.143939,0.000000,0.000000,0.000000,0.611465,0.434783,0.254118
0.000,0.000000,0.091429,0.164336,0.000000,0.000000,0.000000,0.630573,0.391304,0.260000
0.000,0.533333,0.087143,0.146853,0.000000,0.000000,0.000000,0.592357,0.413043,0.252941
0.000,0.000000,0.110000,0.168998,0.000000,0.000000,0.000000,0.681529,0.239130,0.254118
0.000,0.000000,0.000000,0.148019,0.000000,0.000000,0.000000,0.585987,0.434783,0.260000
0.000,0.000000,0.000000,0.163753,0.000000,0.000000,0.000000,0.633758,0.304348,0.257647
0.000,0.300000,0.000000,0.146853,0.000000,0.000000,0.000000,0.636943,0.391304,0.261176
0.000,0.000000,0.024286,0.161422,0.000000,0.000000,0.000000,0.624204,0.304348,0.260000
0.000,0.033333,0.172857,0.148601,0.000000,0.000000,0.000000,0.611465,0.304348,0.255294
0.000,0.166667,0.170000,0.166084,0.000000,0.000000,0.000000,0.636943,0.695652,0.255294
0.000,0.200000,0.118571,0.143939,0.000000,0.000000,0.000000,0.573248,0.652174,0.255294
0.000,0.000000,0.047143,0.164336,0.000000,0.000000,0.000000,0.662420,0.586957,0.256471
0.000,0.000000,0.067143,0.148019,0.065693,0.000000,0.000000,0.585987,0.369565,0.262353
0.000,0.000000,0.297143,0.175991,0.000000,0.000000,0.000000,0.636943,0.739130,0.252941
0.000,0.000000,0.205714,0.156177,0.000000,0.000000,0.000000,0.585987,0.326087,0.255294
0.000,0.000000,0.247143,0.167832,0.000000,0.000000,0.000000,0.643312,0.391304,0.256471
0.000,0.000000,0.295714,0.152098,0.000000,0.000000,0.000000,0.598726,0.434783,0.251765
0.000,0.000000,0.381429,0.166667,0.000000,0.000000,0.000000,0.665605,0.456522,0.256471
0.000,0.000000,0.334286,0.150932,0.000000,0.000000,0.000000,0.643312,0.304348,0.256471
0.000,0.000000,0.394286,0.177156,0.000000,0.000000,0.000000,0.742038,0.347826,0.257647
0.000,0.000000,0.352857,0.156177,0.000000,0.000000,0.000000,0.710191,0.478261,0.254118
0.000,0.000000,0.411429,0.179487,0.000000,0.000000,0.000000,0.878981,0.413043,0.257647
0.000,0.000000,0.355714,0.150350,0.000000,0.000000,0.000000,0.808917,0.434783,0.257647
0.000,0.000000,0.404286,0.173660,0.000000,0.000000,0.000000,0.885350,0.760870,0.254118
0.000,0.000000,0.354286,0.149184,0.000000,0.000000,0.000000,0.834395,0.695652,0.257647
0.000,0.000000,0.464286,0.033800,0.000000,1.000000,0.000000,0.127389,0.000000,0.034118
0.000,0.000000,1.000000,0.778555,1.000000,0.000000,0.000000,0.878981,0.304348,1.000000
0.000,0.200000,0.518571,1.000000,0.051095,0.000000,0.079646,1.000000,0.217391,0.632941
0.000,0.000000,0.341429,0.371795,0.000000,0.000000,0.168142,0.337580,0.565217,0.121176
0.000,0.000000,0.434286,0.244755,0.000000,0.000000,0.000000,0.786624,0.347826,0.270588
0.000,0.000000,0.372857,0.173660,0.000000,0.000000,0.000000,0.799363,0.586957,0.269412
0.000,0.000000,0.441429,0.178904,0.000000,0.000000,0.000000,0.875796,0.869565,0.269412
0.000,0.000000,0.372857,0.150350,0.000000,0.000000,0.000000,0.815287,0.500000,0.270588
0.000,0.000000,0.438571,0.171911,0.000000,0.000000,0.000000,0.917197,0.391304,0.274118
0.000,0.900000,0.372857,0.148601,0.000000,0.000000,0.000000,0.831210,0.413043,0.275294
