time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.016675,0.135177,0.000000,0.000000,0.000000,1.000000,0.700000,0.134247
0.000,0.052766,0.080849,0.203027,0.049153,0.049444,0.039957,1.000000,1.000000,0.512329
0.000,0.000000,0.010611,0.127871,0.000000,0.000000,0.000000,1.000000,0.741667,0.123288
0.000,0.019980,0.088428,0.199896,0.040961,0.050556,0.023974,1.000000,0.891667,0.506849
0.000,0.000000,0.018696,0.141962,0.000000,0.000000,0.000000,1.000000,0.733333,0.109589
0.000,0.047643,0.088934,0.193111,0.040961,0.017222,0.095365,0.566278,0.562500,0.408219
0.000,0.000000,0.012127,0.135177,0.000000,0.000000,0.000000,0.770148,0.487500,0.082192
0.000,0.038422,0.087923,0.198852,0.028946,0.044444,0.083644,1.000000,0.954167,0.460274
0.000,0.000000,0.015664,0.137265,0.000000,0.008889,0.000000,1.000000,0.733333,0.131507
0.000,0.105020,0.087418,0.198852,0.043692,0.086111,0.038359,1.000000,0.958333,0.490411
0.000,0.000000,0.017686,0.137787,0.000000,0.000000,0.000000,1.000000,0.691667,0.109589
0.000,0.130635,0.086407,0.200418,0.039869,0.173333,0.041556,1.000000,0.966667,0.512329
0.000,0.000000,0.012127,0.138309,0.015838,0.000000,0.013319,1.000000,0.729167,0.134247
0.000,0.023053,0.079333,0.194676,0.037684,0.035556,0.053809,1.000000,0.875000,0.468493
0.000,0.000000,0.013138,0.139875,0.003277,0.000000,0.000000,1.000000,0.708333,0.142466
0.000,0.048668,0.084891,0.196242,0.047515,0.068889,0.015450,1.000000,0.950000,0.457534
0.000,0.008197,0.021728,0.138309,0.000000,0.000000,0.000000,1.000000,0.691667,0.139726
0.000,0.048156,0.098535,0.212944,0.049700,0.035556,0.060202,1.000000,0.925000,0.504110
0.000,0.000000,0.018696,0.135699,0.000000,0.001667,0.000000,0.836691,0.566667,0.131507
0.000,0.045594,0.088428,0.198852,0.036592,0.067222,0.051678,0.795864,0.758333,0.452055
0.000,0.000000,0.019707,0.141441,0.000000,0.000000,0.000000,0.771209,0.487500,0.106849
0.000,0.053791,0.094492,0.194676,0.073730,0.057222,0.264251,0.914104,0.791667,0.484932
0.000,0.000000,0.018191,0.125261,0.015292,0.000000,0.039957,0.809915,0.520833,0.093151
0.000,0.047643,0.084386,0.195198,0.048607,0.028889,0.038892,0.910923,0.762500,0.460274
0.000,0.000000,0.018696,0.133612,0.009831,0.000000,0.000000,0.919936,0.625000,0.109589
0.000,0.028689,0.082365,0.189979,0.064992,0.054444,0.057539,1.000000,0.891667,0.438356
0.000,0.003586,0.009601,0.138309,0.000000,0.000000,0.000000,0.805143,0.570833,0.120548
0.000,0.056352,0.093482,0.201983,0.064992,0.042778,0.033564,0.359491,0.466667,0.460274
0.000,0.000000,0.018191,0.153445,0.000000,0.000000,0.000000,0.314422,0.233333,0.104110
0.000,0.063012,0.084891,0.197808,0.042600,0.053889,0.043154,0.626458,0.541667,0.452055
0.000,0.000000,0.027792,0.214509,0.000000,0.000000,0.003197,1.000000,0.870833,0.613699
0.000,0.056352,0.202628,0.198330,0.057346,0.013333,0.151838,0.210233,0.295833,0.473973
0.000,0.000000,0.039919,0.043319,0.000000,0.000000,0.000000,0.057794,0.275000,0.424658
0.000,0.000000,0.025771,0.021399,0.000000,0.000000,0.000000,0.115058,0.420833,0.950685
0.000,0.000000,0.022739,0.019311,0.000000,0.000000,0.000000,0.106045,0.341667,0.912329
0.000,0.000000,0.025771,0.022443,0.090115,0.000000,0.000000,0.076087,0.291667,0.561644
0.000,0.002049,0.022739,0.017223,0.001092,0.000000,0.000000,0.075822,0.350000,0.789041
0.000,0.000000,0.024760,0.017223,0.000000,0.011111,0.000000,0.112407,0.354167,0.978082
