time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.029695,0.030745,0.000000,0.000000,0.000488,0.072661,0.014585,0.041566
0.000,0.002930,0.028625,0.020584,0.000000,0.000000,0.000000,0.049046,0.007609,0.033833
0.000,0.000000,0.030230,0.040646,0.008059,0.000000,0.004151,0.080836,0.021560,0.051232
0.000,0.000000,0.027555,0.052632,0.000000,0.016807,0.000000,0.097639,0.025999,0.079749
0.000,0.000000,0.023810,0.045336,0.000000,0.003955,0.000000,0.086285,0.032974,0.051232
0.000,0.000000,0.025950,0.047942,0.000000,0.000000,0.000000,0.066303,0.017121,0.070565
0.000,0.000000,0.026485,0.073476,0.000000,0.000000,0.000000,0.126703,0.025365,0.099565
0.000,0.000000,0.025415,0.065659,0.000000,0.000000,0.000000,0.116712,0.025365,0.099565
0.000,0.000000,0.028090,0.057843,0.002442,0.000000,0.005372,0.108084,0.017755,0.065732
0.000,0.000000,0.023542,0.047942,0.000000,0.006426,0.000000,0.092643,0.025999,0.069116
0.000,0.000000,0.024345,0.059145,0.000000,0.002224,0.000000,0.087193,0.022194,0.077332
0.000,0.000000,0.033975,0.023971,0.001221,0.000000,0.098657,0.051771,0.015853,0.035766
0.000,0.000000,0.028625,0.035956,0.000000,0.000247,0.010501,0.066303,0.018389,0.048816
0.000,0.000000,0.049492,0.025795,0.000000,0.000000,0.014408,0.064487,0.017121,0.042533
0.000,0.000000,0.054842,0.057843,0.000488,0.002966,0.000000,0.114441,0.033608,0.076365
0.000,0.024176,0.041466,0.008598,0.002930,0.000000,0.000000,0.037239,0.014585,0.016433
0.000,0.002198,0.062065,0.058364,0.005861,0.014088,0.000000,0.118983,0.024731,0.090865
0.000,0.000000,0.042269,0.022408,0.005861,0.000000,0.000000,0.053588,0.022828,0.029000
0.000,0.034432,0.075174,0.058885,0.010989,0.044241,0.032967,0.123070,0.027267,0.083615
0.000,0.044444,0.074639,0.266545,0.030525,0.031636,0.037118,0.258856,0.034876,0.338811
0.000,0.000000,0.059925,0.323085,0.000977,0.008156,0.000000,0.287920,0.033608,0.323828
0.000,0.000000,0.056982,0.187337,0.000000,0.000000,0.000000,0.224342,0.038047,0.178347
0.000,0.000000,0.063403,0.082595,0.000000,0.000000,0.000000,0.141235,0.033608,0.126631
0.000,0.000000,0.055377,0.026576,0.015385,0.030400,0.010989,0.061308,0.029803,0.045433
0.000,0.000000,0.058855,0.079729,0.000000,0.003460,0.000000,0.153951,0.036145,0.142098
0.000,0.000000,0.055377,0.094320,0.000000,0.000000,0.000000,0.180745,0.034242,0.166264
0.000,0.019780,0.071429,0.068265,0.019292,0.012852,0.007570,0.135332,0.027267,0.112615
0.000,0.007082,0.051097,0.027097,0.014652,0.092684,0.035165,0.074478,0.020292,0.038183
0.000,0.013431,0.077849,0.068265,0.000000,0.019031,0.010989,0.138056,0.032340,0.120348
0.000,0.001221,0.048957,0.026316,0.022222,0.010133,0.007082,0.057221,0.022194,0.043983
0.000,0.000000,0.071161,0.067223,0.000244,0.014582,0.018315,0.143506,0.037413,0.113098
0.000,0.020269,0.047084,0.023710,0.007326,0.004202,0.017582,0.059037,0.020292,0.039633
0.000,0.000000,0.056447,0.066180,0.000000,0.000000,0.000000,0.127157,0.045022,0.116481
0.000,0.000000,0.045746,0.103179,0.000000,0.000000,0.000000,0.200727,0.040583,0.171097
0.000,0.013431,0.063938,0.125065,0.000000,0.020514,0.000000,0.212988,0.027267,0.156597
0.000,0.031258,0.060728,0.028921,0.026129,0.019031,0.010989,0.074024,0.024731,0.045433
0.000,0.012698,0.053772,0.054195,0.000488,0.000000,0.000000,0.112625,0.025365,0.066699
0.000,0.013675,0.045746,0.020584,0.000000,0.014335,0.000000,0.049955,0.023462,0.031416
0.000,0.000000,0.060460,0.056279,0.011233,0.021008,0.017582,0.108084,0.019658,0.080232
0.000,0.025641,0.060728,0.022668,0.029548,0.042264,0.030037,0.068574,0.024731,0.042533
0.000,0.279365,0.230070,0.133142,0.272527,0.275087,0.299389,0.355132,0.049461,0.122281
0.000,0.019292,0.053237,0.053674,0.010012,0.017054,0.028571,0.728429,0.045022,0.073465
0.000,0.000000,0.054575,0.073997,0.004151,0.006673,0.051526,0.290645,0.032340,0.099565
0.000,0.000000,0.056447,0.094841,0.000000,0.015818,0.126984,0.206176,0.036145,0.152731
0.000,0.001709,0.060193,0.096665,0.000000,0.000000,0.123077,0.183924,0.027901,0.133881
0.000,0.007082,0.050562,0.099531,0.000000,0.000000,0.138462,0.196639,0.034876,0.163364
0.000,0.000733,0.058052,0.112819,0.004396,0.001236,0.150183,0.218892,0.033608,0.173997
0.000,0.000000,0.054842,0.107869,0.000000,0.000000,0.150427,0.209809,0.033608,0.170614
0.000,0.000000,0.059658,0.115946,0.000000,0.003213,0.152625,0.221163,0.037413,0.169164
0.000,0.014652,0.050027,0.065659,0.060806,0.001730,0.103541,0.119891,0.032340,0.073949
0.000,0.029304,0.057517,0.088327,0.011966,0.000000,0.120391,0.167575,0.032974,0.129531
0.000,0.019292,0.055377,0.091454,0.005372,0.000000,0.129182,0.166667,0.034876,0.136781
0.000,0.000000,0.062065,0.085982,0.001709,0.008156,0.113065,0.153043,0.035510,0.107298
0.000,0.000000,0.058320,0.087024,0.000000,0.000000,0.125763,0.166213,0.033608,0.142098
0.000,0.000000,0.067148,0.091193,0.000000,0.004202,0.123810,0.161217,0.029169,0.121315
0.000,0.000000,0.058320,0.090672,0.002198,0.000000,0.118437,0.198002,0.028535,0.120831
0.000,0.011966,0.074906,0.105524,0.000000,0.000000,0.135531,0.195277,0.036145,0.150797
0.000,0.000000,0.058052,0.090412,0.000977,0.000000,0.000488,0.151226,0.025999,0.117931
0.000,0.000000,0.074906,0.116206,0.000000,0.000000,0.090354,0.193460,0.036145,0.160464
0.000,0.028571,0.059925,0.078687,0.024908,0.018043,0.104274,0.148955,0.025999,0.092315
0.000,0.000000,0.072766,0.097447,0.000000,0.000000,0.135043,0.243415,0.046290,0.161431
0.000,0.000000,0.055645,0.097447,0.000000,0.009145,0.103297,0.216167,0.024731,0.134364
0.000,0.010012,0.064473,0.048463,0.003907,0.000000,0.081807,0.111717,0.020292,0.068149
0.000,0.000244,0.047887,0.015633,0.003907,0.001236,0.043712,0.049955,0.020292,0.022716
0.000,0.000000,0.070358,0.058364,0.009524,0.000000,0.023932,0.100817,0.028535,0.094732
0.000,0.021490,0.056982,0.019020,0.028083,0.015571,0.020269,0.050863,0.027267,0.032866
0.000,0.254701,0.425629,0.472121,0.265446,0.258774,0.279121,0.586739,0.635384,0.647173
0.000,0.076435,0.082665,0.417926,0.046398,0.046713,0.058608,0.196185,0.034876,0.347994
0.000,0.972650,0.943018,0.968734,1.000000,0.962926,0.930647,0.938692,0.927711,0.905752
0.000,0.016361,0.069823,0.486712,0.036386,0.030153,0.036874,0.163034,0.027267,0.261479
0.000,0.056166,0.148475,0.268890,0.070085,0.067227,0.075946,0.197548,0.031072,0.144998
0.000,0.030525,0.066078,0.028661,0.021734,0.070193,0.027106,0.077203,0.028535,0.045433
0.000,1.000000,0.925896,0.260031,0.837851,0.904844,0.905250,0.602634,0.109702,0.191397
0.000,0.029548,0.076244,0.524492,0.046642,0.035591,0.041026,0.182107,0.035510,0.514258
0.000,0.967277,0.994917,0.977592,0.936020,0.970094,0.939927,0.938238,0.838935,0.968101
0.000,0.018315,0.065276,0.545597,0.046886,0.033861,0.035409,0.212534,0.025999,0.426293
