time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4372.000000,996.000000,12.000000,0.000000,4074.000000,3361.000000,3420.000000,68.000000,1501.000000
0.000,4373.000000,941.000000,8.000000,0.000000,4079.000000,3386.000000,3431.000000,71.000000,1489.000000
0.000,4374.000000,984.000000,16.000000,0.000000,4077.000000,3339.000000,3378.000000,72.000000,1456.000000
0.000,4375.000000,936.000000,1.000000,0.000000,4079.000000,3383.000000,3387.000000,73.000000,1477.000000
0.000,4376.000000,1152.000000,4.000000,0.000000,4066.000000,3433.000000,3387.000000,74.000000,1497.000000
0.000,4377.000000,883.000000,10.000000,0.000000,4076.000000,3370.000000,3417.000000,68.000000,1459.000000
0.000,4378.000000,1003.000000,9.000000,0.000000,4075.000000,3346.000000,3377.000000,71.000000,1444.000000
0.000,4379.000000,1005.000000,6.000000,0.000000,4080.000000,3363.000000,3317.000000,67.000000,1463.000000
0.000,4380.000000,955.000000,4.000000,0.000000,4068.000000,3353.000000,3406.000000,70.000000,1448.000000
0.000,4381.000000,851.000000,16.000000,0.000000,4080.000000,3413.000000,3520.000000,75.000000,1489.000000
0.000,4382.000000,893.000000,1.000000,0.000000,4079.000000,3383.000000,3520.000000,71.000000,1493.000000
0.000,4383.000000,969.000000,12.000000,0.000000,4083.000000,3440.000000,3535.000000,78.000000,663.000000
0.000,4384.000000,1225.000000,11.000000,0.000000,4078.000000,3431.000000,3554.000000,77.000000,1672.000000
0.000,4385.000000,1087.000000,9.000000,0.000000,4080.000000,3445.000000,3534.000000,76.000000,1571.000000
0.000,4386.000000,1105.000000,18.000000,0.000000,4088.000000,3465.000000,3564.000000,73.000000,1756.000000
0.000,4387.000000,1716.000000,25.000000,0.000000,4095.000000,3432.000000,3543.000000,73.000000,1879.000000
0.000,4388.000000,1659.000000,24.000000,0.000000,4095.000000,1933.000000,3963.000000,87.000000,0.000000
0.000,4389.000000,845.000000,4.000000,0.000000,2033.000000,1769.000000,3588.000000,71.000000,1323.000000
0.000,4390.000000,741.000000,6.000000,0.000000,1980.000000,1673.000000,3783.000000,84.000000,1258.000000
0.000,4391.000000,735.000000,0.000000,0.000000,4095.000000,1563.000000,3868.000000,76.000000,1233.000000
0.000,4392.000000,745.000000,8.000000,0.000000,4095.000000,1637.000000,3948.000000,89.000000,1325.000000
0.000,4393.000000,721.000000,4.000000,0.000000,4095.000000,1573.000000,3823.000000,87.000000,1167.000000
0.000,4394.000000,745.000000,8.000000,0.000000,1889.000000,1621.000000,3812.000000,82.000000,1200.000000
0.000,4395.000000,699.000000,1.000000,0.000000,569.000000,1595.000000,3877.000000,85.000000,1010.000000
0.000,4396.000000,985.000000,2.000000,0.000000,3299.000000,1867.000000,3711.000000,75.000000,1438.000000
0.000,4397.000000,698.000000,1.000000,0.000000,1920.000000,1628.000000,3891.000000,72.000000,1141.000000
0.000,4398.000000,921.000000,5.000000,0.000000,4095.000000,1624.000000,3898.000000,91.000000,1285.000000
0.000,4399.000000,723.000000,5.000000,0.000000,4095.000000,1576.000000,3863.000000,87.000000,1275.000000
0.000,4400.000000,789.000000,0.000000,0.000000,1861.000000,1619.000000,3832.000000,82.000000,1000.000000
0.000,4401.000000,999.000000,4.000000,0.000000,1873.000000,1645.000000,3794.000000,85.000000,1081.000000
0.000,4402.000000,789.000000,3.000000,0.000000,1820.000000,1619.000000,3819.000000,81.000000,1014.000000
0.000,4403.000000,663.000000,5.000000,0.000000,4095.000000,1496.000000,3847.000000,87.000000,974.000000
0.000,4404.000000,659.000000,0.000000,0.000000,4095.000000,1542.000000,3838.000000,80.000000,987.000000
0.000,4405.000000,711.000000,0.000000,0.000000,1771.000000,1560.000000,3929.000000,78.000000,1093.000000
0.000,4406.000000,683.000000,0.000000,0.000000,395.000000,1575.000000,3843.000000,81.000000,1109.000000
0.000,4407.000000,899.000000,0.000000,0.000000,1809.000000,1639.000000,3675.000000,77.000000,1271.000000
0.000,4408.000000,757.000000,2.000000,0.000000,1810.000000,1589.000000,3840.000000,87.000000,1309.000000
0.000,4409.000000,684.000000,4.000000,0.000000,1719.000000,1591.000000,3911.000000,80.000000,829.000000
0.000,4410.000000,689.000000,3.000000,0.000000,1784.000000,1577.000000,3863.000000,89.000000,1265.000000
0.000,4411.000000,663.000000,5.000000,0.000000,4095.000000,1499.000000,3827.000000,81.000000,1256.000000
0.000,4412.000000,679.000000,6.000000,0.000000,4095.000000,1477.000000,3864.000000,89.000000,1049.000000
0.000,4413.000000,601.000000,4.000000,0.000000,4095.000000,1467.000000,3885.000000,85.000000,1240.000000
0.000,4414.000000,627.000000,0.000000,0.000000,4095.000000,1467.000000,3784.000000,81.000000,1183.000000
0.000,4415.000000,624.000000,0.000000,0.000000,4095.000000,1453.000000,3850.000000,75.000000,1164.000000
0.000,4416.000000,616.000000,0.000000,0.000000,4095.000000,1443.000000,3847.000000,85.000000,1166.000000
0.000,4417.000000,579.000000,0.000000,0.000000,1731.000000,1498.000000,3863.000000,85.000000,1223.000000
0.000,4418.000000,621.000000,0.000000,0.000000,1751.000000,1511.000000,3880.000000,87.000000,872.000000
0.000,4419.000000,613.000000,1.000000,0.000000,4095.000000,1456.000000,3888.000000,80.000000,871.000000
0.000,4420.000000,611.000000,4.000000,0.000000,4095.000000,1456.000000,3866.000000,81.000000,1162.000000
0.000,4421.000000,595.000000,2.000000,0.000000,4095.000000,1453.000000,3929.000000,85.000000,1191.000000
0.000,4422.000000,609.000000,0.000000,0.000000,4095.000000,1453.000000,3880.000000,88.000000,1207.000000
0.000,4423.000000,580.000000,4.000000,0.000000,4095.000000,1443.000000,3924.000000,95.000000,1233.000000
0.000,4424.000000,574.000000,4.000000,0.000000,4095.000000,1439.000000,3861.000000,87.000000,1233.000000
0.000,4425.000000,573.000000,0.000000,0.000000,4095.000000,1435.000000,3931.000000,83.000000,1211.000000
0.000,4426.000000,598.000000,11.000000,0.000000,4095.000000,1447.000000,3919.000000,84.000000,997.000000
0.000,4427.000000,572.000000,0.000000,0.000000,4095.000000,1453.000000,3896.000000,80.000000,1239.000000
0.000,4428.000000,589.000000,1.000000,0.000000,4095.000000,1434.000000,3916.000000,86.000000,1255.000000
0.000,4429.000000,549.000000,0.000000,0.000000,4095.000000,1453.000000,3925.000000,81.000000,1243.000000
0.000,4430.000000,587.000000,5.000000,0.000000,4095.000000,1440.000000,3910.000000,83.000000,1236.000000
0.000,4431.000000,580.000000,4.000000,0.000000,4095.000000,1443.000000,3939.000000,89.000000,1259.000000
0.000,4432.000000,655.000000,0.000000,0.000000,4095.000000,1451.000000,3901.000000,91.000000,1265.000000
0.000,4433.000000,640.000000,0.000000,0.000000,4095.000000,1463.000000,3872.000000,87.000000,1261.000000
0.000,4434.000000,955.000000,0.000000,0.000000,1995.000000,1747.000000,3857.000000,91.000000,1459.000000
0.000,4435.000000,1557.000000,0.000000,0.000000,4095.000000,1668.000000,3864.000000,76.000000,1469.000000
0.000,4436.000000,1003.000000,9.000000,0.000000,4095.000000,1629.000000,3854.000000,81.000000,1378.000000
0.000,4437.000000,1817.000000,0.000000,0.000000,4095.000000,1591.000000,3836.000000,88.000000,1257.000000
