time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,8152.000000,1615.000000,11.000000,0.000000,4091.000000,3535.000000,3710.000000,76.000000,0.000000
0.000,8153.000000,1607.000000,23.000000,0.000000,4095.000000,3529.000000,3689.000000,77.000000,0.000000
0.000,8154.000000,1607.000000,23.000000,0.000000,4095.000000,3555.000000,3723.000000,81.000000,0.000000
0.000,8155.000000,1615.000000,24.000000,0.000000,4095.000000,3567.000000,3705.000000,83.000000,0.000000
0.000,8156.000000,1597.000000,33.000000,0.000000,4086.000000,3540.000000,3737.000000,78.000000,0.000000
0.000,8157.000000,1592.000000,18.000000,0.000000,4094.000000,3543.000000,3704.000000,82.000000,0.000000
0.000,8158.000000,1477.000000,31.000000,0.000000,4095.000000,3528.000000,3707.000000,75.000000,0.000000
0.000,8159.000000,1403.000000,11.000000,0.000000,4037.000000,3504.000000,3769.000000,77.000000,0.000000
0.000,8160.000000,1607.000000,26.000000,0.000000,3921.000000,3384.000000,3691.000000,82.000000,0.000000
0.000,8161.000000,1647.000000,18.000000,0.000000,3957.000000,3401.000000,3735.000000,81.000000,0.000000
0.000,8162.000000,1661.000000,26.000000,0.000000,3784.000000,3349.000000,3763.000000,75.000000,0.000000
0.000,8163.000000,1741.000000,23.000000,0.000000,4043.000000,3485.000000,3741.000000,77.000000,0.000000
0.000,8164.000000,1336.000000,15.000000,0.000000,3558.000000,2275.000000,3773.000000,91.000000,0.000000
0.000,8165.000000,1871.000000,35.000000,0.000000,4095.000000,2069.000000,3924.000000,83.000000,0.000000
0.000,8166.000000,2077.000000,41.000000,0.000000,2588.000000,2407.000000,4095.000000,97.000000,0.000000
0.000,8167.000000,1627.000000,22.000000,0.000000,2041.000000,1805.000000,3916.000000,93.000000,0.000000
0.000,8168.000000,1676.000000,27.000000,0.000000,2084.000000,1973.000000,3812.000000,77.000000,0.000000
0.000,8169.000000,2153.000000,45.000000,0.000000,3706.000000,2549.000000,4095.000000,87.000000,0.000000
0.000,8170.000000,2216.000000,36.000000,0.000000,2528.000000,2272.000000,3880.000000,89.000000,0.000000
0.000,8171.000000,2238.000000,41.000000,0.000000,2585.000000,2287.000000,4095.000000,84.000000,0.000000
0.000,8172.000000,2409.000000,37.000000,0.000000,2765.000000,2731.000000,4095.000000,88.000000,0.000000
0.000,8173.000000,2213.000000,35.000000,0.000000,4095.000000,2496.000000,4095.000000,78.000000,0.000000
0.000,8174.000000,2331.000000,56.000000,0.000000,2633.000000,2509.000000,4095.000000,95.000000,0.000000
