time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,2133.000000,341.000000,0.000000,0.000000,1335.000000,1159.000000,3788.000000,83.000000,423.000000
0.000,2134.000000,367.000000,0.000000,0.000000,1339.000000,1160.000000,3791.000000,82.000000,501.000000
0.000,2135.000000,364.000000,6.000000,0.000000,1343.000000,1167.000000,3700.000000,89.000000,471.000000
0.000,2136.000000,396.000000,2.000000,0.000000,1364.000000,1184.000000,3803.000000,81.000000,496.000000
0.000,2137.000000,345.000000,0.000000,0.000000,1357.000000,1173.000000,3803.000000,86.000000,537.000000
0.000,2138.000000,389.000000,0.000000,0.000000,1332.000000,1161.000000,3789.000000,88.000000,520.000000
0.000,2139.000000,1015.000000,7.000000,0.000000,1595.000000,1387.000000,3769.000000,83.000000,805.000000
0.000,2140.000000,439.000000,91.000000,0.000000,1551.000000,1296.000000,3827.000000,86.000000,896.000000
0.000,2141.000000,915.000000,2.000000,0.000000,1689.000000,1446.000000,3808.000000,78.000000,809.000000
0.000,2142.000000,462.000000,10.000000,0.000000,1603.000000,1338.000000,3811.000000,88.000000,887.000000
0.000,2143.000000,437.000000,4.000000,0.000000,633.000000,1349.000000,3828.000000,79.000000,920.000000
0.000,2144.000000,571.000000,7.000000,0.000000,1680.000000,1377.000000,3753.000000,91.000000,971.000000
0.000,2145.000000,544.000000,0.000000,0.000000,1615.000000,1324.000000,3823.000000,80.000000,873.000000
0.000,2146.000000,582.000000,4.000000,0.000000,2063.000000,1687.000000,3768.000000,81.000000,1180.000000
0.000,2147.000000,392.000000,0.000000,0.000000,1705.000000,1413.000000,3868.000000,79.000000,905.000000
0.000,2148.000000,535.000000,2.000000,0.000000,1819.000000,1467.000000,3871.000000,83.000000,1167.000000
0.000,2149.000000,555.000000,7.000000,0.000000,1816.000000,1450.000000,3895.000000,83.000000,1174.000000
0.000,2150.000000,761.000000,4.000000,0.000000,2075.000000,1643.000000,3451.000000,83.000000,1275.000000
0.000,2151.000000,726.000000,0.000000,0.000000,2041.000000,1644.000000,3823.000000,80.000000,1327.000000
0.000,2152.000000,675.000000,0.000000,0.000000,2030.000000,1633.000000,3886.000000,85.000000,1357.000000
0.000,2153.000000,839.000000,0.000000,1.000000,2301.000000,1987.000000,2901.000000,48.000000,1357.000000
