time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,6752.000000,648.000000,6.000000,0.000000,1495.000000,1191.000000,3825.000000,80.000000,0.000000
0.000,6753.000000,591.000000,4.000000,0.000000,1512.000000,1164.000000,3815.000000,78.000000,0.000000
0.000,6754.000000,637.000000,0.000000,0.000000,1523.000000,1192.000000,3806.000000,88.000000,0.000000
0.000,6755.000000,631.000000,0.000000,0.000000,1553.000000,1184.000000,3813.000000,77.000000,0.000000
0.000,6756.000000,672.000000,4.000000,0.000000,1529.000000,1194.000000,3793.000000,81.000000,0.000000
0.000,6757.000000,635.000000,0.000000,0.000000,1529.000000,1191.000000,3792.000000,83.000000,0.000000
0.000,6758.000000,668.000000,0.000000,0.000000,1540.000000,1206.000000,3765.000000,85.000000,0.000000
0.000,6759.000000,663.000000,0.000000,0.000000,1543.000000,1184.000000,3813.000000,79.000000,0.000000
0.000,6760.000000,684.000000,0.000000,0.000000,1561.000000,1181.000000,3804.000000,85.000000,0.000000
0.000,6761.000000,669.000000,5.000000,0.000000,4095.000000,1159.000000,3781.000000,81.000000,0.000000
0.000,6762.000000,683.000000,0.000000,0.000000,4095.000000,1149.000000,3789.000000,79.000000,0.000000
0.000,6763.000000,633.000000,0.000000,0.000000,4095.000000,1078.000000,3815.000000,77.000000,0.000000
0.000,6764.000000,691.000000,10.000000,0.000000,4095.000000,1147.000000,3859.000000,77.000000,0.000000
0.000,6765.000000,679.000000,1.000000,0.000000,4095.000000,1123.000000,3771.000000,75.000000,0.000000
0.000,6766.000000,696.000000,5.000000,0.000000,4095.000000,1175.000000,3751.000000,83.000000,0.000000
0.000,6767.000000,693.000000,12.000000,0.000000,4095.000000,1171.000000,3801.000000,85.000000,0.000000
0.000,6768.000000,743.000000,6.000000,0.000000,4095.000000,1193.000000,3752.000000,74.000000,0.000000
0.000,6769.000000,733.000000,4.000000,0.000000,4095.000000,1157.000000,3755.000000,75.000000,0.000000
0.000,6770.000000,717.000000,1.000000,0.000000,4095.000000,1141.000000,3753.000000,81.000000,0.000000
0.000,6771.000000,677.000000,4.000000,0.000000,4095.000000,1149.000000,3755.000000,80.000000,0.000000
0.000,6772.000000,727.000000,0.000000,1.000000,4095.000000,1164.000000,3796.000000,76.000000,0.000000
0.000,6773.000000,682.000000,2.000000,0.000000,4095.000000,1157.000000,3764.000000,83.000000,0.000000
0.000,6774.000000,735.000000,8.000000,0.000000,4095.000000,1182.000000,3800.000000,85.000000,0.000000
0.000,6775.000000,693.000000,2.000000,0.000000,4095.000000,1149.000000,3773.000000,83.000000,0.000000
0.000,6776.000000,723.000000,1.000000,0.000000,4095.000000,1149.000000,3782.000000,85.000000,0.000000
0.000,6777.000000,675.000000,2.000000,0.000000,4095.000000,1163.000000,3757.000000,75.000000,0.000000
0.000,6778.000000,813.000000,5.000000,0.000000,4095.000000,1191.000000,3795.000000,81.000000,0.000000
0.000,6779.000000,887.000000,2.000000,0.000000,1445.000000,1130.000000,3820.000000,81.000000,0.000000
0.000,6780.000000,1006.000000,2.000000,0.000000,4095.000000,1181.000000,3755.000000,77.000000,0.000000
0.000,6781.000000,1067.000000,20.000000,0.000000,1496.000000,1148.000000,3815.000000,83.000000,0.000000
0.000,6782.000000,1275.000000,21.000000,0.000000,1560.000000,1211.000000,3769.000000,77.000000,0.000000
0.000,6783.000000,1366.000000,16.000000,0.000000,4095.000000,1256.000000,3795.000000,87.000000,0.000000
0.000,6784.000000,1627.000000,26.000000,0.000000,1853.000000,1448.000000,3654.000000,77.000000,616.000000
0.000,6785.000000,721.000000,0.000000,0.000000,4095.000000,1523.000000,3767.000000,82.000000,1039.000000
0.000,6786.000000,607.000000,0.000000,0.000000,4095.000000,1453.000000,3671.000000,77.000000,673.000000
0.000,6787.000000,616.000000,0.000000,0.000000,1905.000000,1541.000000,3640.000000,78.000000,687.000000
0.000,6788.000000,1288.000000,0.000000,0.000000,1787.000000,1356.000000,3725.000000,83.000000,685.000000
0.000,6789.000000,785.000000,0.000000,1.000000,1887.000000,1516.000000,3755.000000,76.000000,807.000000
0.000,6790.000000,609.000000,0.000000,0.000000,4095.000000,1309.000000,3729.000000,81.000000,766.000000
0.000,6791.000000,601.000000,1.000000,0.000000,1705.000000,1447.000000,3736.000000,80.000000,655.000000
0.000,6792.000000,720.000000,0.000000,0.000000,1845.000000,1572.000000,3576.000000,80.000000,931.000000
0.000,6793.000000,916.000000,2.000000,0.000000,1802.000000,1512.000000,3819.000000,88.000000,715.000000
0.000,6794.000000,1560.000000,25.000000,0.000000,4095.000000,1572.000000,3801.000000,93.000000,809.000000
0.000,6795.000000,529.000000,0.000000,0.000000,4095.000000,1369.000000,3752.000000,78.000000,877.000000
0.000,6796.000000,541.000000,4.000000,0.000000,4095.000000,1326.000000,3719.000000,104.000000,853.000000
0.000,6797.000000,573.000000,0.000000,0.000000,4095.000000,1342.000000,3731.000000,76.000000,741.000000
0.000,6798.000000,647.000000,0.000000,0.000000,1683.000000,1385.000000,3736.000000,81.000000,608.000000
0.000,6799.000000,544.000000,6.000000,0.000000,3592.000000,1405.000000,3738.000000,78.000000,619.000000
0.000,6800.000000,553.000000,0.000000,0.000000,1599.000000,1357.000000,3760.000000,84.000000,687.000000
0.000,6801.000000,521.000000,0.000000,0.000000,1683.000000,1396.000000,3835.000000,85.000000,985.000000
0.000,6802.000000,563.000000,0.000000,0.000000,1641.000000,1411.000000,3749.000000,81.000000,1050.000000
0.000,6803.000000,624.000000,18.000000,0.000000,4095.000000,1351.000000,3803.000000,83.000000,987.000000
0.000,6804.000000,1572.000000,21.000000,0.000000,1417.000000,1720.000000,3456.000000,72.000000,1105.000000
0.000,6805.000000,476.000000,4.000000,0.000000,1647.000000,1359.000000,3745.000000,77.000000,821.000000
0.000,6806.000000,671.000000,0.000000,0.000000,1723.000000,1476.000000,3628.000000,77.000000,800.000000
0.000,6807.000000,597.000000,0.000000,0.000000,4095.000000,1374.000000,3648.000000,76.000000,775.000000
0.000,6808.000000,547.000000,0.000000,0.000000,1675.000000,1415.000000,3727.000000,84.000000,866.000000
0.000,6809.000000,515.000000,0.000000,0.000000,1641.000000,1371.000000,3828.000000,79.000000,877.000000
0.000,6810.000000,554.000000,0.000000,0.000000,1664.000000,1388.000000,3760.000000,81.000000,864.000000
0.000,6811.000000,501.000000,0.000000,0.000000,1628.000000,1357.000000,3739.000000,82.000000,923.000000
0.000,6812.000000,529.000000,0.000000,0.000000,1617.000000,1329.000000,3720.000000,87.000000,917.000000
0.000,6813.000000,651.000000,0.000000,0.000000,1700.000000,1297.000000,3461.000000,64.000000,680.000000
0.000,6814.000000,573.000000,0.000000,0.000000,1627.000000,1407.000000,3788.000000,86.000000,1117.000000
0.000,6815.000000,588.000000,0.000000,0.000000,1677.000000,1400.000000,3813.000000,76.000000,1017.000000
0.000,6816.000000,537.000000,0.000000,0.000000,1643.000000,1381.000000,3797.000000,84.000000,865.000000
0.000,6817.000000,489.000000,2.000000,0.000000,1651.000000,1357.000000,3831.000000,80.000000,893.000000
0.000,6818.000000,504.000000,8.000000,0.000000,1641.000000,1369.000000,3784.000000,85.000000,816.000000
0.000,6819.000000,455.000000,2.000000,0.000000,1631.000000,1341.000000,3802.000000,78.000000,813.000000
0.000,6820.000000,472.000000,6.000000,0.000000,1639.000000,1349.000000,3769.000000,89.000000,827.000000
0.000,6821.000000,608.000000,4.000000,0.000000,1680.000000,1380.000000,3804.000000,83.000000,878.000000
0.000,6822.000000,1684.000000,24.000000,0.000000,1845.000000,1505.000000,3740.000000,82.000000,1009.000000
0.000,6823.000000,1646.000000,30.000000,0.000000,1880.000000,1513.000000,3771.000000,85.000000,1050.000000
0.000,6824.000000,1675.000000,25.000000,0.000000,1961.000000,1565.000000,3808.000000,81.000000,1132.000000
0.000,6825.000000,1725.000000,18.000000,0.000000,1920.000000,1584.000000,3780.000000,83.000000,1184.000000
0.000,6826.000000,1677.000000,22.000000,0.000000,1884.000000,1536.000000,3717.000000,75.000000,1207.000000
0.000,6827.000000,1671.000000,29.000000,0.000000,1788.000000,1504.000000,3730.000000,82.000000,1189.000000
0.000,6828.000000,1737.000000,33.000000,0.000000,2762.000000,1772.000000,3559.000000,75.000000,1484.000000
0.000,6829.000000,1805.000000,23.000000,0.000000,3189.000000,1845.000000,3504.000000,71.000000,1480.000000
0.000,6830.000000,1672.000000,29.000000,0.000000,3120.000000,1739.000000,3507.000000,73.000000,1487.000000
0.000,6831.000000,1639.000000,24.000000,0.000000,3171.000000,1828.000000,3515.000000,75.000000,1491.000000
0.000,6832.000000,1784.000000,27.000000,0.000000,3161.000000,1851.000000,3499.000000,73.000000,1481.000000
0.025,6833.000000,1772.000000,25.000000,0.000000,3171.000000,1865.000000,3525.000000,81.000000,1495.000000
0.076,6834.000000,1811.000000,22.000000,0.000000,3076.000000,1841.000000,3509.000000,73.000000,1544.000000
0.127,6835.000000,1765.000000,28.000000,0.000000,3165.000000,1859.000000,3515.000000,75.000000,1536.000000
0.178,6836.000000,1767.000000,25.000000,0.000000,3222.000000,1856.000000,3510.000000,72.000000,1544.000000
0.229,6837.000000,1843.000000,38.000000,0.000000,3070.000000,1929.000000,3445.000000,75.000000,1561.000000
0.280,6838.000000,1825.000000,29.000000,0.000000,3313.000000,1989.000000,3437.000000,71.000000,1595.000000
0.331,6839.000000,1805.000000,24.000000,0.000000,3313.000000,1933.000000,3481.000000,77.000000,1625.000000
0.382,6840.000000,1731.000000,31.000000,1.000000,3098.000000,1944.000000,3527.000000,71.000000,1623.000000
0.433,6841.000000,1712.000000,28.000000,0.000000,3115.000000,1928.000000,3450.000000,79.000000,1611.000000
0.484,6842.000000,1927.000000,33.000000,0.000000,3280.000000,1957.000000,3467.000000,74.000000,1673.000000
0.535,6843.000000,1969.000000,29.000000,0.000000,3237.000000,2021.000000,3195.000000,63.000000,1587.000000
0.586,6844.000000,1900.000000,31.000000,0.000000,3403.000000,2253.000000,3671.000000,81.000000,1752.000000
0.637,6845.000000,981.000000,8.000000,0.000000,3426.000000,1863.000000,3521.000000,75.000000,1535.000000
0.688,6846.000000,922.000000,2.000000,0.000000,3301.000000,1615.000000,3563.000000,81.000000,1212.000000
0.739,6847.000000,616.000000,0.000000,0.000000,4019.000000,3385.000000,3565.000000,74.000000,1220.000000
0.790,6848.000000,505.000000,0.000000,0.000000,4027.000000,3313.000000,3445.000000,76.000000,976.000000
0.841,6849.000000,400.000000,13.000000,0.000000,4095.000000,3432.000000,1925.000000,28.000000,912.000000
0.892,6850.000000,842.000000,16.000000,0.000000,4072.000000,3388.000000,1974.000000,33.000000,969.000000
0.943,6851.000000,984.000000,0.000000,0.000000,3244.000000,1029.000000,1873.000000,27.000000,729.000000
0.994,6852.000000,536.000000,0.000000,0.000000,3189.000000,1294.000000,3434.000000,26.000000,917.000000
1.045,6853.000000,441.000000,0.000000,0.000000,2063.000000,1367.000000,3607.000000,72.000000,1067.000000
1.096,6854.000000,715.000000,18.000000,0.000000,3224.000000,1925.000000,3159.000000,62.000000,1228.000000
1.147,6855.000000,822.000000,0.000000,0.000000,3053.000000,1772.000000,3467.000000,62.000000,1312.000000
1.198,6856.000000,499.000000,0.000000,0.000000,629.000000,1317.000000,3808.000000,81.000000,745.000000
1.249,6857.000000,691.000000,8.000000,0.000000,1568.000000,1351.000000,3454.000000,75.000000,993.000000
1.300,6858.000000,519.000000,4.000000,0.000000,700.000000,1287.000000,3785.000000,80.000000,731.000000
1.351,6859.000000,380.000000,2.000000,0.000000,1403.000000,1260.000000,3740.000000,73.000000,727.000000
1.402,6860.000000,713.000000,4.000000,0.000000,3115.000000,1507.000000,3482.000000,75.000000,876.000000
1.453,6861.000000,631.000000,0.000000,0.000000,3139.000000,1504.000000,3507.000000,71.000000,992.000000
1.504,6862.000000,679.000000,0.000000,0.000000,3107.000000,1525.000000,3509.000000,72.000000,931.000000
1.555,6863.000000,672.000000,1.000000,0.000000,3120.000000,1547.000000,3471.000000,72.000000,931.000000
1.606,6864.000000,615.000000,0.000000,0.000000,3171.000000,1512.000000,3500.000000,74.000000,901.000000
1.657,6865.000000,489.000000,0.000000,0.000000,3147.000000,1509.000000,3553.000000,64.000000,941.000000
1.708,6866.000000,364.000000,0.000000,0.000000,1355.000000,1239.000000,3736.000000,77.000000,636.000000
1.759,6867.000000,359.000000,0.000000,0.000000,1444.000000,1208.000000,3773.000000,80.000000,654.000000
1.810,6868.000000,369.000000,0.000000,0.000000,1435.000000,1221.000000,3744.000000,75.000000,647.000000
1.861,6869.000000,213.000000,0.000000,0.000000,1395.000000,1172.000000,3800.000000,77.000000,664.000000
