time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,7872.000000,958.000000,12.000000,0.000000,2584.000000,4095.000000,3987.000000,99.000000,3901.000000
0.000,7873.000000,925.000000,9.000000,0.000000,2545.000000,4095.000000,3883.000000,81.000000,3917.000000
0.000,7874.000000,969.000000,2.000000,0.000000,2531.000000,4095.000000,3951.000000,88.000000,3779.000000
0.000,7875.000000,1013.000000,4.000000,0.000000,2584.000000,3875.000000,4043.000000,88.000000,3935.000000
0.000,7876.000000,997.000000,2.000000,0.000000,2504.000000,3867.000000,3995.000000,83.000000,3968.000000
0.000,7877.000000,1056.000000,10.000000,0.000000,2579.000000,3812.000000,3977.000000,76.000000,3939.000000
0.000,7878.000000,1045.000000,6.000000,0.000000,2645.000000,4095.000000,4044.000000,93.000000,3973.000000
0.000,7879.000000,945.000000,3.000000,0.000000,2537.000000,4095.000000,4026.000000,89.000000,3960.000000
0.000,7880.000000,930.000000,2.000000,0.000000,2541.000000,4095.000000,3983.000000,86.000000,3901.000000
0.000,7881.000000,916.000000,17.000000,0.000000,2505.000000,4095.000000,4043.000000,87.000000,3921.000000
0.000,7882.000000,901.000000,16.000000,1.000000,2504.000000,3865.000000,4095.000000,85.000000,3928.000000
0.000,7883.000000,946.000000,3.000000,0.000000,2485.000000,3813.000000,4056.000000,84.000000,3955.000000
0.000,7884.000000,1099.000000,2.000000,0.000000,2586.000000,3904.000000,4012.000000,97.000000,3528.000000
0.000,7885.000000,1733.000000,37.000000,0.000000,2675.000000,4095.000000,1591.000000,0.000000,1115.000000
0.000,7886.000000,743.000000,6.000000,0.000000,1373.000000,2525.000000,1887.000000,4.000000,957.000000
0.000,7887.000000,647.000000,0.000000,0.000000,1192.000000,2973.000000,1933.000000,27.000000,445.000000
0.000,7888.000000,667.000000,0.000000,0.000000,1285.000000,3132.000000,1911.000000,24.000000,629.000000
0.000,7889.000000,632.000000,1.000000,0.000000,1315.000000,3169.000000,1887.000000,26.000000,557.000000
0.000,7890.000000,565.000000,0.000000,0.000000,941.000000,3187.000000,1869.000000,28.000000,520.000000
0.000,7891.000000,569.000000,0.000000,0.000000,674.000000,3197.000000,1891.000000,33.000000,954.000000
0.000,7892.000000,893.000000,0.000000,0.000000,775.000000,3209.000000,3440.000000,69.000000,1045.000000
0.000,7893.000000,891.000000,0.000000,0.000000,1963.000000,3364.000000,3547.000000,75.000000,896.000000
0.000,7894.000000,783.000000,5.000000,0.000000,599.000000,4095.000000,1717.000000,25.000000,1032.000000
0.000,7895.000000,675.000000,2.000000,0.000000,696.000000,1591.000000,3902.000000,87.000000,1323.000000
0.000,7896.000000,807.000000,5.000000,0.000000,2011.000000,2059.000000,3835.000000,87.000000,1479.000000
0.000,7897.000000,787.000000,6.000000,0.000000,1900.000000,2024.000000,3921.000000,87.000000,1433.000000
0.000,7898.000000,752.000000,3.000000,0.000000,1117.000000,2023.000000,3895.000000,95.000000,1208.000000
0.000,7899.000000,743.000000,0.000000,0.000000,1997.000000,2067.000000,3870.000000,84.000000,1387.000000
0.000,7900.000000,784.000000,3.000000,0.000000,2005.000000,2125.000000,3821.000000,83.000000,1425.000000
0.000,7901.000000,776.000000,3.000000,0.000000,2033.000000,2115.000000,3867.000000,85.000000,1397.000000
0.000,7902.000000,749.000000,7.000000,0.000000,2025.000000,2136.000000,3913.000000,93.000000,1235.000000
0.000,7903.000000,696.000000,0.000000,0.000000,2023.000000,2123.000000,3917.000000,83.000000,1152.000000
0.000,7904.000000,768.000000,6.000000,0.000000,2021.000000,2130.000000,3814.000000,90.000000,1190.000000
0.000,7905.000000,1017.000000,42.000000,0.000000,2283.000000,2253.000000,3915.000000,84.000000,1431.000000
0.000,7906.000000,821.000000,5.000000,0.000000,1778.000000,2000.000000,3801.000000,91.000000,863.000000
0.000,7907.000000,789.000000,0.000000,0.000000,2039.000000,2093.000000,3819.000000,87.000000,1006.000000
0.000,7908.000000,854.000000,0.000000,0.000000,1735.000000,1798.000000,3712.000000,76.000000,905.000000
0.000,7909.000000,783.000000,3.000000,0.000000,2023.000000,2121.000000,3720.000000,81.000000,887.000000
0.000,7910.000000,844.000000,3.000000,0.000000,2066.000000,2148.000000,3675.000000,83.000000,1034.000000
0.000,7911.000000,787.000000,6.000000,0.000000,1980.000000,2097.000000,3829.000000,91.000000,1363.000000
0.000,7912.000000,695.000000,3.000000,0.000000,2027.000000,2080.000000,3913.000000,84.000000,1243.000000
0.000,7913.000000,691.000000,0.000000,0.000000,2011.000000,2069.000000,3885.000000,83.000000,1157.000000
0.000,7914.000000,709.000000,4.000000,0.000000,1839.000000,1948.000000,3914.000000,85.000000,1129.000000
0.000,7915.000000,679.000000,1.000000,0.000000,2003.000000,2056.000000,3912.000000,83.000000,1408.000000
0.000,7916.000000,693.000000,0.000000,0.000000,1977.000000,2093.000000,3927.000000,88.000000,1391.000000
0.000,7917.000000,667.000000,6.000000,0.000000,1935.000000,2096.000000,3919.000000,80.000000,1269.000000
0.000,7918.000000,699.000000,6.000000,0.000000,1961.000000,2119.000000,3886.000000,88.000000,1093.000000
0.000,7919.000000,2029.000000,37.000000,0.000000,2249.000000,2293.000000,3828.000000,84.000000,1445.000000
0.000,7920.000000,2074.000000,43.000000,0.000000,2199.000000,2226.000000,3851.000000,81.000000,1489.000000
0.000,7921.000000,1977.000000,33.000000,0.000000,2224.000000,2291.000000,3919.000000,83.000000,1465.000000
0.000,7922.000000,1888.000000,33.000000,0.000000,2016.000000,2187.000000,3867.000000,84.000000,1339.000000
0.000,7923.000000,2131.000000,47.000000,0.000000,2359.000000,2333.000000,3773.000000,85.000000,1646.000000
0.000,7924.000000,1973.000000,25.000000,0.000000,2251.000000,2299.000000,3736.000000,80.000000,1529.000000
0.000,7925.000000,1905.000000,24.000000,0.000000,1929.000000,2063.000000,3866.000000,83.000000,1439.000000
0.000,7926.000000,3149.000000,75.000000,0.000000,3653.000000,2109.000000,1812.000000,20.000000,823.000000
0.000,7927.000000,1760.000000,21.000000,0.000000,1109.000000,1875.000000,1843.000000,25.000000,937.000000
0.000,7928.000000,1507.000000,27.000000,0.000000,1439.000000,2047.000000,1873.000000,31.000000,894.000000
0.000,7929.000000,1611.000000,37.000000,0.000000,1565.000000,2044.000000,1887.000000,21.000000,901.000000
0.000,7930.000000,1464.000000,6.000000,0.000000,1336.000000,2485.000000,1864.000000,33.000000,699.000000
0.000,7931.000000,1544.000000,21.000000,0.000000,1483.000000,802.000000,1759.000000,20.000000,615.000000
0.000,7932.000000,1287.000000,25.000000,9.000000,1719.000000,1320.000000,1849.000000,33.000000,693.000000
0.000,7933.000000,1420.000000,21.000000,0.000000,1381.000000,1609.000000,1860.000000,24.000000,667.000000
0.000,7934.000000,1280.000000,18.000000,0.000000,1288.000000,1893.000000,1851.000000,27.000000,713.000000
0.000,7935.000000,1883.000000,31.000000,0.000000,2005.000000,2696.000000,3437.000000,64.000000,1388.000000
0.000,7936.000000,2149.000000,35.000000,0.000000,2395.000000,2871.000000,3233.000000,57.000000,1721.000000
0.000,7937.000000,1384.000000,30.000000,0.000000,979.000000,2912.000000,1888.000000,19.000000,1193.000000
0.000,7938.000000,1123.000000,13.000000,0.000000,1319.000000,1655.000000,1848.000000,24.000000,663.000000
0.000,7939.000000,1386.000000,22.000000,0.000000,1404.000000,2125.000000,1849.000000,29.000000,670.000000
0.000,7940.000000,1576.000000,11.000000,0.000000,1932.000000,2216.000000,3417.000000,77.000000,1183.000000
0.000,7941.000000,1821.000000,24.000000,2.000000,2045.000000,2360.000000,3551.000000,73.000000,1385.000000
0.000,7942.000000,1423.000000,20.000000,0.000000,1525.000000,2403.000000,1900.000000,22.000000,985.000000
0.000,7943.000000,1353.000000,28.000000,0.000000,1431.000000,2323.000000,864.000000,7.000000,845.000000
0.000,7944.000000,1481.000000,16.000000,0.000000,1609.000000,2227.000000,1524.000000,12.000000,923.000000
