time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5492.000000,1529.000000,21.000000,0.000000,4063.000000,3354.000000,3626.000000,72.000000,0.000000
0.000,5493.000000,1600.000000,29.000000,0.000000,4053.000000,3364.000000,3641.000000,69.000000,0.000000
0.000,5494.000000,1599.000000,24.000000,0.000000,4053.000000,3323.000000,3607.000000,75.000000,0.000000
0.000,5495.000000,1556.000000,16.000000,0.000000,4072.000000,3368.000000,3671.000000,81.000000,0.000000
0.000,5496.000000,1513.000000,22.000000,0.000000,4048.000000,3353.000000,3648.000000,73.000000,0.000000
0.000,5497.000000,1517.000000,26.000000,0.000000,4060.000000,3369.000000,3648.000000,75.000000,0.000000
0.000,5498.000000,1532.000000,18.000000,0.000000,4057.000000,3354.000000,3650.000000,77.000000,0.000000
0.000,5499.000000,1495.000000,22.000000,0.000000,4059.000000,3367.000000,3630.000000,77.000000,0.000000
0.000,5500.000000,1521.000000,22.000000,0.000000,4049.000000,3360.000000,3625.000000,80.000000,0.000000
0.000,5501.000000,1504.000000,17.000000,0.000000,4063.000000,3369.000000,3609.000000,72.000000,0.000000
0.000,5502.000000,1469.000000,18.000000,0.000000,4063.000000,3353.000000,3560.000000,75.000000,0.000000
0.000,5503.000000,1547.000000,22.000000,0.000000,4093.000000,3368.000000,3635.000000,75.000000,0.000000
0.000,5504.000000,1513.000000,17.000000,0.000000,4067.000000,3361.000000,3618.000000,71.000000,0.000000
0.000,5505.000000,1527.000000,24.000000,0.000000,4057.000000,3365.000000,3641.000000,72.000000,0.000000
0.000,5506.000000,1579.000000,28.000000,0.000000,3999.000000,3193.000000,3368.000000,61.000000,1448.000000
0.000,5507.000000,1597.000000,25.000000,3.000000,4001.000000,3205.000000,3395.000000,73.000000,1274.000000
0.000,5508.000000,1621.000000,20.000000,0.000000,4004.000000,3166.000000,3437.000000,71.000000,1371.000000
0.000,5509.000000,1575.000000,20.000000,1.000000,4004.000000,3193.000000,3395.000000,73.000000,1496.000000
0.000,5510.000000,1600.000000,20.000000,0.000000,4010.000000,3189.000000,3432.000000,79.000000,1259.000000
0.000,5511.000000,1604.000000,16.000000,0.000000,4009.000000,3200.000000,3421.000000,69.000000,1243.000000
0.000,5512.000000,1616.000000,17.000000,0.000000,4009.000000,3184.000000,3404.000000,80.000000,1251.000000
0.000,5513.000000,1575.000000,37.000000,0.000000,4012.000000,3203.000000,3414.000000,58.000000,1433.000000
0.000,5514.000000,1631.000000,25.000000,0.000000,4006.000000,3160.000000,3288.000000,71.000000,1319.000000
0.000,5515.000000,1577.000000,24.000000,0.000000,4021.000000,3175.000000,3384.000000,64.000000,1305.000000
0.000,5516.000000,1589.000000,17.000000,0.000000,4000.000000,3184.000000,3405.000000,76.000000,1433.000000
0.000,5517.000000,1577.000000,16.000000,0.000000,4021.000000,3189.000000,3416.000000,73.000000,1443.000000
0.000,5518.000000,1657.000000,24.000000,0.000000,4013.000000,3177.000000,3336.000000,67.000000,1437.000000
0.000,5519.000000,2069.000000,45.000000,0.000000,4095.000000,4053.000000,4095.000000,101.000000,0.000000
0.000,5520.000000,1771.000000,7.000000,0.000000,4095.000000,2057.000000,1902.000000,45.000000,0.000000
0.000,5521.000000,551.000000,5.000000,0.000000,4095.000000,880.000000,1843.000000,24.000000,0.000000
0.000,5522.000000,1770.000000,44.000000,0.000000,1997.000000,2365.000000,1833.000000,22.000000,95.000000
0.000,5523.000000,1696.000000,20.000000,0.000000,4002.000000,2975.000000,1867.000000,27.000000,0.000000
0.000,5524.000000,1613.000000,25.000000,0.000000,3411.000000,1960.000000,1855.000000,28.000000,1240.000000
0.000,5525.000000,1508.000000,24.000000,0.000000,4057.000000,3119.000000,1880.000000,30.000000,1432.000000
0.000,5526.000000,1408.000000,24.000000,1.000000,4095.000000,2105.000000,1853.000000,26.000000,935.000000
0.000,5527.000000,1847.000000,29.000000,0.000000,4095.000000,1833.000000,1867.000000,24.000000,908.000000
0.000,5528.000000,1824.000000,40.000000,0.000000,4095.000000,1817.000000,1869.000000,26.000000,1130.000000
0.000,5529.000000,1773.000000,53.000000,0.000000,4095.000000,1787.000000,1837.000000,23.000000,955.000000
0.000,5530.000000,1370.000000,20.000000,0.000000,4095.000000,2043.000000,1859.000000,33.000000,1203.000000
0.000,5531.000000,1735.000000,29.000000,0.000000,4095.000000,2055.000000,1847.000000,27.000000,1171.000000
0.000,5532.000000,1721.000000,33.000000,0.000000,4095.000000,1789.000000,1879.000000,41.000000,1128.000000
0.000,5533.000000,1383.000000,27.000000,0.000000,4095.000000,832.000000,1815.000000,20.000000,437.000000
0.000,5534.000000,1287.000000,17.000000,0.000000,4095.000000,699.000000,1811.000000,23.000000,411.000000
0.000,5535.000000,1245.000000,18.000000,0.000000,4095.000000,653.000000,1831.000000,22.000000,347.000000
0.000,5536.000000,1399.000000,39.000000,0.000000,4095.000000,1723.000000,1853.000000,33.000000,731.000000
0.000,5537.000000,1408.000000,26.000000,0.000000,4095.000000,1899.000000,1835.000000,24.000000,882.000000
0.000,5538.000000,1425.000000,19.000000,0.000000,4095.000000,1913.000000,1839.000000,30.000000,721.000000
0.000,5539.000000,1351.000000,17.000000,0.000000,4095.000000,1916.000000,1883.000000,26.000000,710.000000
0.000,5540.000000,1163.000000,5.000000,0.000000,4095.000000,762.000000,1827.000000,25.000000,315.000000
