time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5212.000000,496.000000,9.000000,0.000000,3464.000000,957.000000,1866.000000,25.000000,0.000000
0.000,5213.000000,453.000000,16.000000,0.000000,3483.000000,960.000000,1817.000000,17.000000,0.000000
0.000,5214.000000,465.000000,0.000000,0.000000,3467.000000,937.000000,1834.000000,28.000000,0.000000
0.000,5215.000000,466.000000,0.000000,0.000000,3515.000000,928.000000,1831.000000,26.000000,0.000000
0.000,5216.000000,527.000000,16.000000,0.000000,4095.000000,3291.000000,1915.000000,26.000000,0.000000
0.000,5217.000000,319.000000,2.000000,0.000000,3487.000000,1032.000000,1853.000000,25.000000,0.000000
0.000,5218.000000,302.000000,0.000000,0.000000,4095.000000,3536.000000,1939.000000,29.000000,0.000000
0.000,5219.000000,326.000000,0.000000,0.000000,4095.000000,3536.000000,1894.000000,25.000000,0.000000
0.000,5220.000000,300.000000,0.000000,0.000000,4095.000000,3543.000000,1876.000000,30.000000,0.000000
0.000,5221.000000,247.000000,0.000000,0.000000,4095.000000,3579.000000,1923.000000,26.000000,0.000000
0.000,5222.000000,287.000000,4.000000,0.000000,3445.000000,814.000000,1852.000000,33.000000,0.000000
0.000,5223.000000,249.000000,0.000000,0.000000,4095.000000,3569.000000,1912.000000,23.000000,0.000000
0.000,5224.000000,275.000000,0.000000,0.000000,4095.000000,3560.000000,1949.000000,25.000000,0.000000
0.000,5225.000000,291.000000,0.000000,0.000000,4095.000000,3575.000000,1904.000000,26.000000,0.000000
0.000,5226.000000,249.000000,0.000000,0.000000,3439.000000,873.000000,1839.000000,24.000000,0.000000
0.000,5227.000000,307.000000,0.000000,0.000000,3995.000000,3461.000000,1899.000000,26.000000,0.000000
0.000,5228.000000,309.000000,0.000000,0.000000,4095.000000,3505.000000,1915.000000,27.000000,0.000000
0.000,5229.000000,421.000000,1.000000,0.000000,4095.000000,3679.000000,1923.000000,28.000000,0.000000
0.000,5230.000000,371.000000,0.000000,0.000000,4095.000000,3516.000000,1915.000000,33.000000,0.000000
0.000,5231.000000,309.000000,0.000000,0.000000,4095.000000,3529.000000,1928.000000,25.000000,0.000000
0.000,5232.000000,325.000000,1.000000,0.000000,4095.000000,3515.000000,1928.000000,25.000000,0.000000
0.000,5233.000000,371.000000,3.000000,0.000000,4080.000000,3463.000000,1936.000000,26.000000,0.000000
0.000,5234.000000,379.000000,9.000000,0.000000,3627.000000,3293.000000,1931.000000,22.000000,0.000000
0.000,5235.000000,497.000000,0.000000,0.000000,4095.000000,3707.000000,1903.000000,30.000000,0.000000
0.000,5236.000000,297.000000,2.000000,0.000000,4095.000000,3476.000000,1913.000000,22.000000,0.000000
0.000,5237.000000,249.000000,0.000000,0.000000,4095.000000,3541.000000,1917.000000,24.000000,0.000000
0.000,5238.000000,280.000000,0.000000,0.000000,4095.000000,3517.000000,1930.000000,24.000000,0.000000
0.000,5239.000000,253.000000,0.000000,0.000000,4095.000000,3576.000000,1891.000000,27.000000,0.000000
0.000,5240.000000,293.000000,0.000000,0.000000,4095.000000,3527.000000,1928.000000,30.000000,0.000000
0.000,5241.000000,271.000000,0.000000,0.000000,4095.000000,3616.000000,1899.000000,25.000000,0.000000
0.000,5242.000000,252.000000,0.000000,0.000000,4095.000000,3512.000000,1929.000000,24.000000,0.000000
0.000,5243.000000,264.000000,0.000000,0.000000,4095.000000,3527.000000,1901.000000,24.000000,0.000000
0.000,5244.000000,269.000000,0.000000,0.000000,4095.000000,3535.000000,1864.000000,28.000000,0.000000
0.000,5245.000000,283.000000,0.000000,0.000000,4095.000000,3561.000000,1912.000000,25.000000,0.000000
0.000,5246.000000,283.000000,0.000000,0.000000,4081.000000,3219.000000,1907.000000,22.000000,0.000000
0.000,5247.000000,461.000000,0.000000,0.000000,3372.000000,936.000000,1813.000000,23.000000,0.000000
0.000,5248.000000,469.000000,8.000000,0.000000,3659.000000,1081.000000,1848.000000,29.000000,0.000000
0.000,5249.000000,352.000000,2.000000,0.000000,4095.000000,3561.000000,1893.000000,26.000000,0.000000
0.000,5250.000000,483.000000,9.000000,0.000000,4095.000000,3612.000000,1868.000000,25.000000,0.000000
0.000,5251.000000,648.000000,5.000000,0.000000,4095.000000,3501.000000,1916.000000,25.000000,0.000000
0.000,5252.000000,571.000000,0.000000,0.000000,4095.000000,3569.000000,1900.000000,29.000000,0.000000
0.000,5253.000000,777.000000,0.000000,0.000000,4095.000000,3459.000000,1907.000000,22.000000,0.000000
0.000,5254.000000,695.000000,10.000000,0.000000,4095.000000,3672.000000,1932.000000,24.000000,0.000000
0.000,5255.000000,565.000000,1.000000,0.000000,4095.000000,3567.000000,1916.000000,26.000000,0.000000
0.000,5256.000000,556.000000,8.000000,0.000000,4095.000000,3592.000000,1952.000000,31.000000,0.000000
0.000,5257.000000,557.000000,0.000000,0.000000,4095.000000,3617.000000,1909.000000,24.000000,0.000000
0.000,5258.000000,631.000000,4.000000,0.000000,4095.000000,3613.000000,1904.000000,27.000000,0.000000
0.000,5259.000000,621.000000,1.000000,0.000000,3512.000000,1248.000000,1816.000000,24.000000,0.000000
0.000,5260.000000,547.000000,5.000000,0.000000,4095.000000,3569.000000,1889.000000,35.000000,0.000000
0.000,5261.000000,567.000000,2.000000,0.000000,4095.000000,3601.000000,1893.000000,25.000000,0.000000
0.000,5262.000000,555.000000,0.000000,0.000000,3503.000000,1181.000000,1838.000000,20.000000,0.000000
0.000,5263.000000,530.000000,5.000000,0.000000,4095.000000,3573.000000,1912.000000,28.000000,0.000000
0.000,5264.000000,573.000000,0.000000,0.000000,4095.000000,3567.000000,1918.000000,20.000000,0.000000
0.000,5265.000000,763.000000,4.000000,0.000000,4095.000000,3757.000000,1901.000000,24.000000,0.000000
0.000,5266.000000,576.000000,0.000000,0.000000,4095.000000,3592.000000,1893.000000,26.000000,0.000000
0.000,5267.000000,600.000000,8.000000,0.000000,3751.000000,3673.000000,1485.000000,16.000000,0.000000
0.000,5268.000000,915.000000,9.000000,0.000000,3488.000000,1915.000000,3628.000000,81.000000,0.000000
0.000,5269.000000,948.000000,9.000000,0.000000,3503.000000,1920.000000,3617.000000,83.000000,0.000000
0.000,5270.000000,1035.000000,30.000000,0.000000,4091.000000,2509.000000,4095.000000,89.000000,0.000000
0.000,5271.000000,1715.000000,33.000000,0.000000,3758.000000,2788.000000,4095.000000,93.000000,33.000000
0.000,5272.000000,2355.000000,57.000000,0.000000,3276.000000,3128.000000,2653.000000,11.000000,977.000000
0.000,5273.000000,2310.000000,67.000000,2.000000,3293.000000,3613.000000,2352.000000,0.000000,373.000000
0.000,5274.000000,3303.000000,80.000000,1.000000,3929.000000,2153.000000,1799.000000,11.000000,984.000000
0.000,5275.000000,1272.000000,22.000000,0.000000,1494.000000,931.000000,1863.000000,43.000000,403.000000
0.000,5276.000000,3054.000000,97.000000,0.000000,3488.000000,876.000000,1820.000000,19.000000,397.000000
0.000,5277.000000,1181.000000,10.000000,0.000000,1142.000000,999.000000,1844.000000,24.000000,314.000000
0.000,5278.000000,461.000000,0.000000,0.000000,1248.000000,1012.000000,1852.000000,20.000000,455.000000
