time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,7453.000000,319.000000,0.000000,0.000000,592.000000,1045.000000,3528.000000,24.000000,475.000000
0.000,7454.000000,359.000000,2.000000,0.000000,583.000000,1041.000000,3604.000000,29.000000,496.000000
0.000,7455.000000,323.000000,0.000000,0.000000,531.000000,1015.000000,3599.000000,39.000000,492.000000
0.000,7456.000000,309.000000,0.000000,0.000000,551.000000,1007.000000,3683.000000,51.000000,489.000000
0.000,7457.000000,311.000000,0.000000,0.000000,530.000000,1005.000000,3654.000000,43.000000,516.000000
0.000,7458.000000,331.000000,0.000000,0.000000,527.000000,1039.000000,3624.000000,43.000000,492.000000
0.000,7459.000000,345.000000,0.000000,0.000000,547.000000,1048.000000,3415.000000,26.000000,495.000000
0.000,7460.000000,297.000000,0.000000,0.000000,503.000000,1015.000000,3632.000000,38.000000,489.000000
0.000,7461.000000,315.000000,0.000000,0.000000,560.000000,1041.000000,3559.000000,30.000000,480.000000
0.000,7462.000000,305.000000,0.000000,0.000000,494.000000,1027.000000,3670.000000,50.000000,505.000000
0.000,7463.000000,237.000000,0.000000,0.000000,476.000000,1007.000000,3683.000000,52.000000,495.000000
0.000,7464.000000,307.000000,0.000000,0.000000,540.000000,1073.000000,3618.000000,36.000000,552.000000
0.000,7465.000000,284.000000,0.000000,0.000000,583.000000,1045.000000,3657.000000,52.000000,553.000000
0.000,7466.000000,361.000000,0.000000,0.000000,848.000000,1083.000000,3544.000000,44.000000,511.000000
0.000,7467.000000,352.000000,0.000000,0.000000,1005.000000,1136.000000,3625.000000,63.000000,599.000000
0.000,7468.000000,368.000000,0.000000,0.000000,1213.000000,1215.000000,3844.000000,83.000000,0.000000
0.000,7469.000000,512.000000,0.000000,0.000000,1573.000000,1343.000000,3531.000000,73.000000,532.000000
0.000,7470.000000,497.000000,0.000000,0.000000,1708.000000,1479.000000,3801.000000,77.000000,0.000000
0.000,7471.000000,616.000000,3.000000,0.000000,1905.000000,1607.000000,4035.000000,86.000000,0.000000
0.000,7472.000000,1917.000000,37.000000,0.000000,2169.000000,1881.000000,3937.000000,87.000000,0.000000
0.000,7473.000000,2140.000000,44.000000,0.000000,2264.000000,1987.000000,3917.000000,85.000000,0.000000
0.000,7474.000000,1959.000000,28.000000,0.000000,1992.000000,1781.000000,3830.000000,81.000000,17.000000
0.000,7475.000000,2121.000000,37.000000,0.000000,2171.000000,1941.000000,3872.000000,87.000000,0.000000
0.000,7476.000000,2194.000000,39.000000,0.000000,2215.000000,1997.000000,3736.000000,81.000000,317.000000
0.000,7477.000000,1662.000000,28.000000,0.000000,1679.000000,1491.000000,1847.000000,25.000000,432.000000
0.000,7478.000000,1717.000000,25.000000,0.000000,1596.000000,1159.000000,1854.000000,21.000000,367.000000
0.000,7479.000000,1477.000000,28.000000,0.000000,1244.000000,1003.000000,1848.000000,21.000000,307.000000
0.000,7480.000000,1617.000000,29.000000,0.000000,1417.000000,843.000000,1832.000000,28.000000,265.000000
0.000,7481.000000,1413.000000,8.000000,0.000000,2682.000000,839.000000,1851.000000,25.000000,936.000000
0.000,7482.000000,1801.000000,26.000000,0.000000,1548.000000,903.000000,1875.000000,24.000000,355.000000
0.000,7483.000000,1589.000000,28.000000,0.000000,1496.000000,819.000000,1819.000000,22.000000,275.000000
0.000,7484.000000,1403.000000,6.000000,0.000000,1299.000000,873.000000,1815.000000,51.000000,289.000000
0.000,7485.000000,1437.000000,43.000000,0.000000,1446.000000,768.000000,1861.000000,25.000000,345.000000
0.000,7486.000000,1213.000000,17.000000,0.000000,1031.000000,774.000000,1813.000000,29.000000,283.000000
0.000,7487.000000,1177.000000,20.000000,0.000000,1049.000000,781.000000,1827.000000,26.000000,254.000000
0.000,7488.000000,1293.000000,7.000000,0.000000,1165.000000,715.000000,1796.000000,22.000000,203.000000
0.000,7489.000000,1170.000000,8.000000,0.000000,1057.000000,736.000000,1807.000000,23.000000,200.000000
0.000,7490.000000,1152.000000,22.000000,0.000000,1047.000000,723.000000,1816.000000,27.000000,173.000000
0.000,7491.000000,1171.000000,23.000000,0.000000,1047.000000,699.000000,1845.000000,28.000000,90.000000
0.000,7492.000000,1164.000000,20.000000,0.000000,1005.000000,715.000000,1810.000000,23.000000,63.000000
0.000,7493.000000,1144.000000,24.000000,0.000000,983.000000,713.000000,1868.000000,26.000000,243.000000
0.000,7494.000000,1001.000000,5.000000,0.000000,973.000000,715.000000,1843.000000,30.000000,155.000000
0.000,7495.000000,1177.000000,20.000000,0.000000,1009.000000,681.000000,1831.000000,20.000000,87.000000
