time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1992.000000,200.000000,0.000000,0.000000,1268.000000,1069.000000,3888.000000,85.000000,0.000000
0.000,1993.000000,178.000000,0.000000,0.000000,1267.000000,1080.000000,3860.000000,83.000000,0.000000
0.000,1994.000000,199.000000,0.000000,0.000000,2117.000000,1085.000000,3851.000000,83.000000,0.000000
0.000,1995.000000,171.000000,0.000000,1.000000,1272.000000,1083.000000,3901.000000,83.000000,0.000000
0.000,1996.000000,192.000000,0.000000,0.000000,1275.000000,1091.000000,3879.000000,81.000000,0.000000
0.000,1997.000000,191.000000,0.000000,0.000000,1315.000000,1081.000000,3894.000000,85.000000,0.000000
0.000,1998.000000,200.000000,0.000000,0.000000,1254.000000,1055.000000,3901.000000,91.000000,0.000000
0.000,1999.000000,184.000000,0.000000,0.000000,1273.000000,1086.000000,3879.000000,78.000000,0.000000
0.000,2000.000000,197.000000,0.000000,0.000000,1270.000000,1080.000000,3900.000000,88.000000,0.000000
0.000,2001.000000,155.000000,0.000000,0.000000,1271.000000,1080.000000,3892.000000,81.000000,0.000000
0.000,2002.000000,173.000000,0.000000,1.000000,1304.000000,1098.000000,3885.000000,85.000000,0.000000
0.000,2003.000000,175.000000,0.000000,0.000000,1423.000000,1073.000000,3916.000000,89.000000,0.000000
0.000,2004.000000,187.000000,0.000000,0.000000,1388.000000,1135.000000,3938.000000,91.000000,137.000000
0.000,2005.000000,238.000000,0.000000,0.000000,1621.000000,1209.000000,3948.000000,78.000000,0.000000
0.000,2006.000000,396.000000,0.000000,0.000000,1728.000000,1321.000000,3861.000000,92.000000,945.000000
0.000,2007.000000,586.000000,4.000000,0.000000,2455.000000,1999.000000,3604.000000,77.000000,1451.000000
0.000,2008.000000,567.000000,0.000000,1.000000,2017.000000,1741.000000,3188.000000,55.000000,853.000000
0.000,2009.000000,843.000000,12.000000,0.000000,1788.000000,931.000000,1831.000000,25.000000,651.000000
0.000,2010.000000,218.000000,49.000000,0.000000,4095.000000,1036.000000,1806.000000,18.000000,496.000000
0.000,2011.000000,69.000000,2.000000,0.000000,4095.000000,617.000000,1832.000000,29.000000,471.000000
0.000,2012.000000,147.000000,0.000000,0.000000,4095.000000,389.000000,1801.000000,24.000000,267.000000
0.000,2013.000000,158.000000,18.000000,0.000000,4095.000000,329.000000,1825.000000,24.000000,192.000000
0.000,2014.000000,2983.000000,19.000000,0.000000,4095.000000,315.000000,1804.000000,26.000000,183.000000
0.000,2015.000000,473.000000,0.000000,0.000000,4095.000000,2752.000000,1824.000000,0.000000,711.000000
0.000,2016.000000,573.000000,0.000000,0.000000,4095.000000,2799.000000,1870.000000,26.000000,949.000000
0.000,2017.000000,544.000000,2.000000,0.000000,4095.000000,2923.000000,1869.000000,25.000000,1031.000000
0.000,2018.000000,568.000000,0.000000,0.000000,4095.000000,2897.000000,1880.000000,24.000000,991.000000
0.000,2019.000000,568.000000,0.000000,0.000000,4095.000000,2999.000000,1889.000000,24.000000,969.000000
0.000,2020.000000,1689.000000,26.000000,0.000000,4095.000000,1753.000000,1853.000000,18.000000,855.000000
0.000,2021.000000,821.000000,0.000000,0.000000,4095.000000,2365.000000,1283.000000,0.000000,727.000000
0.000,2022.000000,625.000000,5.000000,0.000000,4095.000000,2760.000000,1881.000000,23.000000,953.000000
0.000,2023.000000,596.000000,0.000000,0.000000,4095.000000,2886.000000,1863.000000,25.000000,895.000000
0.000,2024.000000,88.000000,7.000000,0.000000,3991.000000,1488.000000,1848.000000,23.000000,896.000000
0.000,2025.000000,449.000000,2.000000,0.000000,4095.000000,2849.000000,1815.000000,0.000000,947.000000
0.000,2026.000000,530.000000,0.000000,0.000000,4095.000000,2861.000000,1861.000000,24.000000,1223.000000
0.000,2027.000000,425.000000,0.000000,0.000000,4095.000000,3087.000000,1884.000000,24.000000,1316.000000
0.000,2028.000000,405.000000,0.000000,0.000000,4095.000000,3033.000000,1890.000000,27.000000,1491.000000
0.000,2029.000000,451.000000,0.000000,0.000000,4095.000000,3008.000000,1879.000000,29.000000,1491.000000
0.000,2030.000000,679.000000,0.000000,0.000000,4095.000000,2889.000000,1893.000000,24.000000,1017.000000
0.000,2031.000000,636.000000,0.000000,0.000000,2308.000000,2968.000000,3561.000000,40.000000,1651.000000
0.000,2032.000000,657.000000,0.000000,0.000000,2376.000000,3167.000000,3657.000000,77.000000,1812.000000
0.000,2033.000000,794.000000,7.000000,0.000000,2071.000000,3099.000000,3628.000000,81.000000,1375.000000
0.000,2034.000000,663.000000,4.000000,0.000000,4095.000000,3323.000000,3703.000000,77.000000,1608.000000
0.000,2035.000000,871.000000,4.000000,0.000000,2051.000000,3117.000000,3639.000000,77.000000,1351.000000
0.000,2036.000000,819.000000,1.000000,0.000000,4095.000000,3208.000000,3679.000000,82.000000,1637.000000
0.000,2037.000000,830.000000,2.000000,0.000000,4095.000000,3239.000000,3715.000000,76.000000,1704.000000
0.000,2038.000000,861.000000,0.000000,0.000000,4095.000000,3245.000000,3685.000000,89.000000,1627.000000
0.000,2039.000000,814.000000,4.000000,0.000000,4095.000000,3257.000000,3575.000000,71.000000,1649.000000
0.000,2040.000000,856.000000,9.000000,0.000000,4095.000000,3232.000000,3637.000000,75.000000,1633.000000
0.000,2041.000000,861.000000,10.000000,0.000000,4095.000000,3255.000000,3638.000000,74.000000,1621.000000
0.000,2042.000000,832.000000,1.000000,0.000000,4095.000000,3143.000000,3679.000000,83.000000,1562.000000
0.000,2043.000000,727.000000,0.000000,0.000000,4095.000000,3288.000000,3707.000000,81.000000,1395.000000
0.000,2044.000000,772.000000,0.000000,0.000000,4095.000000,3244.000000,3693.000000,91.000000,1625.000000
0.000,2045.000000,870.000000,3.000000,0.000000,2087.000000,3233.000000,3691.000000,77.000000,1453.000000
0.000,2046.000000,930.000000,4.000000,0.000000,2091.000000,3237.000000,3685.000000,75.000000,1463.000000
0.000,2047.000000,896.000000,7.000000,0.000000,2088.000000,3263.000000,3674.000000,83.000000,1497.000000
0.000,2048.000000,863.000000,2.000000,0.000000,2067.000000,3237.000000,3672.000000,73.000000,1463.000000
0.000,2049.000000,858.000000,5.000000,0.000000,2067.000000,3192.000000,3643.000000,83.000000,1425.000000
0.000,2050.000000,589.000000,0.000000,0.000000,2480.000000,3256.000000,3676.000000,77.000000,1893.000000
0.000,2051.000000,892.000000,0.000000,0.000000,2092.000000,3261.000000,3669.000000,73.000000,1481.000000
0.000,2052.000000,940.000000,11.000000,0.000000,2087.000000,3234.000000,3659.000000,80.000000,1495.000000
0.000,2053.000000,909.000000,0.000000,0.000000,2097.000000,3259.000000,3665.000000,79.000000,1317.000000
0.000,2054.000000,884.000000,1.000000,0.000000,2045.000000,3228.000000,3640.000000,80.000000,1419.000000
0.000,2055.000000,813.000000,6.000000,0.000000,2040.000000,3228.000000,3656.000000,83.000000,1427.000000
0.000,2056.000000,835.000000,0.000000,0.000000,2073.000000,3257.000000,3668.000000,77.000000,1483.000000
0.000,2057.000000,764.000000,0.000000,0.000000,2079.000000,3273.000000,3705.000000,79.000000,1522.000000
0.000,2058.000000,872.000000,0.000000,0.000000,2073.000000,3251.000000,3672.000000,81.000000,1465.000000
0.000,2059.000000,861.000000,0.000000,0.000000,2059.000000,3251.000000,3687.000000,81.000000,1465.000000
0.000,2060.000000,876.000000,0.000000,0.000000,2097.000000,3232.000000,3670.000000,82.000000,1415.000000
0.000,2061.000000,859.000000,0.000000,0.000000,2045.000000,3276.000000,3605.000000,75.000000,1455.000000
0.000,2062.000000,679.000000,1.000000,0.000000,1572.000000,3263.000000,1888.000000,24.000000,1068.000000
0.000,2063.000000,587.000000,3.000000,0.000000,1455.000000,3212.000000,1884.000000,26.000000,856.000000
0.000,2064.000000,608.000000,6.000000,0.000000,1504.000000,3112.000000,1914.000000,29.000000,744.000000
0.000,2065.000000,403.000000,1.000000,0.000000,1750.000000,3109.000000,1899.000000,23.000000,1007.000000
0.000,2066.000000,362.000000,0.000000,0.000000,1831.000000,3117.000000,1877.000000,18.000000,1057.000000
0.000,2067.000000,1187.000000,28.000000,0.000000,1767.000000,2344.000000,1548.000000,0.000000,619.000000
0.000,2068.000000,696.000000,0.000000,0.000000,1384.000000,3048.000000,1888.000000,24.000000,675.000000
0.000,2069.000000,646.000000,2.000000,0.000000,1367.000000,3064.000000,1932.000000,29.000000,633.000000
