time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,2832.000000,1800.000000,21.000000,0.000000,4095.000000,1627.000000,3895.000000,89.000000,1645.000000
0.000,2833.000000,1728.000000,37.000000,0.000000,4095.000000,1595.000000,3887.000000,87.000000,1627.000000
0.000,2834.000000,1759.000000,33.000000,0.000000,4095.000000,1566.000000,3871.000000,87.000000,1627.000000
0.000,2835.000000,1735.000000,21.000000,0.000000,4095.000000,1453.000000,3907.000000,87.000000,1467.000000
0.000,2836.000000,1657.000000,23.000000,0.000000,4095.000000,1481.000000,3917.000000,76.000000,1477.000000
0.000,2837.000000,1629.000000,19.000000,0.000000,4095.000000,1504.000000,3948.000000,77.000000,1487.000000
0.000,2838.000000,1681.000000,26.000000,0.000000,4095.000000,1515.000000,3866.000000,83.000000,1499.000000
0.000,2839.000000,1740.000000,24.000000,0.000000,4095.000000,1581.000000,3895.000000,87.000000,1626.000000
0.000,2840.000000,1771.000000,28.000000,0.000000,4095.000000,1612.000000,3895.000000,89.000000,1655.000000
0.000,2841.000000,1807.000000,36.000000,0.000000,1892.000000,1677.000000,3896.000000,87.000000,1688.000000
0.000,2842.000000,1870.000000,35.000000,0.000000,1979.000000,1797.000000,3849.000000,82.000000,1663.000000
0.000,2843.000000,1685.000000,28.000000,0.000000,1884.000000,1688.000000,3815.000000,87.000000,1189.000000
0.000,2844.000000,1845.000000,31.000000,0.000000,1852.000000,1750.000000,3957.000000,91.000000,1435.000000
0.000,2845.000000,1802.000000,31.000000,0.000000,1690.000000,1801.000000,3912.000000,85.000000,1367.000000
0.000,2846.000000,1915.000000,33.000000,0.000000,2000.000000,1841.000000,3878.000000,89.000000,1212.000000
0.000,2847.000000,2138.000000,37.000000,0.000000,2117.000000,1940.000000,3755.000000,85.000000,1304.000000
0.000,2848.000000,2083.000000,41.000000,0.000000,2273.000000,2111.000000,3579.000000,76.000000,1332.000000
0.000,2849.000000,1995.000000,39.000000,0.000000,1971.000000,1817.000000,3909.000000,84.000000,1271.000000
0.000,2850.000000,1976.000000,29.000000,0.000000,2028.000000,1813.000000,3927.000000,91.000000,1337.000000
0.000,2851.000000,1975.000000,38.000000,0.000000,2066.000000,1837.000000,3939.000000,84.000000,1340.000000
0.000,2852.000000,1972.000000,39.000000,0.000000,2140.000000,1864.000000,3985.000000,88.000000,1349.000000
0.000,2853.000000,1979.000000,37.000000,0.000000,2137.000000,1868.000000,3960.000000,88.000000,1371.000000
0.000,2854.000000,1976.000000,35.000000,0.000000,2159.000000,1889.000000,3940.000000,85.000000,1496.000000
0.000,2855.000000,2008.000000,41.000000,0.000000,2093.000000,1893.000000,3899.000000,89.000000,1433.000000
0.000,2856.000000,1917.000000,40.000000,0.000000,2260.000000,1896.000000,3656.000000,75.000000,1443.000000
0.000,2857.000000,1991.000000,34.000000,0.000000,2271.000000,2014.000000,3940.000000,72.000000,1459.000000
0.000,2858.000000,3129.000000,87.000000,0.000000,3538.000000,3639.000000,1112.000000,0.000000,389.000000
0.000,2859.000000,3176.000000,89.000000,0.000000,3435.000000,3504.000000,957.000000,0.000000,330.000000
0.000,2860.000000,3175.000000,97.000000,1.000000,3413.000000,3721.000000,857.000000,0.000000,219.000000
0.000,2861.000000,3261.000000,88.000000,0.000000,3693.000000,3747.000000,974.000000,0.000000,493.000000
0.000,2862.000000,1789.000000,26.000000,0.000000,1960.000000,1680.000000,3770.000000,76.000000,1485.000000
0.000,2863.000000,3049.000000,86.000000,0.000000,3357.000000,3361.000000,927.000000,0.000000,347.000000
0.000,2864.000000,3167.000000,101.000000,0.000000,3355.000000,3383.000000,423.000000,0.000000,0.000000
0.000,2865.000000,1764.000000,31.000000,0.000000,1909.000000,1670.000000,3833.000000,78.000000,1509.000000
0.000,2866.000000,1419.000000,18.000000,0.000000,420.000000,1532.000000,3919.000000,87.000000,1093.000000
