time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1572.000000,361.000000,0.000000,0.000000,1331.000000,1071.000000,3799.000000,87.000000,776.000000
0.000,1573.000000,305.000000,0.000000,0.000000,1361.000000,1078.000000,3807.000000,81.000000,733.000000
0.000,1574.000000,453.000000,5.000000,0.000000,1453.000000,1170.000000,3591.000000,78.000000,711.000000
0.000,1575.000000,284.000000,0.000000,0.000000,1375.000000,1077.000000,3757.000000,75.000000,673.000000
0.000,1576.000000,311.000000,0.000000,0.000000,1356.000000,1069.000000,3795.000000,85.000000,715.000000
0.000,1577.000000,374.000000,0.000000,0.000000,1401.000000,1121.000000,3753.000000,80.000000,715.000000
0.000,1578.000000,352.000000,0.000000,0.000000,1375.000000,1087.000000,3745.000000,87.000000,729.000000
0.000,1579.000000,302.000000,0.000000,0.000000,1269.000000,1019.000000,3779.000000,78.000000,687.000000
0.000,1580.000000,313.000000,0.000000,0.000000,1297.000000,1029.000000,3797.000000,84.000000,636.000000
0.000,1581.000000,347.000000,0.000000,0.000000,1325.000000,1053.000000,3770.000000,85.000000,694.000000
0.000,1582.000000,315.000000,0.000000,0.000000,1335.000000,1033.000000,3784.000000,83.000000,748.000000
0.000,1583.000000,363.000000,0.000000,0.000000,1480.000000,1113.000000,3803.000000,83.000000,799.000000
0.000,1584.000000,555.000000,0.000000,0.000000,1575.000000,1248.000000,3797.000000,88.000000,829.000000
0.000,1585.000000,592.000000,8.000000,0.000000,736.000000,1759.000000,3887.000000,88.000000,1509.000000
0.000,1586.000000,591.000000,2.000000,0.000000,809.000000,1821.000000,3919.000000,87.000000,1558.000000
0.000,1587.000000,711.000000,5.000000,0.000000,695.000000,1698.000000,3763.000000,87.000000,1417.000000
0.000,1588.000000,1007.000000,27.000000,0.000000,1235.000000,2123.000000,2488.000000,19.000000,860.000000
0.000,1589.000000,696.000000,0.000000,0.000000,2263.000000,1852.000000,3752.000000,78.000000,1381.000000
0.000,1590.000000,661.000000,0.000000,0.000000,2077.000000,1715.000000,3845.000000,87.000000,1240.000000
0.000,1591.000000,1047.000000,2.000000,2.000000,2313.000000,2173.000000,3913.000000,83.000000,1783.000000
0.000,1592.000000,828.000000,8.000000,0.000000,2163.000000,1819.000000,3675.000000,76.000000,1279.000000
0.000,1593.000000,696.000000,5.000000,0.000000,2118.000000,1760.000000,3920.000000,91.000000,1305.000000
0.000,1594.000000,743.000000,3.000000,0.000000,2571.000000,2277.000000,3899.000000,84.000000,1845.000000
