time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,3532.000000,612.000000,12.000000,0.000000,783.000000,361.000000,1827.000000,25.000000,4.000000
0.000,3533.000000,821.000000,8.000000,0.000000,4095.000000,293.000000,1836.000000,26.000000,8.000000
0.000,3534.000000,846.000000,19.000000,0.000000,4095.000000,301.000000,1803.000000,28.000000,4.000000
0.000,3535.000000,901.000000,20.000000,0.000000,4095.000000,288.000000,1799.000000,23.000000,59.000000
0.000,3536.000000,853.000000,10.000000,0.000000,4095.000000,279.000000,1832.000000,33.000000,69.000000
0.000,3537.000000,792.000000,6.000000,0.000000,4095.000000,284.000000,1817.000000,25.000000,56.000000
0.000,3538.000000,793.000000,16.000000,0.000000,4095.000000,283.000000,1843.000000,22.000000,53.000000
0.000,3539.000000,815.000000,19.000000,0.000000,4095.000000,296.000000,1809.000000,25.000000,39.000000
0.000,3540.000000,736.000000,17.000000,0.000000,4095.000000,261.000000,1832.000000,24.000000,37.000000
0.000,3541.000000,787.000000,4.000000,0.000000,4095.000000,252.000000,1775.000000,17.000000,53.000000
0.000,3542.000000,751.000000,9.000000,0.000000,4095.000000,265.000000,1803.000000,19.000000,55.000000
0.000,3543.000000,809.000000,16.000000,0.000000,4095.000000,296.000000,1854.000000,25.000000,55.000000
0.000,3544.000000,858.000000,10.000000,0.000000,4095.000000,275.000000,1807.000000,24.000000,53.000000
0.000,3545.000000,886.000000,17.000000,0.000000,4095.000000,292.000000,1821.000000,33.000000,56.000000
0.000,3546.000000,767.000000,1.000000,0.000000,4095.000000,287.000000,1804.000000,24.000000,54.000000
0.000,3547.000000,791.000000,33.000000,0.000000,4095.000000,296.000000,1824.000000,24.000000,45.000000
0.000,3548.000000,786.000000,14.000000,0.000000,4095.000000,281.000000,1803.000000,27.000000,51.000000
0.000,3549.000000,1237.000000,35.000000,0.000000,4095.000000,228.000000,1819.000000,25.000000,36.000000
0.000,3550.000000,968.000000,25.000000,0.000000,4095.000000,239.000000,1796.000000,48.000000,24.000000
0.000,3551.000000,909.000000,12.000000,0.000000,4095.000000,256.000000,1841.000000,24.000000,59.000000
0.000,3552.000000,846.000000,16.000000,0.000000,4095.000000,283.000000,1848.000000,24.000000,48.000000
0.000,3553.000000,808.000000,16.000000,0.000000,4095.000000,278.000000,1821.000000,24.000000,37.000000
0.000,3554.000000,779.000000,3.000000,0.000000,4095.000000,284.000000,1782.000000,25.000000,57.000000
0.000,3555.000000,789.000000,16.000000,0.000000,4095.000000,283.000000,1812.000000,26.000000,29.000000
0.000,3556.000000,944.000000,17.000000,0.000000,4095.000000,245.000000,1820.000000,18.000000,21.000000
0.000,3557.000000,819.000000,9.000000,0.000000,4095.000000,280.000000,1815.000000,25.000000,53.000000
0.000,3558.000000,761.000000,20.000000,0.000000,4095.000000,290.000000,1816.000000,31.000000,45.000000
0.000,3559.000000,758.000000,12.000000,0.000000,4095.000000,307.000000,1819.000000,24.000000,48.000000
0.000,3560.000000,768.000000,12.000000,0.000000,4095.000000,309.000000,1799.000000,33.000000,71.000000
0.000,3561.000000,758.000000,7.000000,0.000000,4095.000000,267.000000,1832.000000,24.000000,60.000000
0.000,3562.000000,68.000000,2.000000,0.000000,4095.000000,298.000000,1852.000000,22.000000,48.000000
0.000,3563.000000,64.000000,0.000000,0.000000,4095.000000,267.000000,1840.000000,24.000000,37.000000
0.000,3564.000000,981.000000,26.000000,1.000000,1035.000000,364.000000,1933.000000,25.000000,59.000000
0.000,3565.000000,856.000000,10.000000,0.000000,4095.000000,215.000000,1835.000000,23.000000,55.000000
0.000,3566.000000,901.000000,8.000000,0.000000,4091.000000,295.000000,1831.000000,27.000000,64.000000
0.000,3567.000000,1004.000000,8.000000,0.000000,1011.000000,353.000000,1817.000000,28.000000,51.000000
0.000,3568.000000,1003.000000,10.000000,0.000000,1001.000000,244.000000,1821.000000,28.000000,45.000000
0.000,3569.000000,52.000000,0.000000,0.000000,791.000000,301.000000,1817.000000,24.000000,25.000000
0.000,3570.000000,56.000000,0.000000,0.000000,803.000000,253.000000,1812.000000,31.000000,33.000000
0.000,3571.000000,33.000000,0.000000,0.000000,805.000000,256.000000,1847.000000,25.000000,0.000000
0.000,3572.000000,67.000000,0.000000,0.000000,888.000000,235.000000,1833.000000,22.000000,25.000000
0.000,3573.000000,44.000000,0.000000,0.000000,851.000000,291.000000,1827.000000,27.000000,22.000000
0.000,3574.000000,51.000000,0.000000,0.000000,781.000000,237.000000,1828.000000,28.000000,29.000000
0.000,3575.000000,35.000000,3.000000,0.000000,825.000000,253.000000,1785.000000,24.000000,23.000000
0.000,3576.000000,40.000000,0.000000,0.000000,839.000000,241.000000,1819.000000,30.000000,21.000000
0.000,3577.000000,977.000000,2.000000,0.000000,1007.000000,274.000000,1843.000000,20.000000,64.000000
0.000,3578.000000,924.000000,16.000000,0.000000,960.000000,345.000000,1838.000000,24.000000,127.000000
0.000,3579.000000,846.000000,18.000000,0.000000,840.000000,323.000000,1844.000000,20.000000,91.000000
0.000,3580.000000,733.000000,24.000000,0.000000,937.000000,281.000000,1831.000000,25.000000,75.000000
0.000,3581.000000,987.000000,15.000000,0.000000,951.000000,317.000000,1829.000000,23.000000,66.000000
0.000,3582.000000,1003.000000,12.000000,0.000000,934.000000,303.000000,1825.000000,24.000000,0.000000
0.000,3583.000000,1123.000000,13.000000,0.000000,1131.000000,281.000000,1801.000000,16.000000,151.000000
0.000,3584.000000,3389.000000,89.000000,0.000000,3591.000000,1905.000000,1809.000000,18.000000,555.000000
0.000,3585.000000,3540.000000,107.000000,0.000000,3976.000000,2292.000000,1837.000000,8.000000,890.000000
0.000,3586.000000,3150.000000,62.000000,1.000000,3223.000000,1134.000000,1757.000000,17.000000,199.000000
0.000,3587.000000,983.000000,2.000000,0.000000,877.000000,239.000000,1787.000000,22.000000,61.000000
0.000,3588.000000,925.000000,18.000000,2.000000,931.000000,317.000000,1815.000000,33.000000,61.000000
0.000,3589.000000,3344.000000,84.000000,0.000000,3386.000000,1256.000000,1760.000000,17.000000,436.000000
0.000,3590.000000,3412.000000,111.000000,2.000000,3356.000000,1373.000000,1761.000000,10.000000,224.000000
0.000,3591.000000,832.000000,11.000000,0.000000,796.000000,269.000000,1849.000000,18.000000,35.000000
0.000,3592.000000,886.000000,25.000000,0.000000,1102.000000,209.000000,1836.000000,35.000000,37.000000
0.000,3593.000000,1183.000000,26.000000,0.000000,1135.000000,280.000000,1853.000000,25.000000,105.000000
0.000,3594.000000,1373.000000,25.000000,0.000000,1259.000000,269.000000,1817.000000,26.000000,71.000000
0.000,3595.000000,799.000000,9.000000,0.000000,765.000000,155.000000,1835.000000,26.000000,0.000000
0.000,3596.000000,860.000000,12.000000,0.000000,875.000000,384.000000,1837.000000,28.000000,0.000000
0.000,3597.000000,1135.000000,8.000000,0.000000,1024.000000,107.000000,1841.000000,33.000000,47.000000
0.000,3598.000000,843.000000,12.000000,0.000000,813.000000,103.000000,1832.000000,31.000000,43.000000
0.000,3599.000000,1157.000000,29.000000,0.000000,1085.000000,233.000000,1811.000000,22.000000,105.000000
0.000,3600.000000,1065.000000,17.000000,0.000000,915.000000,263.000000,1835.000000,26.000000,40.000000
0.000,3601.000000,815.000000,16.000000,0.000000,777.000000,271.000000,1841.000000,19.000000,45.000000
0.000,3602.000000,1277.000000,18.000000,0.000000,992.000000,243.000000,1833.000000,24.000000,67.000000
0.000,3603.000000,1033.000000,9.000000,0.000000,1075.000000,273.000000,1835.000000,29.000000,85.000000
0.000,3604.000000,893.000000,16.000000,0.000000,827.000000,283.000000,1819.000000,20.000000,72.000000
0.000,3605.000000,1078.000000,16.000000,0.000000,933.000000,281.000000,1836.000000,24.000000,87.000000
0.000,3606.000000,151.000000,4.000000,0.000000,799.000000,285.000000,1819.000000,22.000000,87.000000
0.000,3607.000000,1113.000000,22.000000,0.000000,953.000000,338.000000,1848.000000,21.000000,0.000000
0.000,3608.000000,952.000000,20.000000,0.000000,931.000000,293.000000,1831.000000,25.000000,0.000000
0.000,3609.000000,995.000000,17.000000,0.000000,905.000000,287.000000,1880.000000,27.000000,0.000000
0.000,3610.000000,832.000000,18.000000,0.000000,783.000000,290.000000,1875.000000,22.000000,78.000000
0.000,3611.000000,985.000000,9.000000,0.000000,919.000000,325.000000,1815.000000,22.000000,64.000000
0.000,3612.000000,1307.000000,27.000000,0.000000,1160.000000,324.000000,1838.000000,29.000000,109.000000
0.025,3613.000000,1065.000000,18.000000,0.000000,993.000000,319.000000,1815.000000,21.000000,69.000000
0.076,3614.000000,680.000000,6.000000,3.000000,779.000000,296.000000,1810.000000,25.000000,77.000000
0.127,3615.000000,889.000000,11.000000,0.000000,759.000000,297.000000,1859.000000,28.000000,71.000000
0.178,3616.000000,795.000000,13.000000,0.000000,787.000000,294.000000,1864.000000,24.000000,78.000000
0.229,3617.000000,878.000000,21.000000,0.000000,1042.000000,214.000000,1803.000000,31.000000,84.000000
0.280,3618.000000,764.000000,16.000000,0.000000,795.000000,270.000000,1852.000000,24.000000,104.000000
0.331,3619.000000,939.000000,7.000000,0.000000,883.000000,311.000000,1815.000000,26.000000,100.000000
0.382,3620.000000,992.000000,14.000000,0.000000,937.000000,277.000000,1816.000000,25.000000,64.000000
0.433,3621.000000,893.000000,14.000000,0.000000,793.000000,299.000000,1819.000000,17.000000,71.000000
0.484,3622.000000,663.000000,12.000000,0.000000,764.000000,303.000000,1844.000000,26.000000,96.000000
0.535,3623.000000,1011.000000,9.000000,0.000000,909.000000,347.000000,1819.000000,26.000000,109.000000
0.587,3624.000000,960.000000,24.000000,0.000000,933.000000,309.000000,1837.000000,30.000000,107.000000
0.637,3625.000000,967.000000,11.000000,1.000000,923.000000,335.000000,1813.000000,21.000000,125.000000
0.688,3626.000000,973.000000,7.000000,0.000000,915.000000,317.000000,1816.000000,28.000000,108.000000
0.739,3627.000000,965.000000,17.000000,0.000000,930.000000,328.000000,1773.000000,22.000000,107.000000
0.790,3628.000000,981.000000,10.000000,4.000000,927.000000,315.000000,1838.000000,26.000000,55.000000
0.841,3629.000000,887.000000,12.000000,0.000000,824.000000,295.000000,1851.000000,26.000000,27.000000
0.892,3630.000000,809.000000,9.000000,0.000000,760.000000,293.000000,1822.000000,35.000000,69.000000
0.943,3631.000000,859.000000,24.000000,0.000000,797.000000,283.000000,1864.000000,21.000000,119.000000
0.994,3632.000000,1675.000000,24.000000,0.000000,1119.000000,160.000000,1823.000000,29.000000,62.000000
1.045,3633.000000,1144.000000,24.000000,0.000000,970.000000,247.000000,1836.000000,28.000000,83.000000
1.096,3634.000000,1598.000000,27.000000,0.000000,1541.000000,232.000000,1830.000000,20.000000,39.000000
1.147,3635.000000,599.000000,0.000000,0.000000,744.000000,233.000000,1837.000000,19.000000,56.000000
1.198,3636.000000,742.000000,3.000000,0.000000,747.000000,251.000000,1835.000000,29.000000,39.000000
1.249,3637.000000,749.000000,0.000000,0.000000,725.000000,222.000000,1864.000000,26.000000,22.000000
1.300,3638.000000,775.000000,7.000000,0.000000,803.000000,215.000000,1831.000000,20.000000,29.000000
1.351,3639.000000,661.000000,8.000000,0.000000,841.000000,175.000000,1817.000000,24.000000,77.000000
1.402,3640.000000,629.000000,20.000000,0.000000,815.000000,185.000000,1821.000000,33.000000,49.000000
1.453,3641.000000,215.000000,2.000000,0.000000,656.000000,227.000000,1854.000000,24.000000,31.000000
1.504,3642.000000,307.000000,3.000000,0.000000,669.000000,211.000000,1833.000000,27.000000,37.000000
1.555,3643.000000,326.000000,3.000000,0.000000,679.000000,189.000000,1829.000000,23.000000,33.000000
1.606,3644.000000,216.000000,0.000000,0.000000,643.000000,183.000000,1849.000000,18.000000,27.000000
1.657,3645.000000,229.000000,0.000000,0.000000,681.000000,167.000000,1819.000000,17.000000,24.000000
1.708,3646.000000,244.000000,6.000000,0.000000,651.000000,208.000000,1848.000000,27.000000,12.000000
1.759,3647.000000,236.000000,0.000000,0.000000,653.000000,197.000000,1817.000000,20.000000,27.000000
1.810,3648.000000,280.000000,0.000000,0.000000,655.000000,201.000000,1821.000000,31.000000,43.000000
1.861,3649.000000,299.000000,18.000000,0.000000,685.000000,185.000000,1843.000000,26.000000,34.000000
1.912,3650.000000,314.000000,8.000000,0.000000,672.000000,201.000000,1868.000000,21.000000,33.000000
1.963,3651.000000,365.000000,0.000000,0.000000,685.000000,229.000000,1829.000000,24.000000,46.000000
2.014,3652.000000,311.000000,4.000000,0.000000,682.000000,179.000000,1829.000000,23.000000,24.000000
2.065,3653.000000,329.000000,6.000000,0.000000,681.000000,207.000000,1779.000000,17.000000,24.000000
2.116,3654.000000,349.000000,3.000000,0.000000,664.000000,197.000000,1816.000000,18.000000,24.000000
