time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4793.000000,253.000000,4.000000,0.000000,4095.000000,107.000000,1817.000000,30.000000,13.000000
0.000,4794.000000,320.000000,3.000000,0.000000,4095.000000,147.000000,1796.000000,29.000000,28.000000
0.000,4795.000000,289.000000,8.000000,0.000000,4095.000000,159.000000,1787.000000,24.000000,43.000000
0.000,4796.000000,351.000000,1.000000,0.000000,4095.000000,133.000000,1803.000000,24.000000,23.000000
0.000,4797.000000,199.000000,4.000000,0.000000,4095.000000,102.000000,1781.000000,26.000000,5.000000
0.000,4798.000000,293.000000,1.000000,0.000000,4095.000000,92.000000,1847.000000,25.000000,39.000000
0.000,4799.000000,242.000000,0.000000,0.000000,4095.000000,123.000000,1797.000000,22.000000,7.000000
0.000,4800.000000,416.000000,2.000000,0.000000,4095.000000,116.000000,1809.000000,33.000000,24.000000
0.000,4801.000000,295.000000,3.000000,0.000000,4095.000000,92.000000,1824.000000,24.000000,0.000000
0.000,4802.000000,295.000000,1.000000,0.000000,4095.000000,117.000000,1787.000000,28.000000,0.000000
0.000,4803.000000,308.000000,0.000000,0.000000,4095.000000,127.000000,1836.000000,23.000000,19.000000
0.000,4804.000000,261.000000,3.000000,0.000000,233.000000,327.000000,1800.000000,24.000000,8.000000
0.000,4805.000000,249.000000,8.000000,0.000000,4095.000000,151.000000,1813.000000,26.000000,24.000000
0.000,4806.000000,176.000000,2.000000,0.000000,4095.000000,117.000000,1827.000000,21.000000,18.000000
0.000,4807.000000,245.000000,1.000000,0.000000,4095.000000,105.000000,1824.000000,21.000000,81.000000
0.000,4808.000000,236.000000,4.000000,0.000000,4095.000000,91.000000,1803.000000,28.000000,8.000000
0.000,4809.000000,244.000000,5.000000,0.000000,4095.000000,0.000000,1797.000000,28.000000,7.000000
0.000,4810.000000,245.000000,4.000000,0.000000,4095.000000,74.000000,1815.000000,22.000000,21.000000
0.000,4811.000000,288.000000,1.000000,0.000000,4095.000000,43.000000,1809.000000,28.000000,4.000000
0.000,4812.000000,264.000000,0.000000,0.000000,4095.000000,58.000000,1839.000000,24.000000,16.000000
0.000,4813.000000,375.000000,0.000000,0.000000,4095.000000,52.000000,1837.000000,28.000000,12.000000
0.000,4814.000000,315.000000,7.000000,0.000000,4095.000000,57.000000,1816.000000,22.000000,6.000000
0.000,4815.000000,735.000000,8.000000,0.000000,4095.000000,67.000000,1775.000000,24.000000,0.000000
0.000,4816.000000,188.000000,4.000000,0.000000,4095.000000,67.000000,1817.000000,21.000000,11.000000
0.000,4817.000000,301.000000,1.000000,0.000000,4095.000000,74.000000,1851.000000,24.000000,0.000000
0.000,4818.000000,302.000000,5.000000,0.000000,4095.000000,51.000000,1815.000000,18.000000,12.000000
0.000,4819.000000,564.000000,7.000000,0.000000,4095.000000,47.000000,1789.000000,25.000000,0.000000
0.000,4820.000000,453.000000,9.000000,0.000000,4095.000000,41.000000,1789.000000,31.000000,0.000000
0.000,4821.000000,872.000000,3.000000,0.000000,4095.000000,139.000000,1787.000000,21.000000,28.000000
0.000,4822.000000,489.000000,5.000000,0.000000,4095.000000,168.000000,1824.000000,25.000000,13.000000
0.000,4823.000000,2771.000000,57.000000,0.000000,4095.000000,1156.000000,1759.000000,17.000000,317.000000
0.000,4824.000000,819.000000,20.000000,0.000000,4095.000000,409.000000,1798.000000,21.000000,0.000000
0.000,4825.000000,915.000000,35.000000,0.000000,1548.000000,1047.000000,1832.000000,28.000000,169.000000
0.000,4826.000000,728.000000,71.000000,0.000000,1625.000000,1369.000000,1817.000000,28.000000,0.000000
0.000,4827.000000,3368.000000,93.000000,0.000000,3932.000000,2308.000000,1787.000000,6.000000,952.000000
0.000,4828.000000,210.000000,0.000000,0.000000,4095.000000,666.000000,1840.000000,25.000000,123.000000
0.000,4829.000000,505.000000,105.000000,0.000000,3883.000000,542.000000,2021.000000,33.000000,120.000000
0.000,4830.000000,3421.000000,93.000000,0.000000,3920.000000,1691.000000,1784.000000,20.000000,357.000000
0.000,4831.000000,3345.000000,83.000000,2.000000,4095.000000,591.000000,1781.000000,8.000000,195.000000
0.000,4832.000000,3016.000000,81.000000,0.000000,3708.000000,416.000000,1753.000000,25.000000,179.000000
0.000,4833.000000,2856.000000,79.000000,0.000000,4095.000000,410.000000,1831.000000,22.000000,58.000000
0.000,4834.000000,3102.000000,93.000000,0.000000,4095.000000,1383.000000,1761.000000,4.000000,440.000000
0.000,4835.000000,3491.000000,89.000000,0.000000,4095.000000,1833.000000,1818.000000,10.000000,316.000000
0.000,4836.000000,189.000000,6.000000,0.000000,4095.000000,618.000000,1847.000000,25.000000,227.000000
0.000,4837.000000,273.000000,3.000000,0.000000,4095.000000,704.000000,1813.000000,25.000000,293.000000
0.000,4838.000000,297.000000,1.000000,0.000000,4095.000000,775.000000,1830.000000,21.000000,348.000000
0.000,4839.000000,293.000000,7.000000,0.000000,4095.000000,797.000000,1825.000000,26.000000,414.000000
0.000,4840.000000,296.000000,4.000000,0.000000,4095.000000,793.000000,1828.000000,24.000000,304.000000
0.000,4841.000000,287.000000,4.000000,0.000000,4095.000000,896.000000,1817.000000,19.000000,325.000000
0.000,4842.000000,309.000000,7.000000,0.000000,1303.000000,843.000000,1809.000000,25.000000,308.000000
0.000,4843.000000,3385.000000,82.000000,0.000000,3676.000000,1896.000000,1800.000000,9.000000,547.000000
0.000,4844.000000,3381.000000,87.000000,0.000000,3673.000000,1852.000000,1809.000000,16.000000,254.000000
0.000,4845.000000,3383.000000,83.000000,1.000000,3381.000000,1168.000000,1787.000000,12.000000,376.000000
0.000,4846.000000,3801.000000,96.000000,0.000000,3565.000000,1264.000000,1753.000000,21.000000,72.000000
0.000,4847.000000,3450.000000,79.000000,0.000000,3639.000000,1821.000000,1755.000000,8.000000,615.000000
0.000,4848.000000,3420.000000,88.000000,0.000000,3919.000000,1823.000000,1720.000000,11.000000,295.000000
0.000,4849.000000,3346.000000,83.000000,0.000000,3958.000000,1711.000000,1892.000000,19.000000,547.000000
0.000,4850.000000,3134.000000,80.000000,0.000000,3815.000000,858.000000,1696.000000,20.000000,247.000000
0.000,4851.000000,2976.000000,80.000000,0.000000,3802.000000,361.000000,1832.000000,11.000000,105.000000
0.000,4852.000000,3423.000000,102.000000,0.000000,3944.000000,2005.000000,1797.000000,5.000000,649.000000
0.000,4853.000000,3559.000000,85.000000,0.000000,4093.000000,2016.000000,1755.000000,17.000000,482.000000
0.000,4854.000000,1221.000000,33.000000,0.000000,1357.000000,555.000000,1833.000000,24.000000,148.000000
0.000,4855.000000,872.000000,21.000000,0.000000,1267.000000,672.000000,1771.000000,24.000000,214.000000
0.000,4856.000000,1002.000000,16.000000,0.000000,1368.000000,739.000000,1873.000000,28.000000,273.000000
0.000,4857.000000,945.000000,4.000000,0.000000,1431.000000,817.000000,1837.000000,22.000000,407.000000
0.000,4858.000000,1480.000000,22.000000,0.000000,1441.000000,774.000000,1835.000000,24.000000,414.000000
0.000,4859.000000,1303.000000,17.000000,0.000000,1485.000000,871.000000,1783.000000,22.000000,437.000000
0.000,4860.000000,997.000000,17.000000,0.000000,1351.000000,911.000000,1813.000000,30.000000,363.000000
0.000,4861.000000,956.000000,16.000000,0.000000,1289.000000,859.000000,1838.000000,21.000000,238.000000
0.000,4862.000000,1085.000000,17.000000,1.000000,1323.000000,873.000000,1831.000000,31.000000,391.000000
0.000,4863.000000,731.000000,16.000000,0.000000,1751.000000,1587.000000,1868.000000,29.000000,0.000000
0.000,4864.000000,307.000000,1.000000,0.000000,1196.000000,675.000000,1834.000000,17.000000,0.000000
0.000,4865.000000,275.000000,0.000000,0.000000,997.000000,653.000000,1787.000000,20.000000,0.000000
0.000,4866.000000,311.000000,4.000000,0.000000,1112.000000,681.000000,1827.000000,20.000000,0.000000
0.000,4867.000000,124.000000,0.000000,0.000000,462.000000,169.000000,1814.000000,21.000000,0.000000
0.000,4868.000000,126.000000,1.000000,0.000000,952.000000,427.000000,1819.000000,23.000000,0.000000
0.000,4869.000000,843.000000,12.000000,0.000000,663.000000,400.000000,2039.000000,23.000000,0.000000
0.000,4870.000000,829.000000,16.000000,0.000000,758.000000,339.000000,1817.000000,22.000000,0.000000
0.000,4871.000000,773.000000,16.000000,0.000000,570.000000,325.000000,1803.000000,26.000000,68.000000
0.000,4872.000000,3.000000,0.000000,0.000000,581.000000,320.000000,1789.000000,22.000000,45.000000
0.025,4873.000000,76.000000,2.000000,0.000000,4095.000000,137.000000,1779.000000,17.000000,16.000000
0.076,4874.000000,904.000000,7.000000,0.000000,294.000000,177.000000,1800.000000,20.000000,0.000000
0.127,4875.000000,683.000000,16.000000,0.000000,4059.000000,131.000000,1803.000000,26.000000,4.000000
0.178,4876.000000,61.000000,0.000000,0.000000,4095.000000,139.000000,1815.000000,24.000000,2.000000
0.229,4877.000000,249.000000,0.000000,0.000000,4095.000000,547.000000,1840.000000,28.000000,16.000000
0.280,4878.000000,99.000000,0.000000,0.000000,4095.000000,167.000000,1819.000000,24.000000,3.000000
0.331,4879.000000,97.000000,0.000000,0.000000,4095.000000,85.000000,1781.000000,24.000000,16.000000
0.382,4880.000000,205.000000,10.000000,0.000000,4095.000000,83.000000,1801.000000,21.000000,18.000000
0.433,4881.000000,299.000000,8.000000,0.000000,4095.000000,101.000000,1809.000000,23.000000,9.000000
0.484,4882.000000,463.000000,2.000000,0.000000,485.000000,253.000000,1827.000000,22.000000,17.000000
0.535,4883.000000,527.000000,6.000000,0.000000,564.000000,357.000000,1787.000000,18.000000,0.000000
0.586,4884.000000,203.000000,0.000000,0.000000,3472.000000,161.000000,1814.000000,21.000000,9.000000
0.637,4885.000000,304.000000,5.000000,0.000000,4095.000000,135.000000,1788.000000,24.000000,11.000000
0.688,4886.000000,657.000000,0.000000,0.000000,4095.000000,89.000000,1771.000000,25.000000,21.000000
0.739,4887.000000,119.000000,1.000000,0.000000,4095.000000,83.000000,1820.000000,21.000000,20.000000
0.790,4888.000000,105.000000,0.000000,0.000000,4095.000000,101.000000,1795.000000,29.000000,6.000000
0.841,4889.000000,72.000000,0.000000,0.000000,4095.000000,77.000000,1787.000000,18.000000,9.000000
0.892,4890.000000,69.000000,0.000000,0.000000,4095.000000,83.000000,1812.000000,17.000000,7.000000
0.943,4891.000000,49.000000,3.000000,0.000000,4095.000000,109.000000,1833.000000,24.000000,16.000000
0.994,4892.000000,77.000000,0.000000,0.000000,4095.000000,91.000000,1788.000000,31.000000,16.000000
1.045,4893.000000,85.000000,0.000000,0.000000,4095.000000,151.000000,1791.000000,12.000000,12.000000
1.096,4894.000000,840.000000,19.000000,0.000000,4095.000000,104.000000,1818.000000,35.000000,5.000000
1.147,4895.000000,745.000000,15.000000,0.000000,4095.000000,96.000000,1820.000000,23.000000,11.000000
1.198,4896.000000,763.000000,20.000000,0.000000,4095.000000,99.000000,1809.000000,26.000000,6.000000
1.249,4897.000000,121.000000,5.000000,0.000000,145.000000,313.000000,1805.000000,28.000000,3.000000
1.300,4898.000000,117.000000,0.000000,0.000000,149.000000,327.000000,1788.000000,33.000000,7.000000
1.351,4899.000000,111.000000,0.000000,0.000000,363.000000,420.000000,1833.000000,23.000000,12.000000
1.402,4900.000000,100.000000,0.000000,0.000000,221.000000,367.000000,1823.000000,22.000000,17.000000
1.453,4901.000000,121.000000,1.000000,0.000000,259.000000,356.000000,1813.000000,39.000000,8.000000
1.504,4902.000000,337.000000,0.000000,0.000000,365.000000,344.000000,1843.000000,24.000000,0.000000
1.555,4903.000000,81.000000,0.000000,0.000000,219.000000,373.000000,1803.000000,22.000000,33.000000
1.606,4904.000000,87.000000,0.000000,0.000000,4095.000000,108.000000,1832.000000,21.000000,6.000000
1.657,4905.000000,97.000000,0.000000,0.000000,4095.000000,139.000000,1817.000000,25.000000,0.000000
1.708,4906.000000,79.000000,1.000000,0.000000,4095.000000,116.000000,1827.000000,26.000000,11.000000
1.759,4907.000000,75.000000,0.000000,0.000000,199.000000,380.000000,1821.000000,24.000000,18.000000
1.810,4908.000000,104.000000,0.000000,0.000000,188.000000,365.000000,1801.000000,21.000000,26.000000
1.861,4909.000000,83.000000,0.000000,0.000000,164.000000,379.000000,1800.000000,19.000000,16.000000
1.912,4910.000000,46.000000,0.000000,0.000000,4095.000000,104.000000,1825.000000,27.000000,12.000000
1.963,4911.000000,179.000000,0.000000,0.000000,4095.000000,101.000000,1790.000000,21.000000,8.000000
2.014,4912.000000,265.000000,0.000000,0.000000,4095.000000,103.000000,1789.000000,20.000000,9.000000
2.065,4913.000000,403.000000,5.000000,0.000000,4095.000000,111.000000,1805.000000,25.000000,0.000000
2.116,4914.000000,497.000000,4.000000,0.000000,4095.000000,133.000000,1807.000000,24.000000,13.000000
2.167,4915.000000,240.000000,0.000000,0.000000,265.000000,361.000000,1809.000000,23.000000,3.000000
2.218,4916.000000,151.000000,0.000000,0.000000,237.000000,388.000000,1815.000000,29.000000,22.000000
2.269,4917.000000,265.000000,2.000000,0.000000,379.000000,395.000000,1823.000000,24.000000,24.000000
2.320,4918.000000,541.000000,5.000000,0.000000,648.000000,331.000000,1813.000000,17.000000,33.000000
