time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,2552.000000,497.000000,10.000000,0.000000,3284.000000,1389.000000,3561.000000,76.000000,824.000000
0.000,2553.000000,475.000000,0.000000,0.000000,3317.000000,1403.000000,3601.000000,72.000000,827.000000
0.000,2554.000000,523.000000,2.000000,0.000000,3294.000000,1417.000000,3536.000000,76.000000,827.000000
0.000,2555.000000,453.000000,0.000000,0.000000,3307.000000,1404.000000,3577.000000,79.000000,827.000000
0.000,2556.000000,442.000000,0.000000,0.000000,3275.000000,1484.000000,3509.000000,64.000000,1235.000000
0.000,2557.000000,373.000000,1.000000,0.000000,3172.000000,1543.000000,3536.000000,33.000000,845.000000
0.000,2558.000000,1096.000000,4.000000,0.000000,1610.000000,1304.000000,3755.000000,82.000000,701.000000
0.000,2559.000000,1821.000000,40.000000,0.000000,4007.000000,2339.000000,4095.000000,98.000000,18.000000
0.000,2560.000000,1749.000000,35.000000,0.000000,3605.000000,1992.000000,3445.000000,76.000000,1500.000000
0.000,2561.000000,843.000000,43.000000,0.000000,4095.000000,2488.000000,2592.000000,38.000000,827.000000
0.000,2562.000000,1581.000000,18.000000,5.000000,3528.000000,2141.000000,3099.000000,40.000000,1445.000000
0.000,2563.000000,1755.000000,30.000000,0.000000,3259.000000,1961.000000,3639.000000,80.000000,1869.000000
0.000,2564.000000,1917.000000,31.000000,0.000000,3369.000000,2166.000000,3617.000000,78.000000,1619.000000
0.000,2565.000000,2282.000000,44.000000,0.000000,2798.000000,2265.000000,3131.000000,72.000000,1397.000000
0.000,2566.000000,1047.000000,39.000000,0.000000,3429.000000,3228.000000,3499.000000,76.000000,1420.000000
0.000,2567.000000,1658.000000,31.000000,0.000000,4095.000000,3497.000000,3625.000000,83.000000,1582.000000
0.000,2568.000000,940.000000,0.000000,0.000000,4093.000000,3528.000000,3689.000000,80.000000,1865.000000
0.000,2569.000000,1611.000000,30.000000,0.000000,3466.000000,1963.000000,3731.000000,83.000000,1629.000000
0.000,2570.000000,980.000000,8.000000,0.000000,4093.000000,3515.000000,3679.000000,83.000000,1950.000000
0.000,2571.000000,1069.000000,17.000000,0.000000,4075.000000,3501.000000,3616.000000,76.000000,1705.000000
0.000,2572.000000,1200.000000,9.000000,0.000000,4095.000000,3520.000000,3685.000000,85.000000,1696.000000
0.000,2573.000000,835.000000,3.000000,0.000000,4095.000000,1696.000000,3971.000000,88.000000,1395.000000
0.000,2574.000000,1041.000000,9.000000,0.000000,4095.000000,1595.000000,3937.000000,87.000000,1289.000000
0.000,2575.000000,912.000000,6.000000,0.000000,4095.000000,1529.000000,3887.000000,88.000000,1152.000000
0.000,2576.000000,903.000000,1.000000,0.000000,4095.000000,1463.000000,3944.000000,85.000000,1406.000000
0.000,2577.000000,1660.000000,26.000000,0.000000,4095.000000,1593.000000,3888.000000,89.000000,1372.000000
0.000,2578.000000,1003.000000,6.000000,1.000000,4095.000000,1727.000000,3890.000000,83.000000,1373.000000
0.000,2579.000000,796.000000,0.000000,0.000000,4095.000000,1503.000000,3955.000000,89.000000,1112.000000
0.000,2580.000000,813.000000,2.000000,0.000000,4095.000000,1551.000000,3928.000000,87.000000,1147.000000
