time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,8432.000000,359.000000,2.000000,0.000000,4095.000000,472.000000,1846.000000,30.000000,0.000000
0.000,8433.000000,369.000000,0.000000,0.000000,4095.000000,488.000000,1817.000000,18.000000,0.000000
0.000,8434.000000,365.000000,2.000000,0.000000,4095.000000,545.000000,1817.000000,26.000000,0.000000
0.000,8435.000000,378.000000,6.000000,0.000000,4095.000000,520.000000,1844.000000,23.000000,0.000000
0.000,8436.000000,374.000000,1.000000,0.000000,4095.000000,475.000000,1819.000000,30.000000,0.000000
0.000,8437.000000,377.000000,0.000000,0.000000,4095.000000,489.000000,1852.000000,26.000000,0.000000
0.000,8438.000000,376.000000,3.000000,0.000000,4095.000000,489.000000,1820.000000,25.000000,0.000000
0.000,8439.000000,364.000000,1.000000,0.000000,4095.000000,551.000000,1836.000000,25.000000,0.000000
0.000,8440.000000,455.000000,0.000000,0.000000,717.000000,652.000000,1842.000000,21.000000,0.000000
0.000,8441.000000,468.000000,12.000000,0.000000,4095.000000,679.000000,1831.000000,22.000000,0.000000
0.000,8442.000000,664.000000,11.000000,0.000000,4095.000000,754.000000,1832.000000,20.000000,12.000000
0.000,8443.000000,665.000000,12.000000,0.000000,981.000000,731.000000,1787.000000,23.000000,25.000000
0.000,8444.000000,704.000000,10.000000,0.000000,4095.000000,905.000000,1832.000000,22.000000,87.000000
0.000,8445.000000,217.000000,0.000000,0.000000,4095.000000,815.000000,1832.000000,28.000000,203.000000
0.000,8446.000000,677.000000,0.000000,0.000000,1015.000000,856.000000,1827.000000,31.000000,171.000000
0.000,8447.000000,235.000000,4.000000,0.000000,1063.000000,828.000000,1819.000000,22.000000,142.000000
0.000,8448.000000,179.000000,18.000000,0.000000,937.000000,788.000000,1835.000000,25.000000,122.000000
0.000,8449.000000,792.000000,6.000000,0.000000,4095.000000,787.000000,1838.000000,20.000000,151.000000
0.000,8450.000000,760.000000,10.000000,0.000000,4095.000000,791.000000,1829.000000,28.000000,211.000000
