time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,6612.000000,356.000000,0.000000,0.000000,1312.000000,1118.000000,3833.000000,85.000000,755.000000
0.000,6613.000000,407.000000,0.000000,0.000000,1343.000000,1128.000000,3867.000000,80.000000,757.000000
0.000,6614.000000,1039.000000,18.000000,0.000000,1405.000000,1163.000000,3816.000000,88.000000,791.000000
0.000,6615.000000,987.000000,9.000000,0.000000,1363.000000,1125.000000,3817.000000,81.000000,774.000000
0.000,6616.000000,977.000000,1.000000,0.000000,1319.000000,1125.000000,3788.000000,83.000000,747.000000
0.000,6617.000000,984.000000,10.000000,0.000000,1369.000000,1101.000000,3795.000000,85.000000,763.000000
0.000,6618.000000,1016.000000,7.000000,0.000000,1356.000000,1121.000000,3799.000000,77.000000,763.000000
0.000,6619.000000,953.000000,4.000000,0.000000,1332.000000,1167.000000,3811.000000,85.000000,775.000000
0.000,6620.000000,1015.000000,2.000000,0.000000,1353.000000,1117.000000,3853.000000,91.000000,806.000000
0.000,6621.000000,1031.000000,2.000000,0.000000,1383.000000,1169.000000,3863.000000,85.000000,826.000000
0.000,6622.000000,989.000000,9.000000,0.000000,1496.000000,1237.000000,3833.000000,77.000000,928.000000
0.000,6623.000000,1520.000000,24.000000,0.000000,1872.000000,1515.000000,3815.000000,81.000000,1155.000000
0.000,6624.000000,1956.000000,33.000000,0.000000,2287.000000,1885.000000,3482.000000,71.000000,1367.000000
0.000,6625.000000,517.000000,8.000000,0.000000,1405.000000,913.000000,1878.000000,24.000000,579.000000
0.000,6626.000000,537.000000,0.000000,0.000000,1145.000000,793.000000,1869.000000,33.000000,443.000000
0.000,6627.000000,522.000000,5.000000,0.000000,1169.000000,715.000000,1861.000000,26.000000,311.000000
0.000,6628.000000,1515.000000,2.000000,0.000000,1062.000000,1387.000000,3411.000000,82.000000,1007.000000
0.000,6629.000000,1661.000000,25.000000,0.000000,1916.000000,1641.000000,3812.000000,85.000000,1237.000000
0.000,6630.000000,2277.000000,40.000000,0.000000,4095.000000,3443.000000,3168.000000,64.000000,2131.000000
0.000,6631.000000,2371.000000,58.000000,0.000000,4095.000000,3117.000000,3513.000000,71.000000,2136.000000
0.000,6632.000000,2291.000000,28.000000,0.000000,4095.000000,3153.000000,3524.000000,67.000000,2161.000000
0.000,6633.000000,2406.000000,54.000000,0.000000,4095.000000,3275.000000,3610.000000,77.000000,2202.000000
0.000,6634.000000,2409.000000,47.000000,0.000000,2656.000000,3223.000000,3593.000000,80.000000,2123.000000
0.000,6635.000000,2359.000000,33.000000,0.000000,4095.000000,3260.000000,3571.000000,75.000000,2092.000000
0.000,6636.000000,2358.000000,52.000000,0.000000,4095.000000,3212.000000,3573.000000,78.000000,2035.000000
0.000,6637.000000,2475.000000,44.000000,0.000000,4095.000000,3161.000000,3433.000000,77.000000,1941.000000
0.000,6638.000000,2441.000000,51.000000,0.000000,4095.000000,3144.000000,3413.000000,76.000000,1881.000000
0.000,6639.000000,2399.000000,50.000000,0.000000,4095.000000,3213.000000,3480.000000,77.000000,1944.000000
0.000,6640.000000,2326.000000,43.000000,0.000000,4095.000000,3235.000000,3573.000000,75.000000,1975.000000
0.000,6641.000000,2343.000000,39.000000,0.000000,4095.000000,3257.000000,3749.000000,87.000000,2042.000000
0.000,6642.000000,2353.000000,35.000000,0.000000,4095.000000,3232.000000,3599.000000,73.000000,1925.000000
0.000,6643.000000,2165.000000,51.000000,0.000000,4095.000000,3245.000000,3623.000000,77.000000,1951.000000
0.000,6644.000000,2295.000000,33.000000,0.000000,4095.000000,3230.000000,3559.000000,79.000000,1961.000000
0.000,6645.000000,2319.000000,51.000000,0.000000,4095.000000,3251.000000,3517.000000,73.000000,1911.000000
0.000,6646.000000,2311.000000,48.000000,0.000000,4095.000000,3213.000000,3565.000000,85.000000,1939.000000
0.000,6647.000000,1257.000000,8.000000,0.000000,4095.000000,3335.000000,3563.000000,75.000000,1663.000000
0.000,6648.000000,1249.000000,16.000000,0.000000,4095.000000,3340.000000,3571.000000,83.000000,1657.000000
0.000,6649.000000,977.000000,0.000000,0.000000,4095.000000,3326.000000,3428.000000,76.000000,1675.000000
0.000,6650.000000,873.000000,2.000000,0.000000,4095.000000,3373.000000,1489.000000,20.000000,1385.000000
0.000,6651.000000,1845.000000,40.000000,0.000000,4095.000000,2956.000000,1255.000000,8.000000,1424.000000
0.000,6652.000000,1133.000000,2.000000,0.000000,4095.000000,3313.000000,3301.000000,66.000000,1641.000000
0.000,6653.000000,1075.000000,12.000000,0.000000,4095.000000,3299.000000,3401.000000,72.000000,1683.000000
0.000,6654.000000,1125.000000,16.000000,0.000000,4095.000000,3306.000000,3402.000000,61.000000,1749.000000
0.000,6655.000000,1113.000000,7.000000,0.000000,4095.000000,3341.000000,3385.000000,71.000000,1739.000000
0.000,6656.000000,1168.000000,9.000000,0.000000,4095.000000,3309.000000,3365.000000,67.000000,1742.000000
0.000,6657.000000,1097.000000,8.000000,0.000000,4095.000000,3321.000000,3316.000000,71.000000,1709.000000
0.000,6658.000000,1031.000000,6.000000,0.000000,4095.000000,3364.000000,1320.000000,13.000000,1491.000000
0.000,6659.000000,1383.000000,16.000000,0.000000,4095.000000,3217.000000,3580.000000,72.000000,1657.000000
0.000,6660.000000,2267.000000,45.000000,0.000000,4095.000000,3170.000000,3548.000000,69.000000,2077.000000
0.000,6661.000000,1338.000000,22.000000,0.000000,4095.000000,3294.000000,3451.000000,71.000000,1912.000000
0.000,6662.000000,1009.000000,11.000000,0.000000,4095.000000,1884.000000,3877.000000,83.000000,1531.000000
0.000,6663.000000,1069.000000,9.000000,0.000000,2145.000000,1878.000000,3943.000000,81.000000,1367.000000
0.000,6664.000000,1096.000000,5.000000,2.000000,1952.000000,1817.000000,3809.000000,87.000000,1485.000000
0.000,6665.000000,1601.000000,26.000000,0.000000,2628.000000,1529.000000,1782.000000,28.000000,1181.000000
0.000,6666.000000,1477.000000,23.000000,0.000000,4095.000000,2876.000000,1904.000000,25.000000,1596.000000
0.000,6667.000000,701.000000,1.000000,0.000000,2705.000000,1297.000000,1813.000000,22.000000,1019.000000
0.000,6668.000000,1569.000000,24.000000,0.000000,3377.000000,1504.000000,1843.000000,33.000000,1159.000000
0.000,6669.000000,745.000000,5.000000,0.000000,3253.000000,1399.000000,1819.000000,23.000000,1103.000000
0.000,6670.000000,823.000000,4.000000,0.000000,3303.000000,1457.000000,1833.000000,22.000000,1004.000000
0.000,6671.000000,616.000000,4.000000,0.000000,3637.000000,1637.000000,1835.000000,25.000000,888.000000
0.000,6672.000000,811.000000,1.000000,0.000000,1845.000000,1948.000000,1892.000000,16.000000,701.000000
0.000,6673.000000,1815.000000,34.000000,0.000000,3050.000000,2013.000000,1872.000000,26.000000,937.000000
0.000,6674.000000,1744.000000,28.000000,0.000000,3472.000000,2144.000000,1949.000000,33.000000,1429.000000
0.000,6675.000000,1925.000000,33.000000,0.000000,2713.000000,2125.000000,1892.000000,26.000000,1246.000000
0.000,6676.000000,1832.000000,39.000000,0.000000,2729.000000,2207.000000,1852.000000,25.000000,1297.000000
0.000,6677.000000,1856.000000,80.000000,0.000000,3672.000000,2123.000000,1867.000000,25.000000,1275.000000
0.000,6678.000000,1777.000000,20.000000,0.000000,1736.000000,2123.000000,1896.000000,22.000000,960.000000
0.000,6679.000000,1707.000000,30.000000,0.000000,1838.000000,2151.000000,1886.000000,22.000000,856.000000
0.000,6680.000000,1745.000000,33.000000,0.000000,1864.000000,2187.000000,1884.000000,27.000000,1040.000000
0.000,6681.000000,2237.000000,42.000000,0.000000,3596.000000,2493.000000,2774.000000,49.000000,1661.000000
0.000,6682.000000,2261.000000,45.000000,0.000000,2731.000000,2576.000000,3531.000000,83.000000,2117.000000
0.000,6683.000000,2257.000000,51.000000,0.000000,2503.000000,2667.000000,3415.000000,73.000000,1707.000000
0.000,6684.000000,2264.000000,56.000000,0.000000,4095.000000,2808.000000,3438.000000,72.000000,1885.000000
0.000,6685.000000,2291.000000,51.000000,0.000000,2538.000000,2679.000000,3397.000000,67.000000,1837.000000
0.000,6686.000000,2247.000000,33.000000,0.000000,2514.000000,2672.000000,3473.000000,76.000000,1830.000000
0.000,6687.000000,2199.000000,41.000000,0.000000,2451.000000,2672.000000,3591.000000,81.000000,1809.000000
0.000,6688.000000,1840.000000,33.000000,0.000000,1952.000000,2475.000000,1912.000000,27.000000,1305.000000
0.000,6689.000000,1681.000000,29.000000,0.000000,4095.000000,2468.000000,1864.000000,24.000000,1243.000000
0.000,6690.000000,1604.000000,12.000000,0.000000,4095.000000,2451.000000,1885.000000,25.000000,1344.000000
0.000,6691.000000,1659.000000,27.000000,0.000000,1724.000000,2363.000000,1896.000000,29.000000,1007.000000
0.000,6692.000000,795.000000,10.000000,0.000000,4095.000000,2263.000000,1859.000000,45.000000,1115.000000
0.025,6693.000000,741.000000,5.000000,0.000000,4095.000000,2479.000000,1869.000000,22.000000,1152.000000
0.076,6694.000000,1747.000000,27.000000,0.000000,1684.000000,2399.000000,1849.000000,35.000000,1013.000000
0.127,6695.000000,1589.000000,17.000000,0.000000,1777.000000,2414.000000,1889.000000,25.000000,999.000000
0.178,6696.000000,1824.000000,30.000000,0.000000,2084.000000,2243.000000,1880.000000,21.000000,915.000000
0.229,6697.000000,1715.000000,28.000000,0.000000,1800.000000,2387.000000,724.000000,8.000000,929.000000
0.280,6698.000000,2088.000000,35.000000,0.000000,2645.000000,2584.000000,3715.000000,78.000000,0.000000
0.331,6699.000000,1504.000000,24.000000,0.000000,2491.000000,2668.000000,3781.000000,81.000000,0.000000
0.382,6700.000000,1876.000000,36.000000,0.000000,2480.000000,2683.000000,3787.000000,81.000000,0.000000
0.433,6701.000000,1608.000000,28.000000,0.000000,2583.000000,2711.000000,3738.000000,74.000000,0.000000
0.484,6702.000000,1683.000000,19.000000,0.000000,2229.000000,2513.000000,3721.000000,77.000000,0.000000
0.535,6703.000000,1061.000000,2.000000,0.000000,1923.000000,1658.000000,3904.000000,83.000000,0.000000
0.586,6704.000000,659.000000,4.000000,0.000000,1755.000000,1437.000000,3901.000000,91.000000,0.000000
0.637,6705.000000,642.000000,0.000000,0.000000,1470.000000,1295.000000,3927.000000,84.000000,0.000000
0.688,6706.000000,681.000000,0.000000,0.000000,4095.000000,1123.000000,3857.000000,79.000000,0.000000
0.739,6707.000000,827.000000,2.000000,0.000000,4095.000000,1933.000000,3768.000000,79.000000,0.000000
0.790,6708.000000,825.000000,1.000000,0.000000,4095.000000,1170.000000,3855.000000,80.000000,0.000000
0.841,6709.000000,659.000000,1.000000,0.000000,4095.000000,1111.000000,3827.000000,79.000000,0.000000
0.892,6710.000000,651.000000,8.000000,0.000000,4095.000000,1152.000000,3861.000000,91.000000,0.000000
0.943,6711.000000,665.000000,9.000000,0.000000,4095.000000,1088.000000,3903.000000,83.000000,0.000000
0.994,6712.000000,719.000000,9.000000,0.000000,4095.000000,1145.000000,3885.000000,88.000000,0.000000
1.045,6713.000000,819.000000,8.000000,0.000000,4095.000000,1165.000000,3860.000000,86.000000,0.000000
1.096,6714.000000,749.000000,0.000000,0.000000,4095.000000,1165.000000,3860.000000,88.000000,0.000000
1.147,6715.000000,711.000000,0.000000,0.000000,4095.000000,1125.000000,3923.000000,83.000000,0.000000
1.198,6716.000000,628.000000,1.000000,0.000000,4095.000000,1129.000000,3850.000000,81.000000,0.000000
1.249,6717.000000,663.000000,1.000000,0.000000,4095.000000,1136.000000,3837.000000,78.000000,0.000000
1.300,6718.000000,696.000000,3.000000,0.000000,4095.000000,1100.000000,3820.000000,86.000000,0.000000
1.351,6719.000000,698.000000,6.000000,0.000000,4095.000000,1102.000000,3802.000000,83.000000,0.000000
1.402,6720.000000,755.000000,1.000000,0.000000,4095.000000,1143.000000,3781.000000,77.000000,0.000000
1.453,6721.000000,731.000000,0.000000,0.000000,4095.000000,1152.000000,3831.000000,88.000000,0.000000
1.504,6722.000000,679.000000,2.000000,0.000000,4095.000000,1123.000000,3771.000000,79.000000,0.000000
1.555,6723.000000,665.000000,2.000000,0.000000,4095.000000,1132.000000,3807.000000,85.000000,0.000000
1.606,6724.000000,719.000000,4.000000,0.000000,4095.000000,1139.000000,3804.000000,79.000000,0.000000
1.657,6725.000000,691.000000,5.000000,0.000000,4095.000000,1145.000000,3808.000000,82.000000,0.000000
1.708,6726.000000,725.000000,4.000000,0.000000,4095.000000,1068.000000,3813.000000,81.000000,0.000000
1.759,6727.000000,663.000000,2.000000,0.000000,4095.000000,1059.000000,3788.000000,76.000000,0.000000
1.810,6728.000000,694.000000,7.000000,0.000000,4095.000000,1051.000000,3809.000000,86.000000,0.000000
1.861,6729.000000,644.000000,0.000000,0.000000,4095.000000,1031.000000,3816.000000,81.000000,0.000000
1.912,6730.000000,675.000000,0.000000,0.000000,4095.000000,1040.000000,3805.000000,77.000000,0.000000
1.963,6731.000000,665.000000,0.000000,0.000000,4095.000000,1046.000000,3827.000000,83.000000,0.000000
2.014,6732.000000,696.000000,0.000000,0.000000,4095.000000,1031.000000,3760.000000,80.000000,0.000000
2.065,6733.000000,677.000000,0.000000,0.000000,4095.000000,1099.000000,3768.000000,78.000000,0.000000
2.116,6734.000000,717.000000,0.000000,0.000000,4095.000000,1083.000000,3795.000000,71.000000,0.000000
2.167,6735.000000,670.000000,20.000000,0.000000,4095.000000,1086.000000,3789.000000,73.000000,0.000000
2.218,6736.000000,673.000000,3.000000,0.000000,4095.000000,1087.000000,3803.000000,82.000000,0.000000
2.269,6737.000000,663.000000,2.000000,0.000000,4095.000000,1191.000000,3798.000000,81.000000,0.000000
2.320,6738.000000,701.000000,1.000000,0.000000,4095.000000,1185.000000,3740.000000,81.000000,0.000000
2.371,6739.000000,651.000000,4.000000,0.000000,4095.000000,1164.000000,3685.000000,81.000000,0.000000
2.422,6740.000000,659.000000,5.000000,0.000000,1545.000000,1187.000000,3799.000000,76.000000,0.000000
2.473,6741.000000,645.000000,8.000000,0.000000,4095.000000,1157.000000,3790.000000,75.000000,0.000000
2.524,6742.000000,653.000000,4.000000,0.000000,1535.000000,1171.000000,3774.000000,77.000000,0.000000
2.575,6743.000000,636.000000,4.000000,0.000000,1603.000000,1184.000000,3815.000000,76.000000,0.000000
2.626,6744.000000,663.000000,1.000000,0.000000,1523.000000,1185.000000,3790.000000,83.000000,0.000000
2.677,6745.000000,607.000000,0.000000,0.000000,1397.000000,1120.000000,3835.000000,83.000000,0.000000
2.728,6746.000000,605.000000,0.000000,0.000000,1405.000000,1123.000000,3752.000000,75.000000,0.000000
2.779,6747.000000,637.000000,0.000000,0.000000,1400.000000,1095.000000,3803.000000,79.000000,0.000000
2.830,6748.000000,665.000000,0.000000,0.000000,1467.000000,1182.000000,3785.000000,85.000000,0.000000
2.881,6749.000000,632.000000,2.000000,0.000000,1413.000000,1120.000000,3805.000000,80.000000,0.000000
2.932,6750.000000,670.000000,4.000000,0.000000,1689.000000,1179.000000,3791.000000,79.000000,0.000000
2.983,6751.000000,635.000000,0.000000,0.000000,1518.000000,1187.000000,3819.000000,71.000000,0.000000
