time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,7033.000000,41.000000,4.000000,0.000000,603.000000,558.000000,1864.000000,26.000000,0.000000
0.000,7034.000000,81.000000,1.000000,0.000000,651.000000,623.000000,1821.000000,22.000000,0.000000
0.000,7035.000000,92.000000,0.000000,0.000000,649.000000,600.000000,1827.000000,22.000000,0.000000
0.000,7036.000000,78.000000,0.000000,0.000000,611.000000,527.000000,1833.000000,25.000000,0.000000
0.000,7037.000000,93.000000,0.000000,0.000000,633.000000,504.000000,1805.000000,22.000000,0.000000
0.000,7038.000000,105.000000,1.000000,0.000000,664.000000,504.000000,1848.000000,25.000000,0.000000
0.000,7039.000000,115.000000,0.000000,0.000000,691.000000,517.000000,1821.000000,25.000000,0.000000
0.000,7040.000000,113.000000,0.000000,0.000000,665.000000,417.000000,1813.000000,30.000000,0.000000
0.000,7041.000000,63.000000,5.000000,0.000000,629.000000,396.000000,1849.000000,15.000000,0.000000
0.000,7042.000000,52.000000,0.000000,0.000000,589.000000,381.000000,1829.000000,24.000000,0.000000
0.000,7043.000000,86.000000,0.000000,0.000000,576.000000,395.000000,1834.000000,24.000000,0.000000
0.000,7044.000000,101.000000,0.000000,0.000000,611.000000,399.000000,1801.000000,28.000000,0.000000
0.000,7045.000000,56.000000,0.000000,0.000000,604.000000,393.000000,1848.000000,26.000000,0.000000
0.000,7046.000000,55.000000,0.000000,0.000000,608.000000,419.000000,1828.000000,24.000000,0.000000
0.000,7047.000000,40.000000,0.000000,0.000000,602.000000,393.000000,1844.000000,25.000000,0.000000
0.000,7048.000000,97.000000,0.000000,0.000000,658.000000,453.000000,1844.000000,25.000000,0.000000
0.000,7049.000000,59.000000,0.000000,0.000000,775.000000,371.000000,1821.000000,30.000000,0.000000
0.000,7050.000000,117.000000,1.000000,0.000000,710.000000,455.000000,1819.000000,24.000000,0.000000
0.000,7051.000000,576.000000,4.000000,0.000000,518.000000,403.000000,1836.000000,19.000000,0.000000
0.000,7052.000000,929.000000,20.000000,0.000000,896.000000,489.000000,1848.000000,19.000000,0.000000
0.000,7053.000000,1123.000000,12.000000,0.000000,3321.000000,1039.000000,1843.000000,24.000000,0.000000
0.000,7054.000000,1453.000000,33.000000,0.000000,3375.000000,1421.000000,1842.000000,25.000000,0.000000
0.000,7055.000000,1579.000000,28.000000,0.000000,3224.000000,1425.000000,1850.000000,21.000000,0.000000
0.000,7056.000000,1323.000000,17.000000,0.000000,3275.000000,1338.000000,1831.000000,22.000000,0.000000
0.000,7057.000000,1223.000000,20.000000,0.000000,3279.000000,1400.000000,1856.000000,27.000000,0.000000
0.000,7058.000000,808.000000,103.000000,0.000000,1905.000000,1277.000000,1804.000000,29.000000,0.000000
0.000,7059.000000,1376.000000,30.000000,0.000000,3384.000000,1464.000000,1824.000000,25.000000,0.000000
0.000,7060.000000,1469.000000,23.000000,0.000000,3367.000000,1461.000000,1831.000000,31.000000,0.000000
0.000,7061.000000,1511.000000,22.000000,0.000000,3343.000000,1531.000000,1825.000000,16.000000,0.000000
0.000,7062.000000,1479.000000,28.000000,0.000000,3291.000000,1547.000000,1864.000000,29.000000,0.000000
0.000,7063.000000,1523.000000,33.000000,0.000000,3309.000000,1557.000000,1829.000000,23.000000,0.000000
0.000,7064.000000,1313.000000,20.000000,0.000000,1280.000000,1062.000000,1853.000000,26.000000,0.000000
0.000,7065.000000,1280.000000,18.000000,0.000000,1132.000000,933.000000,1824.000000,22.000000,0.000000
0.000,7066.000000,299.000000,2.000000,0.000000,1015.000000,755.000000,1811.000000,25.000000,0.000000
0.000,7067.000000,285.000000,1.000000,0.000000,987.000000,761.000000,1839.000000,26.000000,0.000000
0.000,7068.000000,1083.000000,9.000000,0.000000,1015.000000,691.000000,1783.000000,23.000000,0.000000
0.000,7069.000000,1116.000000,16.000000,0.000000,1008.000000,675.000000,1844.000000,24.000000,0.000000
0.000,7070.000000,1129.000000,16.000000,0.000000,1080.000000,711.000000,1833.000000,22.000000,0.000000
0.000,7071.000000,1243.000000,19.000000,0.000000,1104.000000,731.000000,1840.000000,19.000000,0.000000
0.000,7072.000000,1101.000000,14.000000,0.000000,1097.000000,813.000000,1819.000000,28.000000,0.000000
0.000,7073.000000,1103.000000,16.000000,0.000000,984.000000,675.000000,1821.000000,19.000000,0.000000
0.000,7074.000000,1049.000000,17.000000,0.000000,1016.000000,700.000000,1836.000000,27.000000,0.000000
0.000,7075.000000,1101.000000,17.000000,0.000000,1047.000000,731.000000,1848.000000,19.000000,0.000000
0.000,7076.000000,292.000000,7.000000,0.000000,548.000000,742.000000,1819.000000,26.000000,0.000000
0.000,7077.000000,712.000000,24.000000,0.000000,939.000000,751.000000,1801.000000,26.000000,0.000000
0.000,7078.000000,885.000000,8.000000,0.000000,828.000000,627.000000,1814.000000,22.000000,0.000000
0.000,7079.000000,168.000000,0.000000,0.000000,792.000000,669.000000,1834.000000,25.000000,0.000000
0.000,7080.000000,837.000000,16.000000,0.000000,795.000000,688.000000,1697.000000,19.000000,0.000000
0.000,7081.000000,939.000000,19.000000,0.000000,847.000000,699.000000,1811.000000,25.000000,0.000000
0.000,7082.000000,928.000000,7.000000,0.000000,873.000000,711.000000,1800.000000,26.000000,0.000000
0.000,7083.000000,216.000000,3.000000,0.000000,807.000000,723.000000,1809.000000,28.000000,0.000000
0.000,7084.000000,989.000000,18.000000,0.000000,923.000000,740.000000,1835.000000,22.000000,0.000000
0.000,7085.000000,635.000000,4.000000,0.000000,717.000000,750.000000,1803.000000,24.000000,0.000000
0.000,7086.000000,492.000000,6.000000,2.000000,700.000000,671.000000,1768.000000,16.000000,0.000000
