time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4652.000000,207.000000,0.000000,0.000000,4095.000000,511.000000,3715.000000,72.000000,503.000000
0.000,4653.000000,171.000000,0.000000,0.000000,4095.000000,432.000000,3736.000000,61.000000,521.000000
0.000,4654.000000,192.000000,0.000000,0.000000,4095.000000,567.000000,3718.000000,68.000000,521.000000
0.000,4655.000000,184.000000,0.000000,0.000000,4095.000000,596.000000,3744.000000,61.000000,532.000000
0.000,4656.000000,197.000000,0.000000,0.000000,4095.000000,625.000000,3734.000000,72.000000,428.000000
0.000,4657.000000,141.000000,0.000000,0.000000,4095.000000,585.000000,3731.000000,71.000000,544.000000
0.000,4658.000000,208.000000,0.000000,0.000000,582.000000,871.000000,3749.000000,59.000000,529.000000
0.000,4659.000000,169.000000,0.000000,0.000000,4095.000000,542.000000,3769.000000,57.000000,544.000000
0.000,4660.000000,189.000000,0.000000,0.000000,4095.000000,671.000000,3753.000000,75.000000,543.000000
0.000,4661.000000,221.000000,0.000000,0.000000,4095.000000,788.000000,3764.000000,75.000000,589.000000
0.000,4662.000000,745.000000,59.000000,0.000000,1438.000000,978.000000,3693.000000,77.000000,485.000000
0.000,4663.000000,390.000000,0.000000,0.000000,1365.000000,964.000000,3767.000000,87.000000,27.000000
0.000,4664.000000,1510.000000,28.000000,0.000000,4095.000000,1310.000000,4095.000000,93.000000,0.000000
0.000,4665.000000,1545.000000,33.000000,0.000000,4095.000000,1399.000000,3996.000000,88.000000,0.000000
0.000,4666.000000,2000.000000,27.000000,0.000000,4095.000000,1849.000000,4095.000000,93.000000,0.000000
0.000,4667.000000,1824.000000,37.000000,0.000000,4095.000000,1589.000000,3932.000000,89.000000,0.000000
0.000,4668.000000,751.000000,0.000000,0.000000,4095.000000,1544.000000,4089.000000,90.000000,0.000000
0.000,4669.000000,810.000000,6.000000,0.000000,3032.000000,1596.000000,3989.000000,87.000000,0.000000
0.000,4670.000000,452.000000,16.000000,0.000000,4095.000000,797.000000,1819.000000,29.000000,16.000000
0.000,4671.000000,207.000000,0.000000,0.000000,1039.000000,632.000000,1791.000000,22.000000,0.000000
0.000,4672.000000,580.000000,0.000000,0.000000,4095.000000,1456.000000,3787.000000,84.000000,0.000000
0.000,4673.000000,689.000000,2.000000,1.000000,4095.000000,3356.000000,3799.000000,77.000000,0.000000
0.000,4674.000000,896.000000,4.000000,0.000000,1673.000000,2727.000000,1851.000000,25.000000,0.000000
0.000,4675.000000,737.000000,12.000000,0.000000,4095.000000,2136.000000,1781.000000,20.000000,0.000000
0.000,4676.000000,366.000000,6.000000,0.000000,1123.000000,803.000000,1835.000000,20.000000,0.000000
0.000,4677.000000,281.000000,6.000000,0.000000,4095.000000,572.000000,1589.000000,9.000000,0.000000
0.000,4678.000000,1384.000000,25.000000,0.000000,4095.000000,3383.000000,1572.000000,9.000000,0.000000
0.000,4679.000000,621.000000,0.000000,0.000000,3430.000000,1256.000000,1151.000000,11.000000,0.000000
0.000,4680.000000,837.000000,8.000000,0.000000,4095.000000,3427.000000,3682.000000,80.000000,0.000000
0.000,4681.000000,1439.000000,18.000000,10.000000,4095.000000,1015.000000,1862.000000,18.000000,0.000000
0.000,4682.000000,1272.000000,23.000000,0.000000,4095.000000,699.000000,1826.000000,22.000000,1.000000
0.000,4683.000000,1236.000000,20.000000,0.000000,4095.000000,611.000000,1812.000000,24.000000,0.000000
0.000,4684.000000,1141.000000,18.000000,0.000000,4095.000000,535.000000,1832.000000,21.000000,0.000000
0.000,4685.000000,1104.000000,17.000000,0.000000,4095.000000,439.000000,1806.000000,22.000000,0.000000
0.000,4686.000000,795.000000,11.000000,0.000000,4095.000000,1183.000000,3833.000000,83.000000,0.000000
0.000,4687.000000,1043.000000,3.000000,0.000000,4095.000000,1405.000000,3648.000000,77.000000,0.000000
0.000,4688.000000,579.000000,5.000000,0.000000,3373.000000,1235.000000,873.000000,13.000000,0.000000
0.000,4689.000000,535.000000,2.000000,0.000000,3608.000000,1240.000000,866.000000,7.000000,0.000000
0.000,4690.000000,484.000000,10.000000,0.000000,1141.000000,852.000000,1845.000000,23.000000,0.000000
0.000,4691.000000,1184.000000,12.000000,0.000000,1120.000000,603.000000,1712.000000,19.000000,0.000000
0.000,4692.000000,1169.000000,16.000000,0.000000,1000.000000,533.000000,407.000000,0.000000,0.000000
0.000,4693.000000,157.000000,2.000000,0.000000,865.000000,491.000000,475.000000,0.000000,0.000000
0.000,4694.000000,1698.000000,16.000000,0.000000,1701.000000,1313.000000,3794.000000,87.000000,0.000000
0.000,4695.000000,1969.000000,36.000000,0.000000,984.000000,1849.000000,3907.000000,83.000000,0.000000
0.000,4696.000000,1842.000000,30.000000,0.000000,1453.000000,1881.000000,3911.000000,83.000000,0.000000
0.000,4697.000000,1839.000000,26.000000,0.000000,1961.000000,1693.000000,3913.000000,75.000000,0.000000
0.000,4698.000000,565.000000,8.000000,0.000000,1751.000000,1511.000000,3935.000000,89.000000,0.000000
0.000,4699.000000,782.000000,8.000000,0.000000,1726.000000,1512.000000,3953.000000,85.000000,0.000000
0.000,4700.000000,1604.000000,28.000000,0.000000,837.000000,1673.000000,3883.000000,85.000000,0.000000
0.000,4701.000000,1721.000000,29.000000,0.000000,969.000000,1879.000000,4047.000000,79.000000,0.000000
