time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5666.000000,1959.000000,28.000000,0.000000,2869.000000,2492.000000,1244.000000,0.000000,427.000000
0.000,5667.000000,1963.000000,45.000000,0.000000,2842.000000,2492.000000,1259.000000,0.000000,489.000000
0.000,5668.000000,2009.000000,41.000000,0.000000,2840.000000,2467.000000,1275.000000,0.000000,501.000000
0.000,5669.000000,1956.000000,25.000000,0.000000,2842.000000,2443.000000,1280.000000,0.000000,498.000000
0.000,5670.000000,1973.000000,39.000000,0.000000,2856.000000,2454.000000,1242.000000,0.000000,557.000000
0.000,5671.000000,1943.000000,44.000000,0.000000,2833.000000,2457.000000,1417.000000,0.000000,567.000000
0.000,5672.000000,1989.000000,43.000000,2.000000,2843.000000,2464.000000,1304.000000,0.000000,576.000000
0.000,5673.000000,1918.000000,25.000000,0.000000,2865.000000,2549.000000,1404.000000,0.000000,796.000000
0.000,5674.000000,1957.000000,21.000000,0.000000,2843.000000,2493.000000,1285.000000,0.000000,484.000000
0.000,5675.000000,1979.000000,47.000000,3.000000,2843.000000,2516.000000,1291.000000,0.000000,507.000000
0.000,5676.000000,1984.000000,36.000000,0.000000,2858.000000,2519.000000,1288.000000,0.000000,461.000000
0.000,5677.000000,1963.000000,29.000000,0.000000,2835.000000,2477.000000,1325.000000,0.000000,567.000000
0.000,5678.000000,1975.000000,43.000000,0.000000,2863.000000,2491.000000,1304.000000,0.000000,519.000000
0.000,5679.000000,1972.000000,33.000000,0.000000,2855.000000,2519.000000,1272.000000,0.000000,512.000000
0.000,5680.000000,1952.000000,30.000000,0.000000,2853.000000,2459.000000,1293.000000,0.000000,601.000000
0.000,5681.000000,1948.000000,24.000000,0.000000,2843.000000,2487.000000,1298.000000,0.000000,599.000000
0.000,5682.000000,1943.000000,33.000000,0.000000,2859.000000,2491.000000,1272.000000,0.000000,535.000000
0.000,5683.000000,1983.000000,35.000000,0.000000,2899.000000,2797.000000,1987.000000,0.000000,403.000000
0.000,5684.000000,1969.000000,26.000000,0.000000,2853.000000,2848.000000,2102.000000,2.000000,478.000000
0.000,5685.000000,2001.000000,31.000000,0.000000,2855.000000,2862.000000,2167.000000,0.000000,440.000000
0.000,5686.000000,1983.000000,41.000000,2.000000,2921.000000,2872.000000,2124.000000,0.000000,440.000000
0.000,5687.000000,1994.000000,37.000000,1.000000,2873.000000,2864.000000,2031.000000,25.000000,363.000000
0.000,5688.000000,1984.000000,33.000000,0.000000,2909.000000,2877.000000,2285.000000,4.000000,404.000000
0.000,5689.000000,1977.000000,35.000000,0.000000,2872.000000,2872.000000,2160.000000,14.000000,369.000000
0.000,5690.000000,1976.000000,33.000000,0.000000,2903.000000,2859.000000,2031.000000,13.000000,349.000000
0.000,5691.000000,2003.000000,27.000000,0.000000,2911.000000,2865.000000,2185.000000,6.000000,403.000000
