time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4966.000000,2075.000000,29.000000,0.000000,1976.000000,1680.000000,3816.000000,81.000000,1496.000000
0.000,4967.000000,2066.000000,39.000000,0.000000,2010.000000,1672.000000,3854.000000,86.000000,1483.000000
0.000,4968.000000,2071.000000,41.000000,0.000000,2027.000000,1693.000000,3849.000000,87.000000,1455.000000
0.000,4969.000000,2034.000000,29.000000,0.000000,2017.000000,1659.000000,3808.000000,79.000000,1338.000000
0.000,4970.000000,2227.000000,39.000000,0.000000,2173.000000,1977.000000,3820.000000,81.000000,1740.000000
0.000,4971.000000,2106.000000,39.000000,0.000000,2059.000000,1720.000000,3838.000000,89.000000,1149.000000
0.000,4972.000000,2095.000000,39.000000,0.000000,2233.000000,1993.000000,3186.000000,69.000000,963.000000
0.000,4973.000000,2091.000000,22.000000,0.000000,2043.000000,1661.000000,3823.000000,81.000000,1034.000000
0.000,4974.000000,2085.000000,22.000000,0.000000,2065.000000,1725.000000,3799.000000,78.000000,1453.000000
0.000,4975.000000,2155.000000,25.000000,0.000000,1492.000000,2336.000000,3886.000000,82.000000,2227.000000
0.000,4976.000000,2149.000000,35.000000,0.000000,559.000000,2331.000000,3916.000000,83.000000,2230.000000
0.000,4977.000000,2037.000000,24.000000,0.000000,613.000000,2373.000000,3867.000000,80.000000,2136.000000
0.000,4978.000000,1901.000000,22.000000,0.000000,645.000000,1745.000000,3790.000000,74.000000,1476.000000
0.000,4979.000000,1924.000000,11.000000,0.000000,608.000000,1763.000000,3837.000000,75.000000,1579.000000
0.000,4980.000000,2247.000000,39.000000,0.000000,623.000000,2601.000000,3909.000000,87.000000,1931.000000
0.000,4981.000000,2207.000000,40.000000,0.000000,615.000000,2528.000000,3907.000000,87.000000,1915.000000
0.000,4982.000000,2203.000000,43.000000,0.000000,647.000000,2589.000000,3888.000000,87.000000,2037.000000
0.000,4983.000000,2311.000000,33.000000,0.000000,640.000000,2611.000000,3885.000000,80.000000,2043.000000
0.000,4984.000000,2282.000000,37.000000,0.000000,632.000000,2609.000000,3913.000000,82.000000,2056.000000
0.000,4985.000000,2283.000000,35.000000,0.000000,615.000000,2632.000000,3919.000000,87.000000,2019.000000
0.000,4986.000000,2266.000000,45.000000,0.000000,638.000000,2597.000000,3921.000000,83.000000,1979.000000
0.000,4987.000000,2231.000000,41.000000,0.000000,663.000000,2549.000000,3915.000000,81.000000,2005.000000
0.000,4988.000000,2223.000000,33.000000,0.000000,636.000000,2448.000000,3880.000000,89.000000,2381.000000
0.000,4989.000000,2248.000000,33.000000,0.000000,631.000000,2468.000000,3880.000000,78.000000,2418.000000
0.000,4990.000000,2295.000000,33.000000,0.000000,655.000000,2471.000000,3893.000000,87.000000,2408.000000
0.000,4991.000000,2445.000000,29.000000,0.000000,609.000000,2496.000000,3897.000000,85.000000,2421.000000
0.000,4992.000000,2198.000000,36.000000,0.000000,582.000000,2449.000000,3893.000000,83.000000,2357.000000
0.000,4993.000000,2201.000000,35.000000,0.000000,609.000000,2489.000000,3871.000000,87.000000,2387.000000
0.000,4994.000000,2189.000000,43.000000,0.000000,723.000000,2478.000000,3863.000000,80.000000,2280.000000
0.000,4995.000000,2233.000000,39.000000,0.000000,747.000000,2509.000000,3896.000000,87.000000,2464.000000
0.000,4996.000000,2279.000000,33.000000,0.000000,724.000000,2694.000000,3923.000000,85.000000,1920.000000
0.000,4997.000000,2256.000000,45.000000,0.000000,709.000000,2501.000000,3887.000000,85.000000,2499.000000
0.000,4998.000000,2143.000000,33.000000,0.000000,2155.000000,1797.000000,3846.000000,87.000000,755.000000
0.000,4999.000000,1865.000000,17.000000,0.000000,2244.000000,1867.000000,3838.000000,85.000000,1000.000000
0.000,5000.000000,3414.000000,79.000000,0.000000,2853.000000,3339.000000,1678.000000,0.000000,701.000000
0.000,5001.000000,2408.000000,42.000000,0.000000,2651.000000,2717.000000,3827.000000,77.000000,1943.000000
0.000,5002.000000,2329.000000,47.000000,0.000000,2259.000000,1736.000000,3931.000000,87.000000,629.000000
0.000,5003.000000,2593.000000,45.000000,0.000000,937.000000,2840.000000,3835.000000,77.000000,2331.000000
0.000,5004.000000,1983.000000,35.000000,0.000000,648.000000,1305.000000,3785.000000,85.000000,1053.000000
0.000,5005.000000,624.000000,2.000000,0.000000,1851.000000,1293.000000,3784.000000,85.000000,907.000000
0.000,5006.000000,2029.000000,30.000000,0.000000,1065.000000,1771.000000,3811.000000,92.000000,1207.000000
0.000,5007.000000,2805.000000,53.000000,0.000000,1071.000000,3029.000000,3949.000000,83.000000,1990.000000
0.000,5008.000000,2205.000000,29.000000,0.000000,2869.000000,2736.000000,1906.000000,2.000000,422.000000
0.000,5009.000000,427.000000,0.000000,0.000000,1891.000000,1356.000000,3781.000000,87.000000,992.000000
0.000,5010.000000,543.000000,0.000000,0.000000,1631.000000,1111.000000,3333.000000,67.000000,797.000000
0.000,5011.000000,1710.000000,24.000000,0.000000,1592.000000,1109.000000,3800.000000,83.000000,982.000000
0.000,5012.000000,3646.000000,81.000000,0.000000,3451.000000,1514.000000,1824.000000,12.000000,272.000000
0.000,5013.000000,3708.000000,75.000000,0.000000,3096.000000,867.000000,1792.000000,9.000000,169.000000
0.000,5014.000000,3692.000000,83.000000,0.000000,3150.000000,1019.000000,1759.000000,12.000000,221.000000
0.000,5015.000000,2398.000000,42.000000,0.000000,3069.000000,2890.000000,1320.000000,16.000000,395.000000
0.000,5016.000000,3181.000000,67.000000,0.000000,3219.000000,3048.000000,1640.000000,0.000000,325.000000
0.000,5017.000000,2107.000000,49.000000,0.000000,3003.000000,2834.000000,1741.000000,0.000000,417.000000
0.000,5018.000000,2029.000000,43.000000,0.000000,2973.000000,2812.000000,1888.000000,1.000000,403.000000
0.000,5019.000000,3771.000000,74.000000,0.000000,3681.000000,3604.000000,1029.000000,0.000000,26.000000
0.000,5020.000000,3852.000000,75.000000,0.000000,3815.000000,3564.000000,861.000000,0.000000,221.000000
0.000,5021.000000,3748.000000,87.000000,0.000000,3647.000000,3513.000000,883.000000,0.000000,107.000000
0.000,5022.000000,3794.000000,87.000000,0.000000,3639.000000,3509.000000,833.000000,0.000000,197.000000
0.000,5023.000000,3897.000000,99.000000,0.000000,3704.000000,3588.000000,903.000000,0.000000,104.000000
0.000,5024.000000,4031.000000,84.000000,0.000000,3628.000000,3507.000000,680.000000,0.000000,256.000000
0.000,5025.000000,3353.000000,59.000000,3.000000,2862.000000,694.000000,1782.000000,11.000000,89.000000
0.000,5026.000000,3029.000000,79.000000,0.000000,2631.000000,287.000000,1789.000000,20.000000,0.000000
0.000,5027.000000,3391.000000,61.000000,0.000000,2957.000000,760.000000,1815.000000,9.000000,273.000000
0.000,5028.000000,3279.000000,55.000000,0.000000,3051.000000,763.000000,1781.000000,9.000000,61.000000
0.000,5029.000000,3555.000000,75.000000,0.000000,3109.000000,867.000000,1782.000000,13.000000,267.000000
0.000,5030.000000,2877.000000,59.000000,4.000000,2729.000000,497.000000,1768.000000,21.000000,0.000000
