time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,2446.000000,3657.000000,64.000000,0.000000,3053.000000,913.000000,1847.000000,29.000000,359.000000
0.000,2447.000000,3565.000000,75.000000,0.000000,2857.000000,532.000000,1792.000000,21.000000,12.000000
0.000,2448.000000,3228.000000,63.000000,0.000000,2313.000000,43.000000,1825.000000,26.000000,33.000000
0.000,2449.000000,3337.000000,52.000000,0.000000,2275.000000,28.000000,1838.000000,20.000000,46.000000
0.000,2450.000000,3209.000000,60.000000,0.000000,2577.000000,127.000000,1787.000000,23.000000,0.000000
0.000,2451.000000,3347.000000,37.000000,0.000000,2605.000000,315.000000,1786.000000,11.000000,53.000000
0.000,2452.000000,3229.000000,79.000000,0.000000,2591.000000,121.000000,1838.000000,20.000000,0.000000
0.000,2453.000000,3435.000000,82.000000,0.000000,2504.000000,184.000000,1820.000000,24.000000,97.000000
0.000,2454.000000,3242.000000,77.000000,0.000000,2591.000000,160.000000,1790.000000,21.000000,0.000000
0.000,2455.000000,3353.000000,85.000000,0.000000,2728.000000,165.000000,1824.000000,22.000000,99.000000
0.000,2456.000000,3369.000000,77.000000,0.000000,2568.000000,147.000000,1779.000000,24.000000,0.000000
0.000,2457.000000,3384.000000,31.000000,0.000000,2540.000000,151.000000,1823.000000,25.000000,28.000000
0.000,2458.000000,3320.000000,75.000000,0.000000,2696.000000,149.000000,1831.000000,24.000000,0.000000
0.000,2459.000000,3401.000000,63.000000,0.000000,2591.000000,185.000000,1828.000000,25.000000,2.000000
0.000,2460.000000,3399.000000,72.000000,0.000000,2624.000000,197.000000,1812.000000,20.000000,69.000000
0.000,2461.000000,3275.000000,75.000000,0.000000,2577.000000,176.000000,1819.000000,29.000000,0.000000
0.000,2462.000000,3542.000000,59.000000,0.000000,2799.000000,356.000000,1819.000000,16.000000,142.000000
0.000,2463.000000,3344.000000,73.000000,0.000000,2547.000000,140.000000,1816.000000,18.000000,24.000000
0.000,2464.000000,3298.000000,71.000000,0.000000,2656.000000,209.000000,1803.000000,25.000000,94.000000
0.000,2465.000000,3371.000000,75.000000,0.000000,2787.000000,241.000000,1751.000000,21.000000,0.000000
0.000,2466.000000,3461.000000,68.000000,0.000000,2775.000000,336.000000,1840.000000,28.000000,85.000000
0.000,2467.000000,3451.000000,79.000000,0.000000,2735.000000,168.000000,1820.000000,21.000000,8.000000
0.000,2468.000000,3388.000000,71.000000,0.000000,2719.000000,217.000000,1791.000000,25.000000,49.000000
0.000,2469.000000,3541.000000,79.000000,0.000000,2917.000000,363.000000,1811.000000,16.000000,57.000000
0.000,2470.000000,3447.000000,87.000000,0.000000,2837.000000,280.000000,1812.000000,19.000000,0.000000
0.000,2471.000000,3445.000000,79.000000,0.000000,2735.000000,329.000000,1797.000000,18.000000,121.000000
0.000,2472.000000,3339.000000,85.000000,0.000000,2723.000000,199.000000,1779.000000,25.000000,0.000000
0.000,2473.000000,3236.000000,73.000000,0.000000,2677.000000,192.000000,1809.000000,18.000000,113.000000
0.000,2474.000000,3335.000000,69.000000,2.000000,2687.000000,174.000000,1792.000000,21.000000,0.000000
0.000,2475.000000,3309.000000,85.000000,0.000000,2699.000000,283.000000,1797.000000,29.000000,97.000000
0.000,2476.000000,3312.000000,72.000000,0.000000,2693.000000,299.000000,1777.000000,27.000000,0.000000
0.000,2477.000000,3452.000000,79.000000,0.000000,2716.000000,291.000000,1803.000000,12.000000,41.000000
0.000,2478.000000,3357.000000,81.000000,0.000000,2840.000000,163.000000,1828.000000,24.000000,24.000000
0.000,2479.000000,3307.000000,59.000000,0.000000,2716.000000,189.000000,1809.000000,18.000000,0.000000
0.000,2480.000000,3539.000000,73.000000,0.000000,2532.000000,3029.000000,378.000000,0.000000,119.000000
0.000,2481.000000,3493.000000,63.000000,0.000000,3219.000000,3007.000000,416.000000,9.000000,30.000000
0.000,2482.000000,4059.000000,99.000000,0.000000,3640.000000,2571.000000,1832.000000,1.000000,713.000000
0.000,2483.000000,592.000000,5.000000,2.000000,1239.000000,201.000000,1807.000000,27.000000,40.000000
0.000,2484.000000,3755.000000,87.000000,0.000000,3500.000000,2035.000000,1804.000000,8.000000,797.000000
0.000,2485.000000,3321.000000,57.000000,0.000000,3570.000000,1506.000000,1830.000000,18.000000,283.000000
0.000,2486.000000,4031.000000,95.000000,0.000000,3829.000000,2077.000000,1867.000000,11.000000,1275.000000
0.000,2487.000000,3877.000000,84.000000,0.000000,3793.000000,3685.000000,2448.000000,35.000000,1147.000000
0.000,2488.000000,3616.000000,93.000000,0.000000,3608.000000,3576.000000,2167.000000,16.000000,777.000000
