time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,2026.000000,2147.000000,43.000000,0.000000,1056.000000,2159.000000,3976.000000,85.000000,1544.000000
0.000,2027.000000,2408.000000,30.000000,0.000000,1349.000000,2037.000000,3984.000000,82.000000,2106.000000
0.000,2028.000000,2299.000000,22.000000,0.000000,1248.000000,1935.000000,4012.000000,85.000000,2444.000000
0.000,2029.000000,745.000000,0.000000,0.000000,2378.000000,1966.000000,4070.000000,83.000000,1689.000000
0.000,2030.000000,688.000000,0.000000,0.000000,1264.000000,1504.000000,3996.000000,81.000000,1850.000000
0.000,2031.000000,702.000000,0.000000,0.000000,1165.000000,1878.000000,3979.000000,84.000000,1787.000000
0.000,2032.000000,699.000000,8.000000,0.000000,2301.000000,1871.000000,4001.000000,76.000000,1781.000000
0.000,2033.000000,954.000000,8.000000,0.000000,1178.000000,2017.000000,3925.000000,80.000000,1851.000000
0.000,2034.000000,963.000000,5.000000,0.000000,2251.000000,1820.000000,3886.000000,77.000000,1374.000000
0.000,2035.000000,1847.000000,39.000000,0.000000,2913.000000,2622.000000,2211.000000,6.000000,597.000000
0.000,2036.000000,592.000000,16.000000,0.000000,2327.000000,1867.000000,3923.000000,90.000000,1493.000000
0.000,2037.000000,793.000000,5.000000,3.000000,2357.000000,1945.000000,2747.000000,39.000000,1627.000000
0.000,2038.000000,743.000000,0.000000,0.000000,1107.000000,1717.000000,3883.000000,85.000000,1843.000000
0.000,2039.000000,823.000000,0.000000,1.000000,1043.000000,1563.000000,3943.000000,89.000000,1775.000000
0.000,2040.000000,1397.000000,9.000000,0.000000,1736.000000,2088.000000,1948.000000,0.000000,1011.000000
0.000,2041.000000,704.000000,2.000000,0.000000,1056.000000,1630.000000,3939.000000,89.000000,1799.000000
0.000,2042.000000,785.000000,4.000000,0.000000,2220.000000,1774.000000,3956.000000,83.000000,1819.000000
0.000,2043.000000,807.000000,8.000000,0.000000,2405.000000,1927.000000,3897.000000,88.000000,1764.000000
0.000,2044.000000,713.000000,0.000000,0.000000,2355.000000,1896.000000,3968.000000,87.000000,1771.000000
0.000,2045.000000,832.000000,17.000000,0.000000,984.000000,1979.000000,3952.000000,78.000000,1889.000000
0.000,2046.000000,853.000000,3.000000,0.000000,1077.000000,1905.000000,3825.000000,78.000000,1831.000000
0.000,2047.000000,823.000000,0.000000,0.000000,1005.000000,1896.000000,3921.000000,77.000000,1869.000000
0.000,2048.000000,847.000000,8.000000,0.000000,1043.000000,1908.000000,3855.000000,84.000000,1815.000000
0.000,2049.000000,742.000000,1.000000,0.000000,971.000000,1897.000000,3917.000000,89.000000,1835.000000
0.000,2050.000000,1939.000000,35.000000,0.000000,2827.000000,2533.000000,1905.000000,5.000000,605.000000
0.000,2051.000000,1957.000000,24.000000,0.000000,2405.000000,2476.000000,1459.000000,0.000000,599.000000
0.000,2052.000000,1960.000000,35.000000,0.000000,2657.000000,2552.000000,1828.000000,24.000000,671.000000
0.000,2053.000000,1968.000000,26.000000,0.000000,2761.000000,2416.000000,1539.000000,0.000000,533.000000
0.000,2054.000000,1975.000000,25.000000,0.000000,2763.000000,2515.000000,1608.000000,28.000000,675.000000
0.000,2055.000000,2008.000000,30.000000,0.000000,2920.000000,2480.000000,1591.000000,5.000000,593.000000
0.000,2056.000000,1957.000000,29.000000,0.000000,2908.000000,2393.000000,1560.000000,19.000000,621.000000
0.000,2057.000000,2938.000000,67.000000,0.000000,3672.000000,2649.000000,757.000000,0.000000,316.000000
0.000,2058.000000,3169.000000,85.000000,0.000000,3807.000000,2936.000000,913.000000,0.000000,403.000000
0.000,2059.000000,3231.000000,57.000000,0.000000,3831.000000,2780.000000,608.000000,0.000000,332.000000
0.000,2060.000000,3275.000000,60.000000,0.000000,3805.000000,3087.000000,137.000000,0.000000,0.000000
0.000,2061.000000,3125.000000,64.000000,0.000000,3739.000000,2888.000000,195.000000,0.000000,96.000000
0.000,2062.000000,3401.000000,72.000000,0.000000,3870.000000,3173.000000,1097.000000,0.000000,369.000000
0.000,2063.000000,2582.000000,56.000000,0.000000,1441.000000,2414.000000,1176.000000,0.000000,909.000000
0.000,2064.000000,3432.000000,75.000000,0.000000,2541.000000,2522.000000,709.000000,0.000000,424.000000
0.000,2065.000000,3609.000000,87.000000,0.000000,3163.000000,3133.000000,990.000000,0.000000,391.000000
0.000,2066.000000,2476.000000,43.000000,0.000000,2389.000000,1977.000000,3757.000000,39.000000,881.000000
0.000,2067.000000,3609.000000,86.000000,2.000000,3859.000000,3798.000000,1837.000000,0.000000,797.000000
0.000,2068.000000,3667.000000,108.000000,1.000000,3827.000000,3631.000000,1960.000000,0.000000,797.000000
0.000,2069.000000,3763.000000,101.000000,0.000000,4095.000000,4003.000000,1800.000000,0.000000,843.000000
0.000,2070.000000,3692.000000,101.000000,0.000000,3929.000000,3675.000000,2016.000000,0.000000,969.000000
0.000,2071.000000,3673.000000,87.000000,0.000000,3869.000000,3645.000000,1835.000000,0.000000,555.000000
0.000,2072.000000,3817.000000,83.000000,0.000000,3979.000000,3877.000000,1721.000000,0.000000,728.000000
0.000,2073.000000,3781.000000,81.000000,0.000000,4047.000000,3975.000000,2165.000000,0.000000,657.000000
0.000,2074.000000,3854.000000,87.000000,0.000000,4059.000000,3919.000000,2677.000000,7.000000,949.000000
0.000,2075.000000,4021.000000,103.000000,0.000000,4019.000000,3949.000000,2471.000000,0.000000,891.000000
0.000,2076.000000,3913.000000,105.000000,0.000000,3952.000000,3811.000000,2225.000000,1.000000,1052.000000
0.000,2077.000000,3973.000000,92.000000,0.000000,4067.000000,3913.000000,2304.000000,0.000000,977.000000
0.000,2078.000000,4014.000000,89.000000,1.000000,4095.000000,3999.000000,2536.000000,1.000000,1071.000000
0.000,2079.000000,3816.000000,85.000000,0.000000,3995.000000,3753.000000,2211.000000,1.000000,1081.000000
0.000,2080.000000,3913.000000,89.000000,0.000000,3472.000000,3207.000000,588.000000,0.000000,159.000000
0.000,2081.000000,3861.000000,103.000000,2.000000,4095.000000,4023.000000,2188.000000,0.000000,1027.000000
0.000,2082.000000,3749.000000,90.000000,3.000000,4095.000000,3910.000000,2231.000000,0.000000,889.000000
0.000,2083.000000,4015.000000,95.000000,0.000000,4054.000000,3903.000000,2839.000000,10.000000,1392.000000
0.000,2084.000000,1929.000000,26.000000,0.000000,2399.000000,1963.000000,3749.000000,81.000000,956.000000
0.000,2085.000000,3273.000000,61.000000,2.000000,3639.000000,3404.000000,1912.000000,0.000000,544.000000
0.000,2086.000000,3547.000000,93.000000,0.000000,4095.000000,3957.000000,2210.000000,0.000000,903.000000
0.000,2087.000000,3548.000000,79.000000,0.000000,4095.000000,3639.000000,920.000000,0.000000,209.000000
0.000,2088.000000,3480.000000,91.000000,0.000000,4095.000000,3853.000000,1043.000000,0.000000,289.000000
0.000,2089.000000,3655.000000,87.000000,0.000000,4095.000000,3815.000000,1947.000000,0.000000,377.000000
0.000,2090.000000,3816.000000,101.000000,0.000000,4095.000000,3707.000000,905.000000,0.000000,419.000000
0.000,2091.000000,4057.000000,88.000000,0.000000,4095.000000,4081.000000,2117.000000,0.000000,700.000000
0.000,2092.000000,4095.000000,91.000000,0.000000,4095.000000,3979.000000,2501.000000,44.000000,687.000000
0.000,2093.000000,3957.000000,91.000000,0.000000,4095.000000,3755.000000,1221.000000,0.000000,325.000000
0.000,2094.000000,4049.000000,99.000000,0.000000,4095.000000,3783.000000,1262.000000,0.000000,555.000000
0.000,2095.000000,4087.000000,93.000000,0.000000,4095.000000,3879.000000,1395.000000,0.000000,524.000000
0.000,2096.000000,3944.000000,97.000000,0.000000,4095.000000,3909.000000,1504.000000,0.000000,652.000000
0.000,2097.000000,3903.000000,104.000000,0.000000,4095.000000,3962.000000,1648.000000,0.000000,632.000000
0.000,2098.000000,3845.000000,91.000000,0.000000,4095.000000,3780.000000,1551.000000,0.000000,617.000000
0.000,2099.000000,3996.000000,95.000000,0.000000,4095.000000,3911.000000,1472.000000,0.000000,645.000000
0.000,2100.000000,3945.000000,101.000000,0.000000,4095.000000,3818.000000,1151.000000,0.000000,363.000000
0.000,2101.000000,3965.000000,87.000000,0.000000,4095.000000,3865.000000,1317.000000,0.000000,597.000000
0.000,2102.000000,4061.000000,96.000000,0.000000,4095.000000,3976.000000,1869.000000,0.000000,679.000000
0.000,2103.000000,4043.000000,80.000000,0.000000,4095.000000,3931.000000,1590.000000,0.000000,748.000000
0.000,2104.000000,4023.000000,88.000000,0.000000,4095.000000,4001.000000,1559.000000,0.000000,568.000000
0.000,2105.000000,4040.000000,95.000000,0.000000,4095.000000,3887.000000,1667.000000,0.000000,751.000000
