time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1746.000000,667.000000,0.000000,0.000000,875.000000,824.000000,3688.000000,77.000000,470.000000
0.000,1747.000000,672.000000,0.000000,0.000000,825.000000,821.000000,3725.000000,83.000000,467.000000
0.000,1748.000000,682.000000,0.000000,0.000000,816.000000,851.000000,3669.000000,77.000000,442.000000
0.000,1749.000000,685.000000,0.000000,0.000000,821.000000,811.000000,3679.000000,76.000000,455.000000
0.000,1750.000000,684.000000,1.000000,0.000000,823.000000,812.000000,3678.000000,77.000000,400.000000
0.000,1751.000000,696.000000,2.000000,0.000000,791.000000,809.000000,3677.000000,78.000000,484.000000
0.000,1752.000000,698.000000,0.000000,0.000000,786.000000,823.000000,3687.000000,75.000000,471.000000
0.000,1753.000000,695.000000,0.000000,0.000000,783.000000,793.000000,3800.000000,81.000000,507.000000
0.000,1754.000000,699.000000,16.000000,0.000000,785.000000,829.000000,3641.000000,74.000000,517.000000
0.000,1755.000000,703.000000,0.000000,0.000000,803.000000,800.000000,3683.000000,81.000000,517.000000
0.000,1756.000000,695.000000,1.000000,0.000000,772.000000,813.000000,3666.000000,74.000000,527.000000
0.000,1757.000000,697.000000,0.000000,0.000000,739.000000,828.000000,3641.000000,75.000000,517.000000
0.000,1758.000000,699.000000,0.000000,0.000000,739.000000,805.000000,3671.000000,72.000000,436.000000
0.000,1759.000000,711.000000,0.000000,0.000000,676.000000,805.000000,3648.000000,75.000000,473.000000
0.000,1760.000000,687.000000,0.000000,0.000000,709.000000,786.000000,3637.000000,60.000000,477.000000
0.000,1761.000000,658.000000,0.000000,0.000000,700.000000,785.000000,3646.000000,75.000000,479.000000
0.000,1762.000000,677.000000,0.000000,0.000000,683.000000,786.000000,3659.000000,72.000000,459.000000
0.000,1763.000000,680.000000,2.000000,0.000000,711.000000,789.000000,3671.000000,77.000000,463.000000
0.000,1764.000000,676.000000,1.000000,0.000000,715.000000,806.000000,3651.000000,74.000000,457.000000
0.000,1765.000000,663.000000,0.000000,0.000000,713.000000,787.000000,3657.000000,82.000000,457.000000
0.000,1766.000000,672.000000,0.000000,0.000000,720.000000,797.000000,3681.000000,83.000000,440.000000
0.000,1767.000000,674.000000,0.000000,0.000000,721.000000,803.000000,3679.000000,71.000000,443.000000
0.000,1768.000000,667.000000,0.000000,0.000000,689.000000,799.000000,3671.000000,76.000000,432.000000
0.000,1769.000000,683.000000,1.000000,0.000000,711.000000,800.000000,3671.000000,75.000000,447.000000
0.000,1770.000000,686.000000,0.000000,0.000000,703.000000,791.000000,3671.000000,81.000000,438.000000
0.000,1771.000000,672.000000,0.000000,0.000000,698.000000,797.000000,3646.000000,77.000000,437.000000
0.000,1772.000000,677.000000,0.000000,0.000000,666.000000,795.000000,3671.000000,83.000000,374.000000
0.000,1773.000000,680.000000,0.000000,0.000000,669.000000,792.000000,3641.000000,75.000000,404.000000
