time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,2726.000000,2072.000000,27.000000,0.000000,2827.000000,2540.000000,1255.000000,0.000000,407.000000
0.000,2727.000000,2075.000000,27.000000,1.000000,2757.000000,2537.000000,1288.000000,0.000000,413.000000
0.000,2728.000000,2060.000000,35.000000,0.000000,2843.000000,2589.000000,1239.000000,0.000000,426.000000
0.000,2729.000000,2039.000000,45.000000,0.000000,2792.000000,2540.000000,1347.000000,0.000000,443.000000
0.000,2730.000000,2051.000000,41.000000,0.000000,2810.000000,2533.000000,1303.000000,0.000000,456.000000
0.000,2731.000000,2045.000000,47.000000,0.000000,2684.000000,2540.000000,1355.000000,0.000000,437.000000
0.000,2732.000000,2063.000000,34.000000,0.000000,2892.000000,2618.000000,1433.000000,0.000000,420.000000
0.000,2733.000000,2089.000000,29.000000,5.000000,2844.000000,2543.000000,1267.000000,0.000000,473.000000
0.000,2734.000000,2118.000000,37.000000,0.000000,3117.000000,3014.000000,3619.000000,53.000000,24.000000
0.000,2735.000000,2132.000000,28.000000,0.000000,3139.000000,3004.000000,3831.000000,73.000000,333.000000
0.000,2736.000000,2132.000000,51.000000,0.000000,3149.000000,3011.000000,3769.000000,72.000000,139.000000
0.000,2737.000000,2142.000000,29.000000,0.000000,3123.000000,2988.000000,3731.000000,79.000000,61.000000
0.000,2738.000000,2075.000000,30.000000,0.000000,2885.000000,2668.000000,1227.000000,0.000000,0.000000
0.000,2739.000000,2144.000000,35.000000,0.000000,3161.000000,2995.000000,4016.000000,91.000000,155.000000
0.000,2740.000000,2148.000000,39.000000,0.000000,2836.000000,2600.000000,1256.000000,0.000000,556.000000
0.000,2741.000000,2072.000000,30.000000,0.000000,2863.000000,2601.000000,1229.000000,0.000000,583.000000
0.000,2742.000000,2107.000000,30.000000,0.000000,2869.000000,2603.000000,1313.000000,0.000000,652.000000
0.000,2743.000000,2041.000000,37.000000,0.000000,2775.000000,2556.000000,1243.000000,0.000000,733.000000
0.000,2744.000000,2065.000000,39.000000,0.000000,2822.000000,2582.000000,1223.000000,0.000000,601.000000
0.000,2745.000000,2100.000000,33.000000,0.000000,2835.000000,2549.000000,1265.000000,0.000000,663.000000
0.000,2746.000000,2080.000000,38.000000,0.000000,2801.000000,2583.000000,1264.000000,0.000000,729.000000
