time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,7067.000000,557.000000,4.000000,0.000000,3197.000000,664.000000,1838.000000,29.000000,426.000000
0.000,7068.000000,544.000000,4.000000,0.000000,3219.000000,669.000000,1824.000000,18.000000,415.000000
0.000,7069.000000,507.000000,0.000000,0.000000,3193.000000,651.000000,1848.000000,21.000000,373.000000
0.000,7070.000000,267.000000,2.000000,0.000000,747.000000,94.000000,1835.000000,25.000000,0.000000
0.000,7071.000000,171.000000,4.000000,0.000000,751.000000,49.000000,1828.000000,22.000000,0.000000
0.000,7072.000000,181.000000,2.000000,0.000000,757.000000,55.000000,1769.000000,24.000000,0.000000
0.000,7073.000000,247.000000,1.000000,0.000000,741.000000,73.000000,1819.000000,23.000000,0.000000
0.000,7074.000000,211.000000,0.000000,0.000000,752.000000,39.000000,1836.000000,25.000000,0.000000
0.000,7075.000000,277.000000,4.000000,0.000000,757.000000,56.000000,1789.000000,23.000000,0.000000
0.000,7076.000000,291.000000,2.000000,0.000000,795.000000,57.000000,1807.000000,25.000000,43.000000
0.000,7077.000000,287.000000,0.000000,0.000000,771.000000,41.000000,1828.000000,21.000000,0.000000
0.000,7078.000000,291.000000,0.000000,0.000000,792.000000,81.000000,1847.000000,27.000000,0.000000
0.000,7079.000000,197.000000,5.000000,0.000000,741.000000,55.000000,1799.000000,23.000000,0.000000
0.000,7080.000000,248.000000,6.000000,0.000000,762.000000,48.000000,1828.000000,26.000000,0.000000
0.000,7081.000000,232.000000,0.000000,0.000000,781.000000,45.000000,1861.000000,28.000000,13.000000
0.000,7082.000000,181.000000,0.000000,0.000000,746.000000,53.000000,1835.000000,23.000000,7.000000
0.000,7083.000000,201.000000,0.000000,0.000000,747.000000,44.000000,1815.000000,23.000000,0.000000
0.000,7084.000000,552.000000,0.000000,0.000000,3244.000000,683.000000,1851.000000,25.000000,665.000000
0.000,7085.000000,560.000000,2.000000,0.000000,3171.000000,667.000000,1827.000000,23.000000,673.000000
0.000,7086.000000,580.000000,4.000000,0.000000,3175.000000,672.000000,1831.000000,28.000000,653.000000
0.000,7087.000000,259.000000,0.000000,0.000000,763.000000,89.000000,1831.000000,33.000000,24.000000
0.000,7088.000000,218.000000,0.000000,0.000000,779.000000,46.000000,1840.000000,24.000000,5.000000
0.000,7089.000000,242.000000,0.000000,0.000000,756.000000,41.000000,1806.000000,12.000000,4.000000
0.000,7090.000000,261.000000,0.000000,0.000000,745.000000,51.000000,1789.000000,24.000000,0.000000
0.000,7091.000000,247.000000,0.000000,0.000000,748.000000,71.000000,1841.000000,28.000000,6.000000
0.000,7092.000000,247.000000,0.000000,0.000000,749.000000,67.000000,1833.000000,24.000000,0.000000
0.000,7093.000000,253.000000,0.000000,0.000000,741.000000,55.000000,1801.000000,24.000000,0.000000
0.000,7094.000000,251.000000,2.000000,0.000000,791.000000,33.000000,1827.000000,25.000000,2.000000
0.000,7095.000000,257.000000,0.000000,0.000000,775.000000,47.000000,1811.000000,25.000000,0.000000
0.000,7096.000000,240.000000,0.000000,0.000000,782.000000,69.000000,1837.000000,25.000000,0.000000
0.000,7097.000000,248.000000,3.000000,0.000000,755.000000,63.000000,1815.000000,27.000000,0.000000
0.000,7098.000000,263.000000,2.000000,0.000000,755.000000,70.000000,1848.000000,28.000000,2.000000
0.000,7099.000000,808.000000,1.000000,0.000000,1726.000000,1251.000000,3755.000000,83.000000,988.000000
0.000,7100.000000,729.000000,3.000000,0.000000,1521.000000,1068.000000,3798.000000,95.000000,825.000000
0.000,7101.000000,155.000000,0.000000,0.000000,1773.000000,1257.000000,3835.000000,78.000000,924.000000
0.000,7102.000000,168.000000,0.000000,0.000000,1639.000000,1128.000000,3848.000000,81.000000,966.000000
0.000,7103.000000,167.000000,0.000000,0.000000,1637.000000,1139.000000,3819.000000,80.000000,971.000000
0.000,7104.000000,171.000000,0.000000,0.000000,1439.000000,999.000000,3800.000000,76.000000,861.000000
0.000,7105.000000,59.000000,0.000000,0.000000,981.000000,203.000000,1813.000000,24.000000,56.000000
0.000,7106.000000,25.000000,0.000000,0.000000,888.000000,89.000000,1816.000000,27.000000,21.000000
0.000,7107.000000,39.000000,1.000000,0.000000,907.000000,101.000000,1833.000000,47.000000,0.000000
0.000,7108.000000,48.000000,0.000000,0.000000,903.000000,57.000000,1815.000000,17.000000,20.000000
0.000,7109.000000,0.000000,0.000000,0.000000,859.000000,0.000000,60.000000,0.000000,0.000000
0.000,7110.000000,2091.000000,43.000000,0.000000,3707.000000,2791.000000,1353.000000,10.000000,397.000000
0.000,7111.000000,1979.000000,29.000000,0.000000,3117.000000,2869.000000,2387.000000,5.000000,87.000000
0.000,7112.000000,1997.000000,29.000000,0.000000,3123.000000,2921.000000,2439.000000,12.000000,460.000000
0.000,7113.000000,1897.000000,35.000000,3.000000,3069.000000,2868.000000,2295.000000,1.000000,363.000000
0.000,7114.000000,1815.000000,25.000000,0.000000,3065.000000,2887.000000,2327.000000,0.000000,539.000000
0.000,7115.000000,195.000000,0.000000,0.000000,1264.000000,823.000000,3692.000000,28.000000,330.000000
0.000,7116.000000,1753.000000,39.000000,0.000000,4095.000000,3001.000000,2840.000000,23.000000,765.000000
0.000,7117.000000,244.000000,0.000000,0.000000,1457.000000,1013.000000,3711.000000,78.000000,494.000000
0.000,7118.000000,1883.000000,23.000000,0.000000,4095.000000,2809.000000,2052.000000,6.000000,499.000000
0.000,7119.000000,231.000000,0.000000,0.000000,1357.000000,941.000000,3693.000000,53.000000,723.000000
0.000,7120.000000,183.000000,0.000000,0.000000,1353.000000,984.000000,3707.000000,0.000000,697.000000
0.000,7121.000000,294.000000,2.000000,0.000000,1271.000000,955.000000,3755.000000,88.000000,731.000000
0.000,7122.000000,1855.000000,21.000000,0.000000,2807.000000,2624.000000,1550.000000,0.000000,573.000000
0.000,7123.000000,185.000000,0.000000,0.000000,875.000000,795.000000,3709.000000,47.000000,0.000000
0.000,7124.000000,213.000000,0.000000,0.000000,1106.000000,934.000000,3799.000000,79.000000,227.000000
0.000,7125.000000,1898.000000,25.000000,0.000000,2732.000000,1493.000000,1511.000000,0.000000,148.000000
0.000,7126.000000,299.000000,0.000000,0.000000,987.000000,959.000000,3757.000000,67.000000,424.000000
0.000,7127.000000,233.000000,0.000000,0.000000,956.000000,967.000000,3758.000000,83.000000,718.000000
0.000,7128.000000,240.000000,0.000000,0.000000,803.000000,889.000000,3749.000000,77.000000,678.000000
0.000,7129.000000,227.000000,0.000000,0.000000,663.000000,889.000000,3738.000000,64.000000,541.000000
0.000,7130.000000,235.000000,0.000000,0.000000,601.000000,809.000000,3644.000000,45.000000,301.000000
0.000,7131.000000,244.000000,0.000000,0.000000,721.000000,899.000000,3679.000000,63.000000,460.000000
0.000,7132.000000,248.000000,0.000000,0.000000,671.000000,803.000000,3704.000000,56.000000,459.000000
0.000,7133.000000,256.000000,0.000000,0.000000,553.000000,799.000000,3699.000000,55.000000,497.000000
0.000,7134.000000,1893.000000,21.000000,0.000000,2800.000000,2761.000000,2347.000000,26.000000,715.000000
0.000,7135.000000,264.000000,0.000000,0.000000,552.000000,841.000000,3738.000000,75.000000,431.000000
0.000,7136.000000,1042.000000,0.000000,0.000000,553.000000,904.000000,3731.000000,80.000000,487.000000
0.000,7137.000000,1531.000000,13.000000,0.000000,570.000000,1083.000000,3736.000000,80.000000,777.000000
0.000,7138.000000,275.000000,0.000000,0.000000,543.000000,888.000000,3760.000000,83.000000,489.000000
0.000,7139.000000,211.000000,0.000000,0.000000,563.000000,873.000000,3784.000000,80.000000,485.000000
0.000,7140.000000,233.000000,0.000000,0.000000,500.000000,885.000000,3783.000000,85.000000,481.000000
0.000,7141.000000,249.000000,0.000000,0.000000,515.000000,892.000000,3821.000000,79.000000,396.000000
0.000,7142.000000,270.000000,0.000000,0.000000,484.000000,875.000000,3827.000000,83.000000,358.000000
0.000,7143.000000,233.000000,0.000000,0.000000,459.000000,765.000000,3775.000000,81.000000,233.000000
0.000,7144.000000,209.000000,0.000000,0.000000,395.000000,753.000000,3763.000000,81.000000,235.000000
0.000,7145.000000,217.000000,0.000000,0.000000,469.000000,747.000000,3832.000000,76.000000,213.000000
0.000,7146.000000,232.000000,0.000000,0.000000,462.000000,763.000000,3768.000000,82.000000,216.000000
0.026,7147.000000,231.000000,0.000000,0.000000,457.000000,761.000000,3763.000000,74.000000,220.000000
0.077,7148.000000,233.000000,0.000000,0.000000,479.000000,768.000000,3773.000000,89.000000,213.000000
0.128,7149.000000,241.000000,0.000000,0.000000,485.000000,779.000000,3769.000000,83.000000,205.000000
0.179,7150.000000,1897.000000,37.000000,0.000000,2778.000000,2745.000000,2093.000000,8.000000,637.000000
0.230,7151.000000,1943.000000,28.000000,0.000000,2927.000000,2797.000000,1615.000000,0.000000,634.000000
0.281,7152.000000,1943.000000,24.000000,0.000000,2973.000000,2885.000000,2565.000000,20.000000,551.000000
0.332,7153.000000,173.000000,0.000000,0.000000,549.000000,763.000000,3704.000000,23.000000,164.000000
0.383,7154.000000,1909.000000,28.000000,0.000000,2796.000000,2727.000000,1989.000000,10.000000,504.000000
0.434,7155.000000,1929.000000,39.000000,0.000000,2877.000000,2776.000000,1725.000000,0.000000,453.000000
0.485,7156.000000,1965.000000,25.000000,0.000000,2926.000000,2797.000000,2013.000000,7.000000,522.000000
0.536,7157.000000,1941.000000,28.000000,0.000000,2915.000000,2771.000000,1800.000000,0.000000,629.000000
0.587,7158.000000,1949.000000,16.000000,1.000000,2925.000000,2816.000000,1894.000000,22.000000,444.000000
0.638,7159.000000,1971.000000,5.000000,0.000000,2932.000000,2794.000000,1837.000000,8.000000,552.000000
0.689,7160.000000,1951.000000,28.000000,0.000000,2963.000000,2843.000000,1971.000000,9.000000,501.000000
0.740,7161.000000,1933.000000,31.000000,0.000000,2924.000000,2769.000000,1645.000000,10.000000,625.000000
0.791,7162.000000,1953.000000,39.000000,0.000000,2927.000000,2799.000000,2003.000000,4.000000,425.000000
0.842,7163.000000,160.000000,0.000000,0.000000,521.000000,704.000000,3773.000000,61.000000,381.000000
0.893,7164.000000,223.000000,0.000000,0.000000,569.000000,871.000000,3807.000000,83.000000,611.000000
0.944,7165.000000,232.000000,0.000000,0.000000,552.000000,868.000000,3801.000000,83.000000,599.000000
0.995,7166.000000,221.000000,0.000000,0.000000,564.000000,871.000000,3810.000000,81.000000,294.000000
1.046,7167.000000,216.000000,0.000000,0.000000,581.000000,858.000000,3781.000000,83.000000,437.000000
1.097,7168.000000,220.000000,0.000000,0.000000,581.000000,872.000000,3798.000000,87.000000,480.000000
1.148,7169.000000,203.000000,0.000000,0.000000,603.000000,880.000000,3815.000000,83.000000,471.000000
1.199,7170.000000,225.000000,0.000000,0.000000,595.000000,888.000000,3803.000000,81.000000,471.000000
1.250,7171.000000,219.000000,0.000000,0.000000,595.000000,887.000000,3751.000000,78.000000,423.000000
1.301,7172.000000,251.000000,2.000000,0.000000,619.000000,889.000000,3755.000000,77.000000,407.000000
1.352,7173.000000,223.000000,0.000000,0.000000,597.000000,881.000000,3737.000000,82.000000,437.000000
1.403,7174.000000,243.000000,0.000000,0.000000,613.000000,896.000000,3801.000000,81.000000,425.000000
1.454,7175.000000,251.000000,0.000000,0.000000,597.000000,877.000000,3769.000000,84.000000,440.000000
1.505,7176.000000,261.000000,0.000000,0.000000,594.000000,887.000000,3819.000000,85.000000,413.000000
1.556,7177.000000,256.000000,0.000000,0.000000,587.000000,850.000000,3751.000000,81.000000,351.000000
1.607,7178.000000,375.000000,0.000000,0.000000,665.000000,943.000000,3537.000000,20.000000,265.000000
1.658,7179.000000,397.000000,0.000000,0.000000,735.000000,1017.000000,3515.000000,29.000000,359.000000
1.709,7180.000000,339.000000,0.000000,0.000000,683.000000,939.000000,3553.000000,40.000000,359.000000
1.760,7181.000000,380.000000,0.000000,0.000000,725.000000,948.000000,3529.000000,21.000000,182.000000
1.811,7182.000000,323.000000,0.000000,0.000000,709.000000,934.000000,3591.000000,44.000000,368.000000
1.862,7183.000000,319.000000,0.000000,0.000000,731.000000,940.000000,3571.000000,55.000000,417.000000
1.913,7184.000000,313.000000,0.000000,0.000000,697.000000,923.000000,3601.000000,59.000000,489.000000
1.964,7185.000000,339.000000,0.000000,0.000000,669.000000,936.000000,3601.000000,43.000000,365.000000
2.015,7186.000000,332.000000,0.000000,0.000000,669.000000,921.000000,3572.000000,47.000000,22.000000
2.066,7187.000000,339.000000,0.000000,0.000000,619.000000,945.000000,3593.000000,42.000000,377.000000
2.117,7188.000000,343.000000,0.000000,0.000000,648.000000,913.000000,3589.000000,26.000000,371.000000
2.168,7189.000000,332.000000,0.000000,0.000000,629.000000,912.000000,3624.000000,40.000000,369.000000
2.219,7190.000000,348.000000,0.000000,0.000000,667.000000,919.000000,3593.000000,36.000000,381.000000
2.270,7191.000000,339.000000,0.000000,0.000000,652.000000,907.000000,3577.000000,37.000000,381.000000
2.321,7192.000000,343.000000,0.000000,0.000000,640.000000,921.000000,3529.000000,29.000000,331.000000
2.372,7193.000000,347.000000,0.000000,0.000000,629.000000,907.000000,3544.000000,45.000000,377.000000
2.423,7194.000000,344.000000,0.000000,0.000000,653.000000,927.000000,3574.000000,53.000000,420.000000
2.474,7195.000000,366.000000,0.000000,0.000000,596.000000,909.000000,3574.000000,59.000000,429.000000
2.525,7196.000000,323.000000,0.000000,0.000000,596.000000,907.000000,3612.000000,55.000000,457.000000
2.576,7197.000000,363.000000,0.000000,0.000000,597.000000,921.000000,3535.000000,40.000000,432.000000
2.627,7198.000000,345.000000,2.000000,0.000000,593.000000,904.000000,3602.000000,45.000000,365.000000
2.678,7199.000000,327.000000,0.000000,0.000000,585.000000,913.000000,3607.000000,53.000000,400.000000
2.729,7200.000000,300.000000,0.000000,0.000000,571.000000,893.000000,3632.000000,56.000000,440.000000
2.780,7201.000000,297.000000,0.000000,0.000000,583.000000,888.000000,3607.000000,59.000000,455.000000
2.831,7202.000000,289.000000,0.000000,0.000000,565.000000,940.000000,3674.000000,75.000000,448.000000
2.882,7203.000000,297.000000,0.000000,0.000000,571.000000,891.000000,3655.000000,58.000000,487.000000
2.933,7204.000000,297.000000,0.000000,0.000000,569.000000,903.000000,3695.000000,69.000000,472.000000
2.984,7205.000000,288.000000,0.000000,0.000000,673.000000,911.000000,3669.000000,63.000000,505.000000
3.035,7206.000000,299.000000,0.000000,0.000000,569.000000,880.000000,3648.000000,59.000000,500.000000
