time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5386.000000,809.000000,0.000000,0.000000,3169.000000,1488.000000,3335.000000,72.000000,613.000000
0.000,5387.000000,680.000000,5.000000,0.000000,3140.000000,1395.000000,3376.000000,72.000000,908.000000
0.000,5388.000000,665.000000,0.000000,0.000000,3157.000000,1427.000000,3350.000000,63.000000,1007.000000
0.000,5389.000000,575.000000,4.000000,0.000000,3189.000000,1373.000000,3616.000000,80.000000,1047.000000
0.000,5390.000000,645.000000,0.000000,0.000000,3182.000000,1392.000000,3488.000000,75.000000,1035.000000
0.000,5391.000000,612.000000,0.000000,0.000000,3172.000000,1344.000000,3575.000000,75.000000,953.000000
0.000,5392.000000,503.000000,0.000000,0.000000,3188.000000,1367.000000,3608.000000,77.000000,728.000000
0.000,5393.000000,496.000000,0.000000,0.000000,3181.000000,1349.000000,3604.000000,74.000000,683.000000
0.000,5394.000000,486.000000,0.000000,0.000000,3189.000000,1356.000000,3556.000000,82.000000,664.000000
0.000,5395.000000,263.000000,0.000000,0.000000,1317.000000,935.000000,3859.000000,84.000000,726.000000
0.000,5396.000000,491.000000,0.000000,0.000000,3181.000000,1278.000000,3578.000000,75.000000,972.000000
0.000,5397.000000,556.000000,0.000000,0.000000,3208.000000,1373.000000,3625.000000,83.000000,953.000000
0.000,5398.000000,551.000000,0.000000,0.000000,3216.000000,1375.000000,3632.000000,75.000000,1064.000000
0.000,5399.000000,559.000000,2.000000,8.000000,3211.000000,1395.000000,3610.000000,79.000000,645.000000
0.000,5400.000000,539.000000,1.000000,0.000000,3213.000000,1370.000000,3602.000000,77.000000,1031.000000
0.000,5401.000000,503.000000,0.000000,0.000000,3197.000000,1377.000000,3605.000000,79.000000,570.000000
0.000,5402.000000,457.000000,0.000000,0.000000,3200.000000,1357.000000,3608.000000,77.000000,576.000000
0.000,5403.000000,492.000000,0.000000,0.000000,3187.000000,1363.000000,3573.000000,78.000000,541.000000
0.000,5404.000000,493.000000,0.000000,0.000000,3193.000000,1355.000000,3591.000000,56.000000,553.000000
0.000,5405.000000,467.000000,0.000000,0.000000,3190.000000,1344.000000,3595.000000,61.000000,546.000000
