time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,3846.000000,20.000000,0.000000,0.000000,426.000000,67.000000,1833.000000,21.000000,0.000000
0.000,3847.000000,277.000000,0.000000,0.000000,439.000000,33.000000,1817.000000,25.000000,2.000000
0.000,3848.000000,253.000000,0.000000,0.000000,431.000000,49.000000,1823.000000,28.000000,0.000000
0.000,3849.000000,229.000000,0.000000,0.000000,404.000000,40.000000,1840.000000,21.000000,2.000000
0.000,3850.000000,363.000000,6.000000,0.000000,416.000000,45.000000,1843.000000,26.000000,11.000000
0.000,3851.000000,53.000000,0.000000,0.000000,391.000000,50.000000,1833.000000,30.000000,0.000000
0.000,3852.000000,63.000000,0.000000,0.000000,377.000000,59.000000,1819.000000,22.000000,18.000000
0.000,3853.000000,255.000000,0.000000,0.000000,413.000000,36.000000,1856.000000,29.000000,0.000000
0.000,3854.000000,46.000000,0.000000,0.000000,371.000000,41.000000,1833.000000,25.000000,10.000000
0.000,3855.000000,211.000000,0.000000,0.000000,398.000000,40.000000,1807.000000,31.000000,3.000000
0.000,3856.000000,250.000000,6.000000,0.000000,407.000000,56.000000,1831.000000,22.000000,2.000000
0.000,3857.000000,203.000000,1.000000,0.000000,387.000000,58.000000,1821.000000,26.000000,16.000000
0.000,3858.000000,40.000000,4.000000,0.000000,389.000000,37.000000,1853.000000,25.000000,0.000000
0.000,3859.000000,44.000000,0.000000,0.000000,394.000000,57.000000,1818.000000,28.000000,0.000000
0.000,3860.000000,41.000000,2.000000,0.000000,409.000000,65.000000,1807.000000,22.000000,8.000000
0.000,3861.000000,28.000000,0.000000,0.000000,398.000000,39.000000,1836.000000,21.000000,0.000000
0.000,3862.000000,221.000000,0.000000,0.000000,413.000000,59.000000,1845.000000,26.000000,7.000000
0.000,3863.000000,24.000000,2.000000,0.000000,392.000000,40.000000,1800.000000,24.000000,0.000000
0.000,3864.000000,73.000000,1.000000,0.000000,425.000000,53.000000,1829.000000,22.000000,10.000000
0.000,3865.000000,96.000000,4.000000,0.000000,453.000000,29.000000,1851.000000,28.000000,2.000000
0.000,3866.000000,264.000000,0.000000,0.000000,441.000000,56.000000,1862.000000,28.000000,0.000000
0.000,3867.000000,43.000000,0.000000,0.000000,401.000000,0.000000,1817.000000,25.000000,0.000000
0.000,3868.000000,277.000000,0.000000,0.000000,397.000000,39.000000,1864.000000,25.000000,0.000000
0.000,3869.000000,267.000000,3.000000,0.000000,383.000000,3.000000,1851.000000,26.000000,0.000000
0.000,3870.000000,41.000000,0.000000,0.000000,382.000000,0.000000,1833.000000,21.000000,2.000000
0.000,3871.000000,26.000000,0.000000,0.000000,416.000000,50.000000,1840.000000,27.000000,6.000000
0.000,3872.000000,275.000000,2.000000,0.000000,407.000000,59.000000,1849.000000,25.000000,0.000000
0.000,3873.000000,73.000000,0.000000,0.000000,413.000000,39.000000,1827.000000,26.000000,0.000000
0.000,3874.000000,50.000000,0.000000,0.000000,667.000000,49.000000,1831.000000,17.000000,18.000000
0.000,3875.000000,805.000000,16.000000,0.000000,784.000000,55.000000,1873.000000,25.000000,25.000000
0.000,3876.000000,1824.000000,29.000000,0.000000,795.000000,1672.000000,3520.000000,76.000000,1059.000000
0.000,3877.000000,1613.000000,7.000000,0.000000,520.000000,2125.000000,3787.000000,83.000000,1825.000000
0.000,3878.000000,1826.000000,17.000000,0.000000,996.000000,1673.000000,3857.000000,85.000000,1178.000000
0.000,3879.000000,1692.000000,19.000000,0.000000,1843.000000,1315.000000,3821.000000,80.000000,834.000000
0.000,3880.000000,2477.000000,48.000000,0.000000,3197.000000,2353.000000,3493.000000,68.000000,2067.000000
0.000,3881.000000,1733.000000,12.000000,0.000000,918.000000,2223.000000,3839.000000,82.000000,1999.000000
0.000,3882.000000,1975.000000,12.000000,0.000000,1943.000000,1515.000000,3767.000000,80.000000,1607.000000
