time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,7207.000000,287.000000,0.000000,0.000000,536.000000,806.000000,3629.000000,63.000000,480.000000
0.000,7208.000000,283.000000,0.000000,0.000000,579.000000,799.000000,3659.000000,69.000000,411.000000
0.000,7209.000000,289.000000,0.000000,0.000000,520.000000,805.000000,3614.000000,61.000000,377.000000
0.000,7210.000000,303.000000,0.000000,0.000000,531.000000,800.000000,3656.000000,61.000000,381.000000
0.000,7211.000000,315.000000,0.000000,0.000000,523.000000,793.000000,3643.000000,53.000000,441.000000
0.000,7212.000000,288.000000,0.000000,0.000000,519.000000,800.000000,3644.000000,59.000000,453.000000
0.000,7213.000000,299.000000,0.000000,0.000000,498.000000,785.000000,3642.000000,54.000000,473.000000
0.000,7214.000000,316.000000,0.000000,0.000000,510.000000,803.000000,3655.000000,56.000000,487.000000
0.000,7215.000000,312.000000,0.000000,0.000000,569.000000,800.000000,3639.000000,62.000000,429.000000
0.000,7216.000000,300.000000,0.000000,0.000000,501.000000,787.000000,3625.000000,60.000000,459.000000
0.000,7217.000000,272.000000,1.000000,0.000000,517.000000,796.000000,3659.000000,57.000000,403.000000
0.000,7218.000000,288.000000,0.000000,0.000000,575.000000,765.000000,3608.000000,56.000000,395.000000
0.000,7219.000000,327.000000,0.000000,0.000000,531.000000,808.000000,3652.000000,53.000000,375.000000
0.000,7220.000000,269.000000,0.000000,0.000000,535.000000,797.000000,3610.000000,48.000000,423.000000
0.000,7221.000000,283.000000,0.000000,0.000000,556.000000,791.000000,3648.000000,45.000000,404.000000
0.000,7222.000000,270.000000,0.000000,0.000000,535.000000,787.000000,3623.000000,47.000000,376.000000
0.000,7223.000000,277.000000,0.000000,0.000000,566.000000,787.000000,3624.000000,45.000000,384.000000
0.000,7224.000000,277.000000,0.000000,0.000000,560.000000,780.000000,3625.000000,48.000000,397.000000
0.000,7225.000000,291.000000,0.000000,0.000000,555.000000,807.000000,3665.000000,55.000000,394.000000
0.000,7226.000000,280.000000,0.000000,0.000000,553.000000,828.000000,3644.000000,51.000000,384.000000
0.000,7227.000000,299.000000,0.000000,0.000000,551.000000,795.000000,3644.000000,51.000000,535.000000
0.000,7228.000000,296.000000,3.000000,0.000000,535.000000,797.000000,3639.000000,55.000000,384.000000
0.000,7229.000000,307.000000,0.000000,0.000000,643.000000,812.000000,3627.000000,50.000000,431.000000
0.000,7230.000000,299.000000,0.000000,0.000000,570.000000,811.000000,3637.000000,50.000000,389.000000
0.000,7231.000000,291.000000,0.000000,0.000000,583.000000,809.000000,3620.000000,52.000000,368.000000
0.000,7232.000000,293.000000,0.000000,0.000000,616.000000,821.000000,3624.000000,45.000000,403.000000
0.000,7233.000000,283.000000,0.000000,0.000000,695.000000,795.000000,3616.000000,40.000000,402.000000
0.000,7234.000000,305.000000,0.000000,0.000000,549.000000,811.000000,3621.000000,42.000000,472.000000
0.000,7235.000000,325.000000,0.000000,0.000000,573.000000,826.000000,3615.000000,61.000000,487.000000
0.000,7236.000000,344.000000,0.000000,0.000000,768.000000,923.000000,3655.000000,74.000000,603.000000
0.000,7237.000000,419.000000,0.000000,0.000000,1505.000000,1081.000000,3689.000000,83.000000,244.000000
0.000,7238.000000,427.000000,0.000000,0.000000,1937.000000,1418.000000,3768.000000,81.000000,540.000000
0.000,7239.000000,480.000000,2.000000,0.000000,1431.000000,1517.000000,3880.000000,91.000000,1051.000000
0.000,7240.000000,864.000000,8.000000,0.000000,3569.000000,1645.000000,3824.000000,83.000000,474.000000
0.000,7241.000000,911.000000,0.000000,0.000000,2235.000000,1833.000000,3928.000000,80.000000,1287.000000
0.000,7242.000000,729.000000,0.000000,0.000000,2439.000000,1799.000000,3991.000000,78.000000,1412.000000
0.000,7243.000000,597.000000,0.000000,0.000000,2073.000000,1574.000000,3895.000000,88.000000,992.000000
0.000,7244.000000,533.000000,6.000000,0.000000,1512.000000,701.000000,1064.000000,9.000000,277.000000
0.000,7245.000000,326.000000,0.000000,0.000000,1459.000000,432.000000,1843.000000,23.000000,0.000000
0.000,7246.000000,201.000000,3.000000,0.000000,707.000000,431.000000,1819.000000,26.000000,0.000000
0.000,7247.000000,303.000000,0.000000,0.000000,605.000000,1208.000000,3694.000000,76.000000,695.000000
0.000,7248.000000,419.000000,0.000000,0.000000,1500.000000,1064.000000,3913.000000,87.000000,635.000000
0.000,7249.000000,333.000000,0.000000,0.000000,1447.000000,1008.000000,3859.000000,93.000000,579.000000
0.000,7250.000000,363.000000,0.000000,0.000000,593.000000,1011.000000,3821.000000,81.000000,501.000000
0.000,7251.000000,329.000000,0.000000,0.000000,1372.000000,887.000000,3806.000000,85.000000,324.000000
0.000,7252.000000,328.000000,0.000000,0.000000,716.000000,929.000000,3828.000000,81.000000,382.000000
0.000,7253.000000,971.000000,0.000000,0.000000,404.000000,1000.000000,3801.000000,87.000000,493.000000
0.000,7254.000000,713.000000,0.000000,0.000000,260.000000,955.000000,3748.000000,82.000000,563.000000
0.000,7255.000000,843.000000,2.000000,0.000000,1191.000000,919.000000,3767.000000,83.000000,457.000000
0.000,7256.000000,786.000000,0.000000,0.000000,1165.000000,907.000000,3785.000000,74.000000,523.000000
0.000,7257.000000,791.000000,0.000000,0.000000,1222.000000,891.000000,3779.000000,79.000000,584.000000
0.000,7258.000000,830.000000,0.000000,0.000000,1341.000000,878.000000,3801.000000,84.000000,453.000000
0.000,7259.000000,885.000000,8.000000,0.000000,1359.000000,963.000000,3792.000000,81.000000,587.000000
0.000,7260.000000,753.000000,0.000000,0.000000,362.000000,953.000000,3803.000000,81.000000,635.000000
0.000,7261.000000,657.000000,2.000000,0.000000,320.000000,945.000000,3764.000000,77.000000,669.000000
