time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5526.000000,359.000000,1.000000,0.000000,737.000000,791.000000,3571.000000,87.000000,493.000000
0.000,5527.000000,395.000000,0.000000,0.000000,736.000000,779.000000,3552.000000,75.000000,483.000000
0.000,5528.000000,392.000000,1.000000,0.000000,753.000000,795.000000,3550.000000,75.000000,507.000000
0.000,5529.000000,419.000000,0.000000,0.000000,767.000000,821.000000,3459.000000,69.000000,439.000000
0.000,5530.000000,345.000000,0.000000,0.000000,743.000000,797.000000,3545.000000,71.000000,473.000000
0.000,5531.000000,209.000000,0.000000,0.000000,733.000000,787.000000,3577.000000,73.000000,489.000000
0.000,5532.000000,327.000000,0.000000,0.000000,727.000000,764.000000,3605.000000,83.000000,491.000000
0.000,5533.000000,310.000000,0.000000,0.000000,723.000000,766.000000,3613.000000,79.000000,491.000000
0.000,5534.000000,308.000000,0.000000,0.000000,737.000000,783.000000,3607.000000,76.000000,480.000000
0.000,5535.000000,317.000000,1.000000,0.000000,723.000000,779.000000,3590.000000,79.000000,460.000000
0.000,5536.000000,337.000000,0.000000,0.000000,737.000000,751.000000,3560.000000,77.000000,432.000000
0.000,5537.000000,313.000000,0.000000,0.000000,755.000000,756.000000,3603.000000,71.000000,486.000000
0.000,5538.000000,355.000000,0.000000,0.000000,785.000000,768.000000,3563.000000,89.000000,453.000000
0.000,5539.000000,327.000000,0.000000,0.000000,743.000000,787.000000,3587.000000,77.000000,485.000000
0.000,5540.000000,349.000000,0.000000,0.000000,782.000000,777.000000,3593.000000,72.000000,475.000000
0.000,5541.000000,328.000000,1.000000,0.000000,715.000000,715.000000,3559.000000,75.000000,567.000000
0.000,5542.000000,320.000000,0.000000,0.000000,683.000000,720.000000,3616.000000,75.000000,580.000000
0.000,5543.000000,261.000000,0.000000,0.000000,667.000000,697.000000,3619.000000,75.000000,559.000000
0.000,5544.000000,279.000000,2.000000,0.000000,711.000000,707.000000,3609.000000,75.000000,507.000000
0.000,5545.000000,691.000000,0.000000,0.000000,749.000000,761.000000,3506.000000,72.000000,597.000000
0.000,5546.000000,661.000000,0.000000,0.000000,776.000000,778.000000,3513.000000,67.000000,607.000000
0.000,5547.000000,649.000000,0.000000,0.000000,770.000000,781.000000,3511.000000,73.000000,587.000000
0.000,5548.000000,689.000000,3.000000,0.000000,749.000000,758.000000,3519.000000,73.000000,605.000000
0.000,5549.000000,637.000000,6.000000,0.000000,774.000000,748.000000,3557.000000,69.000000,594.000000
0.000,5550.000000,365.000000,0.000000,0.000000,745.000000,720.000000,3548.000000,72.000000,576.000000
0.000,5551.000000,616.000000,0.000000,0.000000,791.000000,814.000000,3560.000000,74.000000,406.000000
0.000,5552.000000,349.000000,1.000000,0.000000,808.000000,789.000000,3548.000000,77.000000,407.000000
0.000,5553.000000,353.000000,2.000000,0.000000,1209.000000,829.000000,3477.000000,75.000000,552.000000
0.000,5554.000000,311.000000,0.000000,2.000000,851.000000,704.000000,3645.000000,85.000000,571.000000
0.000,5555.000000,1139.000000,0.000000,0.000000,1421.000000,963.000000,3625.000000,88.000000,859.000000
0.000,5556.000000,1559.000000,16.000000,0.000000,1824.000000,1255.000000,3807.000000,74.000000,869.000000
0.000,5557.000000,1610.000000,24.000000,0.000000,1707.000000,1259.000000,3744.000000,74.000000,883.000000
0.000,5558.000000,1801.000000,77.000000,0.000000,2519.000000,2481.000000,3780.000000,76.000000,2171.000000
0.000,5559.000000,1953.000000,25.000000,0.000000,627.000000,2299.000000,3805.000000,77.000000,2392.000000
0.000,5560.000000,2152.000000,35.000000,2.000000,721.000000,2233.000000,3724.000000,85.000000,2512.000000
0.000,5561.000000,2536.000000,48.000000,0.000000,667.000000,2529.000000,3690.000000,67.000000,2159.000000
0.000,5562.000000,2096.000000,38.000000,0.000000,2296.000000,1992.000000,3779.000000,85.000000,1831.000000
0.000,5563.000000,2379.000000,22.000000,0.000000,2670.000000,2522.000000,3859.000000,82.000000,2263.000000
0.000,5564.000000,2153.000000,18.000000,0.000000,765.000000,2480.000000,3707.000000,81.000000,2325.000000
0.000,5565.000000,2484.000000,45.000000,0.000000,2835.000000,2575.000000,3758.000000,97.000000,2041.000000
0.000,5566.000000,1407.000000,9.000000,0.000000,1389.000000,763.000000,1821.000000,24.000000,464.000000
0.000,5567.000000,3483.000000,83.000000,4.000000,3564.000000,3481.000000,1256.000000,0.000000,426.000000
0.000,5568.000000,3676.000000,75.000000,0.000000,3675.000000,3516.000000,1082.000000,0.000000,435.000000
0.000,5569.000000,3648.000000,79.000000,0.000000,3572.000000,3291.000000,800.000000,0.000000,299.000000
0.000,5570.000000,2659.000000,0.000000,0.000000,1019.000000,2073.000000,3741.000000,83.000000,1542.000000
0.000,5571.000000,2747.000000,76.000000,0.000000,2849.000000,2729.000000,3973.000000,87.000000,2175.000000
0.000,5572.000000,3412.000000,88.000000,0.000000,2155.000000,3542.000000,2141.000000,0.000000,985.000000
0.000,5573.000000,2200.000000,36.000000,0.000000,745.000000,1861.000000,3737.000000,93.000000,1704.000000
0.000,5574.000000,1107.000000,0.000000,0.000000,622.000000,1475.000000,3659.000000,83.000000,24.000000
0.000,5575.000000,1779.000000,21.000000,0.000000,1957.000000,1560.000000,3797.000000,67.000000,945.000000
0.000,5576.000000,433.000000,0.000000,0.000000,379.000000,1293.000000,3771.000000,83.000000,695.000000
0.000,5577.000000,493.000000,0.000000,0.000000,518.000000,1312.000000,3789.000000,83.000000,763.000000
0.000,5578.000000,583.000000,1.000000,0.000000,901.000000,1731.000000,3767.000000,43.000000,622.000000
0.000,5579.000000,1953.000000,29.000000,0.000000,925.000000,1771.000000,3793.000000,76.000000,1065.000000
0.000,5580.000000,1478.000000,20.000000,0.000000,1366.000000,1284.000000,3791.000000,81.000000,701.000000
