time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,6506.000000,3877.000000,97.000000,2.000000,3783.000000,3637.000000,1297.000000,0.000000,566.000000
0.000,6507.000000,4019.000000,87.000000,0.000000,3837.000000,3645.000000,1168.000000,0.000000,219.000000
0.000,6508.000000,3942.000000,97.000000,4.000000,3784.000000,3657.000000,1275.000000,0.000000,541.000000
0.000,6509.000000,3880.000000,97.000000,0.000000,3808.000000,3684.000000,1336.000000,0.000000,373.000000
0.000,6510.000000,3923.000000,85.000000,0.000000,3782.000000,3576.000000,1448.000000,0.000000,584.000000
0.000,6511.000000,3873.000000,80.000000,0.000000,3787.000000,3624.000000,1241.000000,0.000000,293.000000
0.000,6512.000000,3834.000000,88.000000,0.000000,3597.000000,3377.000000,545.000000,0.000000,227.000000
0.000,6513.000000,2108.000000,33.000000,0.000000,2968.000000,2736.000000,1329.000000,0.000000,625.000000
0.000,6514.000000,3853.000000,71.000000,0.000000,3568.000000,3408.000000,520.000000,0.000000,150.000000
0.000,6515.000000,3875.000000,91.000000,0.000000,3749.000000,3539.000000,1072.000000,0.000000,327.000000
0.000,6516.000000,3891.000000,77.000000,1.000000,3739.000000,3607.000000,1144.000000,0.000000,293.000000
0.000,6517.000000,3896.000000,84.000000,0.000000,3787.000000,3589.000000,1173.000000,0.000000,419.000000
0.000,6518.000000,3877.000000,80.000000,0.000000,3666.000000,3496.000000,588.000000,0.000000,76.000000
0.000,6519.000000,3856.000000,83.000000,0.000000,3755.000000,3645.000000,1219.000000,0.000000,425.000000
0.000,6520.000000,2153.000000,43.000000,2.000000,2967.000000,2791.000000,1119.000000,0.000000,72.000000
0.000,6521.000000,3860.000000,80.000000,0.000000,3771.000000,3763.000000,1100.000000,0.000000,371.000000
0.000,6522.000000,3859.000000,80.000000,0.000000,3655.000000,3383.000000,529.000000,0.000000,60.000000
0.000,6523.000000,3944.000000,87.000000,0.000000,3811.000000,3704.000000,1248.000000,0.000000,489.000000
0.000,6524.000000,2080.000000,30.000000,0.000000,3055.000000,2874.000000,1688.000000,0.000000,615.000000
0.000,6525.000000,3824.000000,103.000000,0.000000,3758.000000,3661.000000,1179.000000,0.000000,392.000000
0.000,6526.000000,3848.000000,85.000000,0.000000,3797.000000,3667.000000,1187.000000,0.000000,103.000000
0.000,6527.000000,3829.000000,95.000000,0.000000,3785.000000,3661.000000,1031.000000,0.000000,209.000000
0.000,6528.000000,2139.000000,53.000000,0.000000,3046.000000,2848.000000,1739.000000,0.000000,695.000000
0.000,6529.000000,2159.000000,45.000000,0.000000,3071.000000,2852.000000,1797.000000,0.000000,352.000000
0.000,6530.000000,2157.000000,35.000000,0.000000,3064.000000,2873.000000,1704.000000,0.000000,503.000000
0.000,6531.000000,1928.000000,27.000000,0.000000,3084.000000,2892.000000,2045.000000,8.000000,743.000000
0.000,6532.000000,3839.000000,88.000000,0.000000,3677.000000,3544.000000,855.000000,0.000000,155.000000
0.000,6533.000000,3847.000000,80.000000,0.000000,3808.000000,3672.000000,1485.000000,20.000000,277.000000
0.000,6534.000000,3914.000000,97.000000,0.000000,3827.000000,3724.000000,1408.000000,0.000000,488.000000
0.000,6535.000000,3091.000000,68.000000,0.000000,3270.000000,3123.000000,1779.000000,0.000000,442.000000
0.000,6536.000000,3857.000000,99.000000,0.000000,3911.000000,3704.000000,1254.000000,0.000000,353.000000
0.000,6537.000000,3957.000000,80.000000,0.000000,3859.000000,3697.000000,1259.000000,0.000000,443.000000
0.000,6538.000000,3895.000000,97.000000,0.000000,3827.000000,3708.000000,1431.000000,0.000000,429.000000
0.000,6539.000000,2137.000000,47.000000,0.000000,3116.000000,2921.000000,1756.000000,8.000000,637.000000
0.000,6540.000000,2613.000000,53.000000,0.000000,3272.000000,3100.000000,1578.000000,0.000000,284.000000
0.000,6541.000000,3812.000000,89.000000,0.000000,3776.000000,3658.000000,1371.000000,0.000000,557.000000
0.000,6542.000000,3909.000000,83.000000,0.000000,3838.000000,3723.000000,1270.000000,0.000000,399.000000
0.000,6543.000000,1771.000000,11.000000,0.000000,2071.000000,1701.000000,3333.000000,69.000000,793.000000
0.000,6544.000000,2392.000000,51.000000,0.000000,2341.000000,2033.000000,3441.000000,75.000000,1491.000000
0.000,6545.000000,2592.000000,67.000000,0.000000,1065.000000,2867.000000,3799.000000,87.000000,1603.000000
0.000,6546.000000,1157.000000,8.000000,0.000000,2571.000000,2147.000000,3419.000000,69.000000,1517.000000
0.000,6547.000000,2583.000000,41.000000,0.000000,2599.000000,1871.000000,3401.000000,59.000000,1196.000000
0.000,6548.000000,2452.000000,55.000000,0.000000,2462.000000,2120.000000,3219.000000,69.000000,1335.000000
0.000,6549.000000,2496.000000,53.000000,0.000000,2503.000000,2107.000000,3378.000000,72.000000,1513.000000
0.000,6550.000000,2071.000000,39.000000,0.000000,2800.000000,2071.000000,2405.000000,33.000000,967.000000
0.000,6551.000000,744.000000,5.000000,0.000000,2115.000000,1616.000000,3754.000000,85.000000,1067.000000
0.000,6552.000000,2359.000000,39.000000,0.000000,2333.000000,1909.000000,3736.000000,75.000000,1644.000000
0.000,6553.000000,2145.000000,35.000000,0.000000,2227.000000,1780.000000,3751.000000,88.000000,1307.000000
0.000,6554.000000,1761.000000,27.000000,0.000000,2203.000000,1767.000000,3831.000000,80.000000,1149.000000
0.000,6555.000000,549.000000,0.000000,0.000000,1861.000000,1402.000000,3835.000000,87.000000,1128.000000
0.000,6556.000000,602.000000,0.000000,0.000000,1875.000000,1419.000000,3877.000000,84.000000,1165.000000
0.000,6557.000000,587.000000,0.000000,0.000000,1790.000000,1375.000000,3863.000000,87.000000,1198.000000
0.000,6558.000000,581.000000,0.000000,0.000000,1787.000000,1371.000000,3866.000000,84.000000,1192.000000
0.000,6559.000000,633.000000,0.000000,0.000000,1822.000000,1389.000000,3863.000000,87.000000,1181.000000
0.000,6560.000000,467.000000,0.000000,0.000000,1680.000000,1159.000000,3827.000000,83.000000,843.000000
0.000,6561.000000,440.000000,10.000000,0.000000,813.000000,1446.000000,3857.000000,85.000000,944.000000
0.000,6562.000000,335.000000,0.000000,0.000000,1848.000000,1367.000000,3927.000000,87.000000,1169.000000
0.000,6563.000000,355.000000,0.000000,0.000000,1777.000000,1312.000000,3945.000000,87.000000,1125.000000
0.000,6564.000000,282.000000,0.000000,0.000000,1615.000000,1113.000000,3923.000000,87.000000,885.000000
0.000,6565.000000,519.000000,0.000000,0.000000,3324.000000,1652.000000,3703.000000,77.000000,1351.000000
0.000,6566.000000,637.000000,0.000000,0.000000,3177.000000,1397.000000,3787.000000,94.000000,1479.000000
0.000,6567.000000,1610.000000,12.000000,0.000000,3299.000000,1720.000000,3709.000000,78.000000,1011.000000
0.000,6568.000000,625.000000,0.000000,0.000000,3315.000000,1683.000000,3627.000000,75.000000,1372.000000
0.000,6569.000000,569.000000,0.000000,0.000000,3305.000000,1656.000000,3619.000000,75.000000,1419.000000
0.000,6570.000000,635.000000,4.000000,0.000000,3284.000000,1657.000000,3619.000000,75.000000,1429.000000
0.000,6571.000000,711.000000,5.000000,0.000000,3284.000000,1683.000000,3616.000000,83.000000,1391.000000
0.000,6572.000000,619.000000,0.000000,0.000000,3305.000000,1653.000000,3624.000000,83.000000,1429.000000
0.000,6573.000000,621.000000,12.000000,0.000000,3321.000000,1638.000000,3595.000000,71.000000,1195.000000
0.000,6574.000000,593.000000,0.000000,1.000000,3296.000000,1641.000000,3612.000000,75.000000,1152.000000
0.000,6575.000000,635.000000,0.000000,0.000000,3283.000000,1616.000000,3557.000000,72.000000,723.000000
0.000,6576.000000,632.000000,0.000000,0.000000,3287.000000,1593.000000,3514.000000,75.000000,1054.000000
0.000,6577.000000,671.000000,1.000000,0.000000,3259.000000,1609.000000,3357.000000,71.000000,1005.000000
0.000,6578.000000,763.000000,2.000000,0.000000,3307.000000,1718.000000,3220.000000,79.000000,937.000000
0.000,6579.000000,748.000000,0.000000,0.000000,3287.000000,1701.000000,3216.000000,67.000000,944.000000
0.000,6580.000000,744.000000,0.000000,0.000000,3305.000000,1672.000000,3245.000000,61.000000,1075.000000
0.000,6581.000000,753.000000,2.000000,0.000000,3304.000000,1815.000000,3221.000000,59.000000,1176.000000
0.000,6582.000000,793.000000,0.000000,0.000000,3271.000000,1815.000000,3212.000000,59.000000,1161.000000
0.000,6583.000000,763.000000,0.000000,0.000000,3275.000000,1658.000000,3197.000000,65.000000,1033.000000
0.000,6584.000000,765.000000,4.000000,0.000000,3308.000000,1687.000000,3225.000000,59.000000,777.000000
0.000,6585.000000,819.000000,0.000000,0.000000,3283.000000,1691.000000,3217.000000,61.000000,952.000000
0.000,6586.000000,1920.000000,23.000000,0.000000,4095.000000,3063.000000,1518.000000,0.000000,593.000000
0.026,6587.000000,884.000000,1.000000,0.000000,3229.000000,1674.000000,2892.000000,0.000000,688.000000
0.077,6588.000000,801.000000,2.000000,0.000000,3242.000000,1687.000000,2987.000000,0.000000,823.000000
0.128,6589.000000,783.000000,0.000000,0.000000,3232.000000,1673.000000,3032.000000,0.000000,943.000000
0.179,6590.000000,763.000000,0.000000,0.000000,3240.000000,1673.000000,3026.000000,0.000000,966.000000
0.230,6591.000000,755.000000,1.000000,0.000000,3209.000000,1681.000000,3037.000000,0.000000,917.000000
