time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5107.000000,3637.000000,77.000000,1.000000,3167.000000,2923.000000,249.000000,0.000000,137.000000
0.000,5108.000000,3683.000000,86.000000,0.000000,3160.000000,2913.000000,265.000000,0.000000,61.000000
0.000,5109.000000,3641.000000,79.000000,0.000000,3192.000000,2949.000000,311.000000,0.000000,91.000000
0.000,5110.000000,3642.000000,76.000000,0.000000,3180.000000,2927.000000,264.000000,0.000000,11.000000
0.000,5111.000000,3642.000000,83.000000,0.000000,3181.000000,2907.000000,286.000000,0.000000,140.000000
0.000,5112.000000,3684.000000,87.000000,0.000000,3229.000000,2955.000000,269.000000,0.000000,31.000000
0.000,5113.000000,3630.000000,85.000000,0.000000,3227.000000,2976.000000,343.000000,0.000000,56.000000
0.000,5114.000000,3656.000000,87.000000,0.000000,3257.000000,2973.000000,350.000000,0.000000,99.000000
0.000,5115.000000,3619.000000,80.000000,0.000000,3715.000000,2955.000000,302.000000,0.000000,30.000000
0.000,5116.000000,3630.000000,81.000000,0.000000,3737.000000,2989.000000,295.000000,0.000000,169.000000
0.000,5117.000000,3639.000000,72.000000,2.000000,3780.000000,3171.000000,457.000000,0.000000,51.000000
0.000,5118.000000,3625.000000,87.000000,0.000000,3269.000000,2977.000000,397.000000,0.000000,137.000000
0.000,5119.000000,3655.000000,79.000000,0.000000,3283.000000,3023.000000,384.000000,0.000000,18.000000
0.000,5120.000000,3646.000000,76.000000,0.000000,3320.000000,3125.000000,402.000000,0.000000,89.000000
0.000,5121.000000,3688.000000,81.000000,0.000000,3293.000000,3024.000000,371.000000,0.000000,39.000000
0.000,5122.000000,3605.000000,76.000000,0.000000,3287.000000,3063.000000,375.000000,0.000000,41.000000
0.000,5123.000000,3622.000000,85.000000,0.000000,3297.000000,3051.000000,425.000000,0.000000,62.000000
0.000,5124.000000,3603.000000,71.000000,0.000000,3365.000000,3092.000000,480.000000,0.000000,96.000000
0.000,5125.000000,3641.000000,93.000000,0.000000,3315.000000,3081.000000,467.000000,0.000000,155.000000
0.000,5126.000000,3631.000000,89.000000,0.000000,3371.000000,3132.000000,532.000000,0.000000,46.000000
0.000,5127.000000,3620.000000,77.000000,0.000000,3368.000000,3141.000000,589.000000,0.000000,140.000000
0.000,5128.000000,3635.000000,59.000000,0.000000,3440.000000,3184.000000,488.000000,0.000000,79.000000
0.000,5129.000000,3623.000000,77.000000,0.000000,3704.000000,3260.000000,680.000000,0.000000,152.000000
0.000,5130.000000,3602.000000,83.000000,0.000000,3735.000000,3239.000000,538.000000,0.000000,65.000000
0.000,5131.000000,3555.000000,77.000000,0.000000,3708.000000,3260.000000,592.000000,4.000000,160.000000
0.000,5132.000000,3613.000000,83.000000,0.000000,3739.000000,3309.000000,589.000000,0.000000,80.000000
0.000,5133.000000,3683.000000,81.000000,2.000000,3469.000000,3289.000000,631.000000,0.000000,54.000000
0.000,5134.000000,3672.000000,88.000000,0.000000,3534.000000,3291.000000,575.000000,0.000000,141.000000
0.000,5135.000000,3689.000000,91.000000,0.000000,3536.000000,3292.000000,563.000000,0.000000,8.000000
0.000,5136.000000,3629.000000,84.000000,0.000000,3764.000000,3295.000000,639.000000,0.000000,216.000000
0.000,5137.000000,3573.000000,97.000000,0.000000,3721.000000,3248.000000,609.000000,0.000000,64.000000
0.000,5138.000000,3621.000000,75.000000,0.000000,3403.000000,3252.000000,668.000000,0.000000,161.000000
0.000,5139.000000,3655.000000,77.000000,0.000000,3128.000000,3255.000000,645.000000,0.000000,5.000000
0.000,5140.000000,3620.000000,83.000000,0.000000,3723.000000,3207.000000,597.000000,0.000000,151.000000
0.000,5141.000000,3407.000000,77.000000,0.000000,3707.000000,3189.000000,588.000000,0.000000,96.000000
0.000,5142.000000,3665.000000,87.000000,0.000000,3691.000000,3104.000000,464.000000,0.000000,96.000000
0.000,5143.000000,3665.000000,76.000000,0.000000,3696.000000,3124.000000,412.000000,0.000000,133.000000
0.000,5144.000000,3641.000000,83.000000,0.000000,3709.000000,3228.000000,400.000000,0.000000,104.000000
0.000,5145.000000,3669.000000,90.000000,0.000000,3517.000000,3126.000000,380.000000,0.000000,150.000000
0.000,5146.000000,3643.000000,75.000000,0.000000,3792.000000,3098.000000,122.000000,0.000000,40.000000
0.000,5147.000000,3621.000000,79.000000,0.000000,3757.000000,3130.000000,368.000000,0.000000,119.000000
0.000,5148.000000,3625.000000,79.000000,0.000000,3865.000000,3152.000000,351.000000,0.000000,0.000000
0.000,5149.000000,3633.000000,72.000000,2.000000,3833.000000,3125.000000,505.000000,0.000000,139.000000
0.000,5150.000000,3759.000000,90.000000,0.000000,3451.000000,3175.000000,501.000000,0.000000,52.000000
0.000,5151.000000,3677.000000,83.000000,0.000000,3421.000000,3240.000000,629.000000,0.000000,112.000000
0.000,5152.000000,3740.000000,85.000000,0.000000,3439.000000,3270.000000,465.000000,0.000000,208.000000
0.000,5153.000000,3797.000000,80.000000,0.000000,3489.000000,3283.000000,763.000000,0.000000,217.000000
0.000,5154.000000,3857.000000,88.000000,0.000000,3865.000000,3411.000000,628.000000,0.000000,163.000000
0.000,5155.000000,2775.000000,55.000000,1.000000,3228.000000,2837.000000,679.000000,7.000000,53.000000
0.000,5156.000000,2469.000000,49.000000,0.000000,3451.000000,3046.000000,920.000000,0.000000,237.000000
0.000,5157.000000,3413.000000,59.000000,0.000000,3219.000000,3032.000000,461.000000,0.000000,47.000000
0.000,5158.000000,3563.000000,85.000000,0.000000,3621.000000,3248.000000,610.000000,0.000000,192.000000
0.000,5159.000000,3928.000000,91.000000,0.000000,3965.000000,3544.000000,1307.000000,0.000000,409.000000
0.000,5160.000000,2063.000000,26.000000,0.000000,1940.000000,1529.000000,3755.000000,80.000000,1285.000000
0.000,5161.000000,1728.000000,7.000000,0.000000,2041.000000,1653.000000,3805.000000,80.000000,1497.000000
0.000,5162.000000,3145.000000,67.000000,0.000000,3473.000000,3261.000000,1319.000000,0.000000,417.000000
0.000,5163.000000,2236.000000,29.000000,0.000000,3096.000000,2837.000000,1259.000000,2.000000,487.000000
0.000,5164.000000,2227.000000,45.000000,0.000000,3128.000000,2938.000000,1880.000000,0.000000,488.000000
0.000,5165.000000,1843.000000,21.000000,0.000000,1835.000000,1298.000000,3791.000000,81.000000,1.000000
0.000,5166.000000,2255.000000,43.000000,0.000000,2099.000000,1696.000000,3835.000000,85.000000,35.000000
0.000,5167.000000,2097.000000,31.000000,0.000000,1392.000000,1884.000000,3865.000000,84.000000,29.000000
0.000,5168.000000,2076.000000,9.000000,0.000000,1447.000000,1465.000000,3870.000000,80.000000,1191.000000
0.000,5169.000000,1621.000000,24.000000,0.000000,1352.000000,1179.000000,3840.000000,80.000000,1049.000000
0.000,5170.000000,1800.000000,20.000000,0.000000,1175.000000,1313.000000,3864.000000,80.000000,1211.000000
0.000,5171.000000,1575.000000,10.000000,0.000000,1189.000000,1156.000000,3892.000000,85.000000,1039.000000
0.000,5172.000000,463.000000,0.000000,0.000000,1221.000000,1084.000000,3886.000000,89.000000,932.000000
0.000,5173.000000,2190.000000,33.000000,0.000000,1968.000000,1606.000000,3939.000000,89.000000,1477.000000
0.000,5174.000000,1943.000000,40.000000,0.000000,2039.000000,1849.000000,3975.000000,85.000000,1671.000000
0.000,5175.000000,605.000000,0.000000,0.000000,1831.000000,1543.000000,3985.000000,83.000000,1331.000000
0.000,5176.000000,826.000000,1.000000,0.000000,1865.000000,1447.000000,3978.000000,89.000000,1265.000000
