time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5929.000000,216.000000,0.000000,0.000000,545.000000,814.000000,3763.000000,73.000000,508.000000
0.000,5930.000000,211.000000,0.000000,0.000000,540.000000,822.000000,3751.000000,80.000000,546.000000
0.000,5931.000000,192.000000,0.000000,0.000000,267.000000,881.000000,3741.000000,79.000000,634.000000
0.000,5932.000000,228.000000,0.000000,0.000000,248.000000,878.000000,3756.000000,79.000000,627.000000
0.000,5933.000000,192.000000,0.000000,0.000000,532.000000,815.000000,3762.000000,74.000000,552.000000
0.000,5934.000000,237.000000,0.000000,0.000000,555.000000,825.000000,3748.000000,75.000000,544.000000
0.000,5935.000000,201.000000,0.000000,0.000000,539.000000,811.000000,3787.000000,81.000000,551.000000
0.000,5936.000000,297.000000,0.000000,0.000000,544.000000,814.000000,3750.000000,72.000000,536.000000
0.000,5937.000000,171.000000,0.000000,0.000000,520.000000,791.000000,3758.000000,71.000000,531.000000
0.000,5938.000000,217.000000,0.000000,0.000000,476.000000,826.000000,3767.000000,78.000000,537.000000
0.000,5939.000000,152.000000,0.000000,0.000000,539.000000,813.000000,3785.000000,73.000000,505.000000
0.000,5940.000000,205.000000,0.000000,0.000000,546.000000,807.000000,3749.000000,73.000000,503.000000
0.000,5941.000000,217.000000,0.000000,0.000000,551.000000,811.000000,3776.000000,75.000000,527.000000
0.000,5942.000000,198.000000,0.000000,0.000000,536.000000,803.000000,3747.000000,75.000000,512.000000
0.000,5943.000000,186.000000,0.000000,0.000000,549.000000,816.000000,3783.000000,81.000000,519.000000
0.000,5944.000000,243.000000,0.000000,0.000000,555.000000,813.000000,3721.000000,75.000000,507.000000
0.000,5945.000000,195.000000,0.000000,0.000000,538.000000,811.000000,3788.000000,77.000000,539.000000
0.000,5946.000000,211.000000,0.000000,0.000000,540.000000,803.000000,3748.000000,72.000000,519.000000
0.000,5947.000000,170.000000,0.000000,0.000000,599.000000,798.000000,3767.000000,63.000000,527.000000
0.000,5948.000000,203.000000,0.000000,0.000000,563.000000,832.000000,3765.000000,71.000000,532.000000
0.000,5949.000000,176.000000,0.000000,0.000000,562.000000,797.000000,3784.000000,71.000000,536.000000
0.000,5950.000000,197.000000,0.000000,0.000000,661.000000,800.000000,3741.000000,78.000000,541.000000
0.000,5951.000000,190.000000,0.000000,0.000000,597.000000,864.000000,3791.000000,75.000000,539.000000
0.000,5952.000000,199.000000,0.000000,0.000000,576.000000,811.000000,3740.000000,75.000000,538.000000
0.000,5953.000000,173.000000,0.000000,0.000000,604.000000,791.000000,3758.000000,75.000000,539.000000
0.000,5954.000000,212.000000,0.000000,0.000000,733.000000,837.000000,3726.000000,72.000000,553.000000
0.000,5955.000000,210.000000,0.000000,0.000000,527.000000,856.000000,3767.000000,75.000000,496.000000
0.000,5956.000000,215.000000,4.000000,0.000000,329.000000,1015.000000,3727.000000,72.000000,695.000000
0.000,5957.000000,200.000000,0.000000,0.000000,667.000000,1017.000000,3775.000000,76.000000,710.000000
0.000,5958.000000,267.000000,0.000000,0.000000,1104.000000,1193.000000,3737.000000,86.000000,808.000000
0.000,5959.000000,357.000000,0.000000,0.000000,953.000000,1276.000000,3792.000000,81.000000,955.000000
0.000,5960.000000,2215.000000,31.000000,0.000000,3155.000000,2889.000000,3131.000000,28.000000,883.000000
0.000,5961.000000,2143.000000,31.000000,0.000000,3290.000000,2971.000000,2460.000000,10.000000,657.000000
0.000,5962.000000,311.000000,0.000000,0.000000,2203.000000,1744.000000,3826.000000,89.000000,797.000000
0.000,5963.000000,721.000000,0.000000,0.000000,2089.000000,1671.000000,3871.000000,87.000000,883.000000
0.000,5964.000000,2009.000000,30.000000,0.000000,2703.000000,2845.000000,2540.000000,20.000000,537.000000
0.000,5965.000000,640.000000,0.000000,0.000000,2205.000000,1833.000000,3810.000000,85.000000,1179.000000
0.000,5966.000000,583.000000,0.000000,0.000000,1580.000000,1433.000000,3879.000000,83.000000,783.000000
0.000,5967.000000,675.000000,2.000000,0.000000,1949.000000,1661.000000,3865.000000,85.000000,819.000000
0.000,5968.000000,521.000000,2.000000,0.000000,1831.000000,1452.000000,3919.000000,87.000000,598.000000
0.000,5969.000000,522.000000,0.000000,0.000000,1757.000000,1405.000000,3844.000000,83.000000,556.000000
0.000,5970.000000,571.000000,0.000000,0.000000,1969.000000,1512.000000,3832.000000,90.000000,889.000000
0.000,5971.000000,551.000000,0.000000,0.000000,1745.000000,1365.000000,3799.000000,85.000000,384.000000
0.000,5972.000000,2215.000000,40.000000,0.000000,2935.000000,2675.000000,1294.000000,0.000000,568.000000
0.000,5973.000000,442.000000,0.000000,0.000000,1559.000000,1235.000000,3787.000000,77.000000,1007.000000
0.000,5974.000000,483.000000,0.000000,0.000000,1463.000000,1253.000000,3754.000000,81.000000,889.000000
0.000,5975.000000,2103.000000,35.000000,0.000000,2988.000000,2836.000000,1837.000000,1.000000,256.000000
0.000,5976.000000,2201.000000,35.000000,0.000000,2974.000000,2776.000000,1212.000000,0.000000,456.000000
0.000,5977.000000,2087.000000,37.000000,0.000000,3207.000000,2949.000000,1823.000000,8.000000,34.000000
0.000,5978.000000,2140.000000,40.000000,0.000000,2848.000000,2568.000000,1296.000000,0.000000,530.000000
0.000,5979.000000,2143.000000,34.000000,0.000000,3243.000000,3044.000000,1806.000000,0.000000,71.000000
0.000,5980.000000,289.000000,0.000000,0.000000,1690.000000,1260.000000,3755.000000,73.000000,436.000000
0.000,5981.000000,336.000000,0.000000,0.000000,2073.000000,1669.000000,3848.000000,87.000000,793.000000
