time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1590.000000,781.000000,0.000000,0.000000,160.000000,52.000000,1848.000000,25.000000,20.000000
0.000,1591.000000,801.000000,4.000000,0.000000,160.000000,77.000000,1850.000000,21.000000,12.000000
0.000,1592.000000,774.000000,8.000000,0.000000,171.000000,49.000000,1837.000000,28.000000,11.000000
0.000,1593.000000,822.000000,10.000000,0.000000,157.000000,58.000000,1853.000000,22.000000,12.000000
0.000,1594.000000,797.000000,4.000000,0.000000,169.000000,75.000000,1801.000000,27.000000,0.000000
0.000,1595.000000,795.000000,18.000000,0.000000,153.000000,53.000000,1827.000000,25.000000,2.000000
0.000,1596.000000,773.000000,11.000000,0.000000,134.000000,8.000000,1829.000000,28.000000,0.000000
0.000,1597.000000,784.000000,20.000000,0.000000,202.000000,71.000000,1833.000000,23.000000,0.000000
0.000,1598.000000,785.000000,20.000000,0.000000,141.000000,71.000000,1815.000000,35.000000,0.000000
0.000,1599.000000,799.000000,13.000000,0.000000,144.000000,71.000000,1847.000000,26.000000,0.000000
0.000,1600.000000,791.000000,13.000000,0.000000,188.000000,69.000000,1832.000000,24.000000,0.000000
0.000,1601.000000,772.000000,5.000000,0.000000,123.000000,0.000000,1825.000000,24.000000,0.000000
0.000,1602.000000,784.000000,5.000000,0.000000,150.000000,40.000000,1848.000000,36.000000,0.000000
0.000,1603.000000,768.000000,9.000000,0.000000,135.000000,64.000000,1825.000000,18.000000,0.000000
0.000,1604.000000,771.000000,4.000000,0.000000,121.000000,59.000000,1819.000000,35.000000,7.000000
0.000,1605.000000,757.000000,11.000000,0.000000,144.000000,67.000000,1856.000000,20.000000,0.000000
0.000,1606.000000,794.000000,21.000000,0.000000,148.000000,89.000000,1823.000000,29.000000,12.000000
0.000,1607.000000,715.000000,9.000000,0.000000,112.000000,55.000000,1846.000000,23.000000,0.000000
0.000,1608.000000,742.000000,4.000000,0.000000,149.000000,81.000000,1819.000000,28.000000,22.000000
0.000,1609.000000,829.000000,10.000000,0.000000,173.000000,77.000000,1828.000000,25.000000,25.000000
0.000,1610.000000,823.000000,0.000000,0.000000,153.000000,61.000000,1817.000000,23.000000,0.000000
0.000,1611.000000,757.000000,9.000000,0.000000,160.000000,78.000000,1847.000000,24.000000,19.000000
0.000,1612.000000,801.000000,13.000000,0.000000,176.000000,61.000000,1848.000000,28.000000,33.000000
0.000,1613.000000,965.000000,11.000000,0.000000,203.000000,83.000000,1837.000000,25.000000,16.000000
0.000,1614.000000,896.000000,15.000000,0.000000,216.000000,75.000000,1852.000000,31.000000,31.000000
0.000,1615.000000,864.000000,16.000000,0.000000,153.000000,93.000000,1835.000000,24.000000,27.000000
0.000,1616.000000,814.000000,4.000000,0.000000,247.000000,147.000000,1819.000000,33.000000,23.000000
0.000,1617.000000,949.000000,9.000000,0.000000,234.000000,79.000000,1854.000000,27.000000,49.000000
0.000,1618.000000,992.000000,0.000000,0.000000,299.000000,83.000000,1763.000000,39.000000,0.000000
0.000,1619.000000,989.000000,13.000000,0.000000,265.000000,133.000000,1811.000000,23.000000,59.000000
0.000,1620.000000,949.000000,9.000000,0.000000,883.000000,115.000000,1809.000000,28.000000,143.000000
0.000,1621.000000,160.000000,6.000000,0.000000,951.000000,176.000000,1855.000000,21.000000,87.000000
0.000,1622.000000,52.000000,1.000000,0.000000,1160.000000,152.000000,1820.000000,28.000000,59.000000
0.000,1623.000000,455.000000,0.000000,0.000000,1298.000000,1224.000000,3681.000000,79.000000,779.000000
0.000,1624.000000,1221.000000,0.000000,0.000000,1703.000000,1461.000000,3848.000000,88.000000,1093.000000
0.000,1625.000000,766.000000,3.000000,0.000000,1856.000000,1547.000000,3922.000000,87.000000,1048.000000
0.000,1626.000000,711.000000,6.000000,0.000000,2101.000000,1765.000000,3821.000000,87.000000,1333.000000
0.000,1627.000000,747.000000,3.000000,0.000000,1161.000000,1584.000000,3947.000000,91.000000,1148.000000
0.000,1628.000000,1262.000000,16.000000,0.000000,2061.000000,2166.000000,3595.000000,72.000000,1145.000000
0.000,1629.000000,2194.000000,22.000000,0.000000,2057.000000,1929.000000,3577.000000,75.000000,1055.000000
0.000,1630.000000,1499.000000,22.000000,0.000000,1277.000000,345.000000,1809.000000,20.000000,152.000000
0.000,1631.000000,1959.000000,28.000000,0.000000,1823.000000,1379.000000,3699.000000,84.000000,871.000000
0.000,1632.000000,1904.000000,37.000000,0.000000,1839.000000,1321.000000,3882.000000,82.000000,1053.000000
0.000,1633.000000,1884.000000,31.000000,0.000000,1836.000000,1351.000000,3480.000000,71.000000,903.000000
0.000,1634.000000,1909.000000,19.000000,0.000000,1853.000000,1425.000000,3861.000000,85.000000,1100.000000
0.000,1635.000000,1932.000000,29.000000,0.000000,1836.000000,1405.000000,3827.000000,83.000000,1092.000000
0.000,1636.000000,1889.000000,28.000000,0.000000,1835.000000,1401.000000,3837.000000,86.000000,1016.000000
0.000,1637.000000,1881.000000,29.000000,0.000000,1798.000000,1418.000000,3888.000000,81.000000,1003.000000
0.000,1638.000000,1852.000000,21.000000,0.000000,1759.000000,1365.000000,3877.000000,91.000000,1161.000000
0.000,1639.000000,1768.000000,24.000000,0.000000,1808.000000,1397.000000,3891.000000,87.000000,1047.000000
0.000,1640.000000,498.000000,0.000000,0.000000,1589.000000,1185.000000,3893.000000,88.000000,828.000000
0.000,1641.000000,417.000000,0.000000,0.000000,1573.000000,1169.000000,3899.000000,80.000000,573.000000
0.000,1642.000000,396.000000,0.000000,0.000000,1507.000000,1155.000000,3895.000000,88.000000,755.000000
0.000,1643.000000,409.000000,0.000000,0.000000,1549.000000,1147.000000,3883.000000,83.000000,669.000000
0.000,1644.000000,333.000000,0.000000,0.000000,1520.000000,1147.000000,3875.000000,81.000000,741.000000
0.000,1645.000000,327.000000,0.000000,0.000000,1565.000000,1185.000000,3878.000000,87.000000,825.000000
0.000,1646.000000,342.000000,0.000000,0.000000,1551.000000,1173.000000,3876.000000,81.000000,784.000000
0.000,1647.000000,305.000000,0.000000,0.000000,1563.000000,1173.000000,3874.000000,76.000000,691.000000
0.000,1648.000000,413.000000,0.000000,0.000000,1631.000000,1293.000000,3879.000000,85.000000,886.000000
0.000,1649.000000,355.000000,0.000000,0.000000,1576.000000,1112.000000,3919.000000,85.000000,668.000000
0.000,1650.000000,394.000000,0.000000,0.000000,1561.000000,1181.000000,3871.000000,85.000000,680.000000
0.000,1651.000000,459.000000,0.000000,0.000000,1612.000000,1191.000000,3837.000000,87.000000,712.000000
0.000,1652.000000,448.000000,6.000000,0.000000,1692.000000,1364.000000,3859.000000,82.000000,840.000000
0.000,1653.000000,320.000000,8.000000,0.000000,1667.000000,1248.000000,3919.000000,87.000000,905.000000
0.000,1654.000000,413.000000,0.000000,0.000000,1699.000000,1315.000000,3860.000000,95.000000,983.000000
0.000,1655.000000,327.000000,0.000000,0.000000,1608.000000,1251.000000,3867.000000,83.000000,788.000000
0.000,1656.000000,445.000000,3.000000,0.000000,1650.000000,1241.000000,3867.000000,92.000000,805.000000
0.000,1657.000000,357.000000,0.000000,0.000000,1627.000000,1287.000000,3863.000000,87.000000,899.000000
0.000,1658.000000,444.000000,0.000000,0.000000,1704.000000,1381.000000,3889.000000,83.000000,989.000000
0.000,1659.000000,427.000000,0.000000,0.000000,1736.000000,1413.000000,3937.000000,87.000000,859.000000
0.000,1660.000000,426.000000,2.000000,0.000000,1749.000000,1427.000000,3904.000000,86.000000,1019.000000
0.000,1661.000000,268.000000,0.000000,0.000000,1589.000000,1175.000000,3901.000000,87.000000,800.000000
0.000,1662.000000,407.000000,0.000000,0.000000,1603.000000,1267.000000,3918.000000,83.000000,791.000000
0.000,1663.000000,361.000000,0.000000,0.000000,1797.000000,1471.000000,3908.000000,82.000000,1013.000000
0.000,1664.000000,391.000000,0.000000,0.000000,1634.000000,1340.000000,3939.000000,89.000000,985.000000
0.000,1665.000000,487.000000,0.000000,0.000000,1811.000000,1509.000000,3928.000000,87.000000,1176.000000
0.000,1666.000000,425.000000,0.000000,0.000000,1784.000000,1485.000000,3933.000000,95.000000,1000.000000
0.000,1667.000000,391.000000,0.000000,0.000000,1707.000000,1350.000000,3885.000000,89.000000,727.000000
0.000,1668.000000,360.000000,0.000000,0.000000,1747.000000,1464.000000,3979.000000,91.000000,0.000000
0.000,1669.000000,309.000000,0.000000,0.000000,1605.000000,1326.000000,3968.000000,81.000000,0.000000
0.026,1670.000000,302.000000,0.000000,0.000000,1600.000000,1309.000000,3964.000000,85.000000,0.000000
0.077,1671.000000,217.000000,0.000000,0.000000,1581.000000,1272.000000,3995.000000,87.000000,0.000000
0.128,1672.000000,249.000000,0.000000,0.000000,1595.000000,1241.000000,3980.000000,89.000000,0.000000
0.179,1673.000000,247.000000,0.000000,0.000000,1519.000000,1216.000000,3992.000000,86.000000,0.000000
0.230,1674.000000,292.000000,0.000000,0.000000,1541.000000,1164.000000,3976.000000,88.000000,0.000000
0.281,1675.000000,247.000000,0.000000,0.000000,1563.000000,1235.000000,3957.000000,88.000000,0.000000
0.332,1676.000000,287.000000,2.000000,0.000000,1528.000000,1200.000000,3995.000000,99.000000,0.000000
0.383,1677.000000,243.000000,0.000000,0.000000,1515.000000,1188.000000,3996.000000,84.000000,0.000000
0.434,1678.000000,239.000000,0.000000,0.000000,1540.000000,1233.000000,3915.000000,87.000000,0.000000
0.485,1679.000000,211.000000,0.000000,0.000000,1043.000000,1081.000000,3967.000000,85.000000,0.000000
0.536,1680.000000,233.000000,0.000000,0.000000,1457.000000,1128.000000,3950.000000,86.000000,0.000000
0.587,1681.000000,185.000000,0.000000,0.000000,1487.000000,1123.000000,3948.000000,81.000000,0.000000
0.638,1682.000000,247.000000,0.000000,0.000000,1204.000000,1112.000000,3980.000000,83.000000,0.000000
0.689,1683.000000,272.000000,0.000000,0.000000,1360.000000,1137.000000,3954.000000,87.000000,0.000000
0.740,1684.000000,297.000000,1.000000,0.000000,1379.000000,1163.000000,3992.000000,80.000000,0.000000
0.791,1685.000000,327.000000,0.000000,1.000000,1463.000000,1157.000000,3946.000000,87.000000,0.000000
0.842,1686.000000,327.000000,2.000000,0.000000,1447.000000,1152.000000,3958.000000,80.000000,0.000000
0.893,1687.000000,284.000000,2.000000,0.000000,1331.000000,1092.000000,3975.000000,85.000000,0.000000
0.944,1688.000000,307.000000,0.000000,0.000000,877.000000,1063.000000,3960.000000,88.000000,0.000000
0.995,1689.000000,281.000000,0.000000,0.000000,1173.000000,1132.000000,3999.000000,64.000000,0.000000
1.046,1690.000000,279.000000,0.000000,0.000000,875.000000,1084.000000,3963.000000,85.000000,0.000000
1.097,1691.000000,310.000000,0.000000,0.000000,745.000000,1068.000000,3960.000000,83.000000,0.000000
1.148,1692.000000,288.000000,0.000000,0.000000,933.000000,1088.000000,3973.000000,89.000000,0.000000
1.199,1693.000000,247.000000,0.000000,2.000000,998.000000,1099.000000,3948.000000,85.000000,0.000000
1.250,1694.000000,269.000000,0.000000,0.000000,879.000000,1051.000000,3866.000000,83.000000,448.000000
1.301,1695.000000,263.000000,0.000000,0.000000,968.000000,1075.000000,3938.000000,80.000000,0.000000
1.352,1696.000000,273.000000,0.000000,0.000000,745.000000,1035.000000,3935.000000,81.000000,0.000000
1.403,1697.000000,246.000000,0.000000,0.000000,857.000000,1052.000000,3975.000000,87.000000,0.000000
1.454,1698.000000,267.000000,0.000000,0.000000,793.000000,1084.000000,3945.000000,89.000000,0.000000
1.505,1699.000000,225.000000,0.000000,0.000000,761.000000,1044.000000,3965.000000,87.000000,0.000000
1.556,1700.000000,289.000000,0.000000,0.000000,815.000000,1065.000000,3928.000000,87.000000,0.000000
1.607,1701.000000,248.000000,0.000000,0.000000,808.000000,1053.000000,3963.000000,84.000000,0.000000
1.658,1702.000000,272.000000,0.000000,0.000000,1059.000000,1084.000000,3992.000000,80.000000,0.000000
1.709,1703.000000,224.000000,0.000000,0.000000,1075.000000,1064.000000,3952.000000,83.000000,0.000000
1.760,1704.000000,253.000000,0.000000,0.000000,973.000000,1068.000000,3946.000000,85.000000,0.000000
1.811,1705.000000,218.000000,0.000000,0.000000,980.000000,1040.000000,3949.000000,80.000000,0.000000
1.862,1706.000000,226.000000,3.000000,0.000000,1011.000000,1065.000000,3959.000000,81.000000,0.000000
1.913,1707.000000,210.000000,0.000000,0.000000,968.000000,1057.000000,3946.000000,85.000000,0.000000
1.964,1708.000000,223.000000,0.000000,0.000000,995.000000,1061.000000,3927.000000,84.000000,0.000000
2.015,1709.000000,351.000000,0.000000,0.000000,979.000000,1068.000000,3955.000000,80.000000,0.000000
2.066,1710.000000,243.000000,0.000000,0.000000,669.000000,1039.000000,3794.000000,77.000000,0.000000
2.117,1711.000000,219.000000,1.000000,0.000000,759.000000,985.000000,3912.000000,82.000000,0.000000
2.168,1712.000000,235.000000,0.000000,0.000000,565.000000,1005.000000,3916.000000,76.000000,0.000000
2.219,1713.000000,220.000000,3.000000,0.000000,544.000000,1033.000000,3924.000000,83.000000,0.000000
2.270,1714.000000,233.000000,0.000000,0.000000,539.000000,1003.000000,3912.000000,89.000000,0.000000
2.321,1715.000000,207.000000,0.000000,0.000000,581.000000,1017.000000,3918.000000,91.000000,0.000000
2.372,1716.000000,219.000000,0.000000,0.000000,589.000000,1018.000000,3917.000000,91.000000,0.000000
2.423,1717.000000,217.000000,0.000000,0.000000,544.000000,989.000000,3949.000000,87.000000,0.000000
2.474,1718.000000,236.000000,0.000000,0.000000,548.000000,1002.000000,3928.000000,89.000000,0.000000
2.525,1719.000000,227.000000,0.000000,0.000000,548.000000,998.000000,3939.000000,75.000000,0.000000
2.576,1720.000000,235.000000,0.000000,0.000000,567.000000,1009.000000,3941.000000,89.000000,0.000000
2.627,1721.000000,233.000000,0.000000,0.000000,529.000000,1017.000000,3955.000000,87.000000,0.000000
2.678,1722.000000,263.000000,1.000000,0.000000,535.000000,1039.000000,3897.000000,83.000000,0.000000
2.729,1723.000000,224.000000,0.000000,0.000000,469.000000,1043.000000,3914.000000,77.000000,0.000000
2.780,1724.000000,279.000000,0.000000,0.000000,553.000000,1017.000000,3899.000000,85.000000,0.000000
2.831,1725.000000,275.000000,0.000000,0.000000,536.000000,1011.000000,3912.000000,75.000000,0.000000
2.882,1726.000000,256.000000,0.000000,0.000000,549.000000,1015.000000,3851.000000,79.000000,0.000000
2.933,1727.000000,237.000000,0.000000,1.000000,592.000000,1012.000000,3929.000000,84.000000,0.000000
2.984,1728.000000,247.000000,0.000000,0.000000,536.000000,1011.000000,3904.000000,80.000000,0.000000
3.035,1729.000000,233.000000,0.000000,0.000000,519.000000,1013.000000,3931.000000,83.000000,0.000000
