time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5369.000000,368.000000,0.000000,0.000000,1124.000000,1221.000000,3822.000000,85.000000,875.000000
0.000,5370.000000,416.000000,0.000000,0.000000,1160.000000,1226.000000,3817.000000,89.000000,841.000000
0.000,5371.000000,429.000000,0.000000,0.000000,1253.000000,1287.000000,3798.000000,76.000000,1079.000000
0.000,5372.000000,481.000000,0.000000,0.000000,1657.000000,1240.000000,3819.000000,84.000000,927.000000
0.000,5373.000000,405.000000,0.000000,0.000000,1235.000000,1305.000000,3812.000000,81.000000,971.000000
0.000,5374.000000,461.000000,0.000000,0.000000,1672.000000,1267.000000,3763.000000,79.000000,974.000000
0.000,5375.000000,628.000000,2.000000,0.000000,1003.000000,1312.000000,3831.000000,83.000000,941.000000
0.000,5376.000000,1446.000000,22.000000,0.000000,1328.000000,1543.000000,3747.000000,83.000000,1130.000000
0.000,5377.000000,1591.000000,25.000000,0.000000,1864.000000,1494.000000,3769.000000,83.000000,1065.000000
0.000,5378.000000,755.000000,0.000000,0.000000,1798.000000,1395.000000,3819.000000,89.000000,687.000000
0.000,5379.000000,1576.000000,24.000000,0.000000,1913.000000,1531.000000,3857.000000,87.000000,1143.000000
0.000,5380.000000,457.000000,0.000000,0.000000,1031.000000,1338.000000,3867.000000,96.000000,869.000000
0.000,5381.000000,441.000000,0.000000,0.000000,1744.000000,1385.000000,3885.000000,85.000000,815.000000
0.000,5382.000000,497.000000,4.000000,0.000000,1830.000000,1408.000000,3877.000000,91.000000,753.000000
0.000,5383.000000,619.000000,0.000000,0.000000,1853.000000,1489.000000,3867.000000,81.000000,819.000000
0.000,5384.000000,821.000000,0.000000,0.000000,1959.000000,1606.000000,3684.000000,75.000000,928.000000
0.000,5385.000000,603.000000,0.000000,0.000000,1614.000000,1504.000000,3897.000000,87.000000,1142.000000
0.000,5386.000000,641.000000,9.000000,0.000000,1879.000000,1530.000000,3833.000000,83.000000,700.000000
0.000,5387.000000,561.000000,0.000000,0.000000,2053.000000,1641.000000,3884.000000,80.000000,1073.000000
0.000,5388.000000,671.000000,0.000000,0.000000,2367.000000,1927.000000,3880.000000,89.000000,1259.000000
0.000,5389.000000,719.000000,0.000000,0.000000,2109.000000,1684.000000,3847.000000,80.000000,997.000000
0.000,5390.000000,772.000000,5.000000,0.000000,2393.000000,1993.000000,3763.000000,83.000000,1205.000000
0.000,5391.000000,655.000000,2.000000,0.000000,2063.000000,1643.000000,3912.000000,83.000000,1041.000000
0.000,5392.000000,685.000000,1.000000,0.000000,2129.000000,1707.000000,3903.000000,91.000000,0.000000
0.000,5393.000000,633.000000,0.000000,0.000000,2107.000000,1683.000000,3976.000000,93.000000,775.000000
0.000,5394.000000,603.000000,0.000000,0.000000,2117.000000,1675.000000,4000.000000,92.000000,133.000000
0.000,5395.000000,551.000000,0.000000,0.000000,2075.000000,1659.000000,4047.000000,81.000000,971.000000
0.000,5396.000000,611.000000,0.000000,0.000000,2344.000000,1943.000000,3980.000000,86.000000,1255.000000
0.000,5397.000000,756.000000,4.000000,0.000000,2104.000000,1686.000000,4004.000000,89.000000,1219.000000
0.000,5398.000000,802.000000,2.000000,0.000000,2140.000000,1717.000000,3852.000000,84.000000,1275.000000
0.000,5399.000000,679.000000,0.000000,0.000000,2041.000000,1683.000000,3991.000000,85.000000,1332.000000
0.000,5400.000000,819.000000,0.000000,0.000000,2123.000000,1711.000000,3945.000000,93.000000,1381.000000
0.000,5401.000000,776.000000,1.000000,0.000000,2190.000000,1751.000000,3963.000000,86.000000,1351.000000
0.000,5402.000000,1065.000000,13.000000,0.000000,1472.000000,1981.000000,3849.000000,90.000000,1557.000000
0.000,5403.000000,731.000000,33.000000,0.000000,2606.000000,1983.000000,3680.000000,80.000000,1427.000000
0.000,5404.000000,1875.000000,25.000000,0.000000,4095.000000,3122.000000,2644.000000,24.000000,768.000000
0.000,5405.000000,1973.000000,41.000000,0.000000,4095.000000,3209.000000,2554.000000,12.000000,901.000000
0.000,5406.000000,1980.000000,38.000000,0.000000,4095.000000,3189.000000,2093.000000,0.000000,786.000000
0.000,5407.000000,1888.000000,28.000000,0.000000,3101.000000,2896.000000,2425.000000,26.000000,651.000000
0.000,5408.000000,621.000000,0.000000,0.000000,3243.000000,1838.000000,3653.000000,84.000000,1416.000000
