time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4109.000000,1831.000000,20.000000,0.000000,3036.000000,4095.000000,1501.000000,0.000000,878.000000
0.000,4110.000000,1853.000000,40.000000,0.000000,3027.000000,4095.000000,1994.000000,0.000000,823.000000
0.000,4111.000000,1820.000000,26.000000,0.000000,3020.000000,4095.000000,1487.000000,0.000000,849.000000
0.000,4112.000000,1863.000000,24.000000,4.000000,3043.000000,4095.000000,1475.000000,0.000000,905.000000
0.000,4113.000000,1832.000000,19.000000,0.000000,3063.000000,4095.000000,1528.000000,0.000000,901.000000
0.000,4114.000000,1829.000000,29.000000,0.000000,3017.000000,4095.000000,1504.000000,0.000000,875.000000
0.000,4115.000000,1827.000000,24.000000,0.000000,3027.000000,4095.000000,1516.000000,0.000000,844.000000
0.000,4116.000000,1938.000000,25.000000,0.000000,3032.000000,4095.000000,1545.000000,0.000000,825.000000
0.000,4117.000000,1850.000000,19.000000,0.000000,3031.000000,4095.000000,1505.000000,0.000000,854.000000
0.000,4118.000000,1875.000000,27.000000,0.000000,3035.000000,4095.000000,1466.000000,0.000000,841.000000
0.000,4119.000000,1849.000000,42.000000,0.000000,3037.000000,4095.000000,1499.000000,0.000000,843.000000
0.000,4120.000000,1876.000000,26.000000,0.000000,2897.000000,2725.000000,1490.000000,0.000000,592.000000
0.000,4121.000000,1841.000000,33.000000,0.000000,2913.000000,2726.000000,1517.000000,0.000000,603.000000
0.000,4122.000000,1865.000000,37.000000,0.000000,2913.000000,2733.000000,1500.000000,0.000000,700.000000
0.000,4123.000000,1837.000000,38.000000,1.000000,2898.000000,2713.000000,1521.000000,0.000000,616.000000
0.000,4124.000000,1865.000000,45.000000,0.000000,2931.000000,2749.000000,1515.000000,0.000000,574.000000
0.000,4125.000000,1833.000000,33.000000,0.000000,2913.000000,2747.000000,1535.000000,0.000000,659.000000
0.000,4126.000000,1880.000000,34.000000,0.000000,2916.000000,2748.000000,1551.000000,0.000000,525.000000
0.000,4127.000000,1851.000000,33.000000,0.000000,2903.000000,2759.000000,1505.000000,0.000000,675.000000
0.000,4128.000000,1851.000000,45.000000,0.000000,2925.000000,2752.000000,1555.000000,0.000000,614.000000
0.000,4129.000000,1911.000000,29.000000,0.000000,3043.000000,4095.000000,1421.000000,0.000000,811.000000
0.000,4130.000000,1861.000000,26.000000,0.000000,3045.000000,4095.000000,1488.000000,0.000000,835.000000
0.000,4131.000000,1841.000000,25.000000,0.000000,3049.000000,4095.000000,1492.000000,0.000000,851.000000
0.000,4132.000000,1865.000000,36.000000,1.000000,3037.000000,4095.000000,1509.000000,0.000000,977.000000
0.000,4133.000000,1833.000000,29.000000,0.000000,3045.000000,4095.000000,1527.000000,0.000000,857.000000
0.000,4134.000000,1809.000000,31.000000,0.000000,3045.000000,4095.000000,1577.000000,0.000000,946.000000
0.000,4135.000000,1812.000000,25.000000,0.000000,2843.000000,4095.000000,1448.000000,0.000000,887.000000
0.000,4136.000000,441.000000,1.000000,0.000000,1427.000000,3144.000000,3416.000000,0.000000,1020.000000
0.000,4137.000000,576.000000,0.000000,0.000000,1689.000000,3285.000000,3414.000000,0.000000,427.000000
0.000,4138.000000,609.000000,0.000000,0.000000,1856.000000,3357.000000,3579.000000,87.000000,840.000000
0.000,4139.000000,591.000000,0.000000,0.000000,1887.000000,3313.000000,3583.000000,71.000000,364.000000
0.000,4140.000000,723.000000,0.000000,0.000000,2029.000000,3476.000000,3629.000000,80.000000,1061.000000
0.000,4141.000000,1875.000000,29.000000,0.000000,3081.000000,4095.000000,2476.000000,16.000000,669.000000
0.000,4142.000000,3095.000000,77.000000,0.000000,3232.000000,4095.000000,340.000000,0.000000,51.000000
0.000,4143.000000,2347.000000,43.000000,0.000000,2413.000000,3116.000000,3316.000000,67.000000,1356.000000
0.000,4144.000000,3193.000000,81.000000,0.000000,3784.000000,4095.000000,2529.000000,12.000000,573.000000
0.000,4145.000000,841.000000,2.000000,0.000000,1856.000000,3373.000000,3489.000000,62.000000,1185.000000
0.000,4146.000000,711.000000,0.000000,0.000000,1788.000000,3348.000000,3492.000000,74.000000,1143.000000
0.000,4147.000000,785.000000,0.000000,0.000000,1827.000000,3362.000000,3524.000000,73.000000,1187.000000
0.000,4148.000000,2105.000000,25.000000,0.000000,2033.000000,3240.000000,3456.000000,77.000000,1317.000000
0.000,4149.000000,1389.000000,2.000000,0.000000,1948.000000,3352.000000,3559.000000,72.000000,1239.000000
0.000,4150.000000,2101.000000,41.000000,0.000000,3081.000000,4095.000000,1456.000000,0.000000,839.000000
0.000,4151.000000,3514.000000,80.000000,0.000000,3740.000000,4095.000000,1149.000000,0.000000,378.000000
0.000,4152.000000,2136.000000,49.000000,0.000000,3255.000000,4095.000000,1774.000000,5.000000,688.000000
0.000,4153.000000,2240.000000,37.000000,0.000000,3288.000000,4095.000000,1467.000000,2.000000,609.000000
0.000,4154.000000,3087.000000,59.000000,0.000000,3572.000000,4095.000000,1052.000000,0.000000,279.000000
0.000,4155.000000,1899.000000,39.000000,0.000000,3176.000000,4095.000000,1624.000000,10.000000,859.000000
0.000,4156.000000,1955.000000,43.000000,0.000000,3205.000000,4095.000000,1651.000000,6.000000,859.000000
0.000,4157.000000,1849.000000,23.000000,1.000000,3207.000000,4095.000000,1489.000000,0.000000,945.000000
0.000,4158.000000,1893.000000,28.000000,0.000000,2971.000000,4095.000000,1419.000000,0.000000,985.000000
0.000,4159.000000,1883.000000,30.000000,0.000000,3037.000000,4095.000000,1471.000000,0.000000,930.000000
0.000,4160.000000,1867.000000,37.000000,0.000000,3003.000000,4095.000000,1363.000000,0.000000,967.000000
0.000,4161.000000,1897.000000,23.000000,0.000000,3019.000000,4095.000000,1440.000000,0.000000,931.000000
0.000,4162.000000,1872.000000,25.000000,0.000000,3031.000000,4095.000000,1441.000000,0.000000,979.000000
0.000,4163.000000,1897.000000,23.000000,0.000000,3017.000000,4095.000000,1432.000000,0.000000,1009.000000
0.000,4164.000000,1900.000000,27.000000,0.000000,2999.000000,4095.000000,1401.000000,0.000000,951.000000
0.000,4165.000000,1896.000000,18.000000,0.000000,2901.000000,2683.000000,1447.000000,0.000000,763.000000
0.000,4166.000000,1899.000000,25.000000,0.000000,2863.000000,2679.000000,1405.000000,0.000000,699.000000
0.000,4167.000000,2008.000000,31.000000,0.000000,3013.000000,2832.000000,1320.000000,0.000000,720.000000
0.000,4168.000000,1943.000000,39.000000,0.000000,2939.000000,2763.000000,1369.000000,0.000000,679.000000
0.000,4169.000000,1736.000000,23.000000,0.000000,2906.000000,2698.000000,1579.000000,0.000000,899.000000
0.000,4170.000000,1967.000000,29.000000,0.000000,2918.000000,2757.000000,1339.000000,0.000000,741.000000
0.000,4171.000000,1925.000000,43.000000,0.000000,2816.000000,2759.000000,1419.000000,0.000000,661.000000
0.000,4172.000000,1912.000000,28.000000,0.000000,2933.000000,2757.000000,1381.000000,0.000000,650.000000
0.000,4173.000000,1899.000000,33.000000,0.000000,2936.000000,2725.000000,1414.000000,0.000000,627.000000
0.000,4174.000000,1927.000000,43.000000,0.000000,2932.000000,2769.000000,1426.000000,0.000000,832.000000
0.000,4175.000000,1947.000000,40.000000,1.000000,2937.000000,2779.000000,1395.000000,0.000000,725.000000
0.000,4176.000000,1915.000000,25.000000,0.000000,2968.000000,2772.000000,1427.000000,0.000000,508.000000
0.000,4177.000000,1879.000000,41.000000,0.000000,2948.000000,2708.000000,1477.000000,0.000000,600.000000
0.000,4178.000000,1928.000000,43.000000,0.000000,2939.000000,2792.000000,1458.000000,0.000000,649.000000
0.000,4179.000000,1896.000000,26.000000,0.000000,2988.000000,2775.000000,1491.000000,0.000000,581.000000
0.000,4180.000000,1919.000000,30.000000,0.000000,2927.000000,2793.000000,1381.000000,0.000000,608.000000
0.000,4181.000000,1890.000000,21.000000,2.000000,2915.000000,2751.000000,1427.000000,0.000000,588.000000
0.000,4182.000000,1923.000000,29.000000,0.000000,2955.000000,2733.000000,1827.000000,0.000000,571.000000
0.000,4183.000000,1853.000000,33.000000,1.000000,2998.000000,2848.000000,1951.000000,0.000000,567.000000
0.000,4184.000000,1931.000000,24.000000,0.000000,3063.000000,2852.000000,1525.000000,1.000000,545.000000
0.000,4185.000000,1871.000000,41.000000,0.000000,3021.000000,2876.000000,1611.000000,0.000000,613.000000
0.000,4186.000000,1933.000000,30.000000,0.000000,3035.000000,2888.000000,1525.000000,0.000000,554.000000
0.000,4187.000000,1904.000000,23.000000,0.000000,3023.000000,2875.000000,1529.000000,10.000000,529.000000
0.000,4188.000000,1929.000000,41.000000,0.000000,3040.000000,2856.000000,1512.000000,0.000000,668.000000
0.000,4189.000000,1883.000000,25.000000,0.000000,2939.000000,2705.000000,1461.000000,0.000000,613.000000
0.026,4190.000000,1913.000000,40.000000,0.000000,2927.000000,2725.000000,1400.000000,0.000000,665.000000
0.077,4191.000000,1887.000000,37.000000,0.000000,2911.000000,2707.000000,1439.000000,0.000000,721.000000
0.128,4192.000000,1881.000000,38.000000,0.000000,2924.000000,2705.000000,1498.000000,0.000000,661.000000
0.179,4193.000000,1882.000000,26.000000,0.000000,2992.000000,2833.000000,1560.000000,0.000000,660.000000
0.230,4194.000000,1920.000000,39.000000,5.000000,3017.000000,2835.000000,1517.000000,0.000000,700.000000
0.281,4195.000000,1913.000000,23.000000,0.000000,2939.000000,2839.000000,1639.000000,0.000000,627.000000
