time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,6909.000000,485.000000,0.000000,0.000000,1786.000000,1411.000000,3937.000000,81.000000,907.000000
0.000,6910.000000,432.000000,0.000000,0.000000,1816.000000,1383.000000,3875.000000,83.000000,965.000000
0.000,6911.000000,457.000000,0.000000,0.000000,1841.000000,1384.000000,3919.000000,80.000000,955.000000
0.000,6912.000000,525.000000,4.000000,0.000000,1824.000000,1395.000000,3819.000000,77.000000,896.000000
0.000,6913.000000,461.000000,1.000000,0.000000,1824.000000,1389.000000,3817.000000,83.000000,973.000000
0.000,6914.000000,896.000000,1.000000,0.000000,2007.000000,1636.000000,3213.000000,71.000000,859.000000
0.000,6915.000000,773.000000,0.000000,0.000000,1992.000000,1553.000000,3288.000000,72.000000,697.000000
0.000,6916.000000,708.000000,0.000000,0.000000,1945.000000,1515.000000,3445.000000,62.000000,788.000000
0.000,6917.000000,648.000000,0.000000,0.000000,1924.000000,1475.000000,3475.000000,72.000000,778.000000
0.000,6918.000000,676.000000,2.000000,0.000000,1916.000000,1499.000000,3560.000000,71.000000,819.000000
0.000,6919.000000,712.000000,0.000000,0.000000,1928.000000,1518.000000,3513.000000,72.000000,881.000000
0.000,6920.000000,674.000000,0.000000,0.000000,1944.000000,1515.000000,3527.000000,71.000000,863.000000
0.000,6921.000000,613.000000,0.000000,0.000000,1936.000000,1485.000000,3500.000000,75.000000,869.000000
0.000,6922.000000,644.000000,0.000000,0.000000,1917.000000,1512.000000,3501.000000,72.000000,919.000000
0.000,6923.000000,657.000000,0.000000,0.000000,1953.000000,1519.000000,3493.000000,73.000000,855.000000
0.000,6924.000000,675.000000,0.000000,0.000000,1946.000000,1513.000000,3489.000000,69.000000,845.000000
0.000,6925.000000,663.000000,0.000000,0.000000,1947.000000,1511.000000,3543.000000,73.000000,824.000000
0.000,6926.000000,477.000000,8.000000,0.000000,1833.000000,1408.000000,3848.000000,83.000000,941.000000
0.000,6927.000000,672.000000,0.000000,0.000000,1931.000000,1526.000000,3553.000000,73.000000,761.000000
0.000,6928.000000,712.000000,0.000000,0.000000,1945.000000,1544.000000,3503.000000,79.000000,941.000000
0.000,6929.000000,619.000000,1.000000,0.000000,1930.000000,1519.000000,3567.000000,74.000000,499.000000
0.000,6930.000000,650.000000,0.000000,0.000000,1925.000000,1501.000000,3463.000000,74.000000,865.000000
0.000,6931.000000,616.000000,0.000000,0.000000,1937.000000,1500.000000,3559.000000,69.000000,867.000000
0.000,6932.000000,669.000000,0.000000,0.000000,1960.000000,1523.000000,3513.000000,75.000000,787.000000
0.000,6933.000000,679.000000,0.000000,0.000000,1968.000000,1528.000000,3487.000000,71.000000,747.000000
0.000,6934.000000,647.000000,0.000000,0.000000,1927.000000,1522.000000,3511.000000,82.000000,856.000000
0.000,6935.000000,640.000000,1.000000,0.000000,1941.000000,1511.000000,3517.000000,71.000000,841.000000
0.000,6936.000000,716.000000,0.000000,0.000000,1963.000000,1517.000000,3520.000000,81.000000,753.000000
0.000,6937.000000,647.000000,0.000000,0.000000,1938.000000,1497.000000,3513.000000,71.000000,809.000000
0.000,6938.000000,665.000000,0.000000,0.000000,1943.000000,1499.000000,3499.000000,76.000000,925.000000
0.000,6939.000000,667.000000,0.000000,0.000000,1934.000000,1509.000000,3525.000000,73.000000,845.000000
0.000,6940.000000,653.000000,2.000000,0.000000,1913.000000,1539.000000,3533.000000,72.000000,418.000000
0.000,6941.000000,617.000000,1.000000,0.000000,1920.000000,1509.000000,3520.000000,73.000000,397.000000
0.000,6942.000000,657.000000,2.000000,0.000000,1929.000000,1514.000000,3543.000000,77.000000,476.000000
0.000,6943.000000,635.000000,2.000000,0.000000,1905.000000,1509.000000,3488.000000,73.000000,400.000000
0.000,6944.000000,711.000000,0.000000,0.000000,1941.000000,1536.000000,3490.000000,77.000000,459.000000
0.000,6945.000000,649.000000,0.000000,0.000000,1959.000000,1528.000000,3525.000000,77.000000,520.000000
0.000,6946.000000,686.000000,0.000000,0.000000,1947.000000,1556.000000,3508.000000,79.000000,455.000000
