time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,6349.000000,267.000000,0.000000,0.000000,794.000000,1016.000000,3801.000000,85.000000,720.000000
0.000,6350.000000,299.000000,0.000000,0.000000,798.000000,1021.000000,3761.000000,85.000000,720.000000
0.000,6351.000000,266.000000,0.000000,1.000000,784.000000,1028.000000,3768.000000,81.000000,717.000000
0.000,6352.000000,291.000000,0.000000,0.000000,784.000000,1015.000000,3756.000000,83.000000,712.000000
0.000,6353.000000,264.000000,0.000000,0.000000,791.000000,1033.000000,3806.000000,84.000000,711.000000
0.000,6354.000000,271.000000,0.000000,0.000000,800.000000,1045.000000,3788.000000,80.000000,712.000000
0.000,6355.000000,265.000000,0.000000,0.000000,809.000000,1097.000000,3809.000000,83.000000,717.000000
0.000,6356.000000,295.000000,0.000000,0.000000,751.000000,1017.000000,3763.000000,81.000000,711.000000
0.000,6357.000000,265.000000,0.000000,0.000000,781.000000,1041.000000,3799.000000,83.000000,713.000000
0.000,6358.000000,297.000000,0.000000,0.000000,807.000000,1023.000000,3779.000000,81.000000,715.000000
0.000,6359.000000,272.000000,0.000000,0.000000,797.000000,1017.000000,3803.000000,83.000000,711.000000
0.000,6360.000000,283.000000,0.000000,0.000000,824.000000,1039.000000,3767.000000,87.000000,737.000000
0.000,6361.000000,256.000000,0.000000,0.000000,789.000000,1052.000000,3819.000000,76.000000,743.000000
0.000,6362.000000,288.000000,0.000000,0.000000,809.000000,1045.000000,3768.000000,91.000000,720.000000
0.000,6363.000000,277.000000,0.000000,0.000000,792.000000,1029.000000,3800.000000,85.000000,724.000000
0.000,6364.000000,264.000000,0.000000,0.000000,797.000000,1034.000000,3804.000000,80.000000,727.000000
0.000,6365.000000,261.000000,4.000000,0.000000,801.000000,1043.000000,3805.000000,80.000000,729.000000
0.000,6366.000000,301.000000,4.000000,0.000000,806.000000,1043.000000,3776.000000,80.000000,729.000000
0.000,6367.000000,279.000000,0.000000,0.000000,807.000000,1053.000000,3801.000000,81.000000,721.000000
0.000,6368.000000,307.000000,0.000000,0.000000,811.000000,1065.000000,3788.000000,79.000000,727.000000
0.000,6369.000000,248.000000,0.000000,0.000000,791.000000,1054.000000,3848.000000,80.000000,731.000000
