time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,2150.000000,445.000000,3.000000,0.000000,835.000000,148.000000,1842.000000,31.000000,22.000000
0.000,2151.000000,420.000000,2.000000,0.000000,888.000000,80.000000,1856.000000,28.000000,1.000000
0.000,2152.000000,408.000000,0.000000,0.000000,857.000000,124.000000,1827.000000,30.000000,9.000000
0.000,2153.000000,57.000000,0.000000,0.000000,599.000000,155.000000,1829.000000,24.000000,9.000000
0.000,2154.000000,67.000000,0.000000,0.000000,703.000000,149.000000,1850.000000,22.000000,4.000000
0.000,2155.000000,87.000000,1.000000,0.000000,624.000000,151.000000,1836.000000,31.000000,0.000000
0.000,2156.000000,88.000000,0.000000,0.000000,633.000000,149.000000,1831.000000,28.000000,0.000000
0.000,2157.000000,81.000000,2.000000,0.000000,645.000000,161.000000,1825.000000,23.000000,16.000000
0.000,2158.000000,455.000000,4.000000,0.000000,761.000000,130.000000,1821.000000,24.000000,3.000000
0.000,2159.000000,661.000000,8.000000,0.000000,837.000000,136.000000,1848.000000,18.000000,0.000000
0.000,2160.000000,329.000000,1.000000,0.000000,731.000000,127.000000,1805.000000,30.000000,0.000000
0.000,2161.000000,328.000000,0.000000,0.000000,734.000000,149.000000,1850.000000,26.000000,0.000000
0.000,2162.000000,226.000000,0.000000,0.000000,720.000000,151.000000,1856.000000,27.000000,3.000000
0.000,2163.000000,247.000000,0.000000,0.000000,745.000000,171.000000,1827.000000,21.000000,0.000000
0.000,2164.000000,263.000000,1.000000,0.000000,800.000000,154.000000,1848.000000,18.000000,0.000000
0.000,2165.000000,36.000000,0.000000,0.000000,639.000000,150.000000,1876.000000,28.000000,16.000000
0.000,2166.000000,26.000000,0.000000,0.000000,587.000000,147.000000,1832.000000,27.000000,58.000000
0.000,2167.000000,35.000000,0.000000,0.000000,617.000000,167.000000,1845.000000,26.000000,0.000000
0.000,2168.000000,1.000000,0.000000,0.000000,617.000000,115.000000,1861.000000,22.000000,0.000000
0.000,2169.000000,3111.000000,66.000000,0.000000,2836.000000,531.000000,1840.000000,16.000000,117.000000
0.000,2170.000000,30.000000,1.000000,0.000000,599.000000,140.000000,1885.000000,30.000000,0.000000
0.000,2171.000000,35.000000,0.000000,0.000000,603.000000,153.000000,1851.000000,41.000000,0.000000
0.000,2172.000000,29.000000,0.000000,0.000000,597.000000,151.000000,1861.000000,25.000000,5.000000
0.000,2173.000000,29.000000,0.000000,0.000000,607.000000,145.000000,1860.000000,24.000000,17.000000
0.000,2174.000000,38.000000,0.000000,0.000000,627.000000,148.000000,1868.000000,27.000000,0.000000
0.000,2175.000000,64.000000,0.000000,0.000000,605.000000,150.000000,1841.000000,24.000000,2.000000
0.000,2176.000000,67.000000,0.000000,0.000000,552.000000,123.000000,1861.000000,24.000000,0.000000
0.000,2177.000000,23.000000,0.000000,0.000000,612.000000,155.000000,1844.000000,27.000000,0.000000
0.000,2178.000000,41.000000,0.000000,0.000000,566.000000,141.000000,1849.000000,25.000000,0.000000
0.000,2179.000000,48.000000,0.000000,0.000000,497.000000,159.000000,1801.000000,26.000000,0.000000
0.000,2180.000000,36.000000,0.000000,0.000000,673.000000,151.000000,1869.000000,29.000000,0.000000
0.000,2181.000000,35.000000,0.000000,0.000000,536.000000,147.000000,1840.000000,26.000000,0.000000
0.000,2182.000000,35.000000,4.000000,0.000000,529.000000,158.000000,1830.000000,28.000000,0.000000
0.000,2183.000000,33.000000,4.000000,0.000000,553.000000,144.000000,1801.000000,25.000000,0.000000
0.000,2184.000000,37.000000,0.000000,0.000000,679.000000,157.000000,1845.000000,25.000000,9.000000
0.000,2185.000000,3855.000000,91.000000,0.000000,3781.000000,2221.000000,1867.000000,8.000000,661.000000
0.000,2186.000000,3259.000000,69.000000,0.000000,4095.000000,2535.000000,1861.000000,0.000000,1312.000000
0.000,2187.000000,3817.000000,85.000000,0.000000,4040.000000,2567.000000,1800.000000,6.000000,595.000000
0.000,2188.000000,1187.000000,0.000000,0.000000,960.000000,230.000000,1843.000000,31.000000,26.000000
0.000,2189.000000,1951.000000,24.000000,0.000000,1559.000000,1055.000000,3744.000000,84.000000,697.000000
0.000,2190.000000,1509.000000,0.000000,0.000000,1562.000000,1189.000000,3704.000000,91.000000,727.000000
0.000,2191.000000,1708.000000,27.000000,0.000000,1632.000000,1250.000000,3893.000000,85.000000,1101.000000
0.000,2192.000000,1737.000000,24.000000,0.000000,1804.000000,1384.000000,3863.000000,89.000000,808.000000
0.000,2193.000000,863.000000,0.000000,0.000000,1304.000000,1088.000000,3563.000000,80.000000,581.000000
0.000,2194.000000,2072.000000,29.000000,0.000000,1461.000000,1992.000000,3864.000000,85.000000,1881.000000
0.000,2195.000000,2172.000000,41.000000,0.000000,889.000000,2135.000000,3863.000000,81.000000,1682.000000
0.000,2196.000000,1685.000000,19.000000,0.000000,1445.000000,1436.000000,3815.000000,75.000000,649.000000
0.000,2197.000000,1499.000000,0.000000,0.000000,1495.000000,1128.000000,3824.000000,72.000000,761.000000
0.000,2198.000000,498.000000,0.000000,0.000000,463.000000,1185.000000,3659.000000,73.000000,622.000000
0.000,2199.000000,427.000000,0.000000,0.000000,1405.000000,1047.000000,3692.000000,76.000000,557.000000
0.000,2200.000000,891.000000,4.000000,1.000000,2859.000000,373.000000,1824.000000,23.000000,144.000000
0.000,2201.000000,3371.000000,57.000000,0.000000,3164.000000,671.000000,1771.000000,12.000000,51.000000
0.000,2202.000000,2169.000000,35.000000,0.000000,4095.000000,3244.000000,1485.000000,8.000000,245.000000
0.000,2203.000000,2024.000000,22.000000,0.000000,4095.000000,3099.000000,1393.000000,0.000000,685.000000
0.000,2204.000000,1984.000000,31.000000,0.000000,4095.000000,3173.000000,1372.000000,0.000000,535.000000
0.000,2205.000000,2069.000000,50.000000,0.000000,3155.000000,2943.000000,1717.000000,2.000000,475.000000
0.000,2206.000000,2085.000000,66.000000,0.000000,4095.000000,3104.000000,2255.000000,20.000000,573.000000
0.000,2207.000000,3847.000000,89.000000,0.000000,4095.000000,3971.000000,1744.000000,0.000000,533.000000
0.000,2208.000000,1661.000000,21.000000,0.000000,1656.000000,1252.000000,3601.000000,81.000000,846.000000
0.000,2209.000000,1701.000000,16.000000,0.000000,2995.000000,1205.000000,3288.000000,64.000000,664.000000
0.000,2210.000000,353.000000,0.000000,0.000000,617.000000,1105.000000,3733.000000,75.000000,576.000000
0.000,2211.000000,2137.000000,30.000000,0.000000,3087.000000,2900.000000,2439.000000,18.000000,621.000000
0.000,2212.000000,529.000000,0.000000,0.000000,1641.000000,1141.000000,3221.000000,67.000000,572.000000
0.000,2213.000000,2112.000000,30.000000,0.000000,3079.000000,2893.000000,2907.000000,8.000000,656.000000
0.000,2214.000000,2099.000000,43.000000,0.000000,3052.000000,2869.000000,1463.000000,0.000000,303.000000
0.000,2215.000000,2125.000000,25.000000,0.000000,4095.000000,3228.000000,1759.000000,3.000000,602.000000
0.000,2216.000000,2091.000000,43.000000,0.000000,4095.000000,3220.000000,1619.000000,4.000000,457.000000
0.000,2217.000000,1935.000000,21.000000,0.000000,4095.000000,3091.000000,1713.000000,8.000000,621.000000
0.000,2218.000000,2109.000000,51.000000,0.000000,3155.000000,2983.000000,2155.000000,5.000000,328.000000
0.000,2219.000000,2009.000000,33.000000,0.000000,3467.000000,2941.000000,2299.000000,8.000000,323.000000
0.000,2220.000000,2088.000000,43.000000,2.000000,4095.000000,2811.000000,1229.000000,0.000000,1003.000000
0.000,2221.000000,2123.000000,33.000000,0.000000,4095.000000,2939.000000,1304.000000,0.000000,891.000000
0.000,2222.000000,2129.000000,51.000000,0.000000,3063.000000,2861.000000,1705.000000,16.000000,499.000000
0.000,2223.000000,2004.000000,45.000000,2.000000,2905.000000,2653.000000,1385.000000,0.000000,581.000000
0.000,2224.000000,3523.000000,88.000000,2.000000,3497.000000,1647.000000,1819.000000,4.000000,232.000000
0.000,2225.000000,1848.000000,25.000000,0.000000,4095.000000,1365.000000,1827.000000,18.000000,501.000000
0.000,2226.000000,1853.000000,35.000000,0.000000,4095.000000,1229.000000,1784.000000,19.000000,616.000000
0.000,2227.000000,1481.000000,29.000000,1.000000,4095.000000,1291.000000,1775.000000,19.000000,545.000000
0.000,2228.000000,1687.000000,34.000000,2.000000,4095.000000,1573.000000,1815.000000,4.000000,458.000000
0.000,2229.000000,3283.000000,72.000000,2.000000,3055.000000,777.000000,1804.000000,11.000000,0.000000
0.026,2230.000000,2795.000000,46.000000,2.000000,2675.000000,425.000000,1820.000000,28.000000,5.000000
0.077,2231.000000,3101.000000,0.000000,0.000000,757.000000,156.000000,1834.000000,22.000000,0.000000
0.128,2232.000000,58.000000,0.000000,0.000000,591.000000,167.000000,1805.000000,21.000000,0.000000
0.179,2233.000000,400.000000,0.000000,0.000000,3164.000000,1376.000000,2795.000000,5.000000,695.000000
0.230,2234.000000,753.000000,0.000000,0.000000,2779.000000,1436.000000,3184.000000,63.000000,711.000000
0.281,2235.000000,368.000000,0.000000,0.000000,1055.000000,1018.000000,3506.000000,75.000000,461.000000
0.332,2236.000000,529.000000,0.000000,0.000000,3107.000000,1401.000000,3099.000000,24.000000,655.000000
0.383,2237.000000,486.000000,0.000000,0.000000,3157.000000,1461.000000,3515.000000,55.000000,809.000000
0.434,2238.000000,716.000000,4.000000,0.000000,2896.000000,1476.000000,3405.000000,72.000000,661.000000
0.485,2239.000000,471.000000,0.000000,0.000000,3232.000000,1181.000000,3573.000000,73.000000,494.000000
0.536,2240.000000,476.000000,0.000000,0.000000,3053.000000,1135.000000,3097.000000,0.000000,397.000000
0.587,2241.000000,2263.000000,30.000000,2.000000,3207.000000,3008.000000,1964.000000,0.000000,166.000000
0.638,2242.000000,2248.000000,37.000000,0.000000,3230.000000,3013.000000,1223.000000,0.000000,141.000000
0.689,2243.000000,651.000000,8.000000,0.000000,3592.000000,2235.000000,2686.000000,22.000000,700.000000
0.740,2244.000000,535.000000,0.000000,0.000000,3132.000000,1180.000000,2855.000000,24.000000,424.000000
0.791,2245.000000,341.000000,10.000000,0.000000,1275.000000,955.000000,2617.000000,49.000000,41.000000
0.842,2246.000000,1752.000000,0.000000,0.000000,2007.000000,471.000000,447.000000,0.000000,0.000000
0.893,2247.000000,160.000000,0.000000,0.000000,3116.000000,699.000000,1811.000000,16.000000,291.000000
0.944,2248.000000,187.000000,0.000000,0.000000,3101.000000,610.000000,1789.000000,21.000000,232.000000
0.995,2249.000000,176.000000,2.000000,0.000000,3095.000000,676.000000,1805.000000,18.000000,279.000000
1.046,2250.000000,172.000000,0.000000,0.000000,3102.000000,669.000000,1787.000000,21.000000,279.000000
1.097,2251.000000,163.000000,0.000000,0.000000,3126.000000,681.000000,1825.000000,22.000000,269.000000
1.148,2252.000000,52.000000,0.000000,0.000000,544.000000,157.000000,1820.000000,25.000000,0.000000
1.199,2253.000000,163.000000,0.000000,0.000000,3114.000000,686.000000,1813.000000,8.000000,280.000000
1.250,2254.000000,171.000000,0.000000,0.000000,3067.000000,727.000000,1821.000000,16.000000,277.000000
1.301,2255.000000,64.000000,0.000000,0.000000,561.000000,190.000000,1817.000000,21.000000,4.000000
1.352,2256.000000,1000.000000,0.000000,0.000000,2125.000000,535.000000,1825.000000,29.000000,168.000000
1.403,2257.000000,236.000000,0.000000,0.000000,3051.000000,729.000000,1831.000000,22.000000,300.000000
1.454,2258.000000,221.000000,0.000000,0.000000,3029.000000,728.000000,1805.000000,20.000000,291.000000
1.505,2259.000000,246.000000,0.000000,0.000000,3019.000000,745.000000,1803.000000,13.000000,297.000000
1.556,2260.000000,231.000000,0.000000,0.000000,3057.000000,767.000000,1801.000000,19.000000,291.000000
1.607,2261.000000,209.000000,0.000000,0.000000,3129.000000,752.000000,1849.000000,22.000000,313.000000
1.658,2262.000000,213.000000,0.000000,0.000000,3081.000000,751.000000,1833.000000,22.000000,288.000000
