time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4950.000000,393.000000,0.000000,0.000000,1607.000000,1365.000000,3878.000000,83.000000,984.000000
0.000,4951.000000,371.000000,0.000000,0.000000,1611.000000,1354.000000,3908.000000,87.000000,986.000000
0.000,4952.000000,389.000000,0.000000,0.000000,1608.000000,1344.000000,3896.000000,84.000000,1041.000000
0.000,4953.000000,373.000000,0.000000,0.000000,1597.000000,1309.000000,3901.000000,83.000000,1071.000000
0.000,4954.000000,381.000000,0.000000,0.000000,1595.000000,1333.000000,3903.000000,88.000000,1031.000000
0.000,4955.000000,392.000000,0.000000,0.000000,1289.000000,1318.000000,3881.000000,78.000000,1013.000000
0.000,4956.000000,382.000000,0.000000,0.000000,1303.000000,1288.000000,3893.000000,89.000000,995.000000
0.000,4957.000000,347.000000,0.000000,0.000000,1280.000000,1261.000000,3909.000000,89.000000,987.000000
0.000,4958.000000,381.000000,0.000000,0.000000,1264.000000,1257.000000,3851.000000,85.000000,985.000000
0.000,4959.000000,349.000000,0.000000,0.000000,1279.000000,1260.000000,3864.000000,85.000000,985.000000
0.000,4960.000000,375.000000,0.000000,0.000000,1284.000000,1269.000000,3913.000000,98.000000,965.000000
0.000,4961.000000,300.000000,4.000000,0.000000,1277.000000,1264.000000,3899.000000,87.000000,982.000000
0.000,4962.000000,389.000000,0.000000,0.000000,1280.000000,1253.000000,3827.000000,85.000000,936.000000
0.000,4963.000000,355.000000,0.000000,0.000000,1265.000000,1257.000000,3885.000000,83.000000,992.000000
0.000,4964.000000,374.000000,0.000000,0.000000,1288.000000,1260.000000,3893.000000,89.000000,928.000000
0.000,4965.000000,351.000000,0.000000,0.000000,1312.000000,1273.000000,3879.000000,81.000000,859.000000
0.000,4966.000000,368.000000,0.000000,0.000000,1303.000000,1290.000000,3868.000000,88.000000,981.000000
0.000,4967.000000,353.000000,0.000000,0.000000,1288.000000,1285.000000,3880.000000,84.000000,975.000000
0.000,4968.000000,372.000000,0.000000,0.000000,1303.000000,1268.000000,3895.000000,88.000000,953.000000
0.000,4969.000000,337.000000,0.000000,0.000000,1304.000000,1271.000000,3901.000000,89.000000,938.000000
0.000,4970.000000,357.000000,0.000000,0.000000,1288.000000,1258.000000,3891.000000,91.000000,947.000000
0.000,4971.000000,1528.000000,18.000000,0.000000,1655.000000,1532.000000,2777.000000,35.000000,719.000000
0.000,4972.000000,343.000000,0.000000,0.000000,1577.000000,1269.000000,3924.000000,84.000000,982.000000
0.000,4973.000000,343.000000,0.000000,0.000000,1659.000000,1361.000000,3941.000000,85.000000,1041.000000
0.000,4974.000000,365.000000,0.000000,0.000000,1340.000000,1305.000000,3953.000000,91.000000,1035.000000
0.000,4975.000000,219.000000,0.000000,0.000000,1721.000000,1376.000000,3973.000000,85.000000,983.000000
