time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4809.000000,237.000000,1.000000,0.000000,596.000000,1105.000000,3861.000000,83.000000,736.000000
0.000,4810.000000,240.000000,0.000000,0.000000,616.000000,1145.000000,3848.000000,86.000000,695.000000
0.000,4811.000000,229.000000,0.000000,0.000000,845.000000,1196.000000,3864.000000,83.000000,785.000000
0.000,4812.000000,243.000000,0.000000,0.000000,763.000000,1202.000000,3832.000000,88.000000,753.000000
0.000,4813.000000,205.000000,0.000000,0.000000,616.000000,1143.000000,3837.000000,84.000000,680.000000
0.000,4814.000000,344.000000,0.000000,0.000000,872.000000,1205.000000,3703.000000,76.000000,752.000000
0.000,4815.000000,289.000000,1.000000,0.000000,865.000000,1232.000000,3768.000000,81.000000,775.000000
0.000,4816.000000,168.000000,0.000000,0.000000,761.000000,1138.000000,3756.000000,78.000000,672.000000
0.000,4817.000000,269.000000,0.000000,0.000000,755.000000,1143.000000,3780.000000,83.000000,690.000000
0.000,4818.000000,1869.000000,33.000000,0.000000,2777.000000,2823.000000,1554.000000,0.000000,405.000000
0.000,4819.000000,1927.000000,24.000000,0.000000,2857.000000,2900.000000,1578.000000,2.000000,509.000000
0.000,4820.000000,267.000000,0.000000,0.000000,755.000000,1061.000000,3688.000000,40.000000,585.000000
0.000,4821.000000,1889.000000,20.000000,0.000000,2791.000000,2871.000000,1641.000000,0.000000,629.000000
0.000,4822.000000,1892.000000,41.000000,0.000000,2899.000000,2916.000000,1883.000000,0.000000,664.000000
0.000,4823.000000,1893.000000,29.000000,0.000000,2938.000000,2887.000000,1815.000000,0.000000,629.000000
0.000,4824.000000,1917.000000,24.000000,2.000000,2940.000000,2922.000000,1903.000000,27.000000,669.000000
0.000,4825.000000,1879.000000,29.000000,0.000000,2952.000000,2911.000000,1913.000000,9.000000,573.000000
0.000,4826.000000,1923.000000,39.000000,0.000000,2971.000000,2931.000000,1887.000000,9.000000,589.000000
0.000,4827.000000,1909.000000,29.000000,0.000000,2965.000000,2906.000000,1875.000000,3.000000,561.000000
0.000,4828.000000,1939.000000,21.000000,0.000000,2987.000000,2923.000000,2065.000000,16.000000,619.000000
0.000,4829.000000,1887.000000,41.000000,0.000000,2938.000000,2923.000000,1836.000000,0.000000,681.000000
0.000,4830.000000,1918.000000,29.000000,0.000000,2948.000000,2918.000000,1760.000000,9.000000,613.000000
0.000,4831.000000,1927.000000,25.000000,0.000000,2956.000000,2889.000000,1843.000000,6.000000,600.000000
0.000,4832.000000,1920.000000,30.000000,0.000000,2965.000000,2904.000000,1707.000000,9.000000,599.000000
0.000,4833.000000,1875.000000,39.000000,0.000000,2925.000000,2905.000000,1773.000000,0.000000,529.000000
0.000,4834.000000,1893.000000,30.000000,0.000000,2956.000000,2855.000000,1720.000000,0.000000,606.000000
0.000,4835.000000,1907.000000,30.000000,0.000000,2957.000000,2877.000000,1951.000000,2.000000,647.000000
0.000,4836.000000,1912.000000,23.000000,0.000000,2951.000000,2888.000000,1871.000000,10.000000,624.000000
